من	從	مِن	從	ADP	ADP
تصنيف	評比	تَصنِيف	評比	N;NOM;INDF;SG	N
تصنيف	分類	تَصنِيف	分類	N;NOM;INDF;SG	N
عن	關於	عَن	關於	ADP	ADP
عام	年度	عَام	年度	N;NOM;INDF;SG	N
عام	年份	عَام	年份	N;NOM;INDF;SG	N
عام	年	عَام	年	N;NOM;INDF;SG	N
عام	公眾	عَام	公眾	N;NOM;INDF;SG	N
اسم	名字	اِسم	名字	N;NOM;INDF;SG	N
اسم	名稱	اِسم	名稱	N;NOM;INDF;SG	N
اسم	姓名	اِسم	姓名	N;NOM;INDF;SG	N
المنطقة	區域	مِنطَقَة	區域	N;NOM;DEF;SG	N
المنطقة	區	مِنطَقَة	區	N;NOM;DEF;SG	N
المنطقة	地區	مِنطَقَة	地區	N;NOM;DEF;SG	N
المنطقة	區	مِنطَقَة	區	N;NOM;DEF;SG	N
المنطقة	區域	مِنطَقَة	區域	N;NOM;DEF;SG	N
المنطقة	面積	مِنطَقَة	面積	N;NOM;DEF;SG	N
المنطقة	地區	مِنطَقَة	地區	N;NOM;DEF;SG	N
المنطقة	區域	مِنطَقَة	區域	N;NOM;DEF;SG	N
المنطقة	區	مِنطَقَة	區	N;NOM;DEF;SG	N
هي	她	هُوَ	她	PRO;NOM;FEM;SG;3	PRO;3
هي	她	هُوَ	她	PRO;NOM;FEM;SG;3	PRO;3
سنة	年度	سَنَة	年度	N;NOM;INDF;SG	N
سنة	年份	سَنَة	年份	N;NOM;INDF;SG	N
سنة	年	سَنَة	年	N;NOM;INDF;SG	N
هذه	這	هٰذَا	這	DET;NOM;FEM;SG	DET
هذه	這些	هٰذَا	這些	DET;NOM;FEM;SG	DET
عدد	數字	عَدَد	數字	N;NOM;INDF;SG	N
عدد	數	عَدَد	數	N;NOM;INDF;SG	N
عدد	號碼	عَدَد	號碼	N;NOM;INDF;SG	N
عدد	編號	عَدَد	編號	N;NOM;INDF;SG	N
هذا	這	هٰذَا	這	DET;NOM;MASC;SG	DET
هذا	那	هٰذَا	那	DET;NOM;MASC;SG	DET
بين	奔	بَينَ	奔	ADP;ACC	ADP
تاريخ	日期	تَارِيخ	日期	N;NOM;INDF;SG	N
تاريخ	約會	تَارِيخ	約會	N;NOM;INDF;SG	N
تاريخ	歷史	تَارِيخ	歷史	N;NOM;INDF;SG	N
نوع	善良	نَوع	善良	N;NOM;INDF;SG	N
نوع	型態	نَوع	型態	N;NOM;INDF;SG	N
نوع	類型	نَوع	類型	N;NOM;INDF;SG	N
سطر	線	سِطر	線	N;NOM;INDF;SG	N
سطر	線路	سِطر	線路	N;NOM;INDF;SG	N
خط	線	خَطّ	線	N;NOM;INDF;SG	N
خط	線路	خَطّ	線路	N;NOM;INDF;SG	N
التعداد	人口	تَعدَاد	人口	N;NOM;DEF;SG	N
التعداد	普查	تَعدَاد	普查	N;NOM;DEF;SG	N
التعداد	列舉	تَعدَاد	列舉	N;NOM;DEF;SG	N
مدينة	城市	مَدِينَة	城市	N;NOM;INDF;SG	N
مدينة	市	مَدِينَة	市	N;NOM;INDF;SG	N
مدينة	城	مَدِينَة	城	N;NOM;INDF;SG	N
المدينة	城鎮	مَدِينَة	城鎮	N;NOM;DEF;SG	N
المدينة	鎮	مَدِينَة	鎮	N;NOM;DEF;SG	N
المدينة	城市	مَدِينَة	城市	N;NOM;DEF;SG	N
المدينة	市	مَدِينَة	市	N;NOM;DEF;SG	N
المدينة	城	مَدِينَة	城	N;NOM;DEF;SG	N
تم	完成	تَمّ	完成	V;PFV;MASC;SG;3;ACT	V
كرة	球	كُرَة	球	N;NOM;INDF;SG	N
الله	神	اَللّٰه	神	N;NOM;DEF;SG	N
حتى	甚至	حَتَّى	甚至	ADV	ADV
مساحة	面積	مِسَاحَة	面積	N;NOM;INDF;SG	N
مساحة	地區	مِسَاحَة	地區	N;NOM;INDF;SG	N
مساحة	區域	مِسَاحَة	區域	N;NOM;INDF;SG	N
مساحة	區	مِسَاحَة	區	N;NOM;INDF;SG	N
مساحة	太空	مِسَاحَة	太空	N;NOM;INDF;SG	N
مساحة	空間	مِسَاحَة	空間	N;NOM;INDF;SG	N
محافظة	省	مُحَافَظَة	省	N;NOM;INDF;SG	N
محافظة	省省	مُحَافَظَة	省省	N;NOM;INDF;SG	N
محافظة	省份	مُحَافَظَة	省份	N;NOM;INDF;SG	N
محافظة	省	مُحَافَظَة	省	N;NOM;INDF;SG	N
محافظة	省省	مُحَافَظَة	省省	N;NOM;INDF;SG	N
خلال	透過	خِلَالَ	透過	ADP;ACC	ADP
خلال	通過	خِلَالَ	通過	ADP;ACC	ADP
الولايات	國家	وِلَايَة	國家	N;NOM;DEF;PL	N
مثل	像	مِثلَ	像	ADP;NOM	ADP
خارجية	室外	خَارِجِيَّة	室外	N;NOM;INDF;SG	N
خارجية	戶外	خَارِجِيَّة	戶外	N;NOM;INDF;SG	N
خارجية	外部	خَارِجِيَّة	外部	N;NOM;INDF;SG	N
خارجية	外表	خَارِجِيَّة	外表	N;NOM;INDF;SG	N
الصورة	像片	صُورَة	像片	N;NOM;DEF;SG	N
الصورة	照片	صُورَة	照片	N;NOM;DEF;SG	N
الصورة	影象	صُورَة	影象	N;NOM;DEF;SG	N
الصورة	影像	صُورَة	影像	N;NOM;DEF;SG	N
الصورة	圖片	صُورَة	圖片	N;NOM;DEF;SG	N
الصورة	照片	صُورَة	照片	N;NOM;DEF;SG	N
الصورة	圖片	صُورَة	圖片	N;NOM;DEF;SG	N
علم	複製	عَلِم	複製	V;PFV;MASC;SG;3;ACT	V
خريطة	地圖	خَرِيطَة	地圖	N;NOM;INDF;SG	N
فرق	差額	فِرقَة	差額	N;NOM;INDF;PL	N
فرق	區別	فِرقَة	區別	N;NOM;INDF;PL	N
فرق	差別	فِرقَة	差別	N;NOM;INDF;PL	N
فرق	差異	فِرقَة	差異	N;NOM;INDF;PL	N
فرق	團隊	فِرقَة	團隊	N;NOM;INDF;PL	N
فرق	球隊	فِرقَة	球隊	N;NOM;INDF;PL	N
فرق	隊伍	فِرقَة	隊伍	N;NOM;INDF;PL	N
قائمة	選單	قَائِمَة	選單	N;NOM;INDF;SG	N
قائمة	名單	قَائِمَة	名單	N;NOM;INDF;SG	N
قائمة	清單	قَائِمَة	清單	N;NOM;INDF;SG	N
مقاطعة	郡	مُقَاطَعَة	郡	N;NOM;INDF;SG	N
مقاطعة	縣	مُقَاطَعَة	縣	N;NOM;INDF;SG	N
مقاطعة	省	مُقَاطَعَة	省	N;NOM;INDF;SG	N
مقاطعة	省省	مُقَاطَعَة	省省	N;NOM;INDF;SG	N
مقاطعة	省份	مُقَاطَعَة	省份	N;NOM;INDF;SG	N
تقسيم	分裂	تَقسِيم	分裂	N;NOM;INDF;SG	N
العالم	世界	عَالَم	世界	N;NOM;DEF;SG	N
العالم	科學	عَالَم	科學	N;NOM;DEF;SG	N
القرن	牛角	قَرن	牛角	N;NOM;DEF;SG	N
القرن	喇叭	قَرن	喇叭	N;NOM;DEF;SG	N
القرن	號角	قَرن	號角	N;NOM;DEF;SG	N
