rodzeństwa	兄妹	rodzeństwo	兄妹	N;NOM;NEUT;SG	N
zniszczyć	消滅	zniszczyć	消滅	V;PFV;NFIN;ACT	V
zniszczyć	摧毀	zniszczyć	摧毀	V;PFV;NFIN;ACT	V
dialogu	對話	dialog	對話	N;GEN;MASC;SG	N
odkrywa	揭示	odkrywać	揭示	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
marynarka	海軍	marynarka	海軍	N;NOM;FEM;SG	N
marynarka	夾克	marynarka	夾克	N;NOM;FEM;SG	N
marynarka	外套	marynarka	外套	N;NOM;FEM;SG	N
stężenia	濃度	stężyć	濃度	N;NOM;NEUT;SG	N
stężenia	濃度	stężyć	濃度	N;NOM;NEUT;SG	N
wicehrabia	子	wicehrabia	子	N;NOM;MASC;SG	N
obywatele	市民	obywatele	市民	N;NOM;MASC;PL	N
obywatele	公民	obywatele	公民	N;NOM;MASC;PL	N
obywatele	國民	obywatele	國民	N;NOM;MASC;PL	N
obywatele	市民	obywatele	市民	N;NOM;MASC;PL	N
obywatele	公民	obywatele	公民	N;NOM;MASC;PL	N
piętro	下限	piętro	下限	N;NOM;NEUT;SG	N
piętro	地板	piętro	地板	N;NOM;NEUT;SG	N
salon	沙龍	salon	沙龍	N;NOM;MASC;SG	N
ekspozycji	照射	ekspozycja	照射	N;GEN;FEM;SG	N
mięsa	肉	mięso	肉	N;GEN;NEUT;SG	N
mięsa	肉類	mięso	肉類	N;GEN;NEUT;SG	N
czynnik	因子	czynnik	因子	N;NOM;MASC;SG	N
czynnik	因數	czynnik	因數	N;NOM;MASC;SG	N
podłoże	基底	podłoże	基底	N;NOM;NEUT;SG	N
podłoże	地面	podłoże	地面	N;NOM;NEUT;SG	N
obserwuje	觀看	obserwować	觀看	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
paliwo	燃料	paliwo	燃料	N;NOM;NEUT;SG	N
paliwo	燃油	paliwo	燃油	N;NOM;NEUT;SG	N
paliwo	汽油	paliwo	汽油	N;NOM;NEUT;SG	N
skuteczności	成效	skuteczność	成效	N;GEN;FEM;SG	N
skuteczności	有效性	skuteczność	有效性	N;GEN;FEM;SG	N
skuteczności	效能	skuteczność	效能	N;GEN;FEM;SG	N
skuteczności	功效	skuteczność	功效	N;GEN;FEM;SG	N
zatrudnienia	就業	zatrudnienie	就業	N;GEN;NEUT;SG	N
okno	窗戶	okno	窗戶	N;NOM;NEUT;SG	N
okno	窗	okno	窗	N;NOM;NEUT;SG	N
treningi	培訓	trening	培訓	N;NOM;MASC;PL	N
kwiat	花	kwiat	花	N;NOM;MASC;SG	N
kwiat	花兒	kwiat	花兒	N;NOM;MASC;SG	N
kwiat	花朵	kwiat	花朵	N;NOM;MASC;SG	N
wieki	年齡	wiek	年齡	N;ACC;MASC;PL	N
komiksów	漫畫	komiks	漫畫	N;GEN;MASC;PL	N
zwykły	普通	zwykły	普通	ADJ;NOM;MASC;SG	ADJ
misje	任務	misja	任務	N;NOM;FEM;PL	N
rycerzy	騎士	rycerz	騎士	N;ACC;MASC;PL	N
demokratów	民主	demokrat	民主	N;ACC;MASC;PL	N
standardy	標準	standard	標準	N;NOM;MASC;PL	N
węgiel	煤礦	węgiel	煤礦	N;NOM;MASC;SG	N
węgiel	煤炭	węgiel	煤炭	N;NOM;MASC;SG	N
węgiel	煤	węgiel	煤	N;NOM;MASC;SG	N
węgiel	炭	węgiel	炭	N;NOM;MASC;SG	N
węgiel	木炭	węgiel	木炭	N;NOM;MASC;SG	N
węgiel	碳	węgiel	碳	N;NOM;MASC;SG	N
węgiel	炭	węgiel	炭	N;NOM;MASC;SG	N
prosto	直	prosto	直		
wzory	模型	wzór	模型	N;NOM;MASC;PL	N
wzory	模特	wzór	模特	N;NOM;MASC;PL	N
wzory	型號	wzór	型號	N;NOM;MASC;PL	N
wzory	模特	wzór	模特	N;NOM;MASC;PL	N
wzory	格局	wzór	格局	N;NOM;MASC;PL	N
wzory	模式	wzór	模式	N;NOM;MASC;PL	N
wzory	公式	wzór	公式	N;NOM;MASC;PL	N
wywołało	引發	wywołać	引發	V;PFV;NEUT;IND;SG;PST;FIN;ACT	V
wywołało	觸發	wywołać	觸發	V;PFV;NEUT;IND;SG;PST;FIN;ACT	V
przodków	祖先	przodek	祖先	N;ACC;MASC;PL	N
przodków	祖先	przodek	祖先	N;ACC;MASC;PL	N
lodu	冰塊	lód	冰塊	N;GEN;MASC;SG	N
lodu	冰	lód	冰	N;GEN;MASC;SG	N
zapach	氣味	zapach	氣味	N;NOM;MASC;SG	N
zapach	味道	zapach	味道	N;NOM;MASC;SG	N
zapach	芳香	zapach	芳香	N;NOM;MASC;SG	N
zapach	香氣	zapach	香氣	N;NOM;MASC;SG	N
zapach	芬芳	zapach	芬芳	N;NOM;MASC;SG	N
zapach	香味	zapach	香味	N;NOM;MASC;SG	N
zapach	香水	zapach	香水	N;NOM;MASC;SG	N
konsulat	領事	konsulat	領事	N;NOM;MASC;SG	N
armata	大炮	armat	大炮	N;NOM;FEM;SG	N
armata	砲	armat	砲	N;NOM;FEM;SG	N
armata	炮	armat	炮	N;NOM;FEM;SG	N
metry	公尺	metr	公尺	N;ACC;MASC;SG	N
metry	米	metr	米	N;ACC;MASC;SG	N
metry	公尺	metr	公尺	N;ACC;MASC;SG	N
tunelu	地道	tunel	地道	N;GEN;MASC;SG	N
tunelu	隧道	tunel	隧道	N;GEN;MASC;SG	N
ekspertów	專家	ekspert	專家	N;ACC;MASC;PL	N
ekspertów	專家	ekspert	專家	N;ACC;MASC;PL	N
dorosłe	成年	dorosły	成年	V;PFV;NEUT;IND;SG;PST;FIN;ACT	V
ściana	壁	ściana	壁	N;NOM;FEM;SG	N
ściana	牆壁	ściana	牆壁	N;NOM;FEM;SG	N
ściana	圍牆	ściana	圍牆	N;NOM;FEM;SG	N
ściana	牆	ściana	牆	N;NOM;FEM;SG	N
pliki	文件	plik	文件	N;NOM;MASC;PL	N
pliki	檔案	plik	檔案	N;NOM;MASC;PL	N
personelu	人員	personel	人員	N;GEN;MASC;SG	N
personelu	人事	personel	人事	N;GEN;MASC;SG	N
wiązanie	鍵	wiązanie	鍵	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N
wiązanie	債券	wiązanie	債券	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N
przeglądu	審查	przegląd	審查	N;GEN;MASC;SG	N
niebie	天國	niebo	天國	N;DAT;NEUT;SG	N
niebie	天堂	niebo	天堂	N;DAT;NEUT;SG	N
niebie	天空	niebo	天空	N;DAT;NEUT;SG	N
umysłu	頭腦	umysł	頭腦	N;GEN;MASC;SG	N
umysłu	心靈	umysł	心靈	N;GEN;MASC;SG	N
sądy	法庭	sąd	法庭	N;NOM;MASC;PL	N
sądy	法院	sąd	法院	N;NOM;MASC;PL	N
jasności	亮度	jasność	亮度	N;GEN;FEM;SG	N
wrogów	仇人	wróg	仇人	N;ACC;MASC;PL	N
chirurgii	手術	chirurgia	手術	N;GEN;FEM;SG	N
chirurgii	外科	chirurgia	外科	N;GEN;FEM;SG	N
uczucia	感情	uczucie	感情	N;NOM;NEUT;PL	N
elektronów	電子	elektron	電子	N;GEN;MASC;PL	N
zainteresowań	興趣	zainteresowanie	興趣	N;GEN;NEUT;PL	N
zainteresowań	利益	zainteresowanie	利益	N;GEN;NEUT;PL	N
podłogi	地板	podłoga	地板	N;ACC;FEM;SG	N
podłogi	地板	podłoga	地板	N;ACC;FEM;SG	N
piasku	沙子	piasek	沙子	N;GEN;MASC;SG	N
piasku	砂	piasek	砂	N;GEN;MASC;SG	N
leśnictwa	林業	leśnictwo	林業	N;GEN;NEUT;SG	N
tempo	節奏	tempo	節奏	N;NOM;NEUT;SG	N
tempo	拍子	tempo	拍子	N;NOM;NEUT;SG	N
przeznaczenie	目	przeznaczenie	目	N;NOM;NEUT;SG	N
przeznaczenie	天命	przeznaczenie	天命	N;NOM;NEUT;SG	N
przeznaczenie	命運	przeznaczenie	命運	N;NOM;NEUT;SG	N
przeznaczenie	命運	przeznaczenie	命運	N;NOM;NEUT;SG	N
postawa	態度	postawa	態度	N;NOM;FEM;SG	N
postawa	態勢	postawa	態勢	N;NOM;FEM;SG	N
postawa	姿態	postawa	姿態	N;NOM;FEM;SG	N
postawa	姿勢	postawa	姿勢	N;NOM;FEM;SG	N
rozpoznanie	偵查	rozpoznać	偵查	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N
rozpoznanie	偵查	rozpoznać	偵查	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N
ciekawy	好奇	ciekawy	好奇	ADJ;NOM;MASC;SG	ADJ
potrzebuje	需要	potrzebować	需要	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
potrzebuje	需要	potrzebować	需要	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
chronologia	時序	chronologia	時序	N;NOM;FEM;SG	N
chronologia	年表	chronologia	年表	N;NOM;FEM;SG	N
zwykłych	普通	zwykły	普通	ADJ;GEN;MASC;PL	ADJ
biuletyn	通訊	biuletyn	通訊	N;NOM;MASC;SG	N
fabrykę	廠	fabryka	廠	N;ACC;FEM;SG	N
fabrykę	工廠	fabryka	工廠	N;ACC;FEM;SG	N
ekran	螢幕	ekran	螢幕	N;NOM;MASC;SG	N
dołączyła	加入	dołączyć	加入	V;PFV;FEM;IND;SG;PST;FIN;ACT	V
równoległy	平行	równolec	平行		
bronić	捍衛	bronić	捍衛	V;IPFV;NFIN;ACT	V
bronić	保衛	bronić	保衛	V;IPFV;NFIN;ACT	V
oświetlenie	照明	oświetlenie	照明	N;NOM;NEUT;SG	N
oświetlenie	照明	oświetlenie	照明	N;NOM;NEUT;SG	N
rebelianci	叛亂	rebeliant	叛亂	N;NOM;MASC;PL	N
rebelianci	叛亂	rebeliant	叛亂	N;NOM;MASC;PL	N
rebelianci	叛軍	rebeliant	叛軍	N;NOM;MASC;PL	N
ciemności	黑暗	ciemność	黑暗	N;GEN;FEM;SG	N
płótnie	畫布	płótno	畫布	N;ACC;NEUT;SG	N
płótnie	帆布	płótno	帆布	N;ACC;NEUT;SG	N
generacja	世代	generacja	世代	N;NOM;FEM;SG	N
przybyła	抵達	przybyły	抵達	V;PFV;FEM;IND;SG;PST;FIN;ACT	V
przybyła	到	przybyły	到	V;PFV;FEM;IND;SG;PST;FIN;ACT	V
kapitału	資本	kapitał	資本	N;GEN;MASC;SG	N
kapitału	首都	kapitał	首都	N;GEN;MASC;SG	N
foster	寄養	foster	寄養	V;IPFV;IND;SG;2;PRS;FIN;ACT	V
płatki	花瓣	płatek	花瓣	N;NOM;MASC;PL	N
płatki	麥片	płatek	麥片	N;NOM;MASC;PL	N
płatki	穀物	płatek	穀物	N;NOM;MASC;PL	N
płatki	穀類	płatek	穀類	N;NOM;MASC;PL	N
krytykę	批判	krytyka	批判	N;ACC;FEM;SG	N
krytykę	批判	krytyka	批判	N;ACC;FEM;SG	N
druk	印刷	druk	印刷	N;NOM;MASC;SG	N
druk	印刷	druk	印刷	N;NOM;MASC;SG	N
burza	暴風	burza	暴風	N;NOM;FEM;SG	N
burza	風暴	burza	風暴	N;NOM;FEM;SG	N
burza	暴風	burza	暴風	N;NOM;FEM;SG	N
tragedii	慘案	tragedia	慘案	N;GEN;FEM;SG	N
tragedii	悲劇	tragedia	悲劇	N;GEN;FEM;SG	N
tragedii	慘劇	tragedia	慘劇	N;GEN;FEM;SG	N
wystawę	展覽	wystawa	展覽	N;ACC;FEM;SG	N
wystawę	展	wystawa	展	N;ACC;FEM;SG	N
wystawę	展覽	wystawa	展覽	N;ACC;FEM;SG	N
posterunek	站	posterunek	站	N;NOM;MASC;SG	N
posterunek	車站	posterunek	車站	N;NOM;MASC;SG	N
grobie	墳	grób	墳	N;DAT;MASC;SG	N
grobie	墓	grób	墓	N;DAT;MASC;SG	N
grobie	墓穴	grób	墓穴	N;DAT;MASC;SG	N
grobie	墳	grób	墳	N;DAT;MASC;SG	N
grobie	墓	grób	墓	N;DAT;MASC;SG	N
grobie	墳	grób	墳	N;DAT;MASC;SG	N
dochody	收入	dochód	收入	N;NOM;MASC;PL	N
dochody	收入	dochód	收入	N;NOM;MASC;PL	N
