ve	e	ve	e	CONJ	CONJ
daha	máis	daha	máis	ADV	ADV
sonra	logo	sonra	logo	ADV	ADV
sonra	despois	sonra	despois	ADV	ADV
sonra	entón	sonra	entón	ADV	ADV
sonra	daquela	sonra	daquela	ADV	ADV
sonra	despois	sonra	despois	ADV	ADV
sonra	logo	sonra	logo	ADV	ADV
sonra	despois	sonra	despois	ADV	ADV
sonra	máis	sonra	máis	ADV	ADV
sonra	logo	sonra	logo	ADV	ADV
tarafından	pola	taraf	pola	N;AT+ABL;SG;3	N
tarafından	polo	taraf	polo	N;AT+ABL;SG;3	N
yer	lugar	yer	lugar	N;NOM;SG;3	N
yer	casa	yer	casa	N;NOM;SG;3	N
yer	sitio	yer	sitio	N;NOM;SG;3	N
bağlantılar	conexións	bağlantı	conexión	N;NOM;PL;3	N
bağlantılar	enlaces	bağlantı	enlace	N;NOM;PL;3	N
bağlantılar	ligazóns	bağlantı	ligazón	N;NOM;PL;3	N
center	centro	center	centro	N;NOM;SG;3	N
veya	ou	veya	ou	CONJ	CONJ
yeni	novo	yeni	novo	ADJ	ADJ
yeni	novas	yeni	novo	ADJ	ADJ
yeni	nova	yeni	novo	ADJ	ADJ
yeni	novos	yeni	novo	ADJ	ADJ
her	os	her	o	DET	DET
her	as	her	o	DET	DET
her	todos	her	todo	DET	DET
her	cada	her	cada	DET	DET
her	todas	her	todo	DET	DET
ilgili	relevante	ilgili	relevante	ADJ	ADJ
ilgili	relevantes	ilgili	relevante	ADJ	ADJ
madde	substancia	madde	substancia	N;NOM;SG;3	N
madde	materiais	madde	material	N;NOM;SG;3	N
madde	material	madde	material	N;NOM;SG;3	N
madde	prima	madde	prima	N;NOM;SG;3	N
madde	materia	madde	materia	N;NOM;SG;3	N
madde	artigo	madde	artigo	N;NOM;SG;3	N
sağlık	medicina	sağlık	medicina	N;NOM;SG;3	N
sağlık	médico	sağlık	médico	N;NOM;SG;3	N
sağlık	médicos	sağlık	médico	N;NOM;SG;3	N
sağlık	médica	sağlık	médica	N;NOM;SG;3	N
sağlık	saúde	sağlık	saúde	N;NOM;SG;3	N
sağlık	saúde	sağlık	saúde	N;NOM;SG;3	N
genel	xeral	genel	xeral	ADJ	ADJ
genel	xeral	genel	xeral	ADJ	ADJ
adı	nome	ad	nome	N;NOM;SG;3	N
ama	pero	ama	pero	CONJ	CONJ
ama	mais	ama	mais	CONJ	CONJ
ikinci	segunda	ikinci	segundo	ADJ	ADJ
içinde	dentro	içinde	dentro	ADV	ADV
içinde	dentro	içinde	dentro	ADV	ADV
tüm	toda	tüm	todo	DET	DET
tüm	todo	tüm	todo	DET	DET
tüm	a	tüm	o	DET	DET
üniversitesi	universidade	üniversitesi	universidade	N;NOM;SG;3	N
üniversitesi	universidades	üniversitesi	universidade	N;NOM;SG;3	N
zaman	momento	zaman	momento	N;NOM;SG;3	N
zaman	tempo	zaman	tempo	N;NOM;SG;3	N
zaman	vez	zaman	vez	N;NOM;SG;3	N
zaman	hora	zaman	hora	N;NOM;SG;3	N
bazı	algúns	bazı	algún	DET	DET
bazı	algunhas	bazı	algún	DET	DET
bazı	un	bazı	un	DET	DET
üzerine	na	üzer	na	N;DAT;SG;3	N
aralık	decembro	aralık	decembro	N;NOM;SG;3	N
yüksek	alto	yüksek	alto	ADJ	ADJ
yüksek	alta	yüksek	alto	ADJ	ADJ
yüksek	alta	yüksek	alto	ADJ	ADJ
yüksek	maior	yüksek	maior	ADJ	ADJ
yüksek	altas	yüksek	alto	ADJ	ADJ
yüksek	alto	yüksek	alto	ADJ	ADJ
birçok	moitos	birçok	moito	DET	DET
birçok	cantas	birçok	canto	DET	DET
birçok	moitas	birçok	moito	DET	DET
sadece	só	sadece	só	ADV	ADV
sadece	só	sadece	só	ADV	ADV
şekilde	xeito	şekil	xeito	N;ESS;SG;3	N
şekilde	maneira	şekil	maneira	N;ESS;SG;3	N
şekilde	forma	şekil	forma	N;ESS;SG;3	N
şekilde	camiño	şekil	camiño	N;ESS;SG;3	N
