para	for	para	for	ADP	ADP
por	for	por	for	ADP	ADP
como	hvordan	como	hvordan	ADV	ADV
como	gerne	como	gerne	ADV	ADV
mais	mere	mais	mere	ADV	ADV;CMPR
sua	hans	seu	hans	DET;FEM;SG	DET;3
sua	din	seu	din	DET;FEM;SG	DET;MASC+FEM;SG;2
sua	jeres	seu	jeres	DET;FEM;SG	DET;1
sua	din	seu	din	DET;FEM;SG	DET;MASC+FEM;SG;2
sua	dens	seu	dens	DET;FEM;SG	DET;3
sua	dets	seu	dets	DET;FEM;SG	DET;3
utc	utc	utc	utc	N;MASC;SG	N;INDF;MASC+FEM;SG
seu	hans	seu	hans	DET;MASC;SG	DET;3
seu	dens	seu	dens	DET;MASC;SG	DET;3
seu	dets	seu	dets	DET;MASC;SG	DET;3
seu	din	seu	din	DET;MASC;SG	DET;MASC+FEM;SG;2
seu	din	seu	din	DET;MASC;SG	DET;MASC+FEM;SG;2
seu	jeres	seu	jeres	DET;MASC;SG	DET;1
também	også	também	også	ADV	ADV
também	også	também	også	ADV	ADV
mas	men	mas	men	CONJ	CONJ
discussão	diskussion	discussão	diskussion	N;FEM;SG	N;INDF;MASC+FEM;SG
discussão	drøftelse	discussão	drøftelse	N;FEM;SG	N;INDF;MASC+FEM;SG
discussão	debat	discussão	debat	N;FEM;SG	N;INDF;MASC+FEM;SG
entre	mellem	entre	mellem	ADP	ADP
sobre	om	sobre	om	ADP	ADP
tem	har	ter	have	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
cidade	town	cidade	town	N;FEM;SG	N;INDF;MASC+FEM;SG
cidade	byen	cidade	by	N;FEM;SG	N;DEF;MASC+FEM;SG
cidade	by	cidade	by	N;FEM;SG	N;INDF;MASC+FEM;SG
cidade	byen	cidade	by	N;FEM;SG	N;DEF;MASC+FEM;SG
cidade	storby	cidade	storby	N;FEM;SG	N;INDF;MASC+FEM;SG
cidade	by	cidade	by	N;FEM;SG	N;INDF;MASC+FEM;SG
quando	da	quando	da	ADV	ADV
quando	hvornår	quando	hvornår	ADV	ADV
janeiro	januar	janeiro	januar	N;MASC;SG	N;INDF;MASC+FEM;SG
onde	hvor	onde	hvor	ADV	ADV
grande	stor	grande	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
grande	stort	grande	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	stor	grande	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
grande	stort	grande	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	fantastisk	grande	fantastisk	ADJ;MASC;SG	ADJ;INDF;SG
grande	fedt	grande	fedt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	stor	grande	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
grande	skønt	grande	skøn	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grande	herligt	grande	herlig	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
brasil	brasilien	brasil	brasilie	N;MASC;SG	N;DEF;MASC+FEM;SG
brasil	brasiliens	brasil	brasilie	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
rio	floden	rio	flod	N;MASC;SG	N;DEF;MASC+FEM;SG
rio	flod	rio	flod	N;MASC;SG	N;INDF;MASC+FEM;SG
depois	derefter	depois	derefter	ADV	ADV
depois	så	depois	så	ADV	ADV
depois	senere	depois	senere	ADV	ADV;CMPR
depois	efter	depois	efter	ADV	ADV
estado	status	estado	status	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	statussen	estado	statusse	N;MASC;SG	N;DEF;MASC+FEM;SG
estado	stat	estado	stat	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	delstat	estado	delstat	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	tilstand	estado	tilstand	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	betingelse	estado	betingelse	N;MASC;SG	N;INDF;MASC+FEM;SG
estado	stand	estado	stand	N;MASC;SG	N;INDF;MASC+FEM;SG
ano	aars	ano	aars	N;MASC;SG	N;INDF;MASC+FEM;SG
ano	året	ano	år	N;MASC;SG	N;DEF;NEUT;SG
ano	år	ano	år	N;MASC;SG	N;INDF;NEUT;SG
primeiro	først	primeiro	først	ADV	ADV
pode	kan	poder	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
pode	kan	poder	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
ligações	tilslutninger	ligação	tilslutning	N;FEM;PL	N;INDF;MASC+FEM;PL
ligações	forbindelser	ligação	forbindelse	N;FEM;PL	N;INDF;MASC+FEM;PL
parte	del	parte	del	N;FEM;SG	N;INDF;MASC+FEM;SG
primeira	første	primeiro	første	ADJ;FEM;SG	ADJ
nome	betegnelse	nome	betegnelse	N;MASC;SG	N;INDF;MASC+FEM;SG
nome	navn	nome	navn	N;MASC;SG	N;INDF;NEUT;SG
ainda	stadig	ainda	stadig	ADV	ADV
ainda	stadigvæk	ainda	stadigvæk	ADV	ADV
outros	andre	outro	anden	PRO;MASC;PL	PRO;PL
outros	andre	outro	anden	PRO;MASC;PL	PRO;PL
esta	dette	este	denne	PRO;FEM;SG	PRO;NEUT;SG
esta	denne	este	denne	PRO;FEM;SG	PRO;MASC+FEM;SG
ela	hun	ela	hun	PRO;NOM;FEM;SG;3	PRO;NOM;MASC+FEM;SG;3
dia	dag	dia	dag	N;MASC;SG	N;INDF;MASC+FEM;SG
dia	dagen	dia	dag	N;MASC;SG	N;DEF;MASC+FEM;SG
dia	kampdag	dia	kampdag	N;MASC;SG	N;INDF;MASC+FEM;SG
dois	to	dois	to	NUM	NUM
região	region	região	region	N;FEM;SG	N;INDF;MASC+FEM;SG
suas	deres	seu	deres	DET;FEM;PL	DET;3
apenas	kun	apenas	kun	ADV	ADV
apenas	bare	apenas	bare	ADV	ADV
ter	har	ter	have	V;NFIN	V;IND;PRS;FIN;ACT
ter	have	ter	have	V;NFIN	V;NFIN;ACT
julho	juli	julho	juli	N;MASC;SG	N;INDF;MASC+FEM;SG
área	areal	área	areal	N;FEM;SG	N;INDF;NEUT;SG
área	område	área	område	N;FEM;SG	N;INDF;NEUT;SG
agosto	august	agosto	august	N;MASC;SG	N;INDF;MASC+FEM;SG
agosto	aug	agosto	aug	N;MASC;SG	N;INDF;MASC+FEM;SG
lista	liste	lista	liste	N;FEM;SG	N;INDF;MASC+FEM;SG
lista	list	lista	list	N;FEM;SG	N;INDF;MASC+FEM;SG
maio	maj	maio	maj	N;MASC;SG	N;INDF;MASC+FEM;SG
março	marts	março	marts	N;MASC;SG	N;INDF;MASC+FEM;SG
março	march	março	march	N;MASC;SG	N;INDF;MASC+FEM;SG
norte	north	norte	north	N;MASC;SG	N;INDF;MASC+FEM;SG
norte	nord	norte	nord	N;MASC;SG	N;INDF
família	familien	família	familie	N;FEM;SG	N;DEF;MASC+FEM;SG
família	familie	família	familie	N;FEM;SG	N;INDF;MASC+FEM;SG
abril	april	abril	april	N;MASC;SG	N;INDF;MASC+FEM;SG
sul	syd	sul	syd	N;MASC;SG	N;INDF
grupo	gruppe	grupo	gruppe	N;MASC;SG	N;INDF;MASC+FEM;SG
grupo	group	grupo	group	N;MASC;SG	N;INDF;MASC+FEM;SG
grupo	gruppen	grupo	gruppe	N;MASC;SG	N;DEF;MASC+FEM;SG
setembro	september	setembro	september	N;MASC;SG	N;INDF;MASC+FEM;SG
paulo	paulus	paulo	paulus	N;MASC;SG	N;DEF;MASC+FEM;SG
ver	se	ver	se	V;NFIN	V;NFIN;ACT
outubro	oktober	outubro	oktober	N;MASC;SG	N;INDF;MASC+FEM;SG
isso	dette	isso	denne	PRO;MASC;SG	PRO;NEUT;SG
