על	關於	על	關於	ADP	ADP
קטגוריה	類別	קטגוריה	類別	N;FEM;SG	N
גם	還	גם	還	ADV	ADV
גם	也	גם	也	ADV	ADV
גם	太	גם	太	ADV	ADV
זה	這	זה	這	PRO;MASC;SG;3	PRO
היא	她	הוא	她	PRO;FEM;SG;3	PRO;3
שיחה	對話	שיחה	對話	N;FEM;SG	N
שיחה	電話	שיחה	電話	N;FEM;SG	N
שיחה	通話	שיחה	通話	N;FEM;SG	N
כל	全部	כול	全部	DET;PSSD	DET
כל	所有	כול	所有	DET;PSSD	DET
כל	任何	כול	任何	DET;PSSD	DET
יותר	更	יותר	更	ADV	ADV
עד	直到	עד	直到	ADP	ADP
בית	家	בית	家	N;MASC;SG	N
בית	住家	בית	住家	N;MASC;SG	N
בית	屋	בית	屋	N;MASC;SG	N
בית	房屋	בית	房屋	N;MASC;SG	N
בית	房子	בית	房子	N;MASC;SG	N
הם	她們	הוא	她	PRO;MASC;PL;3	PRO;PL;3
הם	他們	הוא	他	PRO;MASC;PL;3	PRO;PL;3
הם	它們	הוא	它	PRO;MASC;PL;3	PRO;PL;3
כמו	像	כמו	像	ADP	ADP
אחד	一	אחד	一	NUM;MASC;SG	NUM
אחד	一	אחד	一	NUM;MASC;SG	NUM
שמאל	左側	שמאל	左側	N;MASC;SG	N
שמאל	左	שמאל	左	N;MASC;SG	N
שמאל	左翼	שמאל	左翼	N;MASC;SG	N
שמאל	左邊	שמאל	左邊	N;MASC;SG	N
מספר	數字	מספר	數字	N;MASC;SG	N
מספר	數	מספר	數	N;MASC;SG	N
מספר	號碼	מספר	號碼	N;MASC;SG	N
מספר	編號	מספר	編號	N;MASC;SG	N
רק	只	רק	只	ADV	ADV
רק	只	רק	只	ADV	ADV
שני	第二	שני	第二	NUM;MASC;PL	NUM
שני	兩	שני	兩	NUM;MASC;PL	NUM
שני	兩	שני	兩	NUM;MASC;PL	NUM
שני	二	שני	二	NUM;MASC;PL	NUM
שנים	歲	שנה	歲	N;FEM;PL	N
שנים	年份	שנה	年份	N;FEM;PL	N
אביב	春	אביב	春	N;MASC;SG	N
