اتھاہ	deep	اتھاہ	deep		
اِبتدائیات	fundamenty	اِبتدائیات	fundament	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ابتر	nieszczęśliwa	ابتر	nieszczęśliwy	ADJ	ADJ;NOM;FEM;SG
ابتر	nieszczęśliwy	ابتر	nieszczęśliwy	ADJ	ADJ;NOM;MASC;SG
ابتر	rozproszone	ابتر	rozprosić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ابتر	zniszczony	ابتر	zniszczyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ابتر	zniszczona	ابتر	zniszczyć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
ابتر	zrujnowany	ابتر	zrujnować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ابتر	zagubiona	ابتر	zagubić	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
ابتر	zagubiony	ابتر	zagubić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ابجد	początek	ابجد	początek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ابواب	podatki	ابواب	podatek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ابواب	drzwi	ابواب	drzwi	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
ابواب	rozdziały	ابواب	rozdział	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اُبھارنا	przekonać	اُبھارنا	przekonać	V;NFIN;ACT	V;PFV;NFIN;ACT
اُبھارنا	podnieść	اُبھارنا	podnieść	V;NFIN;ACT	V;PFV;NFIN;ACT
اُبھرنا	rosnąć	اُبھرنا	rosnąć	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
ابھک	much	ابھک	much		
اپاہج	kaleka	اپاہج	kaleka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اپت	hańba	اپت	hańba		
اپج	wredne	اپج	wredny		
اُپج	uprawa	اُپج	uprawa		
اُپج	upraw	اُپج	uprawa		
اپن	mine	اپن	miny		
اپیل	apel	اپیل	apel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اپیل	odwołanie	اپیل	odwołać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اتا	ojcze	اتا	ojciec		
اُتار	zejście	اُتار	zejście	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُتار	nachylenie	اُتار	nachylenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُتار	spadek	اُتار	spadka	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُتار	zmniejszenie	اُتار	zmniejszenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اُتار	upadek	اُتار	upadek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُتار	obniżka	اُتار	obniżka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُتار	redukcja	اُتار	redukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُتار	zmniejszenie	اُتار	zmniejszenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اُتار	spadek	اُتار	spadka	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُتار	odpływ	اُتار	odpływ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُتارنا	ujawnić	اُتار	ujawnić	V;NFIN;ACT	V;PFV;NFIN;ACT
اُتارنا	rozładować	اُتار	rozładować	V;NFIN;ACT	V;PFV;NFIN;ACT
اُتارنا	skopiuj	اُتار	skopiuj	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اُتارنا	kopiuj	اُتار	kopiuj	V;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
اُتارنا	ujawnić	اُتار	ujawnić	V;NFIN;ACT	V;PFV;NFIN;ACT
اُتارنا	rozładować	اُتار	rozładować	V;NFIN;ACT	V;PFV;NFIN;ACT
اُتارنا	skopiuj	اُتار	skopiuj	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اُتارنا	kopiuj	اُتار	kopiuj	V;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
اُترتا	wredne	اُتر	wredny		
اُترنا	zmniejszyć	اُتر	zmniejszyć	V;MASC;SG;ACT	V;PFV;NFIN;ACT
اُترنا	odrzucić	اُتر	odrzucić	V;MASC;SG;ACT	V;PFV;NFIN;ACT
اُتسَو	ecstasy	اُتسَو	ecstas		
اُتسَو	ekstazy	اُتسَو	ekstaz		
اُتسَو	rapture	اُتسَو	raptura		
اِتّفاقی	swobodne	اِتّفاقی	swobodny	ADJ;NOM	ADJ;NOM;NEUT;SG
اِتّفاقی	swobodny	اِتّفاقی	swobodny	ADJ;NOM	ADJ;NOM;MASC;SG
اٹکلنا	zgadnij	اٹکل	zgadnąć	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اٹکن	łącze	اٹکن	łączyć		
اٹکن	ogniwo	اٹکن	ogniwo		
اٹم	sterty	اٹم	stert		
اُٹھانا	podnieść	اُٹھا	podnieść	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اُٹھانا	porwać	اُٹھا	porwać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اُٹھانا	porwanie	اُٹھا	porwać	V;MASC;SG;NFIN;ACT	V;PFV;IND;PST;FIN;ACT
اُٹھانا	usuń	اُٹھا	usiń	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اُٹھانا	usunąć	اُٹھا	usunąć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اُٹھانا	kraść	اُٹھا	kraść	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
اُٹھانا	ukraść	اُٹھا	ukraść	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اُٹھانا	nosić	اُٹھا	nosić	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
اُٹھانا	nieść	اُٹھا	nieść	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
اُٹھانا	misiu	اُٹھا	misieć	V;MASC;SG;NFIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
اُٹھانا	obudzić	اُٹھا	obudzić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اُٹھتا	rośnie	اُٹھ	rosnąć	V;IPFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
اُٹھنا	zostaw	اُٹھ	zostawić	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
اُٹھنا	odzyskać	اُٹھ	odzyskać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اثاثہ	bogactwo	اثاثہ	bogactwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اثاثہ	bogactwa	اثاثہ	bogactwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اثاثہ	właściwość	اثاثہ	właściwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اثاثہ	nieruchomość	اثاثہ	nieruchomość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اثر	efekt	اثر	efekt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثر	skutek	اثر	skutek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثر	wpływ	اثر	wpływ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثرورسوخ	wpływ	اثرورسوخ	wpływ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثنا	czas	اثنا	czas	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثنا	okres	اثنا	okres	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثنا	czas	اثنا	czas	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اثنا	okres	اثنا	okres	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُجاڑ	zepsute	اُجاڑ	zepsuć		
اُجاڑ	odludne	اُجاڑ	odludny		
اُجاڑ	pustkowie	اُجاڑ	pustkowie		
اُجاڑنا	zniszczyć	اُجاڑنا	zniszczyć	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
اِجازت	zezwolenie	اِجازت	zezwolenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِجازت	pozwolenie	اِجازت	pozwolenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِجازت	wolność	اِجازت	wolność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِجازت	licencja	اِجازت	licencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُجاگر	manifest	اُجاگر	manifest	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُجالنا	oczyścić	اُجال	oczyścić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اِجتماعی	zbiorowego	اِجتماعی	zbiorowy	ADJ	ADJ;ACC;MASC;SG
اِجتماعی	zbiorowe	اِجتماعی	zbiorowy	ADJ	ADJ;NOM;NEUT;SG
اجر	opłata	اجر	opłatać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اجر	wynajem	اجر	wynaj	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اجر	nagroda	اجر	nagroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اجر	wynagrodzenie	اجر	wynagrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
اجر	wynagrodzenia	اجر	wynagrodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اجر	wynagrodzenie	اجر	wynagrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
اجر	odszkodowanie	اجر	odszkodowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُجرت	opłata	اُجرت	opłatać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُجرت	nagroda	اُجرت	nagroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُجرت	wynagrodzenie	اُجرت	wynagrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
اُجرت	wynagrodzenia	اُجرت	wynagrodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُجرت	wynagrodzenie	اُجرت	wynagrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
اُجرت	wynagrodzenia	اُجرت	wynagrodzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُجّڑ	odludne	اُجّڑ	odludny		
اجل	wyniosły	اجل	wynieść	V;ACT	V;PFV;FEM;IND;PL;PST;FIN;ACT
اِجمالاً	zwięźle	اِجمالاً	zwięźle	ADV	ADV
اِجمالاً	krótko	اِجمالاً	krótko	ADV	ADV
اجناس	towary	جنس	towar	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اجناس	gatunki	جنس	gatunek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اجیرن	trudna	اجیرن	trudny	ADJ	ADJ;NOM;FEM;SG
اجیرن	trudny	اجیرن	trudny	ADJ	ADJ;NOM;MASC;SG
اجیرن	kłopotliwe	اجیرن	kłopotliwy	ADJ	ADJ;NOM;NEUT;SG
اُچانا	podnieść	اُچا	podnieść	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
اچانک	niespodziewanie	اچانک	niespodziewanie	ADV	ADV
اچانک	nieoczekiwanie	اچانک	nieoczekiwanie	ADV	ADV
اچانک	nagle	اچانک	nagle	ADV	ADV
اُچکنا	porwać	اُچک	porwać	V;SG;ACT	V;PFV;NFIN;ACT
اُچھالنا	promować	اُچھال	promować	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
احادیث	tradycja	احادیث	tradycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِحاطہ	granica	اِحاطہ	granica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِحاطہ	komisariat	اِحاطہ	komisariat	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِحتمالی	niepewna	اِحتمالی	niepewna	ADJ	ADJ;NOM;FEM;SG
اِحتمالی	niepewne	اِحتمالی	niepewny	ADJ	ADJ;NOM;NEUT;SG
اِحتمالی	niepewny	اِحتمالی	niepewny	ADJ	ADJ;NOM;MASC;SG
اِحتمالی	prawdopodobna	اِحتمالی	prawdopodobny	ADJ	ADJ;NOM;FEM;SG
اِحتمالی	prawdopodobne	اِحتمالی	prawdopodobny	ADJ	ADJ;NOM;NEUT;SG
اِحتمالی	prawdopodobny	اِحتمالی	prawdopodobny	ADJ	ADJ;NOM;MASC;SG
اِحتمالی	prawdopodobne	اِحتمالی	prawdopodobny	ADJ	ADJ;NOM;NEUT;SG
اِحتمالی	prawdopodobny	اِحتمالی	prawdopodobny	ADJ	ADJ;NOM;MASC;SG
اِحتمالی	hipotetyczne	اِحتمالی	hipotetyczny	ADJ	ADJ;NOM;NEUT;SG
اِحتمالی	wątpliwe	اِحتمالی	wątpliwy	ADJ	ADJ;NOM;NEUT;SG
اِحتیاطی	zapobiegawcze	اِحتیاطی	zapobiegawczy	ADJ;NOM	ADJ;NOM;NEUT;SG
احکام	rozkazy	حکم	rozkaz	N;NOM;MASC;PL;3	N;NOM;MASC;PL
احکام	nakazy	حکم	nakaz	N;NOM;MASC;PL;3	N;NOM;MASC;PL
احکام	dekrety	حکم	dekret	N;NOM;MASC;PL;3	N;NOM;MASC;PL
احمقانہ	idiotyczne	احمقانہ	idiotyczny	ADJ	ADJ;NOM;NEUT;SG
احمقانہ	idiotyczne	احمقانہ	idiotyczny	ADJ	ADJ;NOM;NEUT;SG
احوال	stan	احوال	stan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
احوال	państwo	احوال	państwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
احوال	stan	احوال	stan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
احوال	zdarzenia	احوال	zdarzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
احیا	plemiona	احیا	plemię	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
احیاناً	sporadycznie	احیاناً	sporadycznie	ADV	ADV
احیاناً	okazjonalnie	احیاناً	okazjonalnie	ADV	ADV
اخبار	zdarzenia	اخبار	zdarzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اخبار	gazeta	اخبار	gazeta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخبار	tradycja	اخبار	tradycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخبار	zdarzenia	اخبار	zdarzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
