organisms	الكائن	organisms	كَائِن	N;NOM;MASC;SG	N;NOM;DEF;SG
piepilsētas	الضواحي	piepilsēta	ضَاحِيَة	N;NOM;FEM;PL	N;NOM;DEF;PL
piepilsētas	ضواحي	piepilsēta	ضَاحِيَة	N;NOM;FEM;PL	N;NOM;INDF;PL
kopija	نسخة	kopija	نُسخَة	N;NOM;FEM;SG	N;NOM;INDF;SG
kopija	نسخ	kopija	نُسخَة	N;NOM;FEM;SG	N;NOM;INDF;SG
sēdes	الجلسات	sēde	جَلسَة	N;NOM;FEM;PL	N;NOM;DEF;PL
sēdes	الاجتماعات	sēde	اِجتِمَاع	N;NOM;FEM;PL	N;NOM;DEF;PL
sēdes	اللقاءات	sēde	لِقَاء	N;NOM;FEM;PL	N;NOM;DEF;PL
sēdes	اجتماعات	sēde	اِجتِمَاع	N;NOM;FEM;PL	N;NOM;INDF;PL
sēdes	الجلسات	sēde	جَلسَة	N;NOM;FEM;PL	N;NOM;DEF;PL
vienādojums	المعادلة	vienādojums	مُعَادَلَة	N;NOM;MASC;SG	N;NOM;DEF;SG
vienādojums	معادلة	vienādojums	مُعَادَلَة	N;NOM;MASC;SG	N;NOM;INDF;SG
pateikt	نقول	pateikt	قَال	V;POS;NFIN	V;IPFV;MASC;IND;PL;1;FIN;ACT
mākslīgā	اصطناعية	mākslīga	اِصطِنَاعِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
mākslīgā	اصطناعي	mākslīga	اِصطِنَاعِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
regulāra	منتظم	regulāra	مُنتَظِم	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
regulāra	منتظمة	regulāra	مُنتَظِم	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
plāksnes	لوحات	plāksne	لَوحَة	N;NOM;FEM;PL	N;NOM;INDF;PL
garīgais	روحاني	garīgs	روحاني	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
garīgais	روحانية	garīgs	رُوحَانِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
garīgais	الروحية	garīgs	رُوحِيَّة	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
garīgais	روحية	garīgs	رُوحِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
aptieka	الصيدلية	aptiekt	صِيدلِيّ	N;NOM;FEM;SG	N;NOM;DEF;SG
aptieka	صيدلية	aptiekt	صَيدَلِيّ	N;NOM;FEM;SG	N;NOM;INDF;SG
ronis	الختم	ronis	خِتمَة	N;NOM;MASC;SG	N;NOM;DEF;SG
civilā	مدنية	civils	مَدَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
civilā	المدنية	civils	مَدَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
civilā	المدني	civils	مَدَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
civilā	مدنية	civils	مَدَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
civilā	المدني	civils	مَدَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
atrisināt	حلت	atrisināt	حَلّ	V;POS;NFIN	V;PFV;FEM;SG;3;ACT
atrisināt	حللت	atrisināt	حَلَّل	V;POS;NFIN	V;PFV;FEM;SG;3;ACT
datori	حواسيب	dators	حَاسُوب	N;NOM;MASC;PL	N;NOM;INDF;PL
datori	الحاسبات	dators	الحاسبات	N;NOM;MASC;PL	N;NOM;DEF;PL
datori	الحواسيب	dators	حَاسُوب	N;NOM;MASC;PL	N;NOM;DEF;PL
drošība	الامن	drošība	أَمن	N;NOM;FEM;SG	N;NOM;DEF;SG
drošība	الامنية	drošība	أُمنِيَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
drošība	السلامة	drošība	سَلَامَة	N;NOM;FEM;SG	N;NOM;DEF;SG
drošība	سلامة	drošība	سَلَامَة	N;NOM;FEM;SG	N;NOM;INDF;SG
drošība	الامان	drošība	أَمَان	N;NOM;FEM;SG	N;NOM;DEF;SG
procesora	المعالج	procesors	مَعلَج	N;NOM;MASC;SG	N;NOM;DEF;SG
zīmēšanas	رسمة	zīmēšana	رَسمَة	N;NOM;FEM;SG	N;NOM;INDF;SG
zīmēšanas	رسم	zīmēšana	رَسم	N;NOM;FEM;SG	N;NOM;INDF;SG
zīmēšanas	الرسم	zīmēšana	رَسم	N;NOM;FEM;SG	N;NOM;DEF;SG
precīzs	دقيق	precīzs	دَقِيق	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
parakstīšanas	توقيع	parakstīšana	تَوقِيع	N;NOM;FEM;SG	N;NOM;INDF;SG
parakstīšanas	التوقيع	parakstīšana	تَوقِيع	N;NOM;FEM;SG	N;NOM;DEF;SG
rīki	ادوات	rīki	أَدَاة	N;NOM;MASC;PL	N;NOM;INDF;PL
rīki	الادوات	rīki	أَدَاة	N;NOM;MASC;PL	N;NOM;DEF;PL
aicina	يدعو	aicināt	دَعَا	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
skaitļošanas	الحوسبة	skaitļošana	حُوسبَة	N;NOM;FEM;SG	N;NOM;DEF;SG
aizliegums	الحظر	aizliegums	حَظر	N;NOM;MASC;SG	N;NOM;DEF;SG
aizliegums	حظر	aizliegums	حَظر	N;NOM;MASC;SG	N;NOM;INDF;SG
aizliegums	الحظر	aizliegums	حَظر	N;NOM;MASC;SG	N;NOM;DEF;SG
procedūras	الاجراءات	procedūra	إِجرَاء	N;NOM;FEM;PL	N;NOM;DEF;PL
procedūras	اجراءات	procedūra	إِجرَاء	N;NOM;FEM;PL	N;NOM;INDF;PL
jostas	الاحزمة	josta	حِزَام	N;NOM;FEM;PL	N;NOM;DEF;PL
jostas	احزمة	josta	حِزَام	N;NOM;FEM;PL	N;NOM;INDF;PL
zināt	تعرف	zināt	عَرَف	V;POS;NFIN	V;IPFV;FEM;IND;SG;3;FIN;PASS
izšķilšanās	ظهور	izšķilšanās	ظُهُور	N;NOM;FEM;SG	N;NOM;INDF;SG
izšķilšanās	نشوء	izšķilšanās	نَشوَء	N;NOM;FEM;SG	N;NOM;INDF;SG
izšķilšanās	بروز	izšķilšanās	بُرُوز	N;NOM;FEM;SG	N;NOM;INDF;SG
izšķilšanās	الفقس	izšķilšanās	فَقس	N;NOM;FEM;SG	N;NOM;DEF;SG
salīdzināt	تقارن	salīdzināt	تَقَارُن	V;POS;NFIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
tiesneši	قضاة	tiesnesis	قَاضِي	N;NOM;MASC;PL	N;NOM;INDF;PL
tiesneši	القضاة	tiesnesis	قَاضِي	N;NOM;MASC;PL	N;NOM;DEF;PL
aģents	عميل	aģents	عَمِيل	N;NOM;MASC;SG	N;NOM;INDF;SG
aģents	وكيل	aģents	وَكِيل	N;NOM;MASC;SG	N;NOM;INDF;SG
aģents	العميل	aģents	عَمِيل	N;NOM;MASC;SG	N;NOM;DEF;SG
aģents	الوكيل	aģents	وَكِيل	N;NOM;MASC;SG	N;NOM;DEF;SG
žurnāliste	الصحفي	žurnāliste	صُحُفِيّ	N;NOM;FEM;SG	N;NOM;DEF;SG
uzrakstīts	كتب	uzrakstīt	كَتَب	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
ūdenskritums	الشلال	ūdenskritums	شَلَال	N;NOM;MASC;SG	N;NOM;DEF;SG
personība	هوية	personība	هُوِيَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
personība	الهوية	personība	هُوِيَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
personība	شخصية	personība	شَخصِيَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
intensīva	مكثف	intensīva	مُكَثَّف	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
intensīva	مكثفة	intensīva	مُكَثَّف	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
intensīva	مكثفة	intensīva	مُكَثَّف	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
intensīva	مكثف	intensīva	مُكَثَّف	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
modifikācija	التعديل	modifikācija	تَعدِيل	N;NOM;FEM;SG	N;NOM;DEF;SG
mute	فم	mute	فَمّ	N;NOM;FEM;SG	N;NOM;INDF;SG
mute	الفم	mute	فَمّ	N;NOM;FEM;SG	N;NOM;DEF;SG
sauss	جافة	sauss	جَافّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
noliktava	مخزن	noliktava	مَخزَن	N;NOM;FEM;SG	N;NOM;INDF;SG
noliktava	المخزن	noliktava	مَخزَن	N;NOM;FEM;SG	N;NOM;DEF;SG
noliktava	المستودع	noliktava	مُستَودَع	N;NOM;FEM;SG	N;NOM;DEF;SG
noliktava	مستودع	noliktava	مُستَودَع	N;NOM;FEM;SG	N;NOM;INDF;SG
nodoklis	الواجب	nodoklis	وَاجِب	N;NOM;MASC;SG	N;NOM;DEF;SG
nodoklis	واجب	nodoklis	وَاجِب	N;NOM;MASC;SG	N;NOM;INDF;SG
