категория	kategori	категория	kategori	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
през	igenom	през	igenom	ADP	ADP
през	genom	през	genom	ADP	ADP
като	som	като	som	CONJ	CONJ
година	year	година	yea	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
година	årsmodell	година	årsmodell	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
година	år	година	år	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
след	efter	след	efter	ADP	ADP
това	denna	този	denna	PRO;NOM;NEUT;SG	PRO;DEF;MASC+FEM;SG
това	detta	този	denna	PRO;NOM;NEUT;SG	PRO;DEF;NEUT;SG
част	del	част	del	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
години	åratal	година	åratal	N;INDF;FEM;PL	N;NOM;INDF;NEUT;PL
време	tid	време	tid	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
време	tidpunkt	време	tidpunkt	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
време	dags	време	dags	N;INDF;NEUT;SG	N;MASC+FEM
време	klockslag	време	klockslag	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
със	med	със	med	ADP	ADP
която	vilket	който	vilken	PRO;NOM;FEM;SG	PRO;INDF;NEUT;SG
което	vilket	който	vilken	PRO;NOM;NEUT;SG	PRO;INDF;NEUT;SG
препратки	hänvisningar	препратка	hänvisning	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
препратки	referenser	препратка	referens	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
град	town	град	town	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
град	stad	град	stad	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
град	city	град	city	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
град	ort	град	ort	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
град	stad	град	stad	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
много	mycket	много	mycket	ADV;INDF;PL	ADV
също	också	също	också	ADV	ADV
също	även	също	även	ADV	ADV
век	sekel	век	sekel	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
век	århundrade	век	århundrad	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
село	by	село	by	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
село	village	село	village	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
един	en	един	en	NUM;INDF;MASC;SG	NUM;NOM;INDF;MASC+FEM;SG
един	ett	един	en	NUM;INDF;MASC;SG	NUM;NOM;INDF;NEUT;SG
между	emellan	между	emellan	ADP	ADP
между	mellan	между	mellan	ADP	ADP
около	kring	около	kring	ADP	ADP
други	övriga	друг	övrig	ADJ;INDF;PL	ADJ;NOM;PL
други	övriga	друг	övrig	ADJ;INDF;PL	ADJ;NOM;PL
още	fortfarande	още	fortfarande	ADV	ADV
още	ändå	още	ändå	ADV	ADV
война	krig	война	krig	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
само	bara	само	bara	ADV	ADV
само	enbart	само	enbart	ADV	ADV
само	endast	само	endast	ADV	ADV
само	bara	само	bara	ADV	ADV
област	region	област	region	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
област	distrikt	област	distrikt	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
област	area	област	are	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
област	område	област	område	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
област	yta	област	yta	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
под	under	под	under	ADP	ADP
община	kommun	община	kommun	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
място	ställe	място	ställe	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
място	place	място	place	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
място	plats	място	plats	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
място	läge	място	läge	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
място	plats	място	plats	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
когато	när	когато	när	ADV	ADV
вид	typ	вид	typ	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
вид	art	вид	art	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
една	en	един	en	NUM;INDF;FEM;SG	NUM;NOM;INDF;MASC+FEM;SG
една	ett	един	en	NUM;INDF;FEM;SG	NUM;NOM;INDF;NEUT;SG
всички	alla	всеки	all	PRO;NOM;PL	PRO;INDF;PL
всички	alla	всеки	all	PRO;NOM;PL	PRO;INDF;PL
семейство	familj	семейство	familj	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
семейство	family	семейство	family	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
семейство	släkt	семейство	släkt	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
