die	de	die	de	DET;DEF	DET;DEF
het	heb	het	hebben	V;PRS	V;SG;PRS;FIN
word	wordt	word	worden	V;PRS	V;SG;PRS;FIN
word	word	word	worden	V;PRS	V;SG;PRS;FIN
word	worden	word	worden	V;PRS	V;PL;PRS;FIN
met	met	met	met	ADP	ADP
was	was	is	zijn	V;PST;FIN	V;SG;PST;FIN
was	waren	is	zijn	V;PST;FIN	V;PL;PST;FIN
vir	voor	vir	voor	ADP	ADP
ook	ook	ook	ook	ADV	ADV
uit	uit	uit	uit	ADP	ADP
jaar	jaar	jaar	jaar	N;SG	N;NEUT;SG
eerste	eerste	eerste	één	ADJ;NOM	ADJ
maar	maar	maar	maar	CONJ	CONJ
kan	kunt	kan	kunnen	V;PRS	V;SG;PRS;FIN
soos	zoals	soos	zoals	CONJ	CONJ
oor	over	oor	over	ADP	ADP
een	één	een	één	NUM	NUM
gebruik	gebruiken	gebruik	gebruiken	V;PRS	V;NFIN
onder	onder	onder	onder	ADP	ADP
twee	twee	twee	twee	NUM	NUM
tussen	tussen	tussen	tussen	ADP	ADP
gemeente	congregatie	gemeent	congregatie	N;SG	N;MASC+FEM;SG
gemeente	montage	gemeent	montage	N;SG	N;MASC+FEM;SG
gemeente	assemblee	gemeent	assemblee	N;SG	N;MASC+FEM;SG
gemeente	assemblage	gemeent	assemblage	N;SG	N;MASC+FEM;SG
begin	start	begin	starten	V;PRS	V;SG;PRS;FIN
begin	starten	begin	starten	V;PRS	V;NFIN
begin	beginnen	begin	beginnen	V;PRS	V;NFIN
haar	haar	haar	haar	PRO;ACC;SG;3	PRO;ACC;3
sien	zien	sien	zien	V;PRS	V;NFIN
sien	zie	sien	zien	V;PRS	V;SG;PRS;FIN
nuwe	nieuw	nuut	nieuw	ADJ;NOM	ADJ
nuwe	nieuwe	nuut	nieuw	ADJ;NOM	ADJ
voor	vóór	voor	voor	ADP	ADP
stad	stad	stad	stad	N;SG	N;MASC+FEM;SG
land	land	land	land	N;SG	N;NEUT;SG
later	straks	laat	straks	ADV;CMPR	ADV
net	alleen	net	alleen	ADV	ADV
net	slechts	net	slechts	ADV	ADV
tydens	tijdens	tydens	tijdens	ADP	ADP
tydens	gedurende	tydens	gedurende	ADP	ADP
sou	zou	sal	zullen	V;PST;FIN	V;SG;PST;FIN
naam	naam	naam	naam	N;SG	N;MASC+FEM;SG
deel	delen	deel	delen	V;PRS	V;NFIN
drie	drie	drie	drie	NUM	NUM
sal	zal	sal	zullen	V;PRS	V;SG;PRS;FIN
sal	zullen	sal	zullen	V;PRS	V;PL;PRS;FIN
kon	kon	kan	kunnen	V;PST;FIN	V;SG;PST;FIN
ons	onze	ons	ons	PRO;PL;1	PRO;1
mense	mensen	mens	mens	N;PL	N;PL
mense	personen	mens	persoon	N;PL	N;PL
bestaan	besta	bestaan	besta	V;PRS	V;SG;PRS;FIN
bestaan	bestaan	bestaan	bestaan	V;PRS	V;NFIN
bestaan	bestaat	bestaan	bestaan	V;PRS	V;SG;PRS;FIN
svg	svg	svg	svg	N;SG	N;MASC+FEM;SG
