aparta	ゲット	apartir	ゲット	V	V
municións	弾薬	munición	弾薬	N	N
municións	弾薬	munición	弾薬	N	N
descansa	安静	descansa	安静	V	V
descansa	休む	descansa	休む	V	V
pedido	オーダー	peder	オーダー	N	N
perdes	失う	perde	失う	V	V
amarelo	イエロー	amarelo	イエロー	N	N
amarelo	黄色	amarelo	黄色	N	N
fama	名声	facer	名声	N	N
duras	難しい	duro	難しい	ADJ	ADJ
aceno	ジェスチャー	aceno	ジェスチャー	N	N
trucos	トリック	truco	トリック	N	N
vera	ヴェラ	verar	ヴェラ	N	N
movédevos	ムーブ	movédevo	ムーブ	N	N
marines	マリン	marine	マリン	N	N
cóidate	ケア	cóidate	ケア	N	N
cóidate	介護	cóidate	介護	N	N
turista	ツーリスト	turista	ツーリスト	N	N
turista	観光	turista	観光	N	N
alicia	自身	alicia	自身	N	N
won	ウォン	won	ウォン	N	N
doutora	医師	doutor	医師	N	N
doutora	ドクター	doutor	ドクター	N	N
doutora	先生	doutor	先生	N	N
doutora	医者	doutor	医者	N	N
conquistar	征服	conquistar	征服	V	V
equipos	チーム	equipo	チーム	N	N
vise	見る	visir	見る	V	V
altar	祭壇	altar	祭壇	N	N
debates	ディスカッション	debate	ディスカッション	N	N
redes	ネット	rede	ネット	N	N
redes	ネットワーク	rede	ネットワーク	N	N
investigadores	研究者	investigador	研究者	N	N
utilidade	効用	utilidade	効用	N	N
utilidade	ユーティリティー	utilidade	ユーティリティー	N	N
utilidade	ユーティリティ	utilidade	ユーティリティ	N	N
crece	育つ	crecer	育つ	V	V
entretemento	エンターテイメント	entretemento	エンターテイメント	N	N
entretemento	エンターテインメント	entretemento	エンターテインメント	N	N
diapositiva	滑り台	diapositivo	滑り台	N	N
diapositiva	スライド	diapositivo	スライド	N	N
trampas	トラップ	trampa	トラップ	N	N
decatei	実現	decatei	実現	V	V
favoritos	お気に入り	favorito	お気に入り	N	N
favoritos	お気に入り	favorito	お気に入り	N	N
comparten	共有	compartir	共有	V	V
volvía	戻る	volvía	戻る	V	V
xuízos	トライアル	xuízo	トライアル	N	N
xuízos	試練	xuízo	試練	N	N
debuxo	図面	debuxo	図面	N	N
debuxo	ドローイング	debuxo	ドローイング	N	N
rostros	フェイス	rostro	フェイス	N	N
aula	部屋	aula	部屋	N	N
aula	ルーム	aula	ルーム	N	N
aula	階級	aula	階級	N	N
aula	クラス	aula	クラス	N	N
sentirse	フィール	sentirse	フィール	N	N
campá	ベル	campá	ベル	N	N
corrupción	汚職	corrupción	汚職	N	N
prestar	支払う	prestar	支払う	V	V
prestar	支払い	prestar	支払う	V	V
herdanza	遺産	herdanza	遺産	N	N
prestado	借りる	prestar	借りる	V	V
traxes	ドレス	traxe	ドレス	N	N
traxes	スーツ	traxe	スーツ	N	N
ancián	オールド	ancián	オールド	N	N
ancián	男性	ancián	男性	N	N
infección	伝染病	infección	伝染病	N	N
xeracións	世代	xeración	世代	N	N
barreira	障壁	barreira	障壁	N	N
concertos	コンサート	concerto	コンサート	N	N
virus	ウィルス	virus	ウィルス	N	N
virus	ウイルス	virus	ウイルス	N	N
extremadamente	極めて	extremadamente	極めて	ADV	ADV
fármacos	薬物	fármaco	薬物	N	N
estudios	スタジオ	estudio	スタジオ	N	N
arrecifes	サンゴ	arrecife	サンゴ	N	N
acabará	終了	acabar	終了	V	V
egoísta	利己主義	egoísta	利己主義	N	N
camiñas	ウォーキング	camiña	ウォーキング	N	N
camiñas	歩行	camiña	歩行	N	N
