blev	滞在	blive	滞在	V;IND;PST;FIN;ACT	V
men	でも	men	でも	CONJ	CONJ
men	しかし	men	しかし	CONJ	CONJ
henvisninger	参考	henvisning	参考	N;INDF;MASC+FEM;PL	N
mod	勇気	mod	勇気	N;INDF;NEUT;SG	N
hun	彼女	hun	彼女	PRO;NOM;MASC+FEM;SG;3	PRO
denne	これ	denne	これ	PRO;MASC+FEM;SG	PRO
del	パート	del	パート	N;INDF;MASC+FEM;SG	N
del	部分	del	部分	N;INDF;MASC+FEM;SG	N
del	シェア	del	シェア	N;INDF;MASC+FEM;SG	N
dette	これ	denne	これ	PRO;NEUT;SG	PRO
team	チーム	team	チーム	N;INDF;NEUT;SG	N
mere	もっと	mere	もっと	ADV;CMPR	ADV
store	大きい	stor	大きい	ADJ;PL	ADJ
store	大きな	stor	大きな	ADJ;PL	ADJ
store	大きい	stor	大きい	ADJ;PL	ADJ
samme	同じ	samme	同じ	ADJ	ADJ
byen	タウン	by	タウン	N;DEF;MASC+FEM;SG	N
byen	都市	by	都市	N;DEF;MASC+FEM;SG	N
disse	これら	denne	これら	PRO;PL	PRO
disse	これら	denne	これら	PRO;PL	PRO
maj	五月	maj	五月	N;INDF;MASC+FEM;SG	N
dag	一日	dag	一日	N;INDF;MASC+FEM;SG	N
kommune	市町村	kommune	市町村	N;INDF;MASC+FEM;SG	N
gang	タイム	gang	タイム	N;INDF;MASC+FEM;SG	N
gang	時間	gang	時間	N;INDF;MASC+FEM;SG	N
tid	タイム	tid	タイム	N;INDF;MASC+FEM;SG	N
tid	時間	tid	時間	N;INDF;MASC+FEM;SG	N
nye	新しい	ny	新しい	ADJ;PL	ADJ
nye	新規	ny	新規	ADJ;PL	ADJ
stor	大きい	stor	大きい	ADJ;INDF;MASC+FEM;SG	ADJ
stor	大きな	stor	大きな	ADJ;INDF;MASC+FEM;SG	ADJ
stor	大きい	stor	大きい	ADJ;INDF;MASC+FEM;SG	ADJ
juni	六月	juni	六月	N;INDF;MASC+FEM;SG	N
sogn	教区	sogn	教区	N;INDF;NEUT;SG	N
september	九月	september	九月	N;INDF;MASC+FEM;SG	N
april	四月	april	四月	N;INDF;MASC+FEM;SG	N
oktober	十月	oktober	十月	N;INDF;MASC+FEM;SG	N
marts	マーチ	marts	マーチ	N;INDF;MASC+FEM;SG	N
marts	行進	marts	行進	N;INDF;MASC+FEM;SG	N
kirke	教会堂	kirke	教会堂	N;INDF;MASC+FEM;SG	N
kirke	教会	kirke	教会	N;INDF;MASC+FEM;SG	N
navn	名前	navn	名前	N;INDF;NEUT;SG	N
navn	氏名	navn	氏名	N;INDF;NEUT;SG	N
navn	名称	navn	名称	N;INDF;NEUT;SG	N
ofte	しばしば	ofte	しばしば	ADV	ADV
mål	ターゲット	mål	ターゲット	N;INDF;NEUT;SG	N
mål	目的	mål	目的	N;INDF;NEUT;SG	N
mål	ゴール	mål	ゴール	N;INDF;NEUT;SG	N
mål	目標	mål	目標	N;INDF;NEUT;SG	N
mål	目的	mål	目的	N;INDF;NEUT;SG	N
mål	ターゲット	mål	ターゲット	N;INDF;NEUT;SG	N
mål	ゴール	mål	ゴール	N;INDF;NEUT;SG	N
film	映画	film	映画	N;INDF;MASC+FEM;PL	N
film	映画	film	映画	N;INDF;MASC+FEM;PL	N
film	フィルム	film	フィルム	N;INDF;MASC+FEM;PL	N
film	映画	film	映画	N;INDF;MASC+FEM;PL	N
film	ムービー	film	ムービー	N;INDF;MASC+FEM;PL	N
februar	二月	februar	二月	N;INDF;MASC+FEM;SG	N
hjemmeside	ウェブ	hjemmeside	ウェブ	N;INDF;MASC+FEM;SG	N
hjemmeside	ホームページ	hjemmeside	ホームページ	N;INDF;MASC+FEM;SG	N
side	ページ	side	ページ	N;INDF;MASC+FEM;SG	N
side	サイド	side	サイド	N;INDF;MASC+FEM;SG	N
medlem	会員	medlem	会員	N;INDF;NEUT;SG	N
medlem	メンバー	medlem	メンバー	N;INDF;NEUT;SG	N
igen	再び	igen	再び	ADV	ADV
søn	息子	søn	息子	N;INDF;MASC+FEM;SG	N
grund	理由	grund	理由	N;INDF;NEUT;SG	N
grund	理性	grund	理性	N;INDF;NEUT;SG	N
lille	小さな	lille	小さな	ADJ;SG	ADJ
lille	小さい	lille	小さい	ADJ;SG	ADJ
lille	小さい	lille	小さい	ADJ;SG	ADJ
kort	短い	kort	短い	ADJ;INDF;SG	ADJ
artikler	記事	artikel	記事	N;INDF;MASC+FEM;PL	N
artikler	冠詞	artikel	冠詞	N;INDF;MASC+FEM;PL	N
gamle	古い	gammel	古い	ADJ;PL	ADJ
meter	メートル	meter	メートル	N;INDF;MASC+FEM;PL	N
meter	メーター	meter	メーター	N;INDF;MASC+FEM;PL	N
meter	メートル	meter	メートル	N;INDF;MASC+FEM;PL	N
meter	メートル	meter	メートル	N;INDF;MASC+FEM;PL	N
meter	メーター	meter	メーター	N;INDF;MASC+FEM;PL	N
gruppe	集団	gruppe	集団	N;INDF;MASC+FEM;SG	N
