del	de	del	de	ADP;MASC;SG	ADP
por	de	por	de	ADP	ADP
por	por	por	por	ADP	ADP
con	con	con	con	ADP	ADP
una	un	uno	un	DET;INDF;FEM;SG	DET
una	unha	uno	un	DET;INDF;FEM;SG	DET
una	unha	uno	un	DET;INDF;FEM;SG	DET
una	un	uno	un	DET;INDF;FEM;SG	DET
una	unha	uno	un	DET;INDF;FEM;SG	DET
una	un	uno	un	DET;INDF;FEM;SG	DET
categoría	categoría	categoría	categoría	N;FEM;SG	N
para	para	para	para	ADP	ADP
para	para	para	para	ADP	ADP
para	por	para	por	ADP	ADP
como	coma	como	coma	CONJ	CONJ
como	coma	como	coma	CONJ	CONJ
fue	era	ser	ser	V;IND;SG;3;PST;FIN	V
fue	estaba	ser	estar	V;IND;SG;3;PST;FIN	V
más	máis	más	máis	ADV	ADV
sus	seus	su	seu	DET;PL;3	DET
sus	as	su	o	DET;PL;3	DET
sus	súas	su	seu	DET;PL;3	DET
sus	os	su	o	DET;PL;3	DET
sus	seu	su	seu	DET;PL;3	DET
sus	súa	su	seu	DET;PL;3	DET
sus	o	su	o	DET;PL;3	DET
sus	seu	su	seu	DET;PL;3	DET
sus	súa	su	seu	DET;PL;3	DET
sus	seus	su	seu	DET;PL;3	DET
sus	a	su	o	DET;PL;3	DET
sus	a	su	o	DET;PL;3	DET
sus	teu	su	teu	DET;PL;3	DET
sus	o	su	o	DET;PL;3	DET
sus	seu	su	seu	DET;PL;3	DET
sus	súa	su	seu	DET;PL;3	DET
sus	seus	su	seu	DET;PL;3	DET
sus	súas	su	seu	DET;PL;3	DET
sus	seu	su	seu	DET;PL;3	DET
sus	o	su	o	DET;PL;3	DET
sus	súa	su	seu	DET;PL;3	DET
sus	a	su	o	DET;PL;3	DET
también	tamén	también	tamén	ADV	ADV
también	tamén	también	tamén	ADV	ADV
también	demasiado	también	demasiado	ADV	ADV
también	moi	también	moi	ADV	ADV
entre	entre	entre	entre	ADP	ADP
entre	entre	entre	entre	ADP	ADP
este	isto	este	isto	PRO;MASC;SG	PRO
pero	pero	pero	pero	CONJ	CONJ
pero	mais	pero	mais	CONJ	CONJ
años	anos	año	ano	N;MASC;PL	N
son	están	ser	estar	V;IND;PL;3;PRS;FIN	V
sobre	en	sobre	en	ADP	ADP
sobre	sobre	sobre	sobre	ADP	ADP
sobre	de	sobre	de	ADP	ADP
año	ano	año	ano	N;MASC;SG	N
desde	desde	desde	desde	ADP	ADP
desde	dende	desde	dende	ADP	ADP
desde	de	desde	de	ADP	ADP
desde	dende	desde	dende	ADP	ADP
esta	isto	este	isto	PRO;FEM;SG	PRO
enlaces	enlaces	enlace	enlace	N;MASC;PL	N
enlaces	ligazóns	enlace	ligazón	N;MASC;PL	N
hasta	ata	hasta	ata	ADP	ADP
ciudad	cidade	ciudad	cidade	N;FEM;SG	N
ciudad	pobo	ciudad	pobo	N;FEM;SG	N
ciudad	vila	ciudad	vila	N;FEM;SG	N
ciudad	aldea	ciudad	aldea	N;FEM;SG	N
ciudad	cidade	ciudad	cidade	N;FEM;SG	N
parte	festa	parte	festa	N;FEM;SG	N
parte	partido	parte	partido	N;FEM;SG	N
parte	parte	parte	parte	N;FEM;SG	N
durante	durante	durante	durante	ADP	ADP
sin	sen	sin	sen	ADP	ADP
donde	onde	donde	onde	PRO	PRO
era	era	ser	ser	V;IND;SG;3;IPFV;FIN	V
era	estaba	ser	estar	V;IND;SG;3;IPFV;FIN	V
nacional	nacional	nacional	nacional	ADJ;SG	ADJ
nacional	nacionais	nacional	nacional	ADJ;SG	ADJ
nacional	national	nacional	national	ADJ;SG	ADJ
primera	primeiro	primero	primeiro	ADJ;FEM;SG	ADJ
primera	primeira	primero	primeiro	ADJ;FEM;SG	ADJ
está	é	estar	ser	V;IND;SG;3;PRS;FIN	V
team	equipo	team	equipo	N	N
cuando	se	cuando	se	CONJ	CONJ
nombre	nome	nombre	nome	N;MASC;SG	N
estados	estados	estado	estado	N;MASC;PL	N
siglo	século	siglo	século	N;MASC;SG	N
después	despois	después	despois	ADV	ADV
después	logo	después	logo	ADV	ADV
después	despois	después	despois	ADV	ADV
después	máis	después	máis	ADV	ADV
después	logo	después	logo	ADV	ADV
tiene	ten	tener	ter	V;IND;SG;3;PRS;FIN	V
gran	grande	gran	grande	ADJ;SG	ADJ
gran	grandes	gran	grande	ADJ;SG	ADJ
gran	gran	gran	gran	ADJ;SG	ADJ
gran	xenial	gran	xenial	ADJ;SG	ADJ
gran	gran	gran	gran	ADJ;SG	ADJ
gran	grande	gran	grande	ADJ;SG	ADJ
gran	grandes	gran	grande	ADJ;SG	ADJ
puede	poden	poder	poder	V;IND;SG;3;PRS;FIN	V
puede	podo	poder	podar	V;IND;SG;3;PRS;FIN	V
puede	podes	poder	poder	V;IND;SG;3;PRS;FIN	V
puede	podemos	poder	poder	V;IND;SG;3;PRS;FIN	V
puede	pode	poder	poder	V;IND;SG;3;PRS;FIN	V
estado	posición	estado	posición	N;MASC;SG	N
estado	statu	estado	statu	N;MASC;SG	N
estado	status	estado	status	N;MASC;SG	N
estado	estado	estado	estado	N;MASC;SG	N
estado	condición	estado	condición	N;MASC;SG	N
estado	situación	estado	situación	N;MASC;SG	N
estado	doenza	estado	doenza	N;MASC;SG	N
estado	estado	estado	estado	N;MASC;SG	N
lugar	lugar	lugar	lugar	N;MASC;SG	N
lugar	casa	lugar	casa	N;MASC;SG	N
lugar	sitio	lugar	sitio	N;MASC;SG	N
primer	primeiro	primero	primeiro	ADJ;MASC;SG	ADJ
primer	primeira	primero	primeiro	ADJ;MASC;SG	ADJ
así	así	así	así	ADV	ADV
así	entón	así	entón	ADV	ADV
así	tan	así	tan	ADV	ADV
población	poboación	población	poboación	N;FEM;SG	N
muy	moi	mucho	moi	ADV	ADV
nueva	novo	nuevo	novo	ADJ;FEM;SG	ADJ
nueva	novas	nuevo	novo	ADJ;FEM;SG	ADJ
nueva	nova	nuevo	novo	ADJ;FEM;SG	ADJ
nueva	novos	nuevo	novo	ADJ;FEM;SG	ADJ
fueron	estaban	ser	estar	V;IND;PL;3;PST;FIN	V
historia	historia	historia	historia	N;FEM;SG	N
historia	relato	historia	relato	N;FEM;SG	N
historia	historia	historia	historia	N;FEM;SG	N
club	clube	club	clubar	N;MASC;SG	N
club	salvavidas	club	salvavidas	N;MASC;SG	N
club	club	club	club	N;MASC;SG	N
eran	estaban	ser	estar	V;IND;PL;3;IPFV;FIN	V
cual	que	cual	que	PRO;SG	PRO
cual	cal	cual	cal	PRO;SG	PRO
universidad	universidade	universidad	universidade	N;FEM;SG	N
universidad	universidades	universidad	universidade	N;FEM;SG	N
universidad	universidade	universidad	universidade	N;FEM;SG	N
universidad	na	universidad	na	N;FEM;SG	N
universidad	estudantes	universidad	estudantes	N;FEM;SG	N
universidad	facultade	universidad	facultade	N;FEM;SG	N
universidad	colexio	universidad	colexio	N;FEM;SG	N
forma	forma	forma	forma	N;FEM;SG	N
forma	dunha	forma	dunha	N;FEM;SG	N
forma	forma	forma	forma	N;FEM;SG	N
forma	xeito	forma	xeito	N;FEM;SG	N
tres	3	tres	3	NUM;PL	NUM
grupo	grupo	grupo	grupo	N;MASC;SG	N
general	xeneral	general	xeneral	N;SG	N
guerra	guerra	guerra	guerra	N;FEM;SG	N
guerra	guerra	guerra	guerra	N;FEM;SG	N
guerra	guerras	guerra	guerra	N;FEM;SG	N
aunque	malia	aunque	malia	CONJ	CONJ
aunque	se	aunque	se	CONJ	CONJ
tras	tras	tras	tras	ADP	ADP
tras	de	tras	de	ADP	ADP
familia	familias	familia	familia	N;FEM;SG	N
familia	familia	familia	familia	N;FEM;SG	N
además	tamén	además	tamén	ADV	ADV
además	máis	además	máis	ADV	ADV
sur	sur	sur	sur	N;MASC;SG	N
sur	sur	sur	sur	N;MASC;SG	N
mayor	principais	mayor	principal	ADJ;SG	ADJ
mayor	importante	mayor	importante	ADJ;SG	ADJ
mayor	maior	mayor	maior	ADJ;SG	ADJ
tiempo	tempo	tiempo	tempo	N;MASC;SG	N
tiempo	momento	tiempo	momento	N;MASC;SG	N
tiempo	tempo	tiempo	tempo	N;MASC;SG	N
tiempo	vez	tiempo	vez	N;MASC;SG	N
tiempo	hora	tiempo	hora	N;MASC;SG	N
provincia	provincia	provincia	provincia	N;FEM;SG	N
partido	festa	partido	festa	N;MASC;SG	N
partido	partido	partido	partido	N;MASC;SG	N
contra	en	contra	en	ADP	ADP
contra	contra	contra	contra	ADP	ADP
encuentra	atopar	encontrar	atopar	V;IND;SG;3;PRS;FIN	V
municipio	concello	municipio	concello	N;MASC;SG	N
bajo	baixo	bajo	baixo	ADP	ADP
bajo	de	bajo	de	ADP	ADP
bajo	baixo	bajo	baixo	ADP	ADP
serie	serie	serie	serie	N;FEM;SG	N
cada	os	cada	o	DET;SG	DET
cada	as	cada	o	DET;SG	DET
cada	todos	cada	todo	DET;SG	DET
cada	cada	cada	cada	DET;SG	DET
cada	todas	cada	todo	DET;SG	DET
cada	cada	cada	cada	DET;SG	DET
cada	uns	cada	un	DET;SG	DET
cada	un	cada	un	DET;SG	DET
fútbol	fútbol	fútbol	fútbol	N;MASC;SG	N
equipo	equipamento	equipo	equipamento	N;MASC;SG	N
equipo	equipo	equipo	equipo	N;MASC;SG	N
norte	norte	norte	norte	N;MASC;SG	N
norte	norte	norte	norte	N;MASC;SG	N
río	río	río	río	N;MASC;SG	N
río	río	río	río	N;MASC;SG	N
inglés	inglés	inglés	inglés	N;MASC;SG	N
inglés	ingleses	inglés	inglese	N;MASC;SG	N
nuevo	novo	nuevo	novo	ADJ;MASC;SG	ADJ
nuevo	novas	nuevo	novo	ADJ;MASC;SG	ADJ
nuevo	nova	nuevo	novo	ADJ;MASC;SG	ADJ
nuevo	novos	nuevo	novo	ADJ;MASC;SG	ADJ
véase	ver	véase	ver	V;SBJV;SG;3;PRS;FIN	V
véase	vexo	véase	vexo	V;SBJV;SG;3;PRS;FIN	V
septiembre	setembro	septiembre	setembro	N	N
octubre	outubro	octubre	outubro	N	N
segunda	segunda	segundo	segundo	ADJ;FEM;SG	ADJ
discusión	discusión	discusión	discusión	N;FEM;SG	N
gobierno	goberno	gobierno	goberno	N;MASC;SG	N
condado	condado	condado	condado	N;MASC;SG	N
final	fin	final	fin	N;MASC;SG	N
final	final	final	final	N;MASC;SG	N
final	final	final	final	N;MASC;SG	N
vida	vida	vida	vida	N;FEM;SG	N
personas	persoas	persona	persoa	N;FEM;PL	N
