neueren	новіші	neu	новіший	ADJ	ADJ;NOM;RL;PL
publikation	публікація	publikation	публікація	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
ernsthaft	серйозне	ernsthaft	серйозний	ADJ	ADJ;NOM;NEUT;SG
ernsthaft	серйозні	ernsthaft	серйозний	ADJ	ADJ;NOM;PL
ernsthaft	серйозна	ernsthaft	серйозний	ADJ	ADJ;NOM;FEM;SG
ernsthaft	серйозний	ernsthaft	серйозний	ADJ	ADJ;NOM;MASC;SG
rief	викликала	rufen	викликати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
rief	плакав	rufen	плакати	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
rief	плакала	rufen	плакати	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
entlassung	розряд	entlassung	розряд	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
entlassung	надлишковість	entlassung	надлишковість	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
entlassung	резервування	entlassung	резервування	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
siebten	сьомий	siebt	сьомий	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
siebten	сьома	siebt	сьома	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
grob	грубий	grob	грубий	ADJ	ADJ;NOM;MASC;SG
grob	шалена	grob	шалений	ADJ	ADJ;NOM;FEM;SG
grob	суворий	grob	суворий	ADJ	ADJ;NOM;MASC;SG
grob	важкий	grob	важкий	ADJ	ADJ;NOM;MASC;SG
grob	грубою	grob	грубий	ADJ	ADJ;INS;FEM;SG
technischer	технічні	technisch	технічний	ADJ	ADJ;NOM;PL
technischer	технічна	technisch	технічний	ADJ	ADJ;NOM;FEM;SG
technischer	технічний	technisch	технічний	ADJ	ADJ;NOM;MASC;SG
orthodoxen	православний	orthodox	православний	ADJ	ADJ;NOM;MASC;SG
orthodoxen	православної	orthodox	православний	ADJ	ADJ;GEN;FEM;SG
orthodoxen	православна	orthodox	православний	ADJ	ADJ;NOM;FEM;SG
orthodoxen	православні	orthodox	православний	ADJ	ADJ;NOM;PL
epoche	епоха	epoch	епоха	N;SG	N;INAN;NOM;FEM;SG
epoche	епоху	epoch	епох	N;SG	N;INAN;NOM;FEM;SG
verwiesen	посилаються	verweisen	посилатися	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN
verwiesen	виключили	verweisen	виключити	V;V.PTCP	V;PFV;IND;PL;PST;FIN
verwiesen	називають	verweisen	називати	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN
wertung	оцінювання	wertung	оцінювання	N;FEM;SG	N;INAN;NOM;NEUT;SG
wertung	рейтинг	wertung	рейтинг	N;FEM;SG	N;INAN;NOM;MASC;SG
wertung	оцінкою	wertung	оцінка	N;FEM;SG	N;INAN;INS;FEM;SG
wertung	оцінка	wertung	оцінка	N;FEM;SG	N;INAN;NOM;FEM;SG
eintragen	зареєструватись	eintragen	зареєструватися	V;NFIN	V;PFV;NFIN
eintragen	зареєструвати	eintragen	зареєструвати	V;NFIN	V;PFV;NFIN
eintragen	ввести	eintragen	ввести	V;NFIN	V;PFV;NFIN
eintragen	увійти	eintragen	увійти	V;NFIN	V;PFV;NFIN
eintragen	введіть	eintragen	ввести	V;NFIN	V;PFV;IMP;PL;2;FIN
ähnelt	нагадує	ähneln	нагадувати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
