kiinnostuneita	interesați	kiinnostua	interesat	V;PRT;PL;V.PTCP;ACT	V;IND;PL;2;IPFV;FIN
muotoilu	design	muotoilu	design	N;NOM;SG	N;INDF;MASC;SG
puolustajat	apărători	puolustaja	apărător	N;NOM;PL	N;INDF;MASC;PL
sudanin	sudan	sudan	sudan	N;GEN;SG	N;INDF;MASC;SG
mitat	dimensiuni	mitta	dimensiune	N;NOM;PL	N;INDF;FEM;PL
irene	irene	irene	iren	N;NOM;SG	N;INDF;MASC;SG
lääkkeiden	medicamente	lääke	medicament	N;GEN;PL	N;INDF;FEM;PL
prosessin	procedeu	prosessi	procedeu	N;GEN;SG	N;INDF;MASC;SG
prosessin	proces	prosessi	proces	N;GEN;SG	N;INDF;MASC;SG
vaihdella	varia	vaihti	varia	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
vaihdella	variază	vaihti	varia	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
arsenal	arsenal	arsenal	arsenal	N;NOM;SG	N;INDF;MASC;SG
käymään	vizitează	käydä	vizita	V;IN+ALL;SG;NFIN;ACT	V;IND;3;PRS;FIN
linkkiä	link	linkki	link	N;PRT;SG	N;INDF;MASC;SG
asp	asp	asp	asp	N;NOM;SG	N;INDF;MASC;SG
silmä	ochi	silmä	ochi	N;NOM;SG	N;INDF;MASC
katto	plafon	katto	plafon	N;NOM;SG	N;INDF;MASC;SG
katto	tavan	katto	tavan	N;NOM;SG	N;INDF;MASC;SG
katto	acoperiş	katto	acoperiş	N;NOM;SG	N;INDF;MASC;SG
katto	acoperis	katto	acoperis	N;NOM;SG	N;INDF;MASC;SG
katto	acoperiș	katto	acoperiș	N;NOM;SG	N;INDF;MASC;SG
huomattavaa	remarcabil	huomattava	remarcabil	ADJ;PRT;SG	ADJ;INDF;MASC;SG
haltija	holder	haltija	holder	N;NOM;SG	N;INDF;MASC;SG
haltija	titular	haltija	titular	N;NOM;SG	N;INDF;MASC;SG
kirjaimet	scrisori	kirjain	scrisoare	N;NOM;PL	N;INDF;FEM;PL
kirjaimet	litere	kirjain	literă	N;NOM;PL	N;INDF;FEM;PL
maila	liliac	maila	liliac	N;NOM;SG	N;INDF;MASC;SG
madison	madison	madison	madison	N;NOM;SG	N;INDF;MASC;SG
maastossa	teren	maasto	teren	N;IN+ESS;SG	N;INDF;MASC;SG
asemat	poziții	asema	poziție	N;NOM;PL	N;INDF;FEM;PL
asemat	pozitii	asema	pozită	N;NOM;PL	N;INDF;FEM;PL
asemat	stații	asema	stație	N;NOM;PL	N;INDF;FEM;PL
asemat	statii	asema	stat	N;NOM;PL	N;INDF;FEM;PL
taiteilijoita	artisti	taiteilija	artisti	N;PRT;PL	N;INDF;MASC;PL
taiteilijoita	artiști	taiteilija	artist	N;PRT;PL	N;INDF;MASC;PL
nalle	bear	nalle	bear	N;NOM;SG	N;INDF;MASC;SG
nalle	urs	nalle	urs	N;NOM;SG	N;INDF;MASC;SG
vaunun	cărucior	vaunu	cărucior	N;GEN;SG	N;INDF;MASC;SG
vaunun	vagon	vaunu	vagon	N;GEN;SG	N;INDF;MASC;SG
kulutus	consum	kulutus	consum	N;NOM;SG	N;INDF;MASC;SG
ihme	miracol	ihme	miracol	N;NOM;SG	N;INDF;MASC;SG
turbo	turbo	turbo	turbo	N;NOM;SG	N;INDF;MASC;SG
lasku	declin	lasku	declin	N;NOM;SG	N;INDF;MASC;SG
kalastusta	pescuit	kalastus	pescuit	N;PRT;SG	N;INDF;MASC;SG
värejä	culori	väri	culoare	N;PRT;PL	N;INDF;FEM;PL
värejä	culori	väri	culoare	N;PRT;PL	N;INDF;FEM;PL
ketju	lant	ketju	lant	N;NOM;SG	N;INDF;MASC;SG
ketju	lanț	ketju	lanț	N;NOM;SG	N;INDF;MASC;SG
rikki	sulf	rikki	sulf	N;NOM;SG	N;INDF;MASC;SG
rikki	falit	rikki	falit	N;NOM;SG	N;INDF;MASC;SG
rikki	sulf	rikki	sulf	N;NOM;SG	N;INDF;MASC;SG
vaihtoehtoisesti	alternativ	vaihto#ehtoisesti	alternativ	ADV	ADV
ranger	ranger	ranger	ranger	N;NOM;SG	N;INDF;MASC;SG
tiedemies	cercetător	tiede#mies	cercetător	N;NOM;SG	N;INDF;MASC;SG
tiedemies	savant	tiede#mies	savant	N;NOM;SG	N;INDF;MASC;SG
afc	afc	afc	afc	N;NOM;SG	N
vartalo	body	vartalo	body	N;NOM;SG	N;INDF;MASC;SG
vartalo	organism	vartalo	organism	N;NOM;SG	N;INDF;MASC;SG
vartalo	corp	vartalo	corp	N;NOM;SG	N;INDF;MASC;SG
vartalo	trup	vartalo	trup	N;NOM;SG	N;INDF;MASC;SG
vartalo	trunchi	vartalo	trunchi	N;NOM;SG	N;INDF;MASC;SG
isäntä	maestru	isäntä	maestru	N;NOM;SG	N;INDF;MASC;SG
suostuu	consimte	suostua	consimt	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
piirteet	caracteristici	piirre	caracteristică	N;NOM;PL	N;INDF;FEM;PL
piirteet	caracteristici	piirre	caracteristică	N;NOM;PL	N;INDF;FEM;PL
piirteet	trăsături	piirre	trăsătură	N;NOM;PL	N;INDF;FEM;PL
ilmainen	gratuit	ilmainen	gratuit	ADJ;NOM;SG	ADJ;INDF;MASC;SG
fanien	fani	fanien	fan	N;GEN;PL	N;INDF;MASC;PL
fanien	suporteri	fanien	suporter	N;GEN;PL	N;INDF;MASC;PL
kirjailijoita	scriitori	kirjailija	scriitor	N;PRT;PL	N;INDF;MASC;PL
säätää	ajustează	säätää	ajusta	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
säätää	ajusta	säätää	ajusta	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
hiili	carbon	hiili	carbon	N;NOM;SG	N;INDF;MASC;SG
viite	arbitru	viite	arbitru	N;NOM;SG	N;INDF;MASC;SG
huumeiden	droguri	huume	drog	N;GEN;PL	N;INDF;FEM;PL
vankien	prizonieri	vanki	prizonier	N;GEN;PL	N;INDF;MASC;PL
funk	funk	funk	funk	N;NOM;SG	N;INDF;MASC;SG
hevoset	cai	hevonen	cal	N;NOM;PL	N;INDF;MASC;PL
sävellykset	compoziții	sävellys	compoziție	N;NOM;PL	N;INDF;FEM;PL
piireissä	cercuri	piireä	cerc	N;IN+ESS;PL	N;INDF;FEM;PL
dokumentin	documentar	dokumentti	documentar	N;GEN;SG	N;INDF;MASC;SG
horn	corn	horn	corn	N;NOM;SG	N;INDF;MASC;SG
horn	horn	horn	horn	N;NOM;SG	N;INDF;MASC;SG
ilmoitus	anunt	ilmoitus	anunt	N;NOM;SG	N;INDF;MASC;SG
ilmoitus	anunț	ilmoitus	anunț	N;NOM;SG	N;INDF;MASC;SG
sankarit	eroi	sankari	erou	N;NOM;PL	N;INDF;MASC;PL
erin	erin	erin	erin	N;NOM;SG	N;INDF;MASC;SG
tarinoiden	povestiri	tarina	povestire	N;GEN;PL	N;INDF;FEM;PL
tarinoiden	povesti	tarina	povesti	N;GEN;PL	N;INDF;FEM;PL
tarinoiden	povești	tarina	poveste	N;GEN;PL	N;INDF;FEM;PL
päivien	zile	päivä	zi	N;GEN;PL	N;INDF;FEM;PL
yksityisen	privat	yksityinen	privat	ADJ;GEN;SG	ADJ;INDF;MASC;SG
piiritys	asediu	piiritys	asediu	N;NOM;SG	N;INDF;MASC;SG
akselin	ax	akseli	ax	N;GEN;SG	N;INDF;MASC;SG
omistajat	proprietari	omistaja	proprietar	N;NOM;PL	N;INDF;MASC;PL
keskeyttää	întrerupe	keskeyttää	întrerupe	V;IND;SG;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
erilliset	separate	erillinen	separat	ADJ;NOM;PL	ADJ;INDF;FEM;PL
kirjeitä	scrisori	kirje	scrisoare	N;PRT;PL	N;INDF;FEM;PL
kirjeitä	litere	kirje	literă	N;PRT;PL	N;INDF;FEM;PL
tulevaisuuteen	viitor	tulevaisuus	viitor	N;IN+ALL;SG	N;INDF;MASC;SG
mitata	măsoară	mitata	măsura	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
kesäkuu	iunie	kesäkuu	iunie	N;NOM;SG	N;INDF;MASC;SG
kunnia	glory	kunnia	glory	N;NOM;SG	N;INDF;MASC;SG
atlantis	atlantis	atlantis	atlantis	N;NOM;SG	N;INDF;MASC;SG
osuu	lovește	osua	lovi	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
osuu	loveste	osua	lovest	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
linjat	linii	linja	linie	N;NOM;PL	N;INDF;FEM;PL
linjat	replici	linja	replic	N;NOM;PL	N;INDF;FEM;PL
veri	blood	veri	blood	N;NOM;SG	N;INDF;MASC;SG
veri	sânge	veri	sânge	N;NOM;SG	N;INDF;MASC;SG
spartan	spartan	sparta	spartan	N;GEN;SG	N;INDF;MASC;SG
esineet	obiecte	esine	obiect	N;NOM;PL	N;INDF;FEM;PL
rannan	beach	ranta	beach	N;GEN;SG	N;INDF;MASC;SG
tehtaat	uzine	tehdas	uzină	N;NOM;PL	N;INDF;FEM;PL
tehtaat	fabrici	tehdas	fabrică	N;NOM;PL	N;INDF;FEM;PL
kilon	kilogram	kilo	kilogram	N;GEN;SG	N;INDF;MASC;SG
jokia	râuri	joki	râu	N;PRT;PL	N;INDF;FEM;PL
matkustaja	pasager	matkustaja	pasager	N;NOM;SG	N;INDF;MASC;SG
matkustaja	călător	matkustaja	călător	N;NOM;SG	N;INDF;MASC;SG
matkustaja	călător	matkustaja	călător	N;NOM;SG	N;INDF;MASC;SG
romanttinen	romantic	romanttinen	romantic	ADJ;NOM;SG	ADJ;INDF;MASC;SG
tulevaisuus	viitor	tulevaisuus	viitor	N;NOM;SG	N;INDF;MASC;SG
hautausmaan	cimitir	hautaus#maa	cimitir	N;GEN;SG	N;INDF;MASC;SG
madridissa	madrid	madridi	madrid	N;IN+ESS;SG	N;INDF;MASC;SG
rinta	piept	rinta	piept	N;NOM;SG	N;INDF;MASC;SG
rinta	sân	rinta	sân	N;NOM;SG	N;INDF;MASC;SG
rinta	piept	rinta	piept	N;NOM;SG	N;INDF;MASC;SG
balkanin	balcani	balkan	balcan	N;GEN;SG	N;INDF;MASC;SG
balkanin	balcani	balkan	balcan	N;GEN;SG	N;INDF;MASC;SG
riippuvainen	dependent	riippuvainen	dependent	ADJ;NOM;SG	ADJ;INDF;MASC;SG
sieni	burete	sieni	burete	N;NOM;SG	N;INDF;MASC;SG
alkoholia	alcool	alkoholi	alcool	N;PRT;SG	N;INDF;MASC;SG
leirin	camp	leiri	camp	N;GEN;SG	N;INDF;MASC;SG
leirin	lagăr	leiri	lagăr	N;GEN;SG	N;INDF;MASC;SG
konsertteja	concerte	konsertti	concert	N;PRT;PL	N;INDF;FEM;PL
