que	že	que	že	CONJ	CONJ
per	pre	per	pre	ADP	ADP;ACC
bar	bare	bar	bara	N;MASC;SG	N;NOM;MASC;SG
bar	bar	bar	bar	N;MASC;SG	N;INAN;NOM;MASC;SG
bar	tyč	bar	tyč	N;MASC;SG	N;NOM;FEM;SG
text	text	text	text	N;MASC;SG	N;INAN;NOM;MASC;SG
també	takisto	també	takisto	ADV	ADV
també	taktiež	també	taktiež	ADV	ADV
entre	medzi	entre	medzi	ADP	ADP;INS
anys	roky	any	rok	N;MASC;PL	N;INAN;NOM;MASC;PL
anys	rokov	any	rok	N;MASC;PL	N;INAN;GEN;MASC;PL
any	roku	any	rok	N;MASC;SG	N;INAN;GEN;MASC;SG
any	rok	any	rok	N;MASC;SG	N;INAN;NOM;MASC;SG
any	roka	any	rok	N;MASC;SG	N;INAN;GEN;MASC;SG
població	populácia	població	populácia	N;FEM;SG	N;NOM;FEM;SG
població	obyvateľstvo	població	obyvateľstvo	N;FEM;SG	N;NOM;NEUT;SG
població	populáciu	població	populácia	N;FEM;SG	N;ACC;FEM;SG
però	ale	però	ale	CONJ	CONJ
aquest	to	aquest	to	DET;MASC;SG	DET;NOM;NEUT;SG
aquest	táto	aquest	táto	DET;MASC;SG	DET;NOM;FEM;SG
aquest	tento	aquest	tento	DET;MASC;SG	DET;INAN;NOM;MASC;SG
aquest	toto	aquest	toto	DET;MASC;SG	DET;NOM;NEUT;SG
aquest	túto	aquest	táto	DET;MASC;SG	DET;ACC;FEM;SG
aquesta	to	aquest	to	DET;FEM;SG	DET;NOM;NEUT;SG
aquesta	táto	aquest	táto	DET;FEM;SG	DET;NOM;FEM;SG
aquesta	tento	aquest	tento	DET;FEM;SG	DET;INAN;NOM;MASC;SG
aquesta	toto	aquest	toto	DET;FEM;SG	DET;NOM;NEUT;SG
aquesta	túto	aquest	táto	DET;FEM;SG	DET;ACC;FEM;SG
estats	stavy	estat	stav	N;MASC;PL	N;NOM;FEM;PL
estats	štáty	estat	štát	N;MASC;PL	N;INAN;NOM;MASC;PL
estats	štátov	estat	štát	N;MASC;PL	N;INAN;GEN;MASC;PL
persones	ludia	persona	ludia	N;FEM;PL	N;ANIM;NOM;MASC;PL
persones	ľudia	persona	človek	N;FEM;PL	N;ANIM;NOM;MASC;PL
persones	ľudí	persona	človek	N;FEM;PL	N;ANIM;ACC;MASC;PL
gran	skvelé	gran	skvelý	ADJ;SG	ADJ;NOM;NEUT;SG
durant	počas	durant	počas	ADP	ADP;GEN
enllaços	spojenia	enllaç	spojenie	N;MASC;PL	N;NOM;NEUT;PL
enllaços	väzby	enllaç	väzba	N;MASC;PL	N;NOM;FEM;PL
enllaços	prepojenia	enllaç	prepojenie	N;MASC;PL	N;NOM;NEUT;PL
enllaços	odkazy	enllaç	odkaz	N;MASC;PL	N;INAN;NOM;MASC;PL
enllaços	linky	enllaç	linka	N;MASC;PL	N;NOM;FEM;PL
dos	dve	dos	dva	NUM;MASC;PL	NUM;NOM;FEM;PL
dos	dvaja	dos	dva	NUM;MASC;PL	NUM;ANIM;NOM;MASC;PL
dos	dva	dos	dva	NUM;MASC;PL	NUM;INAN;NOM;MASC;PL
família	rodinka	família	rodinka	N;FEM;SG	N;NOM;FEM;SG
família	rodine	família	rodina	N;FEM;SG	N;DAT;FEM;SG
família	family	família	famila	N;FEM;SG	N;NOM;FEM;SG
família	rodina	família	rodina	N;FEM;SG	N;NOM;FEM;SG
ciutat	mesto	ciutat	mesto	N;FEM;SG	N;NOM;NEUT;SG
ciutat	mesta	ciutat	mesto	N;FEM;SG	N;NOM;NEUT;SG
quan	keď	quan	keď	CONJ	CONJ
