dan	ve	dan	ve	CONJ	CONJ
menjadi	olmak	menjadi	ol	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
menjadi	olmak	menjadi	ol	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
bagian	bölümü	bagian	bölüm	N;SG	N;NOM;SG;3
bagian	parçası	bagian	parça	N;SG	N;NOM;SG;3
orang	kişi	orang	kişi	N;SG	N;NOM;SG;3
orang	kişiye	orang	kişi	N;SG	N;DAT;SG;3
orang	insan	orang	insan	N;SG	N;NOM;SG;3
mereka	onlar	mereka	o	PRO;PL;3	PRO;NOM;PL;3
mereka	onları	mereka	o	PRO;PL;3	PRO;ACC;PL;3
mereka	onlar	mereka	o	PRO;PL;3	PRO;NOM;PL;3
lebih	daha	lebih	daha	ADV	ADV
nama	adınız	nama	adınız	N;SG	N;NOM;SG;3
nama	isim	nama	isim	N;SG	N;NOM;SG;3
nama	ad	nama	ad	N;SG	N;NOM;SG;3
nama	adı	nama	ad	N;SG	N;NOM;SG;3
kayu	ahşap	kayu	ahşap	N;SG	N;NOM;SG;3
kayu	ahşap	kayu	ahşap	N;SG	N;NOM;SG;3
asteroid	asteroit	asteroid	asteroit	N	N;NOM;SG;3
asteroid	göktaşları	asteroid	göktaş	N	N;NOM;PL;3
asteroid	asteroit	asteroid	asteroit	N	N;NOM;SG;3
lain	diğer	lain	diğer	ADJ;SG	ADJ
besar	geniş	besar	geniş	ADJ;SG	ADJ
film	sinema	film	sine	N;SG	N;NOM;SG;3
film	filim	film	filim	N;SG	N;NOM;SG;3
film	sinema	film	sine	N;SG	N;NOM;SG;3
kelas	sınıf	kelas	sınıf	N;SG	N;NOM;SG;3
beberapa	birkaç	beberapa	birkaç	DET	DET
beberapa	bazı	beberapa	bazı	DET	DET
kecamatan	ilçesi	kecamatan	ilçe	N;SG	N;NOM;SG;3
kecamatan	semt	kecamatan	semt	N;SG	N;NOM;SG;3
negara	devlet	negara	devlet	N;SG	N;NOM;SG;3
kemudian	sonra	kemudian	sonra	ADV	ADV
kemudian	sonra	kemudian	sonra	ADV	ADV
kabupaten	regency	kabupaten	regency	N;SG	N;NOM;SG;3
kabupaten	şehristanı	kabupaten	şehristan	N;SG	N;NOM;SG;3
kabupaten	ilçesi	kabupaten	ilçe	N;SG	N;NOM;SG;3
kabupaten	semt	kabupaten	semt	N;SG	N;NOM;SG;3
isi	içeriğe	isi	içerik	N;SG	N;DAT;SG;3
isi	içeriği	isi	içerik	N;SG	N;NOM;SG;3
isi	içeriği	isi	içerik	N;SG	N;NOM;SG;3
daftar	listesi	daftar	liste	N;SG	N;NOM;SG;3
daftar	listeyi	daftar	liste	N;SG	N;ACC;SG;3
baru	yeni	baru	yeni	ADJ;SG	ADJ
barat	batıya	barat	bat	N;SG	N;DAT;SG;3
barat	batıda	barat	batı	N;SG	N;ESS;SG;3
wilayah	alanı	wilayah	alan	N;SG	N;NOM;SG;3
wilayah	bölgede	wilayah	bölge	N;SG	N;ESS;SG;3
wilayah	bölgesi	wilayah	bölge	N;SG	N;NOM;SG;3
wilayah	bölgesi	wilayah	bölge	N;SG	N;NOM;SG;3
tanggal	randevu	tanggal	randev	N;SG;ACT	N;NOM;SG;3
tanggal	tarih	tanggal	tarih	N;SG;ACT	N;NOM;SG;3
timur	doğuda	timur	doğu	N;SG	N;ESS;SG;3
tempat	yer	tempat	yer	N;SG	N;NOM;SG;3
selatan	güneye	selatan	güne	N;SG	N;DAT;SG;3
anak	oğlum	anak	oğul	N;SG	N;NOM;SG;3
anak	çocuk	anak	çocuk	N;SG	N;NOM;SG;3
anak	çocuk	anak	çocuk	N;SG	N;NOM;SG;3
anak	çocuğum	anak	çocuk	N;SG	N;NOM;SG;3
species	türler	species	tür	N	N;NOM;PL;3
hidup	yaşam	hidup	yaşam	N;SG	N;NOM;SG;3
hidup	hayatta	hidup	hayat	N;SG	N;ESS;SG;3
daerah	ilçesi	daerah	ilçe	N;SG	N;NOM;SG;3
daerah	semt	daerah	semt	N;SG	N;NOM;SG;3
daerah	alanı	daerah	alan	N;SG	N;NOM;SG;3
daerah	bölgede	daerah	bölge	N;SG	N;ESS;SG;3
daerah	bölgesi	daerah	bölge	N;SG	N;NOM;SG;3
daerah	şehristanı	daerah	şehristan	N;SG	N;NOM;SG;3
daerah	bölümü	daerah	bölüm	N;SG	N;NOM;SG;3
sekolah	okula	sekolah	okul	N;SG	N;DAT;SG;3
sekolah	okulumuz	sekolah	okul	N;SG	N;NOM;SG;3
sekolah	okulu	sekolah	okul	N;SG	N;NOM;SG;3
hanya	yalnızca	hanya	yalnızca	ADV	ADV
hanya	sadece	hanya	sadece	ADV	ADV
hanya	sadece	hanya	sadece	ADV	ADV
air	air	air	air	N;SG	N;NOM;SG;3
hari	gün	hari	gün	N;SG	N;NOM;SG;3
digunakan	kullanılan	digunakan	kullan	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
digunakan	kullanılmış	digunakan	kullan	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
digunakan	kullanıldı	digunakan	kullan	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
digunakan	kullanılır	digunakan	kullan	V;SG;PASS	V;IPFV;IND;SG;3;POS;PASS
kali	zaman	kali	zaman	N;SG	N;NOM;SG;3
kali	süre	kali	süre	N;SG	N;NOM;SG;3
kali	kez	kali	kez	N;SG	N;NOM;SG;3
hal	şey	hal	şey	N;SG	N;NOM;SG;3
panjang	uzun	panjang	uzun	ADJ;SG	ADJ
lainnya	diğeri	lainnya	diğer	N	N;NOM;SG;3
lainnya	diğerleri	lainnya	diğer	N	N;ACC;PL;3
lainnya	diğerlerini	lainnya	diğer	N	N;ACC;PL;3
menggunakan	kullanıyor	mengunakan	kullan	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
menggunakan	kullanmak	mengunakan	kullan	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
menggunakan	kullanarak	mengunakan	kullan	V;SG;ACT	V;PFV;IND;POS;PRS;V.CVB
menggunakan	kullanmak	mengunakan	kullan	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
menggunakan	kullandığı	mengunakan	kullan	V;SG;ACT	V;PFV;IND;POS;PST;V.PTCP
menggunakan	kullanıyor	mengunakan	kullan	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
disebut	bahsedilen	disebut	bahset	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
disebut	aradı	disebut	ara	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
sudah	zaten	sudah	zaten	ADV;SG;ACT	ADV
sudah	şimdiden	sudah	şimdiden	ADV;SG;ACT	ADV
masih	hala	masih	hala	ADV	ADV
lihat	gör	lihat	gör	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
lihat	görmek	lihat	gör	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
lihat	bak	lihat	bak	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
lihat	gör	lihat	gör	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
tinggi	yüksek	tinggi	yüksek	ADJ;SG	ADJ
tinggi	yüksek	tinggi	yüksek	ADJ;SG	ADJ
waktu	zaman	waktu	zaman	N;SG	N;NOM;SG;3
waktu	süre	waktu	süre	N;SG	N;NOM;SG;3
bulan	ay	bulan	ay	N;SG	N;NOM;SG;3
bulan	moon	bulan	moon	N;SG	N;NOM;SG;3
bulan	ay	bulan	ay	N;SG	N;NOM;SG;3
bulan	ay	bulan	ay	N;SG	N;NOM;SG;3
departemen	bölümü	departemen	bölüm	N;SG	N;NOM;SG;3
departemen	departman	departemen	departman	N;SG	N;NOM;SG;3
departemen	departmanı	departemen	departman	N;SG	N;ACC;SG;3
situs	site	situs	sit	N;SG	N;NOM;SG;3
situs	sitede	situs	site	N;SG	N;ESS;SG;3
dikenal	tanıdı	dikenal	tanı	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
dikenal	tanınan	dikenal	tanı	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
dikenal	tanınan	dikenal	tanı	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
dikenal	bilinir	dikenal	bil	V;SG;PASS	V;IPFV;IND;SG;3;POS;PASS
dikenal	bilinen	dikenal	bil	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
laba	kazanç	laba	kazanç	N;SG	N;NOM;SG;3
laba	örümcek	laba	örü	N;SG	N;NOM;SG;3
membuat	yarat	menbuat	yarat	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
membuat	yaratma	menbuat	yarat	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
membuat	yaratmak	menbuat	yarat	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
membuat	yap	menbuat	yap	V;SG;ACT	V;PFV;IMP;SG;2;POS;PRS
mulai	başlasın	mulai	başla	V;SG;ACT	V;PFV;IMP;SG;3;POS;PRS
mulai	başlamak	mulai	başla	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
mulai	başlıyor	mulai	başla	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
mulai	başlıyorum	mulai	başla	V;SG;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
database	veritabanı	database	verit	N	N;NOM;SG;3
database	veritabanları	database	verit	N	N;NOM;PL;3
database	veritabanı	database	verit	N	N;NOM;SG;3
udara	air	udara	air	N;SG	N;NOM;SG;3
nasional	milli	nasional	milli	ADJ;SG	ADJ
sekarang	şimdi	sekarang	şimdi	ADV	ADV
perang	savaş	perang	savaş	N;SG	N;NOM;SG;3
pulau	adası	pulau	ada	N;SG	N;NOM;SG;3
rumah	ev	rumah	ev	N;SG	N;NOM;SG;3
rumah	evde	rumah	ev	N;SG	N;ESS;SG;3
rumah	eve	rumah	ev	N;SG	N;DAT;SG;3
rumah	evim	rumah	ev	N;SG	N;NOM;SG;3
rumah	ev	rumah	ev	N;SG	N;NOM;SG;3
pendidikan	eğitim	pendidikan	eğitim	N;SG	N;NOM;SG;3
pendidikan	eğitim	pendidikan	eğitim	N;SG	N;NOM;SG;3
laut	denizcilik	laut	denizcilik	N;SG	N;NOM;SG;3
laut	ocean	laut	ocean	N;SG	N;NOM;SG;3
sistem	sistem	sistem	sistem	N;SG	N;NOM;SG;3
sistem	sistemi	sistem	sistem	N;SG	N;ACC;SG;3
sistem	sistem	sistem	sistem	N;SG	N;NOM;SG;3
batang	bar	batang	bar	N;SG	N;NOM;SG;3
matahari	güneşe	matahari	güneş	N;SG	N;DAT;SG;3
matahari	güneşi	matahari	güneş	N;SG	N;NOM;SG;3
presiden	cumhurbaşkanı	presiden	cumhurbaşkanı	N;SG	N;NOM;SG;3
masyarakat	sosyete	masyarakat	sosyet	N;SG	N;NOM;SG;3
pernah	hiç	pernah	hiç	ADV	ADV
pernah	hiç	pernah	hiç	ADV	ADV
tiga	üç	tiga	üç	NUM	NUM
jalan	karayolu	jalan	karayolu	N;SG;ACT	N;NOM;SG;3
planet	planet	planet	planet	N;SG	N;NOM;SG;3
umum	genel	umum	genel	ADJ;SG	ADJ
kerusakan	arıza	kerusakan	arız	N;SG	N;NOM;SG;3
diakses	ulaşılabilir	diakses	ulaş	V;SG;PASS	V;IPFV;POT;SG;3;POS;PASS
diakses	erişilebilir	diakses	eriş	V;SG;PASS	V;IPFV;POT;SG;3;POS
kecil	küçük	kecil	küçük	ADJ;SG	ADJ
kecil	küçük	kecil	küçük	ADJ;SG	ADJ
menteri	sekreteri	menteri	sekreter	N;SG	N;ACC;SG;3
menteri	bakanı	menteri	bakan	N;SG	N;NOM;SG;3
menteri	bakanım	menteri	bak	N;SG	N;NOM;SG;3
lagi	yine	lagi	yine	ADV	ADV
lagi	gene	lagi	gene	ADV	ADV
lagi	yeniden	lagi	yeniden	ADV	ADV
lagi	daha	lagi	daha	ADV	ADV
jumlah	miktarda	jumlah	miktar	N;SG	N;ESS;SG;3
jumlah	miktarı	jumlah	miktar	N;SG	N;NOM;SG;3
jumlah	miktarı	jumlah	miktar	N;SG	N;NOM;SG;3
kata	kelimesi	kata	kelime	N;SG	N;NOM;SG;3
penduduk	nüfusu	penduduk	nüfus	N;SG	N;ACC;SG;3
awal	erkenden	awal	erken	ADJ;SG	ADJ;AT+ABL;SG;3
artikel	makale	artikel	makale	N;SG	N;NOM;SG;3
artikel	madde	artikel	madde	N;SG	N;NOM;SG;3
artikel	makale	artikel	makale	N;SG	N;NOM;SG;3
tanduk	boynuzları	tanduk	boynuz	N	N;NOM;PL;3
tanduk	boynuzları	tanduk	boynuz	N	N;NOM;PL;3
karya	başyapıt	karya	başyapıt	N;SG	N;NOM;SG;3
tanah	arsa	tanah	arsa	N;SG	N;NOM;SG;3
perusahaan	corporation	perusahaan	corporation	N;SG	N;NOM;SG;3
perusahaan	firma	perusahaan	firma	N;SG	N;NOM;SG;3
musim	sezonu	musim	sezon	N;SG	N;ACC;SG;3
pemerintah	devlet	penperintah	devlet	N;SG	N;NOM;SG;3
setiap	her	setiap	her	DET	DET
desember	aralık	desember	aralık	N;SG	N;NOM;SG;3
desember	aralık	desember	aralık	N;SG	N;NOM;SG;3
bidang	alanı	bidang	alan	N;SG	N;NOM;SG;3
kepala	baş	kepala	baş	N;SG	N;NOM;SG;3
kepala	kafası	kepala	kafa	N;SG	N;NOM;SG;3
melakukan	yapıyor	menlakukan	yap	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
pusat	merkezi	pusat	merkez	N;SG	N;ACC;SG;3
pusat	merkezi	pusat	merkez	N;SG	N;ACC;SG;3
pusat	center	pusat	center	N;SG	N;NOM;SG;3
pusat	merkezi	pusat	merkez	N;SG	N;ACC;SG;3
international	international	international	international	N	N;NOM;SG;3
manusia	insan	manusia	insan	N;SG	N;NOM;SG;3
manusia	insan	manusia	insan	N;SG	N;NOM;SG;3
manusia	adam	manusia	adam	N;SG	N;NOM;SG;3
manusia	adamım	manusia	adam	N;SG	N;NOM;SG;3
sejarah	tarih	sejarah	tarih	N;SG	N;NOM;SG;3
gereja	kiliseye	gereja	kili	N;SG	N;DAT;SG;3
dasar	temel	dasar	temel	ADJ;SG	ADJ
dasar	temel	dasar	temel	ADJ;SG	ADJ
program	programı	program	program	N;SG	N;ACC;SG;3
program	programı	program	program	N;SG	N;ACC;SG;3
bicara	konuş	bicara	konuş		
bicara	konuş	bicara	konuş		
bicara	talk	bicara	talk		
bicara	konuşma	bicara	konuş		
pesawat	uçak	pesawat	uçak	N;SG	N;NOM;SG;3
pesawat	uçak	pesawat	uçak	N;SG	N;NOM;SG;3
pesawat	uçak	pesawat	uçak	N;SG	N;NOM;SG;3
pesawat	uçak	pesawat	uçak	N;SG	N;NOM;SG;3
stasiun	station	stasiun	station	N;SG	N;NOM;SG;3
stasiun	istasyonu	stasiun	ista	N;SG	N;ACC;SG;3
akhirnya	sonunda	akhirnya	sonunda	ADV	ADV
lahir	doğdu	lahir	doğ	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
lahir	doğmuş	lahir	doğ	V;SG;ACT	V;PFV;NFH;IND;SG;3;POS;PST
lahir	doğdum	lahir	doğ	V;SG;ACT	V;PFV;IND;SG;1;POS;PST
dilakukan	bitti	dilakukan	bit	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
dilakukan	yapıldı	dilakukan	yap	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
bentuk	şekli	bentuk	şekli	N;SG	N;ACC;SG;3
sebelumnya	önceden	sebelumnya	önceden	ADV	ADV
dekat	yakınında	dekat	yakın	ADJ;SG	ADJ;ESS;SG;3
dekat	yakınındaki	dekat	yakınındaki	ADJ;SG	ADJ;ESS;SG;3
versi	sürümü	versi	sürü	N;SG	N;ACC;SG;3
pemerintahan	devlet	penperintahan	devlet	N;SG	N;NOM;SG;3
pemerintahan	devlet	penperintahan	devlet	N;SG	N;NOM;SG;3
republik	cumhuriyetçiler	republik	cumhuriyetçi	N	N;NOM;PL;3
republik	cumhuriyetçi	republik	cumhuriyetçi	N	N;NOM;SG;3
buku	kitap	buku	kitap	N;SG	N;NOM;SG;3
buku	kitap	buku	kitap	N;SG	N;NOM;SG;3
suku	kabilesi	suku	kabile	N;SG	N;NOM;SG;3
keluarga	ailesi	keluarga	aile	N;SG	N;NOM;SG;3
ilmu	bilim	ilmu	bilim	N;SG	N;NOM;SG;3
berubah	değişiyor	berrubah	değiş	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
berubah	değiştim	berrubah	değiş	V;SG;ACT	V;PFV;IND;SG;1;POS;PST
berubah	değişti	berrubah	değiş	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
berubah	değişmiş	berrubah	değiş	V;SG;ACT	V;PFV;NFH;IND;SG;3;POS;PST
pengguna	kullanıcı	penguna	kullanıcı	N;SG	N;NOM;SG;3
pengguna	kullanıcı	penguna	kullanıcı	N;SG	N;NOM;SG;3
luas	alanı	luas	alan	N;SG	N;NOM;SG;3
acara	etkinlik	acara	etkinlik	N;SG	N;NOM;SG;3
acara	etkinlik	acara	etkinlik	N;SG	N;NOM;SG;3
acara	etkinliği	acara	etkinlik	N;SG	N;ACC;SG;3
asal	kökeni	asal	köken	N;SG	N;ACC;SG;3
asal	kökeni	asal	köken	N;SG	N;ACC;SG;3
bermain	oynuyor	bermain	oyna	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
bermain	oynuyor	bermain	oyna	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
bermain	oynamak	bermain	oyna	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
agama	dinin	agama	din	N;SG	N;GEN;SG;3
anda	sen	anda	sen	PRO;SG;2;FORM	PRO;NOM;SG;2
anda	seni	anda	sen	PRO;SG;2;FORM	PRO;ACC;SG;2
memberikan	vermek	menberikan	ver	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
