hab	hab	hab	hab	N;FEM;SG	N;INDF;MASC+FEM;SG
resolve	løse	resolver	løse	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
resolve	løser	resolver	løse	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
resolve	løser	resolver	løse	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
vilas	byer	vila	by	N;FEM;PL	N;INDF;MASC+FEM;PL
vilas	landsbyer	vila	landsby	N;FEM;PL	N;INDF;MASC+FEM;PL
vilas	landsbyerne	vila	landsby	N;FEM;PL	N;DEF;MASC+FEM;PL
censura	mistillidsvotum	censura	mistillidsvotum	N;FEM;SG	N;INDF;NEUT;SG
censura	censur	censura	censur	N;FEM;SG	N;INDF;MASC+FEM;SG
assembléia	montage	assembléia	montage	N;FEM;SG	N;INDF;MASC+FEM;SG
assembléia	samling	assembléia	samling	N;FEM;SG	N;INDF;MASC+FEM;SG
assembléia	forsamling	assembléia	forsamling	N;FEM;SG	N;INDF;MASC+FEM;SG
assembléia	forsamlingen	assembléia	forsamling	N;FEM;SG	N;DEF;MASC+FEM;SG
movido	flyttede	mover	flytte	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
movido	bevæget	mover	bevæget	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
movido	flyttet	mover	flytte	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
agir	handle	agir	handle	V;NFIN	V;NFIN;ACT
jersey	trøje	jersey	trøje	N;MASC;SG	N;INDF;MASC+FEM;SG
atlântica	atlanterhavet	atlântico	atlanterhavet	N;FEM;SG	N;DEF;NEUT;SG
atlântica	atlanterhav	atlântico	atlanterhav	N;FEM;SG	N;INDF;NEUT;SG
hell	helvede	hell	helvede	N;MASC;SG	N;INDF;NEUT;SG
chineses	kinesere	chinês	kinesere	N;MASC;PL	N;INDF;MASC+FEM;PL
chineses	kineserne	chinês	kineser	N;MASC;PL	N;DEF;MASC+FEM;PL
supervisor	projektlederen	supervisor	projektleder	N;MASC;SG	N;DEF;MASC+FEM;SG
supervisor	byrådsmedlem	supervisor	byrådsmedlem	N;MASC;SG	N;INDF;NEUT;SG
renascimento	renæssance	renascimento	renæssance	N;MASC;SG	N;INDF;MASC+FEM;SG
renascimento	genoplivning	renascimento	genoplivning	N;MASC;SG	N;INDF;MASC+FEM;SG
renascimento	genfødsel	renascimento	genfødsel	N;MASC;SG	N;INDF;MASC+FEM;SG
