من	od	مِن	od	ADP	ADP
تصنيف	ranking	تَصنِيف	ranking	N;NOM;INDF;SG	N;NOM;MASC;SG
تصنيف	klasyfikacja	تَصنِيف	klasyfikacja	N;NOM;INDF;SG	N;NOM;FEM;SG
عام	rok	عَام	rok	N;NOM;INDF;SG	N;NOM;MASC;SG
عام	społeczeństwo	عَام	społeczeństwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
عام	generał	عَام	generał	N;NOM;INDF;SG	N;NOM;MASC;SG
اسم	nazwisko	اِسم	nazwisko	N;NOM;INDF;SG	N;NOM;NEUT;SG
اسم	imię	اِسم	imię	N;NOM;INDF;SG	N;NOM;NEUT;SG
اسم	nazwa	اِسم	nazwa	N;NOM;INDF;SG	N;NOM;FEM;SG
المنطقة	region	مِنطَقَة	region	N;NOM;DEF;SG	N;NOM;MASC;SG
المنطقة	okręg	مِنطَقَة	okręg	N;NOM;DEF;SG	N;NOM;MASC;SG
المنطقة	dystrykt	مِنطَقَة	dystrykt	N;NOM;DEF;SG	N;NOM;MASC;SG
المنطقة	dzielnica	مِنطَقَة	dzielnica	N;NOM;DEF;SG	N;NOM;FEM;SG
المنطقة	rejon	مِنطَقَة	rejon	N;NOM;DEF;SG	N;NOM;MASC;SG
المنطقة	obszar	مِنطَقَة	obszar	N;NOM;DEF;SG	N;NOM;MASC;SG
المنطقة	strefa	مِنطَقَة	strefa	N;NOM;DEF;SG	N;NOM;FEM;SG
المنطقة	teren	مِنطَقَة	teren	N;NOM;DEF;SG	N;NOM;MASC;SG
المنطقة	powierzchnia	مِنطَقَة	powierzchnia	N;NOM;DEF;SG	N;NOM;FEM;SG
المنطقة	obszar	مِنطَقَة	obszar	N;NOM;DEF;SG	N;NOM;MASC;SG
هي	ona	هُوَ	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
سنة	rok	سَنَة	rok	N;NOM;INDF;SG	N;NOM;MASC;SG
اختياري	opcjonalne	اِختِيَارِيّ	opcjonalny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
ما	jakie	مَا	jaki	DET	DET;ACC;MASC;SG
عدد	numer	عَدَد	numer	N;NOM;INDF;SG	N;NOM;MASC;SG
عدد	liczba	عَدَد	liczba	N;NOM;INDF;SG	N;NOM;FEM;SG
لا	nie	لَا	nie	PART	PART;NEG
بين	między	بَينَ	między	ADP;ACC	ADP
تعليق	komentarz	تَعلِيق	komentarz	N;NOM;INDF;SG	N;NOM;MASC;SG
تاريخ	termin	تَارِيخ	termin	N;NOM;INDF;SG	N;NOM;MASC;SG
تاريخ	randka	تَارِيخ	randka	N;NOM;INDF;SG	N;NOM;FEM;SG
تاريخ	historia	تَارِيخ	historia	N;NOM;INDF;SG	N;NOM;FEM;SG
نوع	rodzaj	نَوع	rodzaj	N;NOM;INDF;SG	N;NOM;MASC;SG
نوع	rodzaj	نَوع	rodzaj	N;NOM;INDF;SG	N;NOM;MASC;SG
سطر	wiersz	سِطر	wiersz	N;NOM;INDF;SG	N;NOM;MASC;SG
سطر	linia	سِطر	linia	N;NOM;INDF;SG	N;NOM;FEM;SG
المتحدة	zjednoczone	مُتَّحِد	zjednoczyć	ADJ;NOM;DEF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
المتحدة	zjednoczona	مُتَّحِد	zjednoczyć	ADJ;NOM;DEF;FEM;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
خط	wiersz	خَطّ	wiersz	N;NOM;INDF;SG	N;NOM;MASC;SG
خط	linia	خَطّ	linia	N;NOM;INDF;SG	N;NOM;FEM;SG
خط	czcionka	خَطّ	czcionka	N;NOM;INDF;SG	N;NOM;FEM;SG
التعداد	wyliczenie	تَعدَاد	wyliczyć	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
التعداد	wyliczenia	تَعدَاد	wyliczyć	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;V.MSDR
المسؤول	administracja	مَسؤُول	administracja	N;NOM;DEF;SG	N;NOM;FEM;SG
المسؤول	administrator	مَسؤُول	administrator	N;NOM;DEF;SG	N;NOM;MASC;SG
