van	سے	van	سے	ADP	ADP
voor	بحوالہ	voor	بحوالہ	ADP	ADP
voor	بمناسبت	voor	بمناسبت	ADP	ADP
voor	بغرض	voor	بغرض	ADP	ADP
met	سے	met	سے	ADP	ADP
door	بمطابق	door	بمطابق	ADP	ADP
door	نزدیک	door	نزدیک	ADP	ADP;NOM;MASC;SG;3
door	براہِ	door	براہِ	ADP	ADP
uit	سے	uit	سے	ADP	ADP
als	اگرچہ.	als	اگرچہ.	CONJ	CONJ
als	اگرچہ	als	اگرچہ	CONJ	CONJ
aan	قریب	aan	قریب	ADP	ADP;NOM;MASC;SG;3
aan	پاس	aan	پاس	ADP	ADP;NOM;MASC;SG;3
aan	قریب	aan	قریب	ADP	ADP;NOM;MASC;SG;3
aan	پاس	aan	پاس	ADP	ADP;NOM;MASC;SG;3
aan	پر	aan	پر	ADP	ADP
ook	نہایت	ook	نہایت	ADV	ADV
score	نمبر	score	نمبر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	لکیر	score	لکیر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	سلسلہ	score	سلسلہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	سطر	score	سطر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	برتر	score	برتر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	نشان	score	نشان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	معاملہ	score	معاملہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bij	پر	bij	پر	ADP	ADP
naam	شہرت	naam	شہرت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
naam	افکار	naam	فکر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
naam	جگہ	naam	جگہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
soort	گروہ	soort	گروہ	N;SG	N;NOM;MASC;SG;3
soort	قسم	soort	قسم	N;SG	N;NOM;MASC;SG;3
soort	جماعت	soort	جماعت	N;SG	N;NOM;FEM;SG;3
soort	وضع	soort	وضع	N;SG	N;NOM;MASC;SG;3
soort	گروہ	soort	گروہ	N;SG	N;NOM;MASC;SG;3
soort	قسم	soort	قسم	N;SG	N;NOM;MASC;SG;3
soort	جماعت	soort	جماعت	N;SG	N;NOM;FEM;SG;3
soort	طبقہ	soort	طبقہ	N;SG	N;NOM;MASC;SG;3
soort	نوع	soort	نوع	N;SG	N;NOM;MASC;SG;3
familie	ذات	familie	ذات	N;MASC+FEM;SG	N;NOM;FEM;SG;3
maar	لیکن	maar	لیکن	CONJ	CONJ
geldig	جائز	geldig	جائز	ADJ	ADJ
over	نزدیک	over	نزدیک	ADP	ADP;NOM;MASC;SG;3
over	بعبور	over	بعبور	ADP	ADP
plaats	مرتبہ	plaats	مرتبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	منصب	plaats	منصب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
