için	za	için	za		
sonra	potom	sonra	potom	ADV	ADV
sonra	vtedy	sonra	vtedy	ADV	ADV
sonra	neskôr	sonra	neskôr	ADV	ADV
sonra	neskoršie	sonra	neskorý	ADV	ADV;RL
yer	miesto	yer	miesto	N;NOM;SG;3	N;NOM;NEUT;SG
yer	miesto	yer	miesto	N;NOM;SG;3	N;NOM;NEUT;SG
yer	place	yer	placať	N;NOM;SG;3	N;NOM;MASC;SG
yer	umiestnenie	yer	umiestnenie	N;NOM;SG;3	N;NOM;NEUT;SG
yer	miesto	yer	miesto	N;NOM;SG;3	N;NOM;NEUT;SG
yer	poloha	yer	poloha	N;NOM;SG;3	N;NOM;FEM;SG
yer	lokalita	yer	lokalita	N;NOM;SG;3	N;NOM;FEM;SG
gibi	jako	gibi	jako		
bağlantılar	spojenia	bağlantı	spojenie	N;NOM;PL;3	N;NOM;NEUT;PL
bağlantılar	pripojenia	bağlantı	pripojenie	N;NOM;PL;3	N;NOM;NEUT;PL
bağlantılar	spojenia	bağlantı	spojenie	N;NOM;PL;3	N;NOM;NEUT;PL
bağlantılar	väzby	bağlantı	väzba	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	prepojenia	bağlantı	prepojenie	N;NOM;PL;3	N;NOM;NEUT;PL
bağlantılar	odkazy	bağlantı	odkaz	N;NOM;PL;3	N;INAN;NOM;MASC;PL
bağlantılar	linky	bağlantı	linka	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	kontakty	bağlantı	kontakt	N;NOM;PL;3	N;INAN;NOM;MASC;PL
center	centrum	center	centrum	N;NOM;SG;3	N;NOM;NEUT;SG
center	centre	center	centrum	N;NOM;SG;3	N;NOM;NEUT;SG
center	center	center	center	N;NOM;SG;3	N;INAN;NOM;MASC;SG
center	stred	center	stred	N;NOM;SG;3	N;INAN;NOM;MASC;SG
türk	turecká	türk	turecký	ADJ	ADJ;NOM;FEM;SG
türk	turecké	türk	turecký	ADJ	ADJ;NOM;NEUT;SG
türk	turecký	türk	turecký	ADJ	ADJ;ANIM;NOM;MASC;SG
türk	tureckých	türk	turecký	ADJ	ADJ;GEN;MASC;PL
diğer	ďalšie	diğer	ďalší	ADJ	ADJ;NOM;NEUT;SG
diğer	ostatné	diğer	ostatný	ADJ	ADJ;NOM;NEUT;SG
yeni	nová	yeni	nový	ADJ	ADJ;NOM;FEM;SG
yeni	nový	yeni	nový	ADJ	ADJ;ANIM;NOM;MASC;SG
yeni	nové	yeni	nový	ADJ	ADJ;NOM;NEUT;SG
her	každý	her	každý	DET	DET;ANIM;NOM;MASC;SG
her	každá	her	každý	DET	DET;NOM;FEM;SG
aynı	rovnaká	aynı	rovnaký	ADJ	ADJ;NOM;FEM;SG
aynı	rovnaké	aynı	rovnaký	ADJ	ADJ;NOM;NEUT;SG
aynı	rovnaký	aynı	rovnaký	ADJ	ADJ;ANIM;NOM;MASC;SG
ilgili	relevantná	ilgili	relevantný	ADJ	ADJ;NOM;FEM;SG
ilgili	relevantné	ilgili	relevantný	ADJ	ADJ;NOM;NEUT;SG
ilgili	príslušná	ilgili	príslušný	ADJ	ADJ;NOM;FEM;SG
ilgili	relevantný	ilgili	relevantný	ADJ	ADJ;ANIM;NOM;MASC;SG
ilgili	príslušné	ilgili	príslušný	ADJ	ADJ;NOM;NEUT;SG
ilgili	súvisiace	ilgili	súvisiaci	ADJ	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
ilgili	súvisiaci	ilgili	súvisiaci	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
ilgili	príbuzné	ilgili	príbuzný	ADJ	ADJ;NOM;NEUT;PL
madde	látka	madde	látka	N;NOM;SG;3	N;NOM;FEM;SG
madde	ustanovenie	madde	ustanovenie	N;NOM;SG;3	N;NOM;NEUT;SG
madde	doložka	madde	doložka	N;NOM;SG;3	N;NOM;FEM;SG
madde	materiál	madde	materiál	N;NOM;SG;3	N;INAN;NOM;MASC;SG
madde	hmota	madde	hmota	N;NOM;SG;3	N;NOM;FEM;SG
madde	záležitosť	madde	záležitosť	N;NOM;SG;3	N;NOM;FEM;SG
madde	článok	madde	článok	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sağlık	zdraví	sağlık	zdravie	N;NOM;SG;3	N;NOM;NEUT;SG
sağlık	zdravie	sağlık	zdravie	N;NOM;SG;3	N;NOM;NEUT;SG
sağlık	zdravotníctvo	sağlık	zdravotníctvo	N;NOM;SG;3	N;NOM;NEUT;SG
genel	všeobecná	genel	všeobecný	ADJ	ADJ;NOM;FEM;SG
genel	celkový	genel	celkový	ADJ	ADJ;INAN;NOM;MASC;SG
genel	celková	genel	celkový	ADJ	ADJ;NOM;FEM;SG
genel	celkové	genel	celkový	ADJ	ADJ;NOM;NEUT;SG
genel	všeobecné	genel	všeobecný	ADJ	ADJ;NOM;NEUT;SG
genel	všeobecná	genel	všeobecný	ADJ	ADJ;NOM;FEM;SG
adı	názov	ad	názov	N;NOM;SG;3	N;INAN;NOM;MASC;SG
adı	meno	ad	meno	N;NOM;SG;3	N;NOM;NEUT;SG
ama	ale	ama	ale	CONJ	CONJ
ikinci	druhá	ikinci	druhý	ADJ	ADJ;NOM;FEM;SG
ikinci	druhé	ikinci	druhý	ADJ	ADJ;NOM;NEUT;SG
ikinci	druhe	ikinci	druh	ADJ	ADJ;INAN;NOM;MASC;SG
ikinci	druhý	ikinci	druhý	ADJ	ADJ;INAN;NOM;MASC;SG
içinde	dovnútra	içinde	dovnútra	ADV	ADV
üniversitesi	univerzita	üniversitesi	univerzita	N;NOM;SG;3	N;NOM;FEM;SG
üniversitesi	univerzite	üniversitesi	univerzite	N;NOM;SG;3	N;NOM;FEM;SG
zaman	čas	zaman	čas	N;NOM;SG;3	N;INAN;NOM;MASC;SG
zaman	doba	zaman	doba	N;NOM;SG;3	N;NOM;FEM;SG
bazı	niektorých	bazı	niektorý	DET	DET;GEN;MASC;PL
bazı	niektore	bazı	niektore	DET	DET;NOM;MASC;SG
bazı	niektoré	bazı	niektorý	DET	DET;NOM;NEUT;SG
bazı	niektorý	bazı	niektorý	DET	DET;ANIM;NOM;MASC;SG
bazı	niektorí	bazı	niektorý	DET	DET;ANIM;NOM;MASC;PL
aralık	december	aralık	december	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	december	aralık	december	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	zos	aralık	zos	N;NOM;SG;3	N;NOM;FEM;SG
aralık	interval	aralık	intervať	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yüksek	vysoká	yüksek	vysoký	ADJ	ADJ;NOM;FEM;SG
yüksek	vysoký	yüksek	vysoký	ADJ	ADJ;ANIM;NOM;MASC;SG
yüksek	vysoké	yüksek	vysoký	ADJ	ADJ;NOM;NEUT;SG
yüksek	vyššia	yüksek	vysoký	ADJ	ADJ;NOM;CMPR;FEM;SG
yüksek	vyšší	yüksek	vysoký	ADJ	ADJ;ANIM;NOM;CMPR;MASC;SG
yüksek	vyššiu	yüksek	vysoký	ADJ	ADJ;ACC;CMPR;FEM;SG
sadece	jedine	sadece	jedine	ADV	ADV
sadece	práve	sadece	práve	ADV	ADV
bilgi	informovanie	bilgi	informovanie	N;NOM;SG;3	N;NOM;NEUT;SG
bilgi	informácia	bilgi	informácia	N;NOM;SG;3	N;NOM;FEM;SG
bilgi	poznanie	bilgi	poznanie	N;NOM;SG;3	N;NOM;NEUT;SG
bilgi	znalosť	bilgi	znalosť	N;NOM;SG;3	N;NOM;FEM;SG
devlet	štát	devlet	štát	N;NOM;SG;3	N;INAN;NOM;MASC;SG
devlet	vláda	devlet	vláda	N;NOM;SG;3	N;NOM;FEM;SG
üç	tri	üç	tri	NUM	NUM;INAN;NOM;MASC;PL
üç	troch	üç	tri	NUM	NUM;GEN;MASC;PL
üç	traja	üç	tri	NUM	NUM;ANIM;NOM;MASC;PL
başladı	začalo	başla	začať	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;POS;PST;V.PTCP
başladı	začal	başla	začať	V;PFV;IND;SG;3;POS;PST	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
başladı	začala	başla	začať	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;POS;PST;V.PTCP
küçük	malá	küçük	malý	ADJ	ADJ;NOM;FEM;SG
küçük	malý	küçük	malý	ADJ	ADJ;ANIM;NOM;MASC;SG
küçük	malé	küçük	malý	ADJ	ADJ;NOM;NEUT;SG
küçük	malá	küçük	malý	ADJ	ADJ;NOM;FEM;SG
küçük	malé	küçük	malý	ADJ	ADJ;NOM;NEUT;SG
küçük	malý	küçük	malý	ADJ	ADJ;ANIM;NOM;MASC;SG
kabul	akceptovanie	kabul	akceptovanie	N;NOM;SG;3	N;NOM;NEUT;SG
kabul	prijatie	kabul	prijatie	N;NOM;SG;3	N;NOM;NEUT;SG
kupası	šálka	kupa	šálka	N;NOM;SG;3	N;NOM;FEM;SG
kupası	hrnček	kupa	hrnček	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kupası	pohár	kupa	pohár	N;NOM;SG;3	N;INAN;NOM;MASC;SG
okulu	skola	okul	skola	N;NOM;SG;3	N;NOM;FEM;SG
okulu	škola	okul	škola	N;NOM;SG;3	N;NOM;FEM;SG
aldı	zobrala	al	zobrať	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;POS;PST;V.PTCP
aldı	vzal	al	vziať	V;PFV;IND;SG;3;POS;PST	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
aldı	dostala	al	dostať	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;POS;PST;V.PTCP
aldı	získala	al	získať	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;POS;PST;V.PTCP
farklı	rôzne	farklı	rôzny	ADJ	ADJ;NOM;NEUT;SG
doğru	sprava	doğru	sprava		
özel	výhradné	özel	výhradný	ADJ	ADJ;NOM;NEUT;SG
özel	exkluzívny	özel	exkluzívny	ADJ	ADJ;ANIM;NOM;MASC;SG
özel	výlučné	özel	výlučný	ADJ	ADJ;NOM;NEUT;SG
özel	súkromný	özel	súkromný	ADJ	ADJ;ANIM;NOM;MASC;SG
özel	súkromná	özel	súkromný	ADJ	ADJ;NOM;FEM;SG
özel	súkromné	özel	súkromný	ADJ	ADJ;NOM;NEUT;SG
özel	špeciálny	özel	špeciálny	ADJ	ADJ;INAN;NOM;MASC;SG
özel	výnimočná	özel	výnimočný	ADJ	ADJ;NOM;FEM;SG
özel	osobitné	özel	osobitný	ADJ	ADJ;NOM;NEUT;SG
özel	špeciálna	özel	špeciálny	ADJ	ADJ;NOM;FEM;SG
özel	vlastný	özel	vlastný	ADJ	ADJ;ANIM;NOM;MASC;SG
özel	vlastná	özel	vlastný	ADJ	ADJ;NOM;FEM;SG
özel	vlastné	özel	vlastný	ADJ	ADJ;NOM;NEUT;SG
biri	niekto	biri	niekto	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG
biri	niekoho	biri	niekto	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG
biri	niekto	biri	niekto	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG
biri	niekoho	biri	niekto	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG
alanı	pole	alan	pole	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	oblasť	alan	oblasť	N;NOM;SG;3	N;NOM;FEM;SG
alanı	plocha	alan	plocha	N;NOM;SG;3	N;NOM;FEM;SG
uzun	vysoký	uzun	vysoký	ADJ	ADJ;ANIM;NOM;MASC;SG
uzun	vysoké	uzun	vysoký	ADJ	ADJ;NOM;NEUT;SG
uzun	vysoká	uzun	vysoký	ADJ	ADJ;NOM;FEM;SG
uzun	predĺžený	uzun	predĺžený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
uzun	rozšírený	uzun	rozšírený	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
uzun	predĺžená	uzun	predĺžený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
uzun	rozšírená	uzun	rozšírený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
uzun	predĺžené	uzun	predĺžený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
uzun	rozšírené	uzun	rozšírený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
uzun	vyššia	uzun	vysoký	ADJ	ADJ;NOM;CMPR;FEM;SG
uzun	vyšší	uzun	vysoký	ADJ	ADJ;ANIM;NOM;CMPR;MASC;SG
uzun	dlhý	uzun	dlhý	ADJ	ADJ;ANIM;NOM;MASC;SG
uzun	dlhé	uzun	dlhý	ADJ	ADJ;NOM;NEUT;SG
uzun	dlhá	uzun	dlhý	ADJ	ADJ;NOM;FEM;SG
elektrik	elektrina	elektrik	elektrina	N;NOM;SG;3	N;NOM;FEM;SG
kısa	kratšia	kısa	kratý	ADJ	ADJ;NOM;CMPR;FEM;SG
kısa	kratší	kısa	kratý	ADJ	ADJ;ANIM;NOM;CMPR;MASC;SG
kısa	krátka	kısa	krátka	ADJ	ADJ;NOM;FEM;SG
kısa	krátky	kısa	krátky	ADJ	ADJ;INAN;NOM;MASC;SG
kısa	krátke	kısa	krátky	ADJ	ADJ;NOM;NEUT;SG
kısa	krátky	kısa	krátky	ADJ	ADJ;INAN;NOM;MASC;SG
kısa	stručná	kısa	stručný	ADJ	ADJ;NOM;FEM;SG
kısa	stručné	kısa	stručný	ADJ	ADJ;NOM;NEUT;SG
kısa	krátke	kısa	krátky	ADJ	ADJ;NOM;NEUT;SG
kısa	stručný	kısa	stručný	ADJ	ADJ;ANIM;NOM;MASC;SG
kişi	osoba	kişi	osoba	N;NOM;SG;3	N;NOM;FEM;SG
değil	neni	değil	neni		
el	ruka	el	ruka	N;NOM;SG;3	N;NOM;FEM;SG
gol	jazere	gol	jazero	N;NOM;SG;3	N;NOM;NEUT;SG
gol	jazero	gol	jazero	N;NOM;SG;3	N;NOM;NEUT;SG
gol	cieľ	gol	cieľ	N;NOM;SG;3	N;INAN;NOM;MASC;SG
gol	gól	gol	gól	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ödülü	odmenu	ödül	odmena	N;ACC;SG;3	N;ACC;FEM;SG
gün	deň	gün	deň	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	čas	süre	čas	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	doba	süre	doba	N;NOM;SG;3	N;NOM;FEM;SG
süre	trvanie	süre	trvanie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	výcvik	eğitim	výcvik	N;NOM;SG;3	N;INAN;NOM;MASC;SG
eğitim	tréning	eğitim	tréning	N;NOM;SG;3	N;INAN;NOM;MASC;SG
eğitim	školenie	eğitim	školenie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	výchova	eğitim	výchova	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	vzdelanie	eğitim	vzdelanie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	vzdelávanie	eğitim	vzdelávanie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	školstvo	eğitim	školstvo	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	výučba	eğitim	výučba	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	tutorial	eğitim	tutoriať	N;NOM;SG;3	N;INAN;NOM;MASC;SG
eğitim	návod	eğitim	návod	N;NOM;SG;3	N;INAN;NOM;MASC;SG
az	málo	az	málo	ADV	ADV
az	menej	az	málo	ADV	ADV;CMPR
görev	povinnosť	görev	povinnosť	N;NOM;SG;3	N;NOM;FEM;SG
görev	clo	görev	clo	N;NOM;SG;3	N;INAN;NOM;MASC;SG
görev	poslanie	görev	poslanie	N;NOM;SG;3	N;NOM;NEUT;SG
görev	úloha	görev	úloha	N;NOM;SG;3	N;NOM;FEM;SG
görev	priradenie	görev	priradenie	N;NOM;SG;3	N;NOM;NEUT;SG
görev	pridelenie	görev	pridelenie	N;NOM;SG;3	N;NOM;NEUT;SG
görev	poslanie	görev	poslanie	N;NOM;SG;3	N;NOM;NEUT;SG
görev	misia	görev	misia	N;NOM;SG;3	N;NOM;FEM;SG
yine	znovu	yine	znovu	ADV	ADV
yine	znova	yine	znova	ADV	ADV
yine	opäť	yine	opäť	ADV	ADV
ekonomisi	ekonomika	ekonomi	ekonomika	N;NOM;SG;3	N;NOM;FEM;SG
ekonomisi	hospodárstvo	ekonomi	hospodárstvo	N;NOM;SG;3	N;NOM;NEUT;SG
ekonomisi	hospodárnosť	ekonomi	hospodárnosť	N;NOM;SG;3	N;NOM;FEM;SG
telefon	telefón	telefon	telefón	N;NOM;SG;3	N;INAN;NOM;MASC;SG
telefon	mobil	telefon	mobiť	N;NOM;SG;3	N;INAN;NOM;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;INAN;NOM;MASC;SG
telefon	telefón	telefon	telefón	N;NOM;SG;3	N;INAN;NOM;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yeniden	znovu	yeniden	znovu	ADV	ADV
yeniden	znova	yeniden	znova	ADV	ADV
yeniden	opäť	yeniden	opäť	ADV	ADV
savaş	bitka	savaş	bitka	N;NOM;SG;3	N;NOM;FEM;SG
savaş	súboj	savaş	súboj	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	vojna	savaş	vojna	N;NOM;SG;3	N;NOM;FEM;SG
savaş	boj	savaş	boj	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	boj	savaş	boj	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	bitka	savaş	bitka	N;NOM;SG;3	N;NOM;FEM;SG
rağmen	napriek	rağmen	napriek	ADP	ADP;DAT
rağmen	napriek	rağmen	napriek	ADP	ADP;DAT
kullanıcı	užívateľ	kullanıcı	užívateľ	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
kullanıcı	používateľ	kullanıcı	používateľ	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
birliği	únia	birlik	únia	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizácia	kanalizasyon	kanalizácia	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizácia	kanalizasyon	kanalizácia	N;NOM;SG;3	N;NOM;FEM;SG
maç	maca	maç	maca	N;NOM;SG;3	N;NOM;FEM;SG
maç	zápas	maç	zápas	N;NOM;SG;3	N;INAN;NOM;MASC;SG
maç	hra	maç	hra	N;NOM;SG;3	N;NOM;FEM;SG
maç	zápas	maç	zápas	N;NOM;SG;3	N;INAN;NOM;MASC;SG
maç	zhoda	maç	zhoda	N;NOM;SG;3	N;NOM;FEM;SG
sıra	riadok	sıra	riadok	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sıra	rad	sıra	rad	N;NOM;SG;3	N;INAN;NOM;MASC;SG
