visaugstākā	最高	augsta	最高	ADJ;NOM;CMPR;FEM;SG	ADJ
bagātību	財富	bagātība	財富	N;ACC;FEM;SG	N
inovāciju	革新	inovācija	革新	N;ACC;FEM;SG	N
inovāciju	創新	inovācija	創新	N;ACC;FEM;SG	N
slepkava	殺手	slepkava	殺手	N;NOM;MASC;SG	N
grunts	下方	grunts	下方	N;NOM;MASC;SG	N
grunts	底	grunts	底	N;NOM;MASC;SG	N
grunts	底部	grunts	底部	N;NOM;MASC;SG	N
grunts	底下	grunts	底下	N;NOM;MASC;SG	N
bremzēšanas	制動	bremzēšana	制動	N;NOM;FEM;SG	N
investīcijas	投資	investīcija	投資	N;NOM;FEM;PL	N
investīcijas	投資	investīcija	投資	N;NOM;FEM;PL	N
pārbauda	檢查	pārbaudīt	檢查	V;FH;IND;3;POS;PRS;FIN;ACT	V
pārbauda	驗證	pārbaudīt	驗證	V;FH;IND;3;POS;PRS;FIN;ACT	V
pārbauda	檢查	pārbaudīt	檢查	V;FH;IND;3;POS;PRS;FIN;ACT	V
patiesība	真理	patiesība	真理	N;NOM;FEM;SG	N
patiesība	事實	patiesība	事實	N;NOM;FEM;SG	N
patiesība	真相	patiesība	真相	N;NOM;FEM;SG	N
ieņēmumi	收入	ieņēmums	收入	N;NOM;MASC;PL	N
ieņēmumi	收入	ieņēmums	收入	N;NOM;MASC;PL	N
ieņēmumi	收益	ieņēmums	收益	N;NOM;MASC;PL	N
ieņēmumi	稅	ieņēmums	稅	N;NOM;MASC;PL	N
ieņēmumi	收入	ieņēmums	收入	N;NOM;MASC;PL	N
dārzi	花園	dārzs	花園	N;NOM;MASC;PL	N
statujas	雕像	statuties	雕像	N;NOM;FEM;PL	N
statujas	塑像	statuties	塑像	N;NOM;FEM;PL	N
atļauta	允許	atļaut	允許	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
atļauta	允許	atļaut	允許	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
atļauta	獲准	atļaut	獲准	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
audzes	編隊	audze	編隊	N;NOM;FEM;PL	N
veikala	購物	veikals	購物	N;GEN;MASC;SG	N
veikala	店鋪	veikals	店鋪	N;GEN;MASC;SG	N
veikala	店	veikals	店	N;GEN;MASC;SG	N
veikala	商店	veikals	商店	N;GEN;MASC;SG	N
velns	魔鬼	velns	魔鬼	N;NOM;MASC;SG	N
aizstāt	覆蓋	aizstāt	覆蓋	V;POS;NFIN	V
aizstāt	替代	aizstāt	替代	V;POS;NFIN	V
aizstāt	取代	aizstāt	取代	V;POS;NFIN	V
aizstāt	替換	aizstāt	替換	V;POS;NFIN	V
aizstāt	更換	aizstāt	更換	V;POS;NFIN	V
aizstāt	代替	aizstāt	代替	V;POS;NFIN	V
godalgas	獎品	godalga	獎品	N;NOM;FEM;PL	N
pārbaudi	支票	pārbaude	支票	N;ACC;FEM;SG	N
benzola	苯	benzols	苯	N;GEN;MASC;SG	N
slavenais	著名	slavenais	著名	ADJ;NOM;MASC;SG	ADJ
testa	測試	tests	測試	N;NOM;MASC;SG	N
testa	試驗	tests	試驗	N;NOM;MASC;SG	N
testa	測驗	tests	測驗	N;NOM;MASC;SG	N
sadarboties	合作	sadarboties	合作	V;POS;REFL;NFIN	V
matricu	母體	matrica	母體	N;ACC;FEM;SG	N
matricu	矩陣	matrica	矩陣	N;ACC;FEM;SG	N
toni	音調	tonis	音調	N;ACC;MASC;SG	N
toni	色調	tonis	色調	N;ACC;MASC;SG	N
toni	音	tonis	音	N;ACC;MASC;SG	N
toni	基調	tonis	基調	N;ACC;MASC;SG	N
toni	語氣	tonis	語氣	N;ACC;MASC;SG	N
emocijas	情感	emocija	情感	N;NOM;FEM;PL	N
emocijas	感情	emocija	感情	N;NOM;FEM;PL	N
emocijas	情緒	emocija	情緒	N;NOM;FEM;PL	N
emocijas	情感	emocija	情感	N;NOM;FEM;PL	N
emocijas	感情	emocija	感情	N;NOM;FEM;PL	N
emocijas	情緒	emocija	情緒	N;NOM;FEM;PL	N
audzināšanas	育兒	audzināšana	育兒	N;NOM;FEM;PL	N
izlaist	跳過	izlaist	跳過	V;POS;NFIN	V
zilonis	象	zilonis	象	N;NOM;MASC;SG	N
zilonis	大象	zilonis	大象	N;NOM;MASC;SG	N
