que	että	que	että	CONJ	CONJ
com	kuten	com	kuten	CONJ	CONJ
com	kuin	com	kuin	CONJ	CONJ
més	lisää	més	lisää	ADV	ADV
més	enemmän	més	enemmän	ADV	ADV
bar	baariin	bar	baari	N;MASC;SG	N;IN+ALL;SG
bar	baarissa	bar	baari	N;MASC;SG	N;IN+ESS;SG
bar	baari	bar	baari	N;MASC;SG	N;NOM;SG
bar	baarin	bar	baari	N;MASC;SG	N;GEN;SG
text	teksti	text	teksti	N;MASC;SG	N;NOM;SG
text	tekstiä	text	teksti	N;MASC;SG	N;PRT;SG
text	tekstin	text	teksti	N;MASC;SG	N;GEN;SG
també	lisäksi	també	lisäksi	ADV	ADV
també	myöskin	també	myöskin	ADV	ADV
també	myös	també	myös	ADV	ADV
anys	vuodet	any	vuosi	N;MASC;PL	N;NOM;PL
anys	vuosien	any	vuosi	N;MASC;PL	N;GEN;PL
anys	vuosia	any	vuosi	N;MASC;PL	N;PRT;PL
any	vuoden	any	vuosi	N;MASC;SG	N;GEN;SG
any	vuosi	any	vuosi	N;MASC;SG	N;NOM;SG
any	vuonna	any	vuosi	N;MASC;SG	N;FRML;SG
població	väestö	població	väestö	N;FEM;SG	N;NOM;SG
població	väkiluku	població	väki#luku	N;FEM;SG	N;NOM;SG
població	väestön	població	väestö	N;FEM;SG	N;GEN;SG
però	mutta	però	mutta	CONJ	CONJ
altres	muut	altre	muu	PRO;PL	PRO;NOM;PL
altres	muut	altre	muu	PRO;PL	PRO;NOM;PL
altres	muita	altre	muu	PRO;PL	PRO;PRT;PL
estat	ollut	ser	olla	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
estat	ollu	ser	olla	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
estat	oltu	ser	olla	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
després	jälkeen	després	jälkeen	ADV	ADV
són	ovat	ser	olla	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
són	ovatko	ser	olla	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
estats	valtioiden	estat	valtio	N;MASC;PL	N;GEN;PL
estats	valtiot	estat	valtio	N;MASC;PL	N;NOM;PL
estats	osavaltiot	estat	osa#valtio	N;MASC;PL	N;NOM;PL
persones	ihmiset	persona	ihminen	N;FEM;PL	N;NOM;PL
persones	ihmisiä	persona	ihminen	N;FEM;PL	N;PRT;PL
persones	henkilöt	persona	henkilö	N;FEM;PL	N;NOM;PL
gran	hienoa	gran	hieno	ADJ;SG	ADJ;PRT;SG
enllaços	linkit	enllaç	linkki	N;MASC;PL	N;NOM;PL
enllaços	yhteydet	enllaç	yhteys	N;MASC;PL	N;NOM;PL
enllaços	linkkejä	enllaç	linkki	N;MASC;PL	N;PRT;PL
enllaços	linkkien	enllaç	linkki	N;MASC;PL	N;GEN;PL
externs	ulkoiset	extern	ulkoinen	ADJ;MASC;PL	ADJ;NOM;PL
família	suku	família	suku	N;FEM;SG	N;NOM;SG
família	perhe	família	perhe	N;FEM;SG	N;NOM;SG
família	perheen	família	perhe	N;FEM;SG	N;GEN;SG
ciutat	kaupunki	ciutat	kaupunki	N;FEM;SG	N;NOM;SG
ciutat	paikkakunta	ciutat	paikka#kunta	N;FEM;SG	N;NOM;SG
quan	kun	quan	kun	CONJ	CONJ
habitatges	talot	habitatge	talo	N;MASC;PL	N;NOM;PL
habitatges	talojen	habitatge	talo	N;MASC;PL	N;GEN;PL
habitatges	taloja	habitatge	talo	N;MASC;PL	N;PRT;PL
qual	jonka	qual	joka	PRO;SG	PRO;GEN;SG
qual	joka	qual	joka	PRO;SG	PRO;NOM;SG
qual	jota	qual	joka	PRO;SG	PRO;PRT;SG
qual	johon	qual	joka	PRO;SG	PRO;IN+ALL;SG
molt	hyvin	molt	hyvin	ADV	ADV
molt	erittäin	molt	erittäin	ADV	ADV
nord	pohjoinen	nord	pohjoinen	N;MASC;SG	N;NOM;SG
nord	pohjoiseen	nord	pohjoinen	N;MASC;SG	N;IN+ALL;SG
nord	pohjois	nord	pohjois	N;MASC;SG	N;NOM;SG
habitants	asukkaita	habitant	asukas	N;PL	N;PRT;PL
habitants	asukkaat	habitant	asukas	N;PL	N;NOM;PL
dones	naisten	dona	nainen	N;FEM;PL	N;GEN;PL
dones	naiset	dona	nainen	N;FEM;PL	N;NOM;PL
dones	naisia	dona	nainen	N;FEM;PL	N;PRT;PL
primer	ensimmäinen	primer	ensimmäinen	ADJ;MASC;SG	ADJ;NOM;SG
segle	vuosisadan	segle	vuosi#sata	N;MASC;SG	N;GEN;SG
segle	vuosisata	segle	vuosi#sata	N;MASC;SG	N;NOM;SG
sud	etelä	sud	etelä	N;MASC;SG	N;NOM;SG
