interior	интерьер	interior	интерьер	N;SG	N;INAN;NOM;MASC;SG
enterprise	предприятие	enterprise	предприятие	N	N;INAN;NOM;NEUT;SG
enterprise	предпринимательства	enterprise	предпринимательство	N	N;INAN;NOM;NEUT;SG
enterprise	энтерпрайз	enterprise	энтерпрайз	N	N;INAN;NOM;MASC;SG
enterprise	предпринимательство	enterprise	предпринимательство	N	N;INAN;NOM;NEUT;SG
integrasi	интеграция	integrasi	интеграция	N;SG	N;INAN;NOM;FEM;SG
staff	персонал	staff	персонал	N	N;INAN;NOM;MASC;SG
staff	сотрудники	staff	сотрудник	N	N;ANIM;NOM;MASC;PL
output	вывод	output	вывод	N	N;INAN;NOM;MASC;SG
output	выпуск	output	выпуск	N	N;INAN;NOM;MASC;SG
output	мероприятия	output	мероприятие	N	N;INAN;NOM;NEUT;PL
mengkritik	критиковать	menkritik	критиковать	V;SG;ACT	V;IPFV;NFIN;ACT
fisiologi	физиологии	fisiologi	физиология	N	N;INAN;NOM;FEM;PL
mengingatkan	напомнил	meningatkan	напомнить	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
mengingatkan	напомнить	meningatkan	напомнить	V;SG;ACT	V;PFV;NFIN;ACT
mengingatkan	напоминаю	meningatkan	напоминать	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
animation	анимации	animation	анимация	N	N;INAN;NOM;FEM;PL
cacing	червь	cacing	червь	N;SG	N;ANIM;NOM;MASC;SG
highland	хайленд	highland	хайленд	N	N;INAN;NOM;MASC;SG
orangtua	родитель	orangtua	родитель	N;SG	N;ANIM;NOM;MASC;SG
gandum	зерно	gandum	зерно	N;SG	N;INAN;NOM;NEUT;SG
gandum	пшеницы	gandum	пшеница	N;SG	N;INAN;NOM;FEM;SG
digit	цифра	digit	цифра	N;SG	N;INAN;NOM;FEM;SG
krim	крем	krim	крем	N;SG	N;INAN;NOM;MASC;SG
cerah	яркий	cerah	яркий	ADJ;SG	ADJ;NOM;MASC;SG
cerah	светлый	cerah	светлый	ADJ;SG	ADJ;NOM;MASC;SG
cerah	яркая	cerah	яркий	ADJ;SG	ADJ;NOM;FEM;SG
cerah	солнечно	cerah	солнечный	ADJ;SG	ADJ;NEUT;SG
cerah	солнечная	cerah	солнечный	ADJ;SG	ADJ;NOM;FEM;SG
cerah	солнечный	cerah	солнечный	ADJ;SG	ADJ;NOM;MASC;SG
rupanya	видимо	rupa	видимо	ADV;SG	ADV
berikan	отдать	berrikan	отдать	V;SG;ACT	V;PFV;NFIN;ACT
berikan	дать	berrikan	дать	V;SG;ACT	V;PFV;NFIN;ACT
berikan	дай	berrikan	дать	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
transformasi	преобразование	transformasi	преобразование	N;SG	N;INAN;NOM;NEUT;SG
transformasi	трансформация	transformasi	трансформация	N;SG	N;INAN;NOM;FEM;SG
transformasi	преобразование	transformasi	преобразование	N;SG	N;INAN;NOM;NEUT;SG
kekacauan	хаос	kekacauan	хаос	N;SG	N;INAN;NOM;MASC;SG
mengenang	вспоминая	menkenang	вспоминать	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
mengenang	вспоминаю	menkenang	вспоминать	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
mengenang	вспоминая	menkenang	вспоминать	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
pilih	выбрать	pilih	выбрать	V;SG;ACT	V;PFV;NFIN;ACT
pilih	выделить	pilih	выделить	V;SG;ACT	V;PFV;NFIN;ACT
pilih	выбрать	pilih	выбрать	V;SG;ACT	V;PFV;NFIN;ACT
impor	импорт	impor	импорт	N;SG;ACT	N;INAN;NOM;MASC;SG
impor	импорт	impor	импорт	N;SG;ACT	N;INAN;NOM;MASC;SG
kesan	впечатление	kesan	впечатление	N;SG	N;INAN;NOM;NEUT;SG
