que	ότι	que	ότι	CONJ	CONJ
con	με	con	με	ADP	ADP
una	ένας	uno	ένας	DET;INDF;FEM;SG	DET;NOM;INDF;MASC;SG
categoría	κατηγορια	categoría	κατηγορία	N;FEM;SG	N;NOM;FEM;SG
categoría	κατηγορία	categoría	κατηγορία	N;FEM;SG	N;NOM;FEM;SG
para	για	para	για	ADP	ADP
como	πως	como	πως	CONJ	CONJ
fue	ήταν	ser	είμαι	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;PASS
más	περισσότερο	más	πολύ	ADV	ADV;CMPR
más	πιο	más	πιο	ADV	ADV
también	επισης	también	επισης	ADV	ADV
también	επίσης	también	επίσης	ADV	ADV
entre	μεταξύ	entre	μεταξύ	ADP	ADP
entre	μεταξυ	entre	μεταξυ	ADP	ADP
este	αυτο	este	αυτός	PRO;MASC;SG	PRO;NOM;NEUT;SG;3
este	αυτό	este	αυτός	PRO;MASC;SG	PRO;NOM;NEUT;SG;3
pero	αλλά	pero	αλλά	CONJ	CONJ
años	χρονια	año	χρονος	N;MASC;PL	N;NOM;NEUT;PL
años	ετη	año	εγώ	N;MASC;PL	N;NOM;NEUT;PL
años	χρόνια	año	χρόνος	N;MASC;PL	N;NOM;NEUT;PL
años	έτη	año	έτος	N;MASC;PL	N;NOM;NEUT;PL
dos	δυο	dos	δύο	NUM;PL	NUM;NOM;PL
dos	δύο	dos	δύο	NUM;PL	NUM;NOM;MASC;PL
año	ετος	año	ετος	N;MASC;SG	N;NOM;NEUT;SG
año	έτος	año	έτος	N;MASC;SG	N;ACC;NEUT;SG
año	χρονιά	año	χρονιά	N;MASC;SG	N;ACC;FEM;SG
año	έτο	año	έτος	N;MASC;SG	N
desde	απο	desde	απο	ADP	ADP
desde	από	desde	από	ADP	ADP
esta	αυτο	este	αυτός	PRO;FEM;SG	PRO;NOM;NEUT;SG;3
esta	αυτό	este	αυτός	PRO;FEM;SG	PRO;NOM;NEUT;SG;3
enlaces	δεσμοί	enlace	δεσμός	N;MASC;PL	N;NOM;MASC;PL
enlaces	συνδέσεις	enlace	σύνδεση	N;MASC;PL	N;NOM;FEM;PL
enlaces	συνδέσμους	enlace	σύνδεσμος	N;MASC;PL	N;ACC;MASC;PL
hasta	μέχρι	hasta	μέχρι	ADP	ADP
hasta	έως	hasta	ώς	ADP	ADP
ciudad	πολη	ciudad	πολη	N;FEM;SG	N;NOM;FEM;SG
ciudad	πόλη	ciudad	πόλη	N;FEM;SG	N;NOM;FEM;SG
ciudad	πολη	ciudad	πολη	N;FEM;SG	N;NOM;FEM;SG
ciudad	πόλη	ciudad	πόλη	N;FEM;SG	N;NOM;FEM;SG
parte	πάρτυ	parte	πάρτυ	N;FEM;SG	N;NOM;NEUT;SG
parte	κόμμα	parte	κόμμα	N;FEM;SG	N;NOM;NEUT;SG
parte	πάρτι	parte	πάρτι	N;FEM;SG	N;NOM;NEUT;SG
parte	μέρος	parte	μέρος	N;FEM;SG	N;NOM;NEUT;SG
parte	μεροσ	parte	μεροσ	N;FEM;SG	N;NOM;NEUT;SG
sin	χωρίς	sin	χωρίς	ADP	ADP
nacional	εθνικός	nacional	εθνικός	ADJ;SG	ADJ;NOM;MASC;SG
nacional	εθνικό	nacional	εθνικός	ADJ;SG	ADJ;NOM;NEUT;SG
nacional	εθνικη	nacional	εθνικη	ADJ;SG	ADJ;NOM;FEM;SG
nacional	εθνική	nacional	εθνικός	ADJ;SG	ADJ;NOM;FEM;SG
team	ομαδα	team	ομαδα	N	N;NOM;FEM;SG
team	ομάδα	team	ομάδα	N	N;ACC;FEM;SG
cuando	όταν	cuando	όταν	CONJ	CONJ
cuando	οταν	cuando	οταν	CONJ	CONJ
nombre	ονομασία	nombre	ονομασία	N;MASC;SG	N;NOM;FEM;SG
nombre	όνομα	nombre	όνομα	N;MASC;SG	N;NOM;NEUT;SG
nombre	ονομα	nombre	ονομα	N;MASC;SG	N;NOM;NEUT;SG
estados	πολιτείες	estado	πολιτεία	N;MASC;PL	N;NOM;FEM;PL
estados	κρατών	estado	κράτος	N;MASC;PL	N;GEN;NEUT;PL
estados	κράτη	estado	κράτος	N;MASC;PL	N;NOM;NEUT;PL
utc	utc	utc	utc	N	N
siglo	αιώνα	siglo	αιώνας	N;MASC;SG	N;ACC;MASC;SG
siglo	αιώνας	siglo	αιώνας	N;MASC;SG	N;NOM;MASC;SG
después	μετα	después	μετα	ADV	ADV
después	μετά	después	μετά	ADV	ADV
después	αργότερα	después	αργά	ADV	ADV;CMPR
después	αργοτερα	después	αργά	ADV	ADV
tiene	έχει	tener	έχω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
otros	άλλες	otro	άλλος	PRO;MASC;PL	PRO;NOM;FEM;PL;3
otros	άλλα	otro	άλλος	PRO;MASC;PL	PRO;NOM;NEUT;PL;3
otros	άλλους	otro	άλλος	PRO;MASC;PL	PRO;NOM;MASC;PL;3
otros	άλλοι	otro	άλλος	PRO;MASC;PL	PRO;NOM;MASC;PL;3
otros	αλλοι	otro	αλλος	PRO;MASC;PL	PRO;NOM;MASC;PL;3
otros	άλλα	otro	άλλος	PRO;MASC;PL	PRO;NOM;NEUT;PL;3
gran	μεγάλη	gran	μεγάλος	ADJ;SG	ADJ;NOM;FEM;SG
gran	μεγάλος	gran	μεγάλος	ADJ;SG	ADJ;NOM;MASC;SG
gran	μεγάλο	gran	μεγάλος	ADJ;SG	ADJ;NOM;NEUT;SG
gran	τέλεια	gran	τέλεια	ADJ;SG	ADJ;NOM;FEM;SG
puede	μπορεί	poder	μπορώ	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
estado	κατάσταση	estado	κατάσταση	N;MASC;SG	N;ACC;FEM;SG
estado	καθεστώς	estado	καθεστώς	N;MASC;SG	N;ACC;NEUT;SG
estado	κατασταση	estado	κατασταση	N;MASC;SG	N;ACC;FEM;SG
estado	κράτος	estado	κράτος	N;MASC;SG	N;NOM;NEUT;SG
estado	πολιτεία	estado	πολιτεία	N;MASC;SG	N;ACC;FEM;SG
estado	κατάσταση	estado	κατάσταση	N;MASC;SG	N;ACC;FEM;SG
estado	όρος	estado	όρος	N;MASC;SG	N;NOM;MASC;SG
lugar	τόπος	lugar	τόπος	N;MASC;SG	N;NOM;MASC;SG
lugar	μέρος	lugar	μέρος	N;MASC;SG	N;NOM;NEUT;SG
lugar	τόπος	lugar	τόπος	N;MASC;SG	N;NOM;MASC;SG
lugar	τοποθεσία	lugar	τοποθεσία	N;MASC;SG	N;NOM;FEM;SG
población	πληθυσμός	población	πληθυσμός	N;FEM;SG	N;NOM;MASC;SG
población	πληθυσμού	población	πληθυσμός	N;FEM;SG	N;GEN;MASC;SG
muy	πολυ	mucho	πολυ	ADV	ADV
muy	πολύ	mucho	πολύ	ADV	ADV
