ve	και	ve	και	CONJ	CONJ
en	αγαπημένα	en	αγαπημένος	ADV	ADV
daha	περισσότερο	daha	πολύ	ADV	ADV;CMPR
daha	πιο	daha	πιο	ADV	ADV
sonra	τότε	sonra	τότε	ADV	ADV
sonra	μετά	sonra	μετά	ADV	ADV
sonra	μετα	sonra	μετα	ADV	ADV
sonra	μετά	sonra	μετά	ADV	ADV
sonra	αργότερα	sonra	αργά	ADV	ADV;CMPR
sonra	αργοτερα	sonra	αργά	ADV	ADV
yer	τόπος	yer	τόπος	N;NOM;SG;3	N;NOM;MASC;SG
yer	μέρος	yer	μέρος	N;NOM;SG;3	N;NOM;NEUT;SG
yer	τόπος	yer	τόπος	N;NOM;SG;3	N;NOM;MASC;SG
yer	τοποθεσία	yer	τοποθεσία	N;NOM;SG;3	N;NOM;FEM;SG
bağlantılar	συνδέσεις	bağlantı	σύνδεση	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	διασυνδέσεις	bağlantı	διασύνδεση	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	δεσμοί	bağlantı	δεσμός	N;NOM;PL;3	N;NOM;MASC;PL
bağlantılar	συνδέσεις	bağlantı	σύνδεση	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	επαφές	bağlantı	επαφή	N;NOM;PL;3	N;NOM;FEM;PL
center	κέντρο	center	κέντρο	N;NOM;SG;3	N;NOM;NEUT;SG
center	κεντρο	center	κεντρο	N;NOM;SG;3	N;NOM;NEUT;SG
türk	τουρκικό	türk	τουρκικός	ADJ	ADJ;NOM;NEUT;SG
türk	τουρκική	türk	τουρκικός	ADJ	ADJ;NOM;FEM;SG
yeni	νέο	yeni	νέος	ADJ	ADJ;ACC;NEUT;SG
yeni	νέα	yeni	νέος	ADJ	ADJ;NOM;NEUT;PL
yeni	νέος	yeni	νέος	ADJ	ADJ;NOM;MASC;SG
aynı	ίδια	aynı	ίδιος	ADJ	ADJ;NOM;FEM;SG
aynı	ίδιο	aynı	ίδιος	ADJ	ADJ;NOM;NEUT;SG
aynı	ίδιοι	aynı	ίδιος	ADJ	ADJ;NOM;MASC;PL
ilgili	σχετικές	ilgili	σχετικός	ADJ	ADJ;NOM;FEM;PL
ilgili	σχετική	ilgili	σχετικός	ADJ	ADJ;NOM;FEM;SG
ilgili	σχετικοί	ilgili	σχετικός	ADJ	ADJ;NOM;MASC;PL
ilgili	σχετικό	ilgili	σχετικός	ADJ	ADJ;NOM;NEUT;SG
ilgili	ενδιαφερόμενα	ilgili	ενδιαφερόμενος	ADJ	ADJ;NOM;NEUT;PL
ilgili	σχετική	ilgili	σχετικός	ADJ	ADJ;NOM;FEM;SG
ilgili	σχετικές	ilgili	σχετικός	ADJ	ADJ;NOM;FEM;PL
ilgili	σχετικό	ilgili	σχετικός	ADJ	ADJ;NOM;NEUT;SG
madde	ουσία	madde	ουσία	N;NOM;SG;3	N;NOM;FEM;SG
madde	ρήτρα	madde	ρήτρα	N;NOM;SG;3	N;NOM;FEM;SG
madde	υλικό	madde	υλικό	N;NOM;SG;3	N;NOM;NEUT;SG
madde	ύλη	madde	ύλος	N;NOM;SG;3	N;NOM;FEM;SG
madde	αρθρο	madde	αρθρο	N;NOM;SG;3	N;NOM;NEUT;SG
madde	άρθρο	madde	άρθρο	N;NOM;SG;3	N;NOM;NEUT;SG
sağlık	ευεξία	sağlık	ευεξία	N;NOM;SG;3	N;NOM;FEM;SG
sağlık	υγεία	sağlık	υγεία	N;NOM;SG;3	N;NOM;FEM;SG
genel	γενική	genel	γενικός	ADJ	ADJ;NOM;FEM;SG
genel	γενικές	genel	γενικός	ADJ	ADJ;NOM;FEM;PL
genel	γενικό	genel	γενικός	ADJ	ADJ;NOM;NEUT;SG
adı	ονομασία	ad	ονομασία	N;NOM;SG;3	N;NOM;FEM;SG
adı	όνομα	ad	όνομα	N;NOM;SG;3	N;NOM;NEUT;SG
adı	ονομα	ad	ονομα	N;NOM;SG;3	N;NOM;NEUT;SG
ocak	ιαν	ocak	ιαν		
ama	αλλά	ama	αλλά	CONJ	CONJ
içinde	μέσα	içinde	μέσα	ADV	ADV
içinde	μεσα	içinde	μεσα	ADV	ADV
içinde	εντός	içinde	εντός	ADV	ADV
üniversitesi	πανεπιστήμιο	üniversitesi	πανεπιστήμιο	N;NOM;SG;3	N;NOM;NEUT;SG
üniversitesi	πανεπιστημιο	üniversitesi	πανεπιστημιο	N;NOM;SG;3	N;NOM;NEUT;SG
zaman	χρόνος	zaman	χρόνος	N;NOM;SG;3	N;NOM;MASC;SG
aralık	δεκέμβριο	aralık	δεκέμβριος	N;NOM;SG;3	N
aralık	δεκέμβριος	aralık	δεκέμβριος	N;NOM;SG;3	N;NOM;MASC;SG
aralık	απόφ	aralık	απόφ	N;NOM;SG;3	N
aralık	διάστημα	aralık	διάστημα	N;NOM;SG;3	N;NOM;NEUT;SG
yüksek	υψηλή	yüksek	ψηλός	ADJ	ADJ;NOM;FEM;SG
yüksek	υψηλός	yüksek	υψηλός	ADJ	ADJ;NOM;MASC;SG
yüksek	υψηλό	yüksek	ψηλός	ADJ	ADJ;NOM;NEUT;SG
yüksek	υψηλότερη	yüksek	ψηλός	ADJ	ADJ;NOM;CMPR;FEM;SG
yüksek	υψηλότερο	yüksek	ψηλός	ADJ	ADJ;NOM;CMPR;NEUT;SG
şubat	φεβ	şubat	φεβ		
sadece	μόνον	sadece	μόνο	ADV	ADV
sadece	μόνο	sadece	μόνο	ADV	ADV
sadece	μονο	sadece	μονο	ADV	ADV
sadece	απλα	sadece	απλά	ADV	ADV
sadece	απλά	sadece	απλά	ADV	ADV
sadece	απλώς	sadece	απλά	ADV	ADV
devlet	κράτος	devlet	κράτος	N;NOM;SG;3	N;NOM;NEUT;SG
devlet	κυβέρνηση	devlet	κυβέρνηση	N;NOM;SG;3	N;NOM;FEM;SG
üç	τρεις	üç	τρεις	NUM	NUM;NOM;MASC;PL
üç	τρία	üç	τρεις	NUM	NUM;NOM;NEUT;PL
üç	τρια	üç	τρεις	NUM	NUM
başladı	άρχισε	başla	αρχίζω	V;PFV;IND;SG;3;POS;PST	V;PFV;IND;SG;3;PST;FIN;ACT
başladı	ξεκίνησε	başla	ξεκινώ	V;PFV;IND;SG;3;POS;PST	V;PFV;IND;SG;3;PST;FIN;ACT
küçük	μικρή	küçük	μικρός	ADJ	ADJ;NOM;FEM;SG
küçük	μικρό	küçük	μικρός	ADJ	ADJ;NOM;NEUT;SG
küçük	μικρές	küçük	μικρός	ADJ	ADJ;NOM;FEM;PL
küçük	μικρός	küçük	μικρός	ADJ	ADJ;NOM;MASC;SG
küçük	μικρή	küçük	μικρός	ADJ	ADJ;NOM;FEM;SG
küçük	μικρό	küçük	μικρός	ADJ	ADJ;NOM;NEUT;SG
