پَوڑھنا	descansa	پَوڑھنا	descansar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پوست	shell	پوست	shell		
پوست	shell	پوست	shell		
پوست	pell	پوست	pell		
پوشیدنی	indumentària	پوشیدنی	indumentària	ADJ;NOM	ADJ;FEM;SG
پوشیدنی	vestit	پوشیدنی	vestit	ADJ;NOM	ADJ;MASC;SG;V.PTCP
پوشیدہ	cobert	پوشیدہ	cobert	ADJ	ADJ;MASC;SG;V.PTCP
پوشیدہ	cobertes	پوشیدہ	cobert	ADJ	ADJ;FEM;PL;V.PTCP
پوشیدہ	discreta	پوشیدہ	discret	ADJ	ADJ;FEM;SG
پوشیدہ	amagat	پوشیدہ	amagar	ADJ	ADJ;MASC;SG;V.PTCP
پوشیدہ	cobert	پوشیدہ	cobert	ADJ	ADJ;MASC;SG;V.PTCP
پوشیدہ	cobertes	پوشیدہ	cobert	ADJ	ADJ;FEM;PL;V.PTCP
پوشیدہ	discreta	پوشیدہ	discret	ADJ	ADJ;FEM;SG
پوشیدہ	amagat	پوشیدہ	amagar	ADJ	ADJ;MASC;SG;V.PTCP
پہاڑ	muntanya	پہاڑ	muntanya	N;NOM;MASC;SG;3	N;FEM;SG
پہپٹ	frau	پہپٹ	frau		
پہپٹ	soroll	پہپٹ	soroll		
پہپٹ	engany	پہپٹ	engany		
پہچان	distinció	پہچان	distinció	N;NOM;MASC;SG;3	N;FEM;SG
پہچان	identificació	پہچان	identificació	N;NOM;MASC;SG;3	N;FEM;SG
پہچان	reconeixement	پہچان	reconeixement	N;NOM;MASC;SG;3	N;MASC;SG
پہچان	familiaritat	پہچان	familiaritat	N;NOM;MASC;SG;3	N;FEM;SG
پہچاننا	distingir	پہچان	distingir	V;SG;NFIN;ACT	V;NFIN
پہچاننا	distingir	پہچان	distingir	V;SG;NFIN;ACT	V;NFIN
پہچاننا	identificar	پہچان	identificar	V;SG;NFIN;ACT	V;NFIN
پہَل	side	پہَل	side		
پہلا	principal	پہلا	principal	ADJ;NOM;MASC;SG	ADJ;SG
پہلا	anterior	پہلا	anterior	ADJ;NOM;MASC;SG	ADJ;SG
پہلا	original	پہلا	original	ADJ;NOM;MASC;SG	ADJ;SG
پہلا	primari	پہلا	primari	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پہلا	antiga	پہلا	antic	ADJ;NOM;MASC;SG	ADJ;FEM;SG
پہلا	primer	پہلا	primer	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پہلا	primera	پہلا	primer	ADJ;NOM;MASC;SG	ADJ;FEM;SG
پہلومارنا	concursar	پہلومارنا	concursar	V;SG;NFIN;ACT	V;NFIN
پہلومارنا	competir	پہلومارنا	competir	V;SG;NFIN;ACT	V;NFIN
پہلومارنا	emular	پہلومارنا	emular	V;SG;NFIN;ACT	V;NFIN
پہنچانا	transmetre	پہنچ	transmetre	V;MASC;SG;NFIN;ACT	V;NFIN
پہنچانا	portar	پہنچ	portar	V;MASC;SG;NFIN;ACT	V;NFIN
پہنچانا	transmetre	پہنچ	transmetre	V;MASC;SG;NFIN;ACT	V;NFIN
پہنچنا	rebre	پہنچ	rebre	V;MASC;SG;NFIN;ACT	V;NFIN
پہنچنا	assolir	پہنچ	assolir	V;MASC;SG;NFIN;ACT	V;NFIN
پہنچنا	rebre	پہنچ	rebre	V;MASC;SG;NFIN;ACT	V;NFIN
پہنچنا	assolir	پہنچ	assolir	V;MASC;SG;NFIN;ACT	V;NFIN
پَے	after	پَہ	after		
پَے	defecte	پَہ	defecte		
پَے	traça	پَہ	traça		
پَے	peu	پَہ	peu		
پیار	amor	پیار	amor	N;NOM;MASC;SG;3	N;MASC;SG
پیار	amistat	پیار	amistat	N;NOM;MASC;SG;3	N;FEM;SG
پیارا	encantador	پیارا	encantador	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پیارا	encantador	پیارا	encantador	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پِیٹنا	sancionar	پِیٹ	sancionar	V;MASC;SG;NFIN;ACT	V;NFIN
پِیٹنا	inclina	پِیٹ	inclinar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پیچاک	torn	پیچاک	torn		
پیچاک	curl	پیچاک	curl		
پیچیدگی	gir	پیچیدگی	gir	N;NOM;MASC;SG;3	N;MASC;SG
پیچیدگی	complicació	پیچیدگی	complicació	N;NOM;MASC;SG;3	N;FEM;SG
پیچیدگی	complexitat	پیچیدگی	complexitat	N;NOM;MASC;SG;3	N;FEM;SG
پیچیدگی	gir	پیچیدگی	gir	N;NOM;MASC;SG;3	N;MASC;SG
پیچیدگی	complicació	پیچیدگی	complicació	N;NOM;MASC;SG;3	N;FEM;SG
پیچیدہ	ambigua	پیچیدہ	ambigu	ADJ	ADJ;FEM;SG
پیچیدہ	ambigu	پیچیدہ	ambigu	ADJ	ADJ;MASC;SG
پیچیدہ	implicats	پیچیدہ	implicat	ADJ	ADJ;MASC;PL;V.PTCP
پیچیدہ	involucrat	پیچیدہ	involucrar	ADJ	ADJ;MASC;SG;V.PTCP
پیچیدہ	retorçada	پیچیدہ	retorçada	ADJ	ADJ;FEM;SG;V.PTCP
پیچیدہ	difícil	پیچیدہ	difícil	ADJ	ADJ;SG
پیچیدہ	complicat	پیچیدہ	complicat	ADJ	ADJ;MASC;SG;V.PTCP
پیچیدہ	ambigua	پیچیدہ	ambigu	ADJ	ADJ;FEM;SG
پیچیدہ	ambigu	پیچیدہ	ambigu	ADJ	ADJ;MASC;SG
پیچیدہ	implicats	پیچیدہ	implicat	ADJ	ADJ;MASC;PL;V.PTCP
پیچیدہ	involucrat	پیچیدہ	involucrar	ADJ	ADJ;MASC;SG;V.PTCP
پیچیدہ	complexes	پیچیدہ	complex	ADJ	ADJ;FEM;PL
پیچیدہ	complex	پیچیدہ	complex	ADJ	ADJ;MASC;SG
پیچیدہ	retorçada	پیچیدہ	retorçada	ADJ	ADJ;FEM;SG;V.PTCP
پیچیدہ	difícil	پیچیدہ	difícil	ADJ	ADJ;SG
پیچیدہ	complicat	پیچیدہ	complicat	ADJ	ADJ;MASC;SG;V.PTCP
پیش	abans	پیش	abans	ADV;MASC;SG;3	ADV
پیشانی	títol	پیشانی	títol	N;NOM;MASC;SG;3	N;MASC;SG
پیشانی	títol	پیشانی	títol	N;NOM;MASC;SG;3	N;MASC;SG
پیشکاری	agència	پیشکاری	agència	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	presentació	پیشکش	presentació	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	homenatge	پیشکش	homenatge	N;NOM;MASC;SG;3	N;MASC;SG
پیشکش	proposta	پیشکش	proposta	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	presentació	پیشکش	presentació	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	homenatge	پیشکش	homenatge	N;NOM;MASC;SG;3	N;MASC;SG
پیشکش	oferta	پیشکش	oferta	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	proposta	پیشکش	proposta	N;NOM;MASC;SG;3	N;FEM;SG
پیشگی	antelació	پیشگی	antelació	N;NOM;MASC;SG;3	N;FEM;SG
پیشگی	bestreta	پیشگی	bestret	N;NOM;MASC;SG;3	N;FEM;SG
پیشوا	model	پیشوا	model	N;NOM;MASC;SG;3	N;MASC;SG
پیشوا	guia	پیشوا	guia	N;NOM;MASC;SG;3	N;FEM;SG
پیشوا	líder	پیشوا	líder	N;NOM;MASC;SG;3	N;SG
پیشوا	sacerdot	پیشوا	sacerdot	N;NOM;MASC;SG;3	N;MASC;SG
پیشوائی	prioritat	پیشوائی	prioritat	N;NOM;MASC;SG;3	N;FEM;SG
پیشوائی	lideratge	پیشوائی	lideratge	N;NOM;MASC;SG;3	N;MASC;SG
پیشوائی	orientació	پیشوائی	orientació	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	vocació	پیشہ	vocació	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	comerç	پیشہ	comerç	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	negoci	پیشہ	negoci	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	despatx	پیشہ	despatx	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	oficina	پیشہ	oficina	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	prostitució	پیشہ	prostitució	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	professió	پیشہ	professió	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	vocació	پیشہ	vocació	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	comerç	پیشہ	comerç	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	negoci	پیشہ	negoci	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	despatx	پیشہ	despatx	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	oficina	پیشہ	oficina	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	prostitució	پیشہ	prostitució	N;NOM;MASC;SG;3	N;FEM;SG
پیشی	presència	پیشی	presència	N;NOM;MASC;SG;3	N;FEM;SG
پیشین	tarda	پیشین	tarda	N;NOM;MASC;SG;3	N;FEM;SG
پیشین	vespre	پیشین	vespre	N;NOM;MASC;SG;3	N;MASC;SG
پیشین	prior	پیشین	prior	N;NOM;MASC;SG;3	N;MASC;SG
پیل	push	پیل	push		
پَیں	bip	پَیں	bip		
پھاڑ	divideix	چیرپھاڑ	dividir	V;ACT	V;IND;SG;3;PRS;FIN
پھاڑنا	escindir	پھاڑ	escindir	V;SG;NFIN;ACT	V;NFIN
پھاڑنا	irritar	پھاڑ	irritar	V;SG;NFIN;ACT	V;NFIN
پھال	pas	پھال	pas		
پھان	parany	پھان	parany		
پھانٹنا	lliura	پھانٹنا	lliurar	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
پھانٹنا	esclafar	پھانٹنا	esclafar	V;NFIN;ACT	V;NFIN
پھانس	parany	پھانس	parany		
پھانسی	estrangulació	پھانسی	estrangulació	N;NOM;FEM;SG;3	N;FEM;SG
پھانسی	bucle	پھانسی	bucle	N;NOM;FEM;SG;3	N;MASC;SG
پھانکڑ	negreta	پھانکڑ	negreta		
پھانکڑ	fop	پھانکڑ	fop		
پھانکڑ	smart	پھانکڑ	smart		
پھانکنا	obre	پھانکنا	obrir	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
پھب	gràcia	پھب	gràcia		
پھب	gracia	پھب	gracia		
پھبن	gràcia	پھبن	gràcia		
پھبن	gracia	پھبن	gracia		
پھٹ	desborden	پھٹ	desbordar	V;ACT	V;IND;PL;3;PRS;FIN
پھٹا	divideix	پھٹا	dividir	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
پِھٹکارنا	reprendrà	پرھٹکار	reprendre	V;NFIN;ACT	V;IND;SG;3;FUT;FIN
پُھٹکر	canvia	پُھٹکر	canviar	V;V.CVB;ACT	V;IND;SG;3;PRS;FIN
پھٹکن	chaff	پھٹکن	chaff		
