nov	nov	nov	nov		
khatulistiwa	ecuador	khatulistiwa	ecuador	N	N;MASC;SG
kewenangan	autoridad	kewenangan	autoridad	N;SG	N;FEM;SG
bawahan	vasallo	bawahan	vasallo	N;SG	N;MASC;SG
transformers	transformadores	transformers	transformador	N	N;MASC;PL
transformers	transformers	transformers	transformer	N	N;MASC;PL
liter	litro	liter	litro	N;SG	N;MASC;SG
liter	litro	liter	litro	N;SG	N;MASC;SG
senator	senador	senator	senador	N	N;MASC;SG
senator	senadora	senator	senadora	N	N;FEM;SG
senator	senadores	senator	senador	N	N;MASC;PL
semak	arbusto	semak	arbusto	N;SG	N;MASC;SG
destinasi	destino	destinasi	destino	N;SG	N;MASC;SG
mendeteksi	detecta	mendeteksi	detectar	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendeteksi	detecte	mendeteksi	detectar	V;SG;ACT	V;SBJV;SG;3;FIN
mendeteksi	detectó	mendeteksi	detectar	V;SG;ACT	V;IND;SG;3;PST;FIN
mendeteksi	detectar	mendeteksi	detectar	V;SG;ACT	V;NFIN
mendeteksi	detecta	mendeteksi	detectar	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendeteksi	detectar	mendeteksi	detectar	V;SG;ACT	V;NFIN
mendeteksi	detectando	mendeteksi	detectar	V;SG;ACT	V;V.MSDR
komoditas	mercancía	komoditas	mercancía	N;SG	N;FEM;SG
usus	intestino	usus	intestino	N;SG	N;MASC;SG
usus	intestino	usus	intestino	N;SG	N;MASC;SG
usus	colón	usus	colón	N;SG	N;MASC;SG
usus	colon	usus	colon	N;SG	N;MASC;SG
usus	intestino	usus	intestino	N;SG	N;MASC;SG
usus	tripa	usus	tripa	N;SG	N;FEM;SG
sosiologi	sociología	sosiologi	sociología	N;SG	N;FEM;SG
argumen	args	argumen	args	N;SG	N
argumen	argumento	argumen	argumento	N;SG	N;MASC;SG
argumen	argumentación	argumen	argumentación	N;SG	N;FEM;SG
argumen	argumentación	argumen	argumentación	N;SG	N;FEM;SG
memuji	alabando	menpuji	alabar	V;SG;ACT	V;V.MSDR
memuji	alabar	menpuji	alabar	V;SG;ACT	V;NFIN
memuji	felicitó	menpuji	felicitar	V;SG;ACT	V;IND;SG;3;PST;FIN
memuji	elogió	menpuji	elogiar	V;SG;ACT	V;IND;SG;3;PST;FIN
fragmen	fragmento	fragmen	fragmento	N;SG	N;MASC;SG
popularitas	popularidad	popularitas	popularidad	N;SG	N;FEM;SG
buka	abrir	buka	abrir	V;SG;ACT	V;NFIN
buka	abre	buka	abrir	V;SG;ACT	V;IND;SG;3;PRS;FIN
buka	abra	buka	abrir	V;SG;ACT	V;IMP;SG;3;FIN
frasa	frase	frasa	frase	N	N;FEM;SG
frasa	frases	frasa	frase	N	N;FEM;PL
spektrum	espectro	spektrum	espectro	N;SG	N;MASC;SG
teroris	terrorismo	teroris	terrorismo	N;SG	N;MASC;SG
teroris	terrorista	teroris	terrorista	N;SG	N;SG
teroris	terrorista	teroris	terrorista	N;SG	N;SG
pendekar	espadachín	pendekar	espadachín	N;SG	N;MASC;SG
dikirimkan	entregó	dikirimkan	entregar	V;SG;PASS	V;IND;SG;3;PST;FIN
dikirimkan	envió	dikirimkan	enviar	V;SG;PASS	V;IND;SG;3;PST;FIN
dikirimkan	publicó	dikirimkan	publicar	V;SG;PASS	V;IND;SG;3;PST;FIN
professor	profesor	professor	profesor	N	N;MASC;SG
professor	catedrático	professor	catedrático	N	N;MASC;SG
professor	profesora	professor	profesora	N	N;FEM;SG
cakram	disco	cakram	disco	N;SG	N;MASC;SG
cakram	disco	cakram	disco	N;SG	N;MASC;SG
penjahat	villano	penjahat	villano	N;SG	N;MASC;SG
penjahat	delincuente	penjahat	delincuente	N;SG	N;SG
penjahat	forajido	penjahat	forajido	N;SG	N;MASC;SG
inci	centímetro	inci	centímetro	N;SG	N;MASC;SG
rincian	desglose	rincian	desglose	N;SG	N;MASC;SG
rincian	detalle	rincian	detalle	N;SG	N;MASC;SG
rincian	detalle	rincian	detalle	N;SG	N;MASC;SG
kegunaan	uso	kegunaan	uso	N;SG	N;MASC;SG
kegunaan	utilización	kegunaan	utilización	N;SG	N;FEM;SG
miring	inclinación	miring	inclinación	N;SG	N;FEM;SG
miring	cursiva	miring	cursiva	N;SG	N;FEM;SG
miring	cursiva	miring	cursiva	N;SG	N;FEM;SG
memukul	golpeó	menpukul	golpear	V;SG;ACT	V;IND;SG;3;PST;FIN
memukul	golpear	menpukul	golpear	V;SG;ACT	V;NFIN
memukul	golpeando	menpukul	golpear	V;SG;ACT	V;V.MSDR
memukul	golpear	menpukul	golpear	V;SG;ACT	V;NFIN
memukul	batear	menpukul	batear	V;SG;ACT	V;NFIN
pemirsa	espectador	penpirsa	espectador	N;SG	N;MASC;SG
pemirsa	visor	penpirsa	visor	N;SG	N;MASC;SG
pemirsa	público	penpirsa	público	N;SG	N;MASC;SG
pemirsa	audiencia	penpirsa	audiencia	N;SG	N;FEM;SG
pemirsa	auditorio	penpirsa	auditorio	N;SG	N;MASC;SG
pemirsa	público	penpirsa	público	N;SG	N;MASC;SG
sate	brochetas	sate	brocheta	N	N;FEM;PL
nasihat	asesoría	nasihat	asesoría	N;SG	N;FEM;SG
nasihat	asesoramiento	nasihat	asesoramiento	N;SG	N;MASC;SG
nasihat	asesoramiento	nasihat	asesoramiento	N;SG	N;MASC;SG
nasihat	consejo	nasihat	consejo	N;SG	N;MASC;SG
item	elemento	item	elemento	N	N;MASC;SG
item	artículo	item	artículo	N	N;MASC;SG
item	ítems	item	ítems	N	N;MASC;PL
item	articulos	item	articulo	N	N;MASC;PL
item	artículos	item	artículo	N	N;MASC;PL
luther	luther	luther	luther	N	N;MASC;SG
