年	イヤー	年	イヤー	N	N
月	ムーン	月	ムーン	N	N
月	ヶ月	月	ヶ月	N	N
月	月間	月	月間	N	N
村	村落	村	村落	N	N
村	ヴィレッジ	村	ヴィレッジ	N	N
人	男性	人	男性	N	N
人	ピープル	人	ピープル	N	N
重	ヘビー	重	ヘビー	N	N
一	一	一	一	NUM	NUM
留言	メッセージ	留言	メッセージ	N	N
留言	伝言	留言	伝言	N	N
市	都市	市	都市	N	N
市	市町村	市	市町村	N	N
站	ステーション	站	ステーション	N	N
站	スタンド	站	スタンド	N	N
州	都道府県	州	都道府県	N	N
州	状態	州	状態	N	N
研究	勉強	研究	勉強	V	V
研究	研究	研究	研究	V	V
研究	研究	研究	研究	V	V
研究	リサーチ	研究	リサーチ	V	V
前	以前	前	以前	N	N
家	自宅	家	自宅	N	N
家	ホーム	家	ホーム	N	N
米	ご飯	米	ご飯	N	N
米	ライス	米	ライス	N	N
米	メートル	米	メートル	N	N
米	メーター	米	メーター	N	N
使用	使い	使用	使う	V	V
使用	使用	使用	使用	V	V
公司	会社	公司	会社	N	N
公司	会社	公司	会社	N	N
一	一	一	一	NUM	NUM
西	ウエスト	西	ウエスト	N	N
西	西部	西	西部	N	N
二	二	二	二	NUM	NUM
二	二	二	二	NUM	NUM
區	ゾーン	區	ゾーン	N	N
區	地区	區	地区	N	N
區	面積	區	面積	N	N
區	領域	區	領域	N	N
區	エリア	區	エリア	N	N
人口	人口	人口	人口	N	N
政府	政府	政府	政府	N	N
集	集合	集	集合	N	N
集	セット	集	セット	N	N
集	エピソード	集	エピソード	N	N
世界	世界	世界	世界	N	N
世界	ワールド	世界	ワールド	N	N
南	ナン	南	ナン	N	N
路	道路	路	道路	N	N
五	五	五	五	NUM	NUM
人民	ピープル	人民	ピープル	N	N
包括	含める	包括	含める	V	V
包括	含む	包括	含む	V	V
包括	含む	包括	含む	V	V
其他	その	其他	その	DET	DET
其他	その	其他	その	DET	DET
塔	仏塔	塔	仏塔	N	N
塔	タワー	塔	タワー	N	N
時間	タイム	時間	タイム	N	N
時間	時間	時間	時間	N	N
城	都市	城	都市	N	N
城	キャッスル	城	キャッスル	N	N
中心	センター	中心	センター	N	N
中心	中央	中心	中央	N	N
中心	中心	中心	中心	N	N
中心	中央	中心	中央	N	N
中心	センター	中心	センター	N	N
中心	中心	中心	中心	N	N
線	直線	線	直線	N	N
線	ライン	線	ライン	N	N
線	スレッド	線	スレッド	N	N
山	マウンテン	山	マウンテン	N	N
山	マウント	山	マウント	N	N
山	ヒル	山	ヒル	N	N
山	山地	山	山地	N	N
山	山脈	山	山脈	N	N
太空	スペース	太空	スペース	N	N
太空	空間	太空	空間	N	N
內	内側	內	内側	N	N
內	インナー	內	インナー	N	N
內	内面	內	内面	N	N
管理	経営	管理	経営	V	V
管理	管理	管理	管理	V	V
管理	管理	管理	管理	V	V
建	構築	建	構築	V	V
性	性別	性	性別	N	N
性	セックス	性	セックス	N	N
代表	代理人	代表	代理人	N	N
那	それ	那	それ	PRO	PRO
公里	キロメートル	公里	キロメートル	N	N
公里	キロメートル	公里	キロメートル	N	N
公里	キロ	公里	キロ	N	N
公里	キロメートル	公里	キロメートル	N	N
這	これ	這	これ	PRO	PRO
大學	大学	大學	大学	N	N
大學	大学	大學	大学	N	N
大學	カレッジ	大學	カレッジ	N	N
大學	大学	大學	大学	N	N
版	エディション	版	エディション	N	N
版	バージョン	版	バージョン	N	N
工作	職業	工作	職業	N	N
工作	仕事	工作	仕事	N	N
工作	ジョブ	工作	ジョブ	N	N
工作	作業	工作	作業	N	N
工作	仕事	工作	仕事	N	N
工作	ワーク	工作	ワーク	N	N
工作	ジョブ	工作	ジョブ	N	N
工作	求人	工作	求人	N	N
工作	作業	工作	作業	N	N
政治	政治	政治	政治	N	N
星	スター	星	スター	N	N
星	恒星	星	恒星	N	N
她	彼女	她	彼女	PRO;3	PRO
面	ヌードル	面	ヌードル	N	N
面	麺	面	麺	N	N
作品	作品	作品	作品	N	N
河	河川	河	河川	N	N
文化	文化	文化	文化	N	N
文化	カルチャー	文化	カルチャー	N	N
條目	エントリー	條目	エントリー	N	N
條目	項目	條目	項目	N	N
條目	エントリ	條目	エントリ	N	N
更	もっと	更	もっと	ADV	ADV
電影	映画	電影	映画	N	N
電影	ムービー	電影	ムービー	N	N
電影	映画	電影	映画	N	N
電影	映画	電影	映画	N	N
電影	フィルム	電影	フィルム	N	N
電影	映画	電影	映画	N	N
季	季節	季	季節	N	N
季	シーズン	季	シーズン	N	N
季	季節	季	季節	N	N
季	シーズン	季	シーズン	N	N
女	女性	女	女性	N	N
女	女性	女	女性	N	N
字	ワード	字	ワード	N	N
字	言葉	字	言葉	N	N
字	単語	字	単語	N	N
字	言葉	字	言葉	N	N
字	単語	字	単語	N	N
足球	サッカー	足球	サッカー	N	N
足球	フットボール	足球	フットボール	N	N
目前	現在	目前	現在	N	N
目前	現在	目前	現在	N	N
部分	一部	部分	一部	N	N
中央	中央	中央	中央	N	N
國家	国名	國家	国名	N	N
國家	カントリー	國家	カントリー	N	N
國家	都道府県	國家	都道府県	N	N
國家	状態	國家	状態	N	N
國家	国民	國家	国民	N	N
國家	国々	國家	国々	N	N
球	ボール	球	ボール	N	N
街	ストリート	街	ストリート	N	N
街	通り	街	通り	N	N
城市	都市	城市	都市	N	N
城市	都市	城市	都市	N	N
水	ウォーター	水	ウォーター	N	N
人物	文字	人物	文字	N	N
人物	性格	人物	性格	N	N
人物	キャラクター	人物	キャラクター	N	N
軍	軍隊	軍	軍隊	N	N
軍	陸軍	軍	陸軍	N	N
加入	参加	加入	参加	V	V
魚	魚類	魚	魚類	N	N
波	波動	波	波動	N	N
波	ウェーブ	波	ウェーブ	N	N
你	あなた	你	あなた	PRO;2	PRO
話	方言	話	方言	N	N
東	イースト	東	イースト	N	N
石	ストーン	石	ストーン	N	N
事件	イベント	事件	イベント	N	N
事件	行事	事件	行事	N	N
事件	イベント	事件	イベント	N	N
事件	行事	事件	行事	N	N
建立	創造	建立	創造	V	V
建立	作成	建立	作成	V	V
建立	設立	建立	設立	V	V
建立	構築	建立	構築	V	V
生活	生活	生活	生活	V	V
教育	教育	教育	教育	N	N
教育	学歴	教育	学歴	N	N
車站	ステーション	車站	ステーション	N	N
國際	インターナショナル	國際	インターナショナル	N	N
國際	国際	國際	国際	N	N
完成	終了	完成	終了	V	V
完成	終了	完成	終了	V	V
完成	完備	完成	完備	V	V
白	ホワイト	白	ホワイト	N	N
音樂	ミュージック	音樂	ミュージック	N	N
音樂	音楽	音樂	音楽	N	N
音樂	ミュージカル	音樂	ミュージカル	N	N
可能	可能性	可能	可能性	N	N
分布	分布	分布	分布	V	V
分布	流通	分布	流通	V	V
地區	地区	地區	地区	N	N
地區	面積	地區	面積	N	N
地區	領域	地區	領域	N	N
地區	エリア	地區	エリア	N	N
車	自動車	車	自動車	N	N
車	クルマ	車	クルマ	N	N
車	カーズ	車	カーズ	N	N
官	役員	官	役員	N	N
官	巡査	官	巡査	N	N
中文	中国語	中文	中国語	N	N
中文	中国人	中文	中国人	N	N
自由	無料	自由	無料	N	N
獲得	ゲット	獲得	ゲット	V	V
光	ライト	光	ライト	N	N
重要	重要	重要	重要	ADJ	ADJ
工程	工学	工程	工学	N	N
工程	エンジニアリング	工程	エンジニアリング	N	N
工程	作品	工程	作品	N	N
最後	最終	最後	最終	N	N
最後	ラスト	最後	ラスト	N	N
最後	最後	最後	最後	N	N
提交	提出	提交	提出	V	V
提交	送信	提交	送信	V	V
提交	提出	提交	提出	V	V
最佳	最適	最佳	最適	ADJ	ADJ
這	この	這	この	DET	DET
地方	場所	地方	場所	N	N
地方	スポット	地方	スポット	N	N
地方	場所	地方	場所	N	N
地方	スポット	地方	スポット	N	N
系列	シリーズ	系列	シリーズ	N	N
電視	テレビ	電視	テレビ	N	N
黑	ダーク	黑	ダーク	N	N
花	お	花	お	N	N
花	フラワー	花	フラワー	N	N
遊戲	ゲーム	遊戲	ゲーム	N	N
遊戲	ゲーム	遊戲	ゲーム	N	N
要求	要求	要求	要求	V	V
要求	請求	要求	請求	V	V
要求	催告	要求	催告	V	V
版本	バージョン	版本	バージョン	N	N
版本	エディション	版本	エディション	N	N
版本	バージョン	版本	バージョン	N	N
發現	発見	發現	発見	V	V
發現	発見	發現	発見	V	V
語	言語	語	言語	N	N
只有	のみ	只有	のみ	ADP	ADP
內容	コンテンツ	內容	コンテンツ	N	N
內容	内容	內容	内容	N	N
製作	製作	製作	製作	V	V
製作	生産	製作	生産	V	V
出生	誕生	出生	誕生	V	V
航空	航空	航空	航空	N	N
航空	エアロ	航空	エアロ	N	N
航空	空気	航空	空気	N	N
航空	航空	航空	航空	N	N
數	カウント	數	カウント	N	N
數	カウント	數	カウント	N	N
數	番号	數	番号	N	N
數	数値	數	数値	N	N
數	ナンバー	數	ナンバー	N	N
出版	出版	出版	出版	V	V
出版	出版	出版	出版	V	V
出版	公表	出版	公表	V	V
發展	発達	發展	発達	V	V
發展	開発	發展	開発	V	V
成功	サクセス	成功	サクセス	N	N
面積	面積	面積	面積	N	N
面積	領域	面積	領域	N	N
面積	エリア	面積	エリア	N	N
堡	要塞	堡	要塞	N	N
系統	システム	系統	システム	N	N
系統	システム	系統	システム	N	N
系統	システムズ	系統	システムズ	N	N
冠軍	チャンプ	冠軍	チャンプ	N	N
冠軍	チャンピオン	冠軍	チャンピオン	N	N
冠軍	チャンピオン	冠軍	チャンピオン	N	N
問題	問題	問題	問題	N	N
海拔	高度	海拔	高度	N	N
方式	方法	方式	方法	N	N
率	レート	率	レート	N	N
名稱	名前	名稱	名前	N	N
名稱	氏名	名稱	氏名	N	N
名稱	名称	名稱	名称	N	N
名稱	名前	名稱	名前	N	N
名稱	名称	名稱	名称	N	N
得到	ゲット	得到	ゲット	V	V
街道	ストリート	街道	ストリート	N	N
街道	通り	街道	通り	N	N
街道	ストリート	街道	ストリート	N	N
存在	存在	存在	存在	V	V
刪除	削除	刪除	削除	V	V
刪除	削除	刪除	削除	V	V
刪除	削除	刪除	削除	V	V
刪除	削除	刪除	削除	V	V
刪除	取り除く	刪除	取り除く	V	V
刪除	削除	刪除	削除	V	V
設計	設計	設計	設計	V	V
發行	発令	發行	発令	V	V
發行	交付	發行	交付	V	V
群	集団	群	集団	N	N
群	グループ	群	グループ	N	N
命名	命名	命名	命名	V	V
命名	呼称	命名	呼称	V	V
機	マシン	機	マシン	N	N
機	マシーン	機	マシーン	N	N
機	機械	機	機械	N	N
頁	ページ	頁	ページ	N	N
兩	二	兩	二	NUM	NUM
兩	二	兩	二	NUM	NUM
已經	すでに	已經	すでに	ADV	ADV
已經	既に	已經	既に	ADV	ADV
專輯	アルバム	專輯	アルバム	N	N
專輯	アルバム	專輯	アルバム	N	N
角色	文字	角色	文字	N	N
角色	性格	角色	性格	N	N
角色	キャラクター	角色	キャラクター	N	N
角色	役割	角色	役割	N	N
角色	文字	角色	文字	N	N
角色	キャラクター	角色	キャラクター	N	N
角色	役割	角色	役割	N	N
成員	会員	成員	会員	N	N
成員	メンバー	成員	メンバー	N	N
成員	メンバー	成員	メンバー	N	N
新聞	ニュース	新聞	ニュース	N	N
劇	ドラマ	劇	ドラマ	N	N
後來	後	後來	後	N	N
女性	女性	女性	女性	N	N
女性	女性	女性	女性	N	N
高度	高度	高度	高度	N	N
高度	身長	高度	身長	N	N
男	男性	男	男性	N	N
男	オス	男	オス	N	N
之前	以前	之前	以前	N	N
合作	コラボレーション	合作	コラボレーション	V	V
合作	協力	合作	協力	V	V
門	ゲート	門	ゲート	N	N
門	ドア	門	ドア	N	N
門	ドア	門	ドア	N	N
位置	ポジション	位置	ポジション	N	N
位置	役職	位置	役職	N	N
位置	所在	位置	所在	N	N
位置	ロケーション	位置	ロケーション	N	N
位置	場所	位置	場所	N	N
活動	アクティビティ	活動	アクティビティ	N	N
活動	イベント	活動	イベント	N	N
活動	行事	活動	行事	N	N
活動	イベント	活動	イベント	N	N
活動	行事	活動	行事	N	N
活動	アクティビティ	活動	アクティビティ	N	N
歷史	履歴	歷史	履歴	N	N
歷史	由緒	歷史	由緒	N	N
歷史	歴史	歷史	歴史	N	N
歷史	沿革	歷史	沿革	N	N
歌曲	ソング	歌曲	ソング	N	N
歌曲	歌曲	歌曲	歌曲	N	N
歌曲	ソング	歌曲	ソング	N	N
點	ドット	點	ドット	N	N
點	ドット	點	ドット	N	N
點	ポイント	點	ポイント	N	N
植物	植物	植物	植物	N	N
植物	プラント	植物	プラント	N	N
植物	植物	植物	植物	N	N
封	封印	封	封印	V	V
封	押印	封	押印	V	V
皮	レザー	皮	レザー	N	N
皮	皮革	皮	皮革	N	N
比賽	ゲーム	比賽	ゲーム	N	N
比賽	人種	比賽	人種	N	N
比賽	競走	比賽	競走	N	N
比賽	レース	比賽	レース	N	N
比賽	コンテスト	比賽	コンテスト	N	N
聯賽	リーグ	聯賽	リーグ	N	N
學校	学校	學校	学校	N	N
學校	流派	學校	流派	N	N
學校	学校	學校	学校	N	N
學校	スクール	學校	スクール	N	N
信	手紙	信	手紙	N	N
信	手紙	信	手紙	N	N
信	レター	信	レター	N	N
期間	期間	期間	期間	N	N
期間	ピリオド	期間	ピリオド	N	N
接受	承諾	接受	承諾	V	V
接受	受入	接受	受入	V	V
接受	承認	接受	承認	V	V
接受	受付	接受	受付	V	V
接受	受け入れ	接受	受け入れる	V	V
接受	受け入れる	接受	受け入れる	V	V
接受	承認	接受	承認	V	V
書	書物	書	書物	N	N
書	ブック	書	ブック	N	N
書	書物	書	書物	N	N
書	帳簿	書	帳簿	N	N
書	書籍	書	書籍	N	N
交通	交通	交通	交通	N	N
交通	トラフィック	交通	トラフィック	N	N
交通	交通	交通	交通	N	N
交通	交通	交通	交通	N	N
木	木造	木	木造	N	N
木	木製	木	木製	N	N
木	木材	木	木材	N	N
木	木製	木	木製	N	N
木	ウッド	木	ウッド	N	N
討論	話し合う	討論	話し合う	V	V
故事	記事	故事	記事	N	N
故事	ストーリー	故事	ストーリー	N	N
故事	物語	故事	物語	N	N
故事	記事	故事	記事	N	N
故事	ストーリー	故事	ストーリー	N	N
直接	直接	直接	直接	ADV	ADV
參與	関与	參與	関与	V	V
參與	関与	參與	関与	V	V
參與	参加	參與	参加	V	V
保留	予約	保留	予約	V	V
保留	留保	保留	留保	V	V
保留	予約	保留	予約	V	V
希望	希望	希望	希望	V	V
手	ハンド	手	ハンド	N	N
手	両手	手	両手	N	N
心	心臓	心	心臓	N	N
心	ハート	心	ハート	N	N
播放	放送	播放	放送	V	V
播放	配信	播放	配信	V	V
播放	遊ぶ	播放	遊ぶ	V	V
播放	プレイ	播放	プレイ	V	V
播放	遊び	播放	遊ぶ	V	V
播放	再生	播放	再生	V	V
音	子音	音	子音	N	N
音	トーン	音	トーン	N	N
增加	増加	增加	増加	V	V
增加	増額	增加	増額	V	V
增加	増やす	增加	増やす	V	V
增加	増加	增加	増加	V	V
角	コーナー	角	コーナー	N	N
角	角度	角	角度	N	N
角	アングル	角	アングル	N	N
角	ポイント	角	ポイント	N	N
天文	天文台	天文	天文台	N	N
歌	ソング	歌	ソング	N	N
歌	歌曲	歌	歌曲	N	N
歌	ソング	歌	ソング	N	N
圖	ダイアグラム	圖	ダイアグラム	N	N
圖	グラフ	圖	グラフ	N	N
圖	チャート	圖	チャート	N	N
圖	フィギュア	圖	フィギュア	N	N
投票	投票	投票	投票	V	V
投票	投票	投票	投票	V	V
灣	コーブ	灣	コーブ	N	N
民主	民主主義	民主	民主主義	N	N
寺	寺院	寺	寺院	N	N
寺	神殿	寺	神殿	N	N
參加	出席	參加	出席	V	V
控制	コントロール	控制	コントロール	V	V
控制	コントロール	控制	コントロール	V	V
戰	バトル	戰	バトル	N	N
戰	戦争	戰	戦争	N	N
電視	テレビ	電視	テレビ	N	N
委員	手数	委員	手数	N	N
委員	コミッション	委員	コミッション	N	N
編輯	エディタ	編輯	エディタ	N	N
資料	データ	資料	データ	N	N
青	清国	青	清国	N	N
播出	放送	播出	放送	V	V
播出	配信	播出	配信	V	V
路線	路線	路線	路線	N	N
路線	経路	路線	経路	N	N
年度	イヤー	年度	イヤー	N	N
附近	付近	附近	付近	N	N
歌手	シンガー	歌手	シンガー	N	N
店	ショップ	店	ショップ	N	N
店	店舗	店	店舗	N	N
店	ストア	店	ストア	N	N
組織	団体	組織	団体	N	N
組織	組織	組織	組織	N	N
組織	組織	組織	組織	N	N
組織	ティッシュ	組織	ティッシュ	N	N
組織	師団	組織	師団	N	N
教授	教授	教授	教授	N	N
盃	カップ	盃	カップ	N	N
