got	got	got	got	N;MASC+FEM;SG	N;NOM;MASC;SG
gregory	gregor	gregory	gregor	N;MASC+FEM;SG	N;NOM;MASC;SG
gregory	gregory	gregory	gregory	N;MASC+FEM;SG	N;NOM;MASC;SG
norton	norton	norton	norton	N;MASC+FEM;SG	N;NOM;MASC;SG
heiligen	svetniki	heiligen	svetnik	N;PL	N;NOM;MASC;PL
zinken	potopi	zinken	potopiti	V;NFIN	V;PFV;IND;SG;3;PRS;FIN
aluminium	aluminijev	aluminium	aluminijev	N;NEUT;SG	N;NOM;MASC;SG
aluminium	aluminij	aluminium	aluminija	N;NEUT;SG	N;NOM;MASC;SG
aluminium	aluminija	aluminium	aluminija	N;NEUT;SG	N;NOM;MASC;SG
aluminium	aluminij	aluminium	aluminija	N;NEUT;SG	N;NOM;MASC;SG
lintworm	trakulja	lintworm	trakuljati	N;MASC+FEM;SG	N;NOM;MASC;SG
fragmenten	sponke	fragment	sponka	N;PL	N;NOM;FEM;PL
fragmenten	delčki	fragment	delček	N;PL	N;NOM;MASC;PL
fragmenten	delci	fragment	delec	N;PL	N;NOM;MASC;PL
fragmenten	odlomki	fragment	odlomek	N;PL	N;NOM;MASC;PL
gemeenschappen	skupnostim	gemeenschap	skupnost	N;PL	N;DAT;FEM;PL
gemeenschappen	skupnosti	gemeenschap	skupnost	N;PL	N;GEN;FEM;PL
artistieke	umetniška	artistiek	umetniški	ADJ	ADJ;NOM;FEM;SG
artistieke	umetniško	artistiek	umetniški	ADJ	ADJ;NOM;NEUT;SG
artistieke	umetniški	artistiek	umetniški	ADJ	ADJ;NOM;MASC;SG
afspraak	termin	afspraak	termin	N;MASC+FEM;SG	N;NOM;MASC;SG
afspraak	imenovanje	afspraak	imenovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
schermen	zasloni	scherm	zaslon	N;PL	N;NOM;MASC;PL
schermen	ograje	scherm	ograja	N;PL	N;NOM;FEM;PL
schermen	ščite	scherm	štiti	N;PL	N;ACC;MASC;PL
schermen	prizore	scherm	prizor	N;PL	N;ACC;MASC;PL
schermen	prizori	scherm	prizor	N;PL	N;NOM;MASC;PL
schermen	scene	scherm	scena	N;PL	N;NOM;FEM;PL
koepel	kupola	koepel	kupola	N;MASC+FEM;SG	N;NOM;FEM;SG
koepel	kupolo	koepel	kupolo	N;MASC+FEM;SG	N;ACC;FEM;SG
clan	klan	clan	klan	N;MASC+FEM;SG	N;NOM;MASC;SG
fel	svetla	fel	svetel	ADJ	ADJ;NOM;FEM;SG
slam	slam	slam	slam	N;MASC+FEM;SG	N;NOM;MASC;SG
vrouwe	gospa	vrouw	gospa	N;MASC+FEM;SG	N;NOM;FEM;SG
vrouwe	dama	vrouw	dama	N;MASC+FEM;SG	N;NOM;FEM;SG
vrouwe	lady	vrouw	lady	N;MASC+FEM;SG	N;NOM;MASC;SG
voordien	predhodno	voordien	predhodno	ADV	ADV
voordien	prej	voordien	prej	ADV	ADV;CMPR
resterende	preostalo	resteren	preostati	V;V.PTCP	V;PFV;NEUT;SG;V.PTCP
buurten	soseske	buurten	soseska	N;PL	N;NOM;FEM;PL
buurten	soseskah	buurten	soseska	N;PL	N;ESS;FEM;PL
buurten	soseske	buurten	soseska	N;PL	N;NOM;FEM;PL
buurten	soseščine	buurten	soseščina	N;PL	N;NOM;FEM;PL
principes	načela	principe	načelo	N;PL	N;NOM;NEUT;PL
principes	načeli	principe	načelo	N;PL	N;NOM;NEUT;PL
oprichters	ustanovitelji	oprichter	ustanovitelj	N;PL	N;NOM;MASC;PL
achterstand	zaostalosti	achterstand	zaostalost	N;MASC+FEM;SG	N;GEN;FEM;SG
muller	muller	mul	muller	N;MASC+FEM;SG	N;NOM;MASC;SG
breekt	poči	breken	počati	V;SG;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
sluiting	zaključek	sluiting	zaključek	N;MASC+FEM;SG	N;NOM;MASC;SG
sluiting	zaprtje	sluiting	zaprtje	N;MASC+FEM;SG	N;NOM;NEUT;SG
sluiting	zapiranje	sluiting	zapiranje	N;MASC+FEM;SG	N;NOM;NEUT;SG
sluiting	sponka	sluiting	sponka	N;MASC+FEM;SG	N;NOM;FEM;SG
alexandra	alexandra	alexandra	alexandra	N;MASC+FEM;SG	N;NOM;MASC;SG
alexandra	aleksandra	alexandra	aleksander	N;MASC+FEM;SG	N;NOM;MASC;SG
bayern	bayern	bayern	bayern	N;MASC+FEM;SG	N;NOM;MASC;SG
protocol	protokol	protocol	protokol	N;NEUT;SG	N;NOM;MASC;SG
samenvoeging	združevanje	samenvoeging	združevanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
samenvoeging	združevanje	samenvoeging	združevanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
lotto	loterijo	lotto	loterija	N;MASC+FEM;SG	N;ACC;FEM;SG
lotto	loteriji	lotto	loterija	N;MASC+FEM;SG	N;NOM;FEM;SG
lucien	lucien	lucien	lucien	N;MASC+FEM;SG	N;NOM;MASC;SG
balans	ravnotežje	balans	ravnotežje	N;MASC+FEM;SG	N;NOM;NEUT;SG
balans	ravnovesje	balans	ravnovesje	N;MASC+FEM;SG	N;NOM;NEUT;SG
balans	tehtnica	balans	tehtnica	N;MASC+FEM;SG	N;NOM;FEM;SG
balans	bilanca	balans	bilanec	N;MASC+FEM;SG	N;NOM;FEM;SG
veldslag	bitka	veldslag	bitka	N;MASC+FEM;SG	N;NOM;FEM;SG
veldslag	bitko	veldslag	bitko	N;MASC+FEM;SG	N;ACC;FEM;SG
medewerking	sodelovanje	medewerking	sodelovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
medewerking	sodelovanje	medewerking	sodelovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
scherp	ostri	scherp	oster	ADJ	ADJ;NOM;MASC;PL
scherp	oster	scherp	oster	ADJ	ADJ;NOM;INDF;MASC;SG
scherp	ostra	scherp	oster	ADJ	ADJ;NOM;FEM;SG
mantel	mantel	mantel	manti	N;MASC+FEM;SG	N;NOM;MASC;SG
mantel	plašč	mantel	plašč	N;MASC+FEM;SG	N;NOM;MASC;SG
pak	obleko	pak	obleka	N;NEUT;SG	N;ACC;FEM;SG
pak	obleka	pak	obleka	N;NEUT;SG	N;NOM;FEM;SG
xavier	xavier	xavier	xavier	N;MASC+FEM;SG	N;NOM;MASC;SG
verbouwing	prenovo	verbouwing	prenova	N;MASC+FEM;SG	N;ACC;FEM;SG
verbouwing	obnova	verbouwing	obnova	N;MASC+FEM;SG	N;NOM;FEM;SG
verbouwing	prenova	verbouwing	prenova	N;MASC+FEM;SG	N;NOM;FEM;SG
helden	heroji	helden	hero	N;PL	N;NOM;MASC;PL
helden	junaki	helden	junak	N;PL	N;NOM;MASC;PL
helden	heroje	helden	heroja	N;PL	N;ACC;MASC;PL
helden	junake	helden	junak	N;PL	N;ACC;MASC;PL
helden	junakov	helden	junak	N;PL	N;GEN;MASC;PL
parijse	pariško	parijs	pariški	ADJ	ADJ;NOM;NEUT;SG
parijse	pariški	parijs	pariški	ADJ	ADJ;NOM;DEF;MASC;SG
bakstenen	opeke	baksteen	opeka	N;PL	N;NOM;FEM;PL
kanalen	kanali	kanaal	kanal	N;PL	N;NOM;MASC;PL
kanalen	kanali	kanaal	kanal	N;PL	N;NOM;MASC;PL
vorstendom	kneževino	vorstendom	kneževina	N;NEUT;SG	N;ACC;FEM;SG
azerbeidzjan	azerbajdžan	azerbeidzjan	azerbajdžan	N;NEUT;SG	N;NOM;MASC;SG
ongewenst	nezaželene	ongewenst	nezaželen	ADJ	ADJ;NOM;FEM;PL
citaat	citat	citaat	citat	N;NEUT;SG	N;NOM;MASC;SG
citaat	citat	citaat	citat	N;NEUT;SG	N;NOM;MASC;SG
vloog	letel	vliegen	leteti	V;SG;PST;FIN	V;IPFV;MASC;SG;V.PTCP
vloog	poletela	vliegen	poleteti	V;SG;PST;FIN	V;PFV;FEM;SG;V.PTCP
vloog	letela	vliegen	leteti	V;SG;PST;FIN	V;IPFV;FEM;SG;V.PTCP
vers	svež	vers	svež	ADJ	ADJ;NOM;INDF;MASC;SG
vers	sveža	vers	svež	ADJ	ADJ;NOM;FEM;SG
vers	sveži	vers	svež	ADJ	ADJ;NOM;MASC;PL
nederzettingen	naselja	nederzetting	naselje	N;PL	N;NOM;NEUT;PL
nederzettingen	poravnave	nederzetting	poravnava	N;PL	N;NOM;FEM;PL
rechtszaak	sojenje	rechtszaak	sojenje	N;MASC+FEM;SG	N;NOM;NEUT;SG
rechtszaak	tožba	rechtszaak	tožba	N;MASC+FEM;SG	N;NOM;FEM;SG
weber	weber	weber	weber	N;MASC+FEM;SG	N;NOM;MASC;SG
krachtige	močan	krachtig	močen	ADJ	ADJ;NOM;INDF;MASC;SG
krachtige	močni	krachtig	močen	ADJ	ADJ;NOM;MASC;PL
krachtige	mogočna	krachtig	mogočen	ADJ	ADJ;NOM;FEM;SG
krachtige	močna	krachtig	močen	ADJ	ADJ;NOM;FEM;SG
zinvol	smiselne	zinvol	smiseln	ADJ	ADJ;NOM;FEM;PL
zinvol	smiseln	zinvol	smiseln	ADJ	ADJ;NOM;INDF;MASC;SG
universum	vesolje	universum	vesolje	N;NEUT;SG	N;NOM;NEUT;SG
universum	vesolju	universum	vesolje	N;NEUT;SG	N;DAT;NEUT;SG
naburige	sosednja	naburig	sosednji	ADJ	ADJ;NOM;FEM;SG
naburige	sosednja	naburig	sosednji	ADJ	ADJ;NOM;FEM;SG
