ideale	ذہنی	ideal	ذہنی	ADJ;NOM;FEM;SG	ADJ
rau	طوفانی	rau	طوفانی	ADJ	ADJ
rau	سخت	rau	سخت	ADJ	ADJ
zielgruppe	مقصود	zielgruppe	مقصود	ADJ	ADJ
zielgruppe	مقصود	zielgruppe	مقصود	ADJ	ADJ
gräben	کھائی	graben	کھائی	V;NFIN	V;PFV;FEM;SG;V.PTCP;ACT
herzlich	مفرح	herzlich	مفرح	ADJ	ADJ
herzlich	دوستانہ	herzlich	دوستانہ	ADJ	ADJ
würdigung	اندازہ	würdigung	اندازہ	N;FEM;SG	N;NOM;MASC;SG;3
würdigung	اندازہ	würdigung	اندازہ	N;FEM;SG	N;NOM;MASC;SG;3
würdigung	جانچ	würdigung	جانچ	N;FEM;SG	N;NOM;MASC;SG;3
würdigung	تخمینہ	würdigung	تخمینہ	N;FEM;SG	N;NOM;MASC;SG;3
würdigung	تشخیص	würdigung	تشخیص	N;FEM;SG	N;NOM;MASC;SG;3
würdigung	جانچ	würdigung	جانچ	N;FEM;SG	N;NOM;MASC;SG;3
transparent	نمایاں	transparent	نمایاں	ADJ	ADJ
transparent	نمایاں	transparent	نمایاں	ADJ	ADJ
unerwünschter	غیرمطلوبہ	unerwünschter	غیرمطلوبہ	ADJ	ADJ
korruption	(	korruption	(		
korruption	گندا	korruption	گندا		
tanzen	اُبھرنا	tanzen	اُبھرنا	V;NFIN	V;SG;NFIN;ACT
tanzen	اُبھرنا	tanzen	اُبھرنا	V;NFIN	V;SG;NFIN;ACT
flüge	تیر	flüg	تیر		
depot	برتن.	depot	برتن.		
depot	برتن.	depot	برتن.		
gründlich	مکمل	gründlich	مکمل	ADJ	ADJ
gründlich	قطعی	gründlich	قطعی	ADJ	ADJ
göttlichen	ربّانی	göttlich	ربّانی	ADJ;ACC	ADJ
göttlichen	متبرک	göttlich	متبرک	ADJ;ACC	ADJ
dumm	سادہ	dumm	سادہ	ADJ	ADJ
dumm	احمقانہ	dumm	احمقانہ	ADJ	ADJ
