com	mit	com	mit	ADP	ADP
para	für	para	für	ADP	ADP
por	für	por	für	ADP	ADP
como	inwiefern	como	inwiefern	ADV	ADV
como	woher	como	woher	ADV	ADV
mais	mehr	mais	mehr	ADV	ADV
sua	seinem	seu	sein	DET;FEM;SG	DET;DAT;MASC;SG
sua	seinen	seu	sein	DET;FEM;SG	DET;ACC;MASC;SG
sua	seine	seu	sein	DET;FEM;SG	DET;NOM;FEM;SG
sua	sein	seu	sein	DET;FEM;SG	DET;NOM;MASC;SG
sua	seiner	seu	sein	DET;FEM;SG	DET;NOM;MASC;SG
sua	ihre	seu	ihr	DET;FEM;SG	DET;NOM;FEM;SG
sua	ihrer	seu	ihr	DET;FEM;SG	DET;NOM;MASC;SG
sua	ihre	seu	ihr	DET;FEM;SG	DET;NOM;FEM;SG
sua	ihrer	seu	ihr	DET;FEM;SG	DET;NOM;MASC;SG
sua	ihre	seu	ihr	DET;FEM;SG	DET;NOM;FEM;SG
sua	seine	seu	sein	DET;FEM;SG	DET;NOM;FEM;SG
sua	seiner	seu	sein	DET;FEM;SG	DET;NOM;MASC;SG
são	sind	ser	sein	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
seu	seinem	seu	sein	DET;MASC;SG	DET;DAT;MASC;SG
seu	seinen	seu	sein	DET;MASC;SG	DET;ACC;MASC;SG
seu	seine	seu	sein	DET;MASC;SG	DET;NOM;FEM;SG
seu	sein	seu	sein	DET;MASC;SG	DET;NOM;MASC;SG
seu	seiner	seu	sein	DET;MASC;SG	DET;NOM;MASC;SG
seu	ihre	seu	ihr	DET;MASC;SG	DET;NOM;FEM;SG
seu	seine	seu	sein	DET;MASC;SG	DET;NOM;FEM;SG
seu	seiner	seu	sein	DET;MASC;SG	DET;NOM;MASC;SG
seu	ihre	seu	ihr	DET;MASC;SG	DET;NOM;FEM;SG
seu	ihrer	seu	ihr	DET;MASC;SG	DET;NOM;MASC;SG
seu	ihre	seu	ihr	DET;MASC;SG	DET;NOM;FEM;SG
seu	ihrer	seu	ihr	DET;MASC;SG	DET;NOM;MASC;SG
também	ausserdem	também	ausserdem	ADV	ADV
também	ebenso	também	ebenso	ADV	ADV
também	außerdem	também	außerdem	ADV	ADV
também	ebenfalls	também	ebenfalls	ADV	ADV
também	auch	também	auch	ADV	ADV
também	ebenfalls	também	ebenfalls	ADV	ADV
também	auch	também	auch	ADV	ADV
ele	er	ele	er	PRO;NOM;MASC;SG;3	PRO;NOM;MASC;SG;3
mas	aber	mas	aber	CONJ	CONJ
discussão	diskussion	discussão	diskussion	N;FEM;SG	N
entre	zwischen	entre	zwischen	ADP	ADP
sobre	über	sobre	über	ADP	ADP
tem	verfügt	ter	verfügen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
tem	hat	ter	haben	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
quando	wann	quando	wann	ADV	ADV
foram	wurden	ser	werden	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN;PASS
foram	waren	ser	sein	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN
mesmo	gleich	mesmo	gleich	ADV	ADV
mesmo	dasselbe	mesmo	dasselbe	ADV	ADV
onde	wo	onde	wo	ADV	ADV
onde	wohin	onde	wohin	ADV	ADV
grande	groß	grande	groß	ADJ;MASC;SG	ADJ
grande	großer	grande	groß	ADJ;MASC;SG	ADJ
grande	groß	grande	groß	ADJ;MASC;SG	ADJ
grande	großes	grande	groß	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
grande	toll	grande	toll	ADJ;MASC;SG	ADJ
grande	großartig	grande	großartig	ADJ;MASC;SG	ADJ
grande	groß	grande	groß	ADJ;MASC;SG	ADJ
rio	fluss	rio	flassen	N;MASC;SG	N;NOM;MASC;SG
depois	dann	depois	dann	ADV	ADV
depois	damals	depois	damals	ADV	ADV
depois	danach	depois	danach	ADV	ADV
depois	nachher	depois	nachher	ADV	ADV
depois	danach	depois	danach	ADV	ADV
depois	nachher	depois	nachher	ADV	ADV
estado	status	estado	status	N;MASC;SG	N
estado	staat	estado	staaen	N;MASC;SG	N
ano	jahr	ano	Jahr	N;MASC;SG	N;NOM;NEUT;SG
ano	jahres	ano	jahres	N;MASC;SG	N;NOM;NEUT;SG
após	nach	após	nach	ADP	ADP
primeiro	zuerst	primeiro	zuerst	ADV	ADV
primeira	erster	primeiro	erst	ADJ;FEM;SG	ADJ;NOM;MASC;SG
nome	name	nome	Name	N;MASC;SG	N;NOM;SG
ainda	noch	ainda	noch	ADV	ADV
ainda	trotzdem	ainda	trotzdem	ADV	ADV
esta	dieser	este	dies	PRO;FEM;SG	PRO;NOM;MASC;SG
esta	diese	este	dies	PRO;FEM;SG	PRO;NOM;FEM;SG
esta	das	este	der	PRO;FEM;SG	PRO;NOM;NEUT;SG
sem	ohne	sem	ohne	ADP	ADP
ela	sie	ela	sie	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
ela	ihr	ela	ihr	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;SG
dia	tag	dia	tagen	N;MASC;SG	N;NOM;MASC;SG
dia	tages	dia	tagen	N;MASC;SG	N;NOM;MASC;SG
dois	zwei	dois	zwei	NUM	NUM
muito	sehr	muito	sehr	ADV	ADV
muito	äußerst	muito	äußerst	ADV	ADV
muito	viel	muito	viel	ADV	ADV
apenas	lediglich	apenas	lediglich	ADV	ADV
apenas	nur	apenas	nur	ADV	ADV
apenas	gerade	apenas	gerade	ADV	ADV
apenas	eben	apenas	eben	ADV	ADV
apenas	nur	apenas	nur	ADV	ADV
apenas	einfach	apenas	einfach	ADV	ADV
ter	haben	ter	haben	V;NFIN	V;IND;PL;3;FIN
área	fläche	área	fläche	N;FEM;SG	N;NOM;FEM;SG
lista	liste	lista	lassen	N;FEM;SG	N;NOM;FEM;SG
lista	aufstellung	lista	aufstellingen	N;FEM;SG	N;NOM;FEM;SG
família	familie	família	familie	N;FEM;SG	N;NOM;FEM;SG
sul	süd	sul	süd	N;MASC;SG	N;NOM;NEUT;SG
sul	süd	sul	süd	N;MASC;SG	N;NOM;NEUT;SG
grupo	gruppe	grupo	grappe	N;MASC;SG	N;NOM;FEM;SG
grupo	gruppierung	grupo	gruppierung	N;MASC;SG	N;NOM;FEM;SG
grupo	unternehmensgruppe	grupo	unternehmensgruppe	N;MASC;SG	N;NOM;FEM;SG
ver	sehen	ver	sehen	V;NFIN	V;NFIN
ver	siehe	ver	sehen	V;NFIN	V;IMP;SG;FIN
ver	ansehen	ver	ansehen	V;NFIN	V;NFIN
ver	anzeigen	ver	anzeigen	V;NFIN	V;NFIN
isso	dieser	isso	dies	PRO;MASC;SG	PRO;NOM;MASC;SG
