van	din	van	din	ADP	ADP;ACC
voor	pentru	voor	pentru	ADP	ADP;ACC
met	cu	met	cu	ADP	ADP;ACC
zijn	sunt	zijn	fi	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
uit	din	uit	din	ADP	ADP;ACC
dat	asta	dat	acesta	PRO;3	PRO;FEM;SG;3
dat	aia	dat	acela	PRO;3	PRO;FEM;SG;3
ook	prea	ook	prea	ADV	ADV
score	scorul	score	scor	N;MASC+FEM;SG	N;DEF;MASC;SG
score	punctaj	score	punctaj	N;MASC+FEM;SG	N;INDF;MASC;SG
score	scor	score	scor	N;MASC+FEM;SG	N;INDF;MASC;SG
naam	nume	naam	nume	N;MASC+FEM;SG	N;INDF
naam	numele	naam	nume	N;MASC+FEM;SG	N;DEF;MASC;SG
naam	denumire	naam	denumire	N;MASC+FEM;SG	N;INDF;FEM;SG
soort	fel	soort	fel	N;SG	N;INDF;MASC;SG
soort	tipul	soort	tip	N;SG	N;DEF;MASC;SG
soort	tip	soort	tip	N;SG	N;INDF;MASC;SG
soort	specie	soort	specie	N;SG	N;INDF;FEM;SG
soort	specia	soort	specie	N;SG	N;DEF;FEM;SG
familie	familie	familie	familie	N;MASC+FEM;SG	N;INDF;FEM;SG
familie	familia	familie	familie	N;MASC+FEM;SG	N;DEF;FEM;SG
deze	asta	deze	acesta	PRO	PRO;FEM;SG;3
deze	aceasta	deze	acesta	PRO	PRO;FEM;SG;3
deze	acestea	deze	acesta	PRO	PRO;FEM;PL;3
deze	astea	deze	acesta	PRO	PRO;FEM;PL;3
maar	dar	maar	dar	CONJ	CONJ;POS
geldig	valabil	geldig	valabil	ADJ	ADJ;INDF;MASC;SG
geldig	valabile	geldig	valabil	ADJ	ADJ;INDF;FEM;PL
geldig	valid	geldig	valid	ADJ	ADJ;INDF;MASC;SG
geldig	valabila	geldig	valabil	ADJ	ADJ;DEF;FEM;SG
dit	asta	dit	acesta	PRO;3	PRO;FEM;SG;3
dit	aceasta	dit	acesta	PRO;3	PRO;FEM;SG;3
over	despre	over	despre	ADP	ADP;ACC
over	peste	over	peste	ADP	ADP;ACC
heeft	are	hebben	avea	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
dan	atunci	dan	atunci	ADV	ADV
dan	apoi	dan	apoi	ADV	ADV
plaats	locul	plaats	loc	N;MASC+FEM;SG	N;DEF;MASC;SG
plaats	loc	plaats	loc	N;MASC+FEM;SG	N;INDF;MASC;SG
onder	sub	onder	sub	ADP	ADP;ACC
team	echipa	team	echipă	N;NEUT;SG	N;DEF;FEM;SG
team	grupa	team	grupă	N;NEUT;SG	N;DEF;FEM;SG
team	echipa	team	echipă	N;NEUT;SG	N;DEF;FEM;SG
team	echipa	team	echipă	N;NEUT;SG	N;DEF;FEM;SG
team	team	team	team	N;NEUT;SG	N;INDF;MASC;SG
jaar	anul	jaar	an	N;NEUT;SG	N;DEF;MASC;SG
jaar	an	jaar	an	N;NEUT;SG	N;INDF;MASC;SG
twee	doua	twee	doi	NUM	NUM;FEM;SG
twee	doi	twee	doi	NUM	NUM;MASC;PL
twee	doua	twee	doi	NUM	NUM;FEM;SG
