para	dla	para	dla	ADP	ADP
por	dla	por	dla	ADP	ADP
como	jak	como	jak	ADV	ADV
como	jak	como	jak	ADV	ADV
mais	bardziej	mais	bardzo	ADV	ADV;CMPR
mais	więcej	mais	dużo	ADV	ADV;CMPR
sua	twoje	seu	twój	DET;FEM;SG	DET;NOM;MASC;SG;2
sua	twój	seu	twój	DET;FEM;SG	DET;NOM;MASC;SG;2
sua	twoja	seu	twój	DET;FEM;SG	DET;NOM;FEM;SG;2
sua	twoje	seu	twój	DET;FEM;SG	DET;NOM;MASC;SG;2
sua	twój	seu	twój	DET;FEM;SG	DET;NOM;MASC;SG;2
sua	twoja	seu	twój	DET;FEM;SG	DET;NOM;FEM;SG;2
sua	twojego	seu	twój	DET;FEM;SG	DET;GEN;MASC;SG;1
sua	twoim	seu	twój	DET;FEM;SG	DET;INS;MASC;SG;2
seu	twoje	seu	twój	DET;MASC;SG	DET;NOM;MASC;SG;2
seu	twój	seu	twój	DET;MASC;SG	DET;NOM;MASC;SG;2
seu	twoja	seu	twój	DET;MASC;SG	DET;NOM;FEM;SG;2
seu	twojego	seu	twój	DET;MASC;SG	DET;GEN;MASC;SG;1
seu	twoim	seu	twój	DET;MASC;SG	DET;INS;MASC;SG;2
seu	twoje	seu	twój	DET;MASC;SG	DET;NOM;MASC;SG;2
seu	twój	seu	twój	DET;MASC;SG	DET;NOM;MASC;SG;2
seu	twoja	seu	twój	DET;MASC;SG	DET;NOM;FEM;SG;2
mas	ale	mas	ale	CONJ	CONJ
discussão	dyskusja	discussão	dyskusja	N;FEM;SG	N;NOM;FEM;SG
discussão	omówienie	discussão	omówienie	N;FEM;SG	N;NOM;NEUT;SG
discussão	dyskusji	discussão	dyskusja	N;FEM;SG	N;GEN;FEM;SG
discussão	dyskusję	discussão	dyskusja	N;FEM;SG	N;ACC;FEM;SG
entre	między	entre	między	ADP	ADP
anos	lat	ano	rok	N;MASC;PL	N;GEN;MASC;PL
anos	lata	ano	rok	N;MASC;PL	N;NOM;MASC;PL
tem	posiada	ter	posiadać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
tem	ma	ter	mieć	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
cidade	miasta	cidade	miasto	N;FEM;SG	N;GEN;NEUT;SG
cidade	miejscowość	cidade	miejscowość	N;FEM;SG	N;NOM;FEM;SG
cidade	miasto	cidade	miasto	N;FEM;SG	N;NOM;NEUT;SG
cidade	miejscowość	cidade	miejscowość	N;FEM;SG	N;NOM;FEM;SG
cidade	miasta	cidade	miasto	N;FEM;SG	N;GEN;NEUT;SG
cidade	miasto	cidade	miasto	N;FEM;SG	N;NOM;NEUT;SG
quando	kiedy	quando	kiedy	ADV	ADV
janeiro	stycznia	janeiro	styczeń	N;MASC;SG	N;GEN;MASC;SG
janeiro	styczniu	janeiro	styczeń	N;MASC;SG	N;GEN;MASC;SG
onde	gdzie	onde	gdzie	ADV	ADV
grande	duża	grande	duży	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	duży	grande	duży	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	duże	grande	duży	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
grande	duża	grande	duży	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	duże	grande	duży	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
grande	wielka	grande	wielki	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	duży	grande	duży	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	wielki	grande	wielki	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	świetne	grande	świetny	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
brasil	brazylia	brasil	brazyliać	N;MASC;SG	N;NOM;FEM;SG
rio	rzeka	rio	rzeka	N;MASC;SG	N;NOM;FEM;SG
depois	wtedy	depois	wtedy	ADV	ADV
depois	później	depois	późno	ADV	ADV;CMPR
estado	status	estado	status	N;MASC;SG	N;NOM;MASC;SG
estado	statusu	estado	status	N;MASC;SG	N;GEN;MASC;SG
estado	stan	estado	stan	N;MASC;SG	N;NOM;MASC;SG
estado	państwo	estado	państwo	N;MASC;SG	N;NOM;NEUT;SG
estado	warunek	estado	warunek	N;MASC;SG	N;ACC;MASC;SG
estado	stan	estado	stan	N;MASC;SG	N;NOM;MASC;SG
ano	roku	ano	rok	N;MASC;SG	N;GEN;MASC;SG
ano	rok	ano	rok	N;MASC;SG	N;NOM;MASC;SG
primeiro	najpierw	primeiro	najpierw	ADV	ADV
pode	może	poder	móc	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
pode	można	poder	można	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
durante	podczas	durante	podczas	ADP	ADP
ligações	połączenia	ligação	połączenie	N;FEM;PL	N;NOM;NEUT;PL
ligações	linków	ligação	link	N;FEM;PL	N;GEN;MASC;PL
ligações	linki	ligação	linka	N;FEM;PL	N;NOM;FEM;PL
ligações	odnośniki	ligação	odnośnik	N;FEM;PL	N;ACC;MASC;PL
parte	część	parte	część	N;FEM;SG	N;NOM;FEM;SG
primeira	pierwszy	primeiro	pierwszy	ADJ;FEM;SG	ADJ;NOM;MASC;SG
primeira	pierwsze	primeiro	pierwszy	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
primeira	pierwsza	primeiro	pierwszy	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nome	nazwisko	nome	nazwisko	N;MASC;SG	N;NOM;NEUT;SG
nome	imię	nome	imię	N;MASC;SG	N;NOM;NEUT;SG
nome	nazwa	nome	nazwa	N;MASC;SG	N;NOM;FEM;SG
ainda	nadal	ainda	nadal	ADV	ADV
ainda	wciąż	ainda	wciąż	ADV	ADV
esta	tym	este	to	PRO;FEM;SG	PRO;INS;NEUT;SG
sem	bez	sem	bez	ADP	ADP
ela	ona	ela	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
dia	dnia	dia	dzień	N;MASC;SG	N;GEN;MASC;SG
dia	dzień	dia	dzień	N;MASC;SG	N;NOM;MASC;SG
dois	dwie	dois	dwa	NUM	NUM;ACC;FEM;PL
dois	dwóch	dois	dwa	NUM	NUM;ACC;MASC;PL
dois	dwa	dois	dwa	NUM	NUM;ACC;MASC;PL
muito	bardzo	muito	bardzo	ADV	ADV
muito	dużo	muito	dużo	ADV	ADV
região	region	região	region	N;FEM;SG	N;NOM;MASC;SG
região	regionie	região	region	N;FEM;SG	N;ACC;MASC;SG
região	regionu	região	regić	N;FEM;SG	N;GEN;MASC;SG
artigo	artykułu	artigo	artykuł	N;MASC;SG	N;GEN;MASC;SG
artigo	artykul	artigo	artykul	N;MASC;SG	N;ACC;MASC;SG
artigo	artykuł	artigo	artykuł	N;MASC;SG	N;NOM;MASC;SG
ter	mając	ter	mieć	V;NFIN	V;IPFV;PRS;V.CVB;ACT
ter	posiadać	ter	posiadać	V;NFIN	V;IPFV;NFIN;ACT
ter	mają	ter	mieć	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
ter	mieć	ter	mieć	V;NFIN	V;IPFV;NFIN;ACT
área	teren	área	teren	N;FEM;SG	N;NOM;MASC;SG
área	powierzchnia	área	powierzchnia	N;FEM;SG	N;NOM;FEM;SG
área	obszarze	área	obszarz	N;FEM;SG	N;ACC;MASC;SG
área	obszar	área	obszar	N;FEM;SG	N;NOM;MASC;SG
agosto	sierpnia	agosto	sierpień	N;MASC;SG	N;GEN;MASC;SG
agosto	august	agosto	august	N;MASC;SG	N;NOM;MASC;SG
lista	wykaz	lista	wykaz	N;FEM;SG	N;NOM;MASC;SG
lista	lista	lista	list	N;FEM;SG	N;NOM;FEM;SG
lista	spis	lista	spis	N;FEM;SG	N;NOM;MASC;SG
lista	listę	lista	lista	N;FEM;SG	N;ACC;FEM;SG
março	marsz	março	marsz	N;MASC;SG	N;NOM;MASC;SG
norte	północ	norte	północ	N;MASC;SG	N;NOM;FEM;SG
norte	północ	norte	północ	N;MASC;SG	N;NOM;FEM;SG
norte	północny	norte	północny	N;MASC;SG	N;ACC;MASC;SG
família	rodzina	família	rodzina	N;FEM;SG	N;NOM;FEM;SG
família	rodzinka	família	rodzinka	N;FEM;SG	N;NOM;FEM;SG
abril	kwiecień	abril	kwiecienie	N;MASC;SG	N;NOM;NEUT;SG
sul	southern	sul	southerny	N;MASC;SG	N;NOM;MASC;SG
sul	południe	sul	południe	N;MASC;SG	N;NOM;NEUT;SG
grupo	grupie	grupo	grupa	N;MASC;SG	N;DAT;FEM;SG
grupo	grupy	grupo	grupa	N;MASC;SG	N;ACC;FEM;SG
