スクロール	свитък	スクロール	свитък	N	N;INDF;MASC;SG
セクター	сектора	セクター	сектор	N	N;DEF;MASC;SG
セクター	сектор	セクター	сектор	N	N;INDF;MASC;SG
セクター	секторите	セクター	сектор	N	N;DEF;MASC;PL
セクター	отрасли	セクター	отрасля-(се)	N	N;INDF;MASC;PL
セクター	сектори	セクター	сектор	N	N;INDF;MASC;PL
濃い	силни	濃い	силен	ADJ	ADJ;INDF;PL
濃い	силен	濃い	силен	ADJ	ADJ;INDF;MASC;SG
濃い	силна	濃い	силен	ADJ	ADJ;INDF;FEM;SG
減らす	намали	減らす	намаля	V	V;PFV;IMP;SG;2;FIN
トロンボーン	тромбон	トロンボーン	тромбон	N	N;INDF;MASC;SG
ネック	врат	ネック	врат	N	N;INDF;MASC;SG
ネック	врата	ネック	врата	N	N;INDF;FEM;SG
ネック	шия	ネック	шия	N	N;INDF;FEM;SG
ストライキ	страйк	ストライキ	страйк	N	N;INDF;MASC;SG
ストライキ	стачка	ストライキ	стачка	N	N;INDF;FEM;SG
最低	минимум	最低	минимум	N	N;INDF;MASC;SG
レター	писмо	レター	писмо	N	N;INDF;NEUT;SG
レター	буква	レター	буква	N	N;INDF;FEM;SG
回廊	коридор	回廊	коридор	N	N;INDF;MASC;SG
回廊	коридора	回廊	коридор	N	N;DEF;MASC;SG
プレゼン	представяне	プレゼン	представяне	N	N;INDF;NEUT;SG
プレゼン	презентация	プレゼン	презентация	N	N;INDF;FEM;SG
プレゼン	презентации	プレゼン	презентация	N	N;INDF;FEM;PL
プライド	гордост	プライド	гордост	N	N;INDF;FEM;SG
プライド	прайд	プライド	прайд	N	N;INDF;MASC;SG
テロリスト	терорист	テロリスト	терорист	N	N;INDF;MASC;SG
テロリスト	терористите	テロリスト	терорист	N	N;DEF;MASC;PL
テロリスト	терористи	テロリスト	терорист	N	N;INDF;MASC;PL
管理人	админ	管理人	админ	N	N;INDF;MASC;SG
管理人	администратор	管理人	администратор	N	N;INDF;MASC;SG
管理人	администратори	管理人	администратор	N	N;INDF;MASC;PL
管理人	администратори	管理人	администратор	N	N;INDF;MASC;PL
管理人	администратор	管理人	администратор	N	N;INDF;MASC;SG
持ち込み	носи	持ち込み	нося-(се)	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
持ち込み	донеси	持ち込み	донеса	V	V;PFV;IMP;SG;2;FIN
コスチューム	костюм	コスチューム	костюм	N	N;INDF;MASC;SG
コスチューム	костюми	コスチューム	костюм	N	N;INDF;MASC;PL
コスチューム	костюмите	コスチューム	костюм	N	N;DEF;MASC;PL
波動	вълната	波動	вълна	N	N;DEF;FEM;SG
波動	вълна	波動	вълна	N	N;INDF;FEM;SG
スペック	спецификации	スペック	спецификация	N	N;INDF;FEM;PL
原告	ищеца	原告	ищец	N	N;DEF;MASC;SG
原告	ищецът	原告	ищец	N	N;DEF;MASC;SG
原告	ищеца	原告	ищец	N	N;DEF;MASC;SG
地主	хазяина	地主	хазяина	N	N;INDF;FEM;SG
チキン	кокошка	チキン	кокошка	N	N;INDF;FEM;SG
チキン	пиле	チキン	пила	N	N;INDF;NEUT;SG
チキン	пиленце	チキン	пиленце	N	N;INDF;NEUT;SG
コールド	студ	コールド	студ	N	N;INDF;MASC;SG
プライス	цена	プライス	цена	N	N;INDF;FEM;SG
待遇	третиране	待遇	третиране	N	N;INDF;NEUT;SG
待遇	лечение	待遇	лечение	N	N;INDF;NEUT;SG
待遇	обработка	待遇	обработка	N	N;INDF;FEM;SG
北極	арктика	北極	арктика	N	N;INDF;FEM;SG
フレンチ	французи	フレンチ	француга	N	N;INDF;MASC;PL
フレンチ	французин	フレンチ	французин	N	N;INDF;MASC;SG
すごい	страхотни	すごい	страхотен	ADJ	ADJ;INDF;PL
すごい	страхотен	すごい	страхотен	ADJ	ADJ;INDF;MASC;SG
すごい	страхотна	すごい	страхотен	ADJ	ADJ;INDF;FEM;SG
すごい	невероятна	すごい	невероятен	ADJ	ADJ;INDF;FEM;SG
すごい	невероятен	すごい	невероятен	ADJ	ADJ;INDF;MASC;SG
吹雪	виелица	吹雪	виелица	N	N;INDF;FEM;SG
ジュース	сокове	ジュース	сок	N	N;INDF;MASC;PL
ジュース	сок	ジュース	сок	N	N;INDF;MASC;SG
ジュース	сокове	ジュース	сок	N	N;INDF;MASC;PL
従兄弟	братовчед	従兄弟	братовчед	N	N;INDF;MASC;SG
従兄弟	братовчеда	従兄弟	братовчеда	N	N;DEF;MASC;SG
