sein	wand	sein	wand	N;NOM;SG	N;NOM;FEM;SG
avalikud	öffentlicher	avalik	öffentlich	ADJ;NOM;PL	ADJ
avalikud	öffentlichkeit	avalik	öffentlichkeit	ADJ;NOM;PL	ADJ
avalikud	öffentlichen	avalik	öffentlich	ADJ;NOM;PL	ADJ;NOM;PL
avalikud	öffentliche	avalik	öffentlich	ADJ;NOM;PL	ADJ;NOM;FEM;PL
avalikud	öffentlich	avalik	öffentlich	ADJ;NOM;PL	ADJ
haritud	gepflegt	haritud	pflegen	ADJ;PST;V.PTCP;PASS	ADJ;V.PTCP
haritud	kultiviert	haritud	kultiviert	ADJ;PST;V.PTCP;PASS	ADJ;V.PTCP
valitsemine	regierungsführung	valitsemine	regierungsführung	N;NOM;SG	N;NOM;FEM;SG
valitsemine	unternehmensführung	valitsemine	unternehmensführung	N;NOM;SG	N;NOM;FEM;SG
professionaalne	professionellen	professionaalne	professionell	ADJ;NOM;SG	ADJ
professionaalne	professionell	professionaalne	professionell	ADJ;NOM;SG	ADJ
selgitas	erläuterte	selgitama	erläutern	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
selgitas	erklärt	selgitama	erklären	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
selgitas	erläutert	selgitama	erläutern	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
selgitas	erklärte	selgitama	erklären	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ennustada	vorhersagen	ennustama	vorhersagen	V;NFIN	V;NFIN
armastas	lieben	armastama	lieben	V;IND;SG;3;PST;FIN;ACT	V;FIN
armastas	liebte	armastama	lieben	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
armastas	geliebt	armastama	lieben	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
jumalad	göttern	jumal	göttern	N;NOM;PL	N;PL
jumalad	gottheiten	jumal	gottheiten	N;NOM;PL	N;NOM;FEM;PL
üldised	allgemein	üldine	allgemein	ADJ;NOM;PL	ADJ
üldised	allgemeinen	üldine	allgemein	ADJ;NOM;PL	ADJ
üldised	allgemeine	üldine	allgemein	ADJ;NOM;PL	ADJ;NOM;FEM;PL
suurepärane	exzellent	suure_pärane	exzellent	ADJ;NOM;SG	ADJ
suurepärane	ausgezeichnete	suure_pärane	ausgezeichnet	ADJ;NOM;SG	ADJ;NOM;FEM;SG
suurepärane	hervorragend	suure_pärane	hervorragend	ADJ;NOM;SG	ADJ
moodne	modernen	moodne	modern	ADJ;NOM;SG	ADJ
moodne	modern	moodne	modern	ADJ;NOM;SG	ADJ
moodne	moderner	moodne	modern	ADJ;NOM;SG	ADJ
moodne	moderne	moodne	modern	ADJ;NOM;SG	ADJ;NOM;FEM;SG
moodne	modernes	moodne	modern	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kaasatud	enthalten	kaasama	enthalten	V;PST;V.PTCP;PASS	V;NFIN
kaasatud	eingeschlossen	kaasama	einschließen	V;PST;V.PTCP;PASS	V;V.PTCP
kaasatud	aufgenommen	kaasama	aufnehmen	V;PST;V.PTCP;PASS	V;V.PTCP
kaasatud	beteiligte	kaasama	beteiligen	V;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
kaasatud	eingebunden	kaasama	einbinden	V;PST;V.PTCP;PASS	V;V.PTCP
kaasatud	beteiligten	kaasama	beteiligt	V;PST;V.PTCP;PASS	V;IND;PL;3;PST;FIN
teostab	durchführt	teostama	durchführen	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
teostab	führt	teostama	führen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
loobuti	abgebrochen	loobuma	abbrechen	V;IND;PST;FIN;PASS	V;V.PTCP
ohtlikud	gefährlicher	ohtlik	gefährlich	ADJ;NOM;PL	ADJ
ohtlikud	gefährlich	ohtlik	gefährlich	ADJ;NOM;PL	ADJ
ohtlikud	gefährlichen	ohtlik	gefährlich	ADJ;NOM;PL	ADJ
ohtlikud	gefährliche	ohtlik	gefährlich	ADJ;NOM;PL	ADJ;NOM;FEM;PL
ohtlikud	gefährlich	ohtlik	gefährlich	ADJ;NOM;PL	ADJ
ohtlikud	riskant	ohtlik	riskant	ADJ;NOM;PL	ADJ
ohtlikud	gefährlichen	ohtlik	gefährlich	ADJ;NOM;PL	ADJ
ohtlikud	gefährliche	ohtlik	gefährlich	ADJ;NOM;PL	ADJ;NOM;FEM;PL
katta	decken	katma	decken	V;NFIN	V;NFIN
avab	eröffnet	avama	eröffnen	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
avab	geöffnet	avama	öffnen	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
avab	öffnet	avama	öffnen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
sõnavara	vokabular	sõna_vara	vokabular	N;NOM;SG	N;NOM;NEUT;SG
koosolek	tagung	koos_olek	tagung	N;NOM;SG	N;NOM;FEM;SG
