dihormati	respekteras	dihormati	respektera	V;SG;PASS	V;IND;PRS;FIN;PASS
destinasi	destination	destinasi	destination	N;SG	N;NOM;INDF;MASC+FEM;SG
destinasi	destinationen	destinasi	destination	N;SG	N;NOM;DEF;MASC+FEM;SG
destinasi	resmål	destinasi	resmål	N;SG	N;NOM;INDF;NEUT;SG
destinasi	resmål	destinasi	resmål	N;SG	N;NOM;INDF;NEUT;SG
mendeteksi	upptäcker	mendeteksi	upptäcka	V;SG;ACT	V;IND;PRS;FIN;ACT
mendeteksi	upptäcka	mendeteksi	upptäcka	V;SG;ACT	V;IMP;FIN;ACT
mendeteksi	detektera	mendeteksi	detektera	V;SG;ACT	V;IMP;FIN;ACT
mendeteksi	upptäcka	mendeteksi	upptäcka	V;SG;ACT	V;IMP;FIN;ACT
mendeteksi	detektera	mendeteksi	detektera	V;SG;ACT	V;IMP;FIN;ACT
komoditas	handelsvara	komoditas	handelsvara	N;SG	N;NOM;INDF;MASC+FEM;SG
komoditas	råvara	komoditas	råvara	N;SG	N;NOM;INDF;MASC+FEM;SG
usus	tarmen	usus	tarm	N;SG	N;NOM;DEF;MASC+FEM;SG
usus	tarm	usus	tarm	N;SG	N;NOM;INDF;MASC+FEM;SG
usus	tarm	usus	tarm	N;SG	N;NOM;INDF;MASC+FEM;SG
usus	tarmen	usus	tarm	N;SG	N;NOM;DEF;MASC+FEM;SG
usus	kolon	usus	kolon	N;SG	N;NOM;INDF;NEUT;SG
usus	magkänsla	usus	magkänsla	N;SG	N;NOM;INDF;MASC+FEM;SG
sosiologi	sociologi	sosiologi	sociologi	N;SG	N;NOM;INDF;MASC+FEM;SG
argumen	argumentation	argumen	argumentation	N;SG	N;NOM;INDF;MASC+FEM;SG
argumen	gräl	argumen	gräl	N;SG	N;NOM;INDF;NEUT;SG
memuji	prisar	menpuji	prisa	V;SG;ACT	V;IND;PRS;FIN;ACT
memuji	prisa	menpuji	prisa	V;SG;ACT	V;IMP;FIN;ACT
popularitas	popularitet	popularitas	popularitet	N;SG	N;NOM;INDF;MASC+FEM;SG
frasa	fras	frasa	fra	N	N;NOM;INDF;MASC+FEM;SG
frasa	meningar	frasa	mening	N	N;NOM;INDF;MASC+FEM;PL
frasa	fraser	frasa	fras	N	N;NOM;INDF;MASC+FEM;PL
spektrum	spektrum	spektrum	spektrum	N;SG	N;NOM;INDF;NEUT;SG
teroris	terrorist	teroris	terrorist	N;SG	N;NOM;INDF;MASC+FEM;SG
teroris	terroristen	teroris	terroristen	N;SG	N;NOM;DEF;MASC+FEM;SG
dikirimkan	levereras	dikirimkan	leverera	V;SG;PASS	V;IND;FIN;PASS
dikirimkan	transporteras	dikirimkan	transportera	V;SG;PASS	V;IND;PRS;FIN;PASS
dikirimkan	fraktas	dikirimkan	frakta	V;SG;PASS	V;IND;NFIN;PASS
dikirimkan	levereras	dikirimkan	leverera	V;SG;PASS	V;IND;FIN;PASS
dikirimkan	skickas	dikirimkan	skicka	V;SG;PASS	V;IND;PRS;FIN;PASS
mikro	micro	mikro	micro	N;SG	N;NOM;INDF;NEUT;SG
mikro	mikro	mikro	mikro	N;SG	N;NOM;INDF;MASC+FEM;SG
professor	professor	professor	professor	N	N;NOM;INDF;MASC+FEM;SG
professor	professorn	professor	professor	N	N;NOM;DEF;MASC+FEM;SG
