この	tento	この	tento	DET	DET;NOM;MASC;SG
この	toto	この	tento	DET	DET;NOM;NEUT;SG
この	tohle	この	tenhle	DET	DET;NOM;NEUT;SG
もの	věci	もの	věc	N	N;NOM;FEM;PL;POS
もの	veci	もの	vece	N	N;NOM;MASC;SG;POS
大学	univerzity	大学	univerzita	N	N;NOM;FEM;PL;POS
大学	univerzita	大学	univerzita	N	N;NOM;FEM;SG;POS
大学	university	大学	univerzita	N	N;NOM;FEM;PL;POS
大学	univerzity	大学	univerzita	N	N;NOM;FEM;PL;POS
大学	kolegia	大学	kolegium	N	N;NOM;NEUT;SG;POS
テレビ	tv	テレビ	televizní	N	N;FEM;POS
テレビ	televize	テレビ	televize	N	N;NOM;FEM;SG;POS
放送	vysílat	放送	vysílat	V	V;IPFV;POS;NFIN
削除	odstranit	削除	odstranit	V	V;PFV;POS;NFIN
削除	odebrat	削除	odebrat	V	V;POS;NFIN
削除	odstranit	削除	odstranit	V	V;PFV;POS;NFIN
削除	vymazat	削除	vymazat	V	V;PFV;POS;NFIN
現在	dárek	現在	dárek	N	N;INAN;NOM;MASC;SG;POS
現在	přítomnost	現在	přítomnost	N	N;NOM;FEM;SG;POS
学校	škol	学校	škola	N	N;GEN;FEM;PL;POS
学校	školy	学校	škola	N	N;NOM;FEM;PL;POS
学校	školy	学校	škola	N	N;NOM;FEM;PL;POS
学校	školu	学校	škola	N	N;ACC;FEM;SG;POS
学校	škola	学校	škola	N	N;NOM;FEM;SG;POS
世界	svět	世界	svět	N	N;INAN;NOM;MASC;SG;POS
でも	ale	でも	ale	CONJ	CONJ
作品	díla	作品	dílo	N	N;NOM;NEUT;PL;POS
作品	diskografie	作品	diskografie	N	N;NOM;FEM;SG;POS
時代	éry	時代	éra	N	N;NOM;FEM;SG;POS
時代	éra	時代	éra	N	N;NOM;FEM;SG;POS
映画	film	映画	film	N	N;INAN;NOM;MASC;SG;POS
映画	kino	映画	kino	N	N;NOM;NEUT;SG;POS
映画	kina	映画	kino	N	N;NOM;NEUT;PL;POS
映画	film	映画	film	N	N;INAN;NOM;MASC;SG;POS
映画	filmy	映画	film	N	N;INAN;NOM;MASC;PL;POS
映画	kina	映画	kino	N	N;NOM;NEUT;PL;POS
監督	režisér	監督	režisér	N	N;ANIM;NOM;MASC;SG;POS
監督	řediteli	監督	ředitel	N	N;ANIM;DAT;MASC;SG;POS
監督	režie	監督	režie	N	N;NOM;FEM;SG;POS
監督	ředitel	監督	ředitel	N	N;ANIM;NOM;MASC;SG;POS
監督	ředitelka	監督	ředitelka	N	N;NOM;FEM;SG;POS
監督	dohled	監督	dohled	N	N;INAN;NOM;MASC;SG;POS
監督	dozor	監督	dozor	N	N;INAN;NOM;MASC;SG;POS
鉄道	železnice	鉄道	železnice	N	N;NOM;FEM;SG;POS
鉄道	železnice	鉄道	železnice	N	N;NOM;FEM;SG;POS
鉄道	železnici	鉄道	železnice	N	N;ACC;FEM;SG;POS
鉄道	železnice	鉄道	železnice	N	N;NOM;FEM;SG;POS
鉄道	železnic	鉄道	železnice	N	N;GEN;FEM;PL;POS
鉄道	železnice	鉄道	železnice	N	N;NOM;FEM;SG;POS
使用	použijte	使用	použít	V	V;PFV;IMP;PL;2;POS;FIN
