egy	ένας	egy	ένας	DET;INDF	DET;NOM;INDF;MASC;SG
nem	οχι	nem	οχι	ADV	ADV
volt	είχε	van	έχω	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
magyar	ουγγρική	magyar	ουγγρικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
magyar	ουγγρικό	magyar	ουγγρικός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
csak	μόνον	csak	μόνο	ADV	ADV
csak	μόνο	csak	μόνο	ADV	ADV
csak	μονο	csak	μονο	ADV	ADV
csak	απλα	csak	απλά	ADV	ADV
csak	απλά	csak	απλά	ADV	ADV
csak	απλώς	csak	απλά	ADV	ADV
még	ακόμη	még	ακόμα	ADV	ADV
még	ακομα	még	ακομα	ADV	ADV
még	ακόμα	még	ακόμα	ADV	ADV
település	χωριο	település	χωριο	N;NOM;SG	N;NOM;NEUT;SG
település	χωριό	település	χωριό	N;NOM;SG	N;NOM;NEUT;SG
település	διακανονισμός	település	διακανονισμός	N;NOM;SG	N;NOM;MASC;SG
település	δήμος	település	δήμος	N;NOM;SG	N;NOM;MASC;SG
már	ήδη	már	ήδη	ADV	ADV
már	ηδη	már	ηδη	ADV	ADV
között	μεταξύ	között	μεταξύ	ADP	ADP
között	μεταξυ	között	μεταξυ	ADP	ADP
nagy	μεγάλο	nagy	μεγάλος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
nagy	μεγάλη	nagy	μεγάλος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
nagy	μεγάλος	nagy	μεγάλος	ADJ;NOM;SG	ADJ;NOM;MASC;SG
nagy	μεγάλο	nagy	μεγάλος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
személyek	ατομα	személy	ατομα	N;NOM;PL	N;NOM;NEUT;PL
személyek	πρόσωπα	személy	πρόσωπο	N;NOM;PL	N;NOM;NEUT;PL
személyek	άτομα	személy	άτομο	N;NOM;PL	N;NOM;NEUT;PL
ország	χώρα	ország	χώρα	N;NOM;SG	N;NOM;FEM;SG
évek	χρονια	év	χρονος	N;NOM;PL	N;NOM;NEUT;PL
évek	ετη	év	εγώ	N;NOM;PL	N;NOM;NEUT;PL
évek	χρόνια	év	χρόνος	N;NOM;PL	N;NOM;NEUT;PL
évek	έτη	év	έτος	N;NOM;PL	N;NOM;NEUT;PL
klub	λέσχη	klub	λέσχω	N;NOM;SG	N;NOM;FEM;SG
információk	πληροφορίες	információ	πληροφορία	N;NOM;PL	N;NOM;FEM;PL
információk	πληροφορίες	információ	πληροφορία	N;NOM;PL	N;NOM;FEM;PL
vita	διαφωνία	vita	διαφωνία	N;NOM;SG	N;NOM;FEM;SG
itt	εδω	itt	εδω	ADV	ADV
itt	εδώ	itt	εδώ	ADV	ADV
akkor	τότε	akkor	τότε	ADV	ADV
akkor	μετά	akkor	μετά	ADV	ADV
fájl	φάκελος	fájl	φάκελος	N;NOM;SG	N;NOM;MASC;SG
fájl	αρχείο	fájl	αρχείο	N;NOM;SG	N;NOM;NEUT;SG
azonban	ωστόσο	azonban	ωστόσο	CONJ	CONJ
amerikai	αμερικανική	amerikai	αμερικάνικος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
amerikai	αμερικανός	amerikai	Αμερικανός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
amerikai	αμερικάνος	amerikai	αμερικάνος	ADJ;NOM;SG	ADJ;NOM;MASC;SG
amerikai	αμερικάνικο	amerikai	Αμερικάνικος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
német	γερμανός	német	γερμανός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
német	γερμανικό	német	γερμανικός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
német	γερμανική	német	γερμανικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
január	ιανουάριο	január	ιανουάριο	N;NOM;SG	N
január	ιανουάριος	január	ιανουάριος	N;NOM;SG	N;NOM;MASC;SG
május	μάιος	május	μάιος	N;NOM;SG	N;NOM;MASC;SG
május	μάης	május	μάος	N;NOM;SG	N;NOM;MASC;SG
kell	πρέπει	kell	πρέπει	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
ahol	όπου	ahol	όπου	ADV	ADV
ahol	πού	ahol	πού	ADV	ADV
csapat	ομαδα	csapat	ομαδα	N;NOM;SG	N;NOM;FEM;SG
március	μάρτιος	március	μάρτιος	N;NOM;SG	N;NOM;MASC;SG
március	μάρτιο	március	μάρτιο	N;NOM;SG	N
augusztus	αύγουστος	augusztus	αύγουστος	N;NOM;SG	N;NOM;MASC;SG
augusztus	αύγουστο	augusztus	αύγουστος	N;NOM;SG	N
július	ιουλιος	július	ιουλιος	N;NOM;SG	N;NOM;MASC;SG
szeptember	σεπτέμβριος	szeptember	σεπτέμβριος	N;NOM;SG	N;NOM;MASC;SG
szeptember	σεπτέμβριο	szeptember	σεπτέμβριο	N;NOM;SG	N
alatt	υπό	alatt	υπό	ADP	ADP
október	οκτώβριος	október	οκτώβριος	N;NOM;SG	N;NOM;MASC;SG
október	οκτώβριο	október	οκτώβριο	N;NOM;SG	N
labdarúgó	ποδοσφαιριστής	labdarúgó	ποδοσφαιριστής	N;NOM;SG	N;NOM;MASC;SG
február	φεβρουάριος	február	φεβρουάριος	N;NOM;SG	N;NOM;MASC;SG
február	φεβρουάριο	február	φεβρουάριο	N;NOM;SG	N
mert	επειδή	mert	επειδή	CONJ	CONJ
mert	γιατί	mert	γιατί	CONJ	CONJ
később	αργότερα	későn	αργά	ADV	ADV;CMPR
később	αργοτερα	későn	αργά	ADV	ADV
december	δεκέμβριο	december	δεκέμβριος	N;NOM;SG	N
december	δεκέμβριος	december	δεκέμβριος	N;NOM;SG	N;NOM;MASC;SG
november	νοέμβριο	november	νοέμβριος	N;NOM;SG	N;NOM;MASC;SG
november	νοέμβριος	november	νοέμβριος	N;NOM;SG	N;NOM;MASC;SG
cikkek	άρθρα	cikk	άρθρο	N;NOM;PL	N;NOM;NEUT;PL
cikkek	τεχνουργήματα	cikk	τεχνούργημα	N;NOM;PL	N;NOM;NEUT;PL
április	απρίλιος	április	απρίλιος	N;NOM;SG	N;NOM;MASC;SG
április	απρίλιο	április	απρίλιο	N;NOM;SG	N
április	απρίλη	április	απρίλιος	N;NOM;SG	N
április	έιπριλ	április	έιπριλ	N;NOM;SG	N
város	πολη	város	πολη	N;NOM;SG	N;NOM;FEM;SG
város	πόλη	város	πόλη	N;NOM;SG	N;NOM;FEM;SG
város	πολη	város	πολη	N;NOM;SG	N;NOM;FEM;SG
város	πόλη	város	πόλη	N;NOM;SG	N;NOM;FEM;SG
amikor	πότε	amikor	πότε	ADV	ADV
három	τρια	három	τρεις	NUM;NOM;SG	NUM
nemzetközi	διεθνής	nemzetközi	διεθνής	ADJ;NOM;SG	ADJ;NOM;FEM;SG
nemzetközi	διεθνές	nemzetközi	διεθνής	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
díj	αμοιβή	díj	αμοιβός	N;NOM;SG	N;NOM;FEM;SG
díj	έπαθλο	díj	έπαθλος	N;NOM;SG	N;NOM;NEUT;SG
díj	βραβείο	díj	βραβείο	N;NOM;SG	N;NOM;NEUT;SG
díj	βραβείο	díj	βραβείο	N;NOM;SG	N;NOM;NEUT;SG
kép	φωτογραφια	kép	φωτογραφια	N;NOM;SG	N;NOM;FEM;SG
kép	εικόνα	kép	εικόνα	N;NOM;SG	N;NOM;FEM;SG
kép	εικόνα	kép	εικόνα	N;NOM;SG	N;NOM;FEM;SG
kép	εικονα	kép	εικονα	N;NOM;SG	N;NOM;FEM;SG
lásd	βλέπε	lásd	βλέπω		
lásd	δειτε	lásd	δειτε		
ezek	αυτά	ez	αυτός	PRO;NOM;PL;3	PRO;NOM;NEUT;PL;3
ezek	αυτές	ez	αυτός	PRO;NOM;PL;3	PRO;NOM;FEM;PL;3
ezek	αυτα	ez	αυτός	PRO;NOM;PL;3	PRO;NOM;NEUT;PL;3
nemzeti	εθνικός	nemzeti	εθνικός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
nemzeti	εθνικό	nemzeti	εθνικός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
nemzeti	εθνικη	nemzeti	εθνικη	ADJ;NOM;SG	ADJ;NOM;FEM;SG
nemzeti	εθνική	nemzeti	εθνικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
század	λόχος	század	λόχος	N;NOM;SG	N;NOM;MASC;SG
század	εταιρεία	század	εταιρεία	N;NOM;SG	N;NOM;FEM;SG
század	εταιρία	század	εταιρία	N;NOM;SG	N;NOM;FEM;SG
század	σμήνος	század	σμήνος	N;NOM;SG	N;NOM;NEUT;SG
század	μοίρα	század	μοίρα	N;NOM;SG	N;NOM;FEM;SG
század	αιώνας	század	αιώνας	N;NOM;SG	N;NOM;MASC;SG
hivatalos	επίσημο	hivatalos	επίσημος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
hivatalos	επίσημη	hivatalos	επίσημος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
ellen	εναντίον	ellen	εναντίον	ADP	ADP
végeredmény	αποτελεσμα	végeredmény	αποτελεσμα	N;NOM;SG	N;NOM;NEUT;SG
először	πρώτον	először	πρώτον	ADV	ADV
először	πρώτα	először	πρώτα	ADV	ADV
szövetség	συμμαχία	szövetség	συμμαχία	N;NOM;SG	N;NOM;FEM;SG
szövetség	ομοσπονδία	szövetség	ομοσπονδία	N;NOM;SG	N;NOM;FEM;SG
szövetség	ένωση	szövetség	ένωση	N;NOM;SG	N;NOM;FEM;SG
része	μέρος	rész	μέρος	N;NOM;SG	N;NOM;NEUT;SG
része	μεροσ	rész	μεροσ	N;NOM;SG	N;NOM;NEUT;SG
jobbra	σωστα	jobbra	σωστα	ADV	ADV
jobbra	δεξιά	jobbra	δεξιά	ADV	ADV
jobbra	σωστά	jobbra	σωστά	ADV	ADV
olimpiai	ολυμπιακή	olimpiai	ολυμπιακός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
olimpiai	ολυμπιακός	olimpiai	ολυμπιακός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
nagyon	πολυ	nagyon	πολυ	ADV	ADV
nagyon	πολύ	nagyon	πολύ	ADV	ADV
kis	μικρή	kis	μικρός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kis	μικρό	kis	μικρός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kis	μικρός	kis	μικρός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
kis	μικρή	kis	μικρός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kis	μικρό	kis	μικρός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
ott	εκει	ott	εκει	ADV	ADV
ott	εκεί	ott	εκεί	ADV	ADV
templom	ναός	templom	ναός	N;NOM;SG	N;NOM;MASC;SG
templom	τσερτς	templom	τσερτς	N;NOM;SG	N
templom	εκκλησία	templom	εκκλησία	N;NOM;SG	N;NOM;FEM;SG
templom	εκκλησια	templom	εκκλησιος	N;NOM;SG	N;NOM;FEM;SG
elhunyt	πέρασε	el+huny	περνώ	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
elhunyt	απεβίωσε	el+huny	αποβιώνω	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
hivatkozások	αναφορές	hivatkozás	αναφορά	N;NOM;PL	N;NOM;FEM;PL
hivatkozások	παραπομπές	hivatkozás	παραπομπή	N;NOM;PL	N;NOM;FEM;PL
