رده	trieda	رده	trieda	N;SG	N;NOM;FEM;SG
از	zo	از	z	ADP	ADP;GEN
از	od	از	od	ADP	ADP;GEN
که	že	که	že	CONJ	CONJ
این	to	این	to	DET	DET;NOM;NEUT;SG
این	táto	این	táto	DET	DET;NOM;FEM;SG
این	tento	این	tento	DET	DET;INAN;NOM;MASC;SG
این	toto	این	toto	DET	DET;NOM;NEUT;SG
این	túto	این	táto	DET	DET;ACC;FEM;SG
با	so	با	s	ADP	ADP;INS
یک	jedno	یک	jeden	NUM	NUM;NOM;NEUT;SG
یک	jedným	یک	jeden	NUM	NUM;INS;MASC;SG
یک	jeden	یک	jeden	NUM	NUM;ANIM;NOM;MASC;SG
یک	jedna	یک	jeden	NUM	NUM;NOM;FEM;SG
سال	roku	سال	rok	N;SG	N;INAN;GEN;MASC;SG
سال	rok	سال	rok	N;SG	N;INAN;NOM;MASC;SG
سال	roka	سال	rok	N;SG	N;INAN;GEN;MASC;SG
ایران	iránu	ایران	irána	N;SG	N;INAN;GEN;MASC;SG
ایران	iráne	ایران	irána	N;SG	N;INAN;NOM;MASC;SG
ایران	irán	ایران	irán	N;SG	N;INAN;NOM;MASC;SG
برای	pre	برای	pre	ADP	ADP;ACC
شهرستان	county	شهرستان	count	N;SG	N;NOM;MASC;SG
آمریکا	amerika	آمریکا	amerika	N;SG	N;NOM;FEM;SG
آمریکا	amerike	آمریکا	amerika	N;SG	N;DAT;FEM;SG
آمریکا	ameriku	آمریکا	amerika	N;SG	N;ACC;FEM;SG
شده	bola	کرد#کن	byť	V;SG;3;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
شده	bol	کرد#کن	byť	V;SG;3;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
فهرست	katalóg	فهرست	katalóg	N;SG	N;INAN;NOM;MASC;SG
فهرست	zoznam	فهرست	zoznam	N;SG	N;INAN;NOM;MASC;SG
فهرست	zoznamu	فهرست	zoznam	N;SG	N;INAN;GEN;MASC;SG
فهرست	katalóg	فهرست	katalóg	N;SG	N;INAN;NOM;MASC;SG
بود	bola	بود#باش	byť	V;SG;3;PST	V;IPFV;FEM;SG;POS;PST;V.PTCP
بود	bol	بود#باش	byť	V;SG;3;PST	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
بود	bolo	بود#باش	byť	V;SG;3;PST	V;IPFV;NEUT;SG;POS;PST;V.PTCP
دارد	má	داشت#دار	mať	V;SG;3;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
او	ona	او	ona	PRO;SG;3	PRO;NOM;FEM;SG;3
او	mu	او	on	PRO;SG;3	PRO;ANIM;DAT;MASC;SG;3
او	on	او	on	PRO;SG;3	PRO;ANIM;NOM;MASC;SG;3
او	neho	او	on	PRO;SG;3	PRO;ANIM;GEN;MASC;SG;3
او	ho	او	on	PRO;SG;3	PRO;ANIM;ACC;MASC;SG;3
او	jej	او	ona	PRO;SG;3	PRO;DAT;FEM;SG;3
او	ju	او	ona	PRO;SG;3	PRO;ACC;FEM;SG;3
او	nej	او	ona	PRO;SG;3	PRO;DAT;FEM;SG;3
او	ňu	او	ona	PRO;SG;3	PRO;ACC;FEM;SG;3
تا	do	تا	do	ADP	ADP;GEN
وابسته	závislé	وابسته	závislý	ADJ	ADJ;NOM;NEUT;SG
وابسته	závislých	وابسته	závislý	ADJ	ADJ;ANIM;GEN;MASC;PL
وابسته	súvisiace	وابسته	súvisiaci	ADJ	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
وابسته	pridružené	وابسته	pridružený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
فوتبال	futbal	فوتبال	futbať	N;SG	N;INAN;NOM;MASC;SG
فوتبال	futbal	فوتبال	futbať	N;SG	N;INAN;NOM;MASC;SG
ساعت	hodinu	ساعت	hodina	N;SG	N;ACC;FEM;SG
ساعت	hodina	ساعت	hodina	N;SG	N;NOM;FEM;SG
پایه	základ	پایه	základ	N;SG	N;INAN;NOM;MASC;SG
پایه	nadácia	پایه	nadácia	N;SG	N;NOM;FEM;SG
پایه	základ	پایه	základ	N;SG	N;INAN;NOM;MASC;SG
پایه	základ	پایه	základ	N;SG	N;INAN;NOM;MASC;SG
پایه	základňa	پایه	základňa	N;SG	N;NOM;FEM;SG
نام	názov	نام	názov	N;SG	N;INAN;NOM;MASC;SG
نام	meno	نام	meno	N;SG	N;NOM;NEUT;SG
استان	provincia	استان	provincie	N;SG	N;NOM;FEM;SG
استان	provincii	استان	provincia	N;SG	N;DAT;FEM;SG
استان	kraj	استان	kraj	N;SG	N;INAN;NOM;MASC;SG
استان	regiónu	استان	región	N;SG	N;INAN;GEN;MASC;SG
استان	oblasť	استان	oblasť	N;SG	N;NOM;FEM;SG
استان	región	استان	región	N;SG	N;INAN;NOM;MASC;SG
شهر	mesto	شهر	mesto	N;SG	N;NOM;NEUT;SG
شهر	mesta	شهر	mesto	N;SG	N;NOM;NEUT;SG
شهر	mestečko	شهر	mestečko	N;SG	N;NOM;NEUT;SG
شهر	mesto	شهر	mesto	N;SG	N;NOM;NEUT;SG
شهر	mesta	شهر	mesto	N;SG	N;NOM;NEUT;SG
ملی	národný	ملی	národný	ADJ	ADJ;INAN;NOM;MASC;SG
ملی	vnútroštátnych	ملی	vnútroštátny	ADJ	ADJ;GEN;MASC;PL
ملی	národná	ملی	národný	ADJ	ADJ;NOM;FEM;SG
ملی	vnútroštátna	ملی	vnútroštátny	ADJ	ADJ;NOM;FEM;SG
ملی	národné	ملی	národný	ADJ	ADJ;NOM;NEUT;SG
کشور	krajine	کشور	krajina	N;SG	N;DAT;FEM;SG
کشور	štát	کشور	štát	N;SG	N;INAN;NOM;MASC;SG
کشور	krajina	کشور	krajina	N;SG	N;NOM;FEM;SG
تاریخ	dátumu	تاریخ	dátum	N;SG	N;INAN;GEN;MASC;SG
تاریخ	dátum	تاریخ	dátum	N;SG	N;INAN;NOM;MASC;SG
تاریخ	histórii	تاریخ	história	N;SG	N;DAT;FEM;SG
تاریخ	históriu	تاریخ	história	N;SG	N;ACC;FEM;SG
تاریخ	história	تاریخ	história	N;SG	N;NOM;FEM;SG
فیلم	filmom	فیلم	film	N;SG	N;INAN;INS;MASC;SG
فیلم	film	فیلم	film	N;SG	N;INAN;NOM;MASC;SG
فیلم	filmom	فیلم	film	N;SG	N;INAN;INS;MASC;SG
فیلم	film	فیلم	film	N;SG	N;INAN;NOM;MASC;SG
بخش	oddelenie	بخش	oddelenie	N;SG	N;NOM;NEUT;SG
بخش	sektor	بخش	sektor	N;SG	N;INAN;NOM;MASC;SG
بخش	odvetvie	بخش	odvetvieť	N;SG	N;NOM;NEUT;SG
بخش	oddiel	بخش	oddlieť	N;SG	N;INAN;NOM;MASC;SG
بخش	časť	بخش	časť	N;SG	N;NOM;FEM;SG
بخش	úsek	بخش	úsek	N;SG	N;INAN;NOM;MASC;SG
بخش	sekcia	بخش	sekcia	N;SG	N;NOM;FEM;SG
بخش	obvod	بخش	obvod	N;SG	N;INAN;NOM;MASC;SG
بخش	okrsok	بخش	okrsok	N;SG	N;INAN;NOM;MASC;SG
جمعیت	dav	جمعیت	dav	N;SG	N;INAN;NOM;MASC;SG
جمعیت	zástup	جمعیت	zástup	N;SG	N;INAN;NOM;MASC;SG
جمعیت	davu	جمعیت	dav	N;SG	N;INAN;GEN;MASC;SG
جمعیت	populácia	جمعیت	populácia	N;SG	N;NOM;FEM;SG
جمعیت	obyvateľstvo	جمعیت	obyvateľstvo	N;SG	N;NOM;NEUT;SG
جمعیت	populáciu	جمعیت	populácia	N;SG	N;ACC;FEM;SG
دو	dve	دو	dva	NUM	NUM;NOM;FEM;PL
دو	dvaja	دو	dva	NUM	NUM;ANIM;NOM;MASC;PL
دو	dva	دو	dva	NUM	NUM;INAN;NOM;MASC;PL
اثر	efekt	اثر	efekt	N;SG	N;INAN;NOM;MASC;SG
اثر	účinok	اثر	účinok	N;SG	N;INAN;NOM;MASC;SG
اثر	vplyv	اثر	vplyv	N;SG	N;INAN;NOM;MASC;SG
پس	potom	پس	potom	ADV	ADV
پس	vtedy	پس	vtedy	ADV	ADV
یکی	jedno	یک	jeden	NUM	NUM;NOM;NEUT;SG
یکی	jedným	یک	jeden	NUM	NUM;INS;MASC;SG
یکی	jeden	یک	jeden	NUM	NUM;ANIM;NOM;MASC;SG
یکی	jedna	یک	jeden	NUM	NUM;NOM;FEM;SG
بازیکنان	aktéri	بازیکن	aktér	N;PL	N;ANIM;NOM;MASC;PL
بازیکنان	hráči	بازیکن	hráčiť	N;PL	N;ANIM;NOM;MASC;PL
بازیکنان	hráčov	بازیکن	hráč	N;PL	N;ANIM;ACC;MASC;PL
بازیکنان	prehrávače	بازیکن	prehrávač	N;PL	N;INAN;NOM;MASC;PL
آثار	artefakty	اثر	artefakt	N;PL	N;INAN;NOM;MASC;PL
آثار	efekty	اثر	efekt	N;PL	N;INAN;NOM;MASC;PL
آثار	účinky	اثر	účinka	N;PL	N;INAN;NOM;MASC;PL
آثار	vplyvy	اثر	vplyv	N;PL	N;INAN;NOM;MASC;PL
روستاهای	dedín	روستا	dedina	N;PL	N;GEN;FEM;PL
روستاهای	dediny	روستا	dedina	N;PL	N;NOM;FEM;PL
روستاهای	obce	روستا	obec	N;PL	N;NOM;FEM;PL
عنوان	titulok	عنوان	titulok	N;SG	N;INAN;NOM;MASC;SG
عنوان	popis	عنوان	popis	N;SG	N;INAN;NOM;MASC;SG
عنوان	nadpis	عنوان	nadpis	N;SG	N;INAN;NOM;MASC;SG
پیوند	spojenie	پیوند	spojenie	N;SG	N;NOM;NEUT;SG
پیوند	súvislosť	پیوند	súvislosť	N;SG	N;NOM;FEM;SG
پیوند	odkaz	پیوند	odkaz	N;SG	N;INAN;NOM;MASC;SG
پیوند	link	پیوند	link	N;SG	N;INAN;NOM;MASC;SG
پیوند	väzba	پیوند	väzba	N;SG	N;NOM;FEM;SG
پیوند	puto	پیوند	puto	N;SG	N;NOM;NEUT;SG
پیش	pred	پیش	pred	ADP	ADP;INS
بحث	hádka	بحث	hádka	N;SG	N;NOM;FEM;SG
بحث	diskusia	بحث	diskusi	N;SG	N;NOM;FEM;SG
بحث	diskusiu	بحث	diskusia	N;SG	N;ACC;FEM;SG
بیرون	vonku	بیرون	vonku	ADV;ESS	ADV
بیرون	von	بیرون	von	ADV;ESS	ADV
افراد	ludia	فرد	ludia	N;PL	N;ANIM;NOM;MASC;PL
افراد	ľudia	فرد	človek	N;PL	N;ANIM;NOM;MASC;PL
افراد	ľudí	فرد	človek	N;PL	N;ANIM;ACC;MASC;PL
دوره	kurz	دوره	kurz	N;SG	N;INAN;NOM;MASC;SG
دوره	obdobie	دوره	obdobie	N;SG	N;NOM;NEUT;SG
دوره	doba	دوره	doba	N;SG	N;NOM;FEM;SG
دوره	lehota	دوره	lehota	N;SG	N;NOM;FEM;SG
دهه	desaťročí	دهه	desaťročie	N;SG	N;NOM;NEUT;SG
دهه	desaťročí	دهه	desaťročie	N;SG	N;NOM;NEUT;SG
دهه	desaťročie	دهه	desaťročie	N;SG	N;NOM;NEUT;SG
متر	meter	متر	meter	N;SG	N;INAN;NOM;MASC;SG
متر	meter	متر	meter	N;SG	N;INAN;NOM;MASC;SG
متر	merač	متر	merač	N;SG	N;INAN;NOM;MASC;SG
کاربر	užívateľ	کاربر	užívateľ	N;SG	N;ANIM;NOM;MASC;SG
کاربر	užívateľa	کاربر	užívateľ	N;SG	N;ANIM;ACC;MASC;SG
کاربر	používateľa	کاربر	používateľ	N;SG	N;ANIM;ACC;MASC;SG
کاربر	používateľ	کاربر	používateľ	N;SG	N;ANIM;NOM;MASC;SG
