цинка	جست	цинк	جست	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
необходимая	جبری	необходимый	جبری	ADJ;NOM;FEM;SG	ADJ
необходимая	لازمی	необходимый	لازمی	ADJ;NOM;FEM;SG	ADJ
качественный	صفاتی	качественный	صفاتی	ADJ;NOM;MASC;SG	ADJ;NOM
мешок	کثرت	мешок	کثرت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
попугай	نقلچی	попугай	نقلچی	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
мощная	طاقتور	мощный	طاقتور	ADJ;NOM;FEM;SG	ADJ
континент	براعظم	континент	براعظم	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
смех	قہقہہ	смех	قہقہہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
смех	ہنسی	смех	ہنسی	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
смех	خندہ	смех	خندہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
безымянный	مبہم	безымянный	مبہم	ADJ;NOM;MASC;SG	ADJ
безымянный	نامعلوم	безымянный	نامعلوم	ADJ;NOM;MASC;SG	ADJ
блеск	روشنی	блеск	روشنی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
блеск	روشنی	блеск	روشنی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
блеск	چمک	блеск	چمک	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
блеск	جوت	блеск	جوت	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
блеск	دمک	блеск	دمک	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
благотворительные	خیراتی	благотворительный	خیراتی	ADJ;NOM;PL	ADJ
затмение	گرہن	затмение	گرہن	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
недвижимость	وصف	недвижимость	وصف	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
недвижимость	خصوصیت	недвижимость	خصوصیت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
недвижимость	مکان	недвижимость	مکان	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
недвижимость	ملکیت	недвижимость	ملکیت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
уничтожать	مٹانا	уничтожать	مٹا	V;IPFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
уничтожать	مٹانا	уничтожать	مٹا	V;IPFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
уничтожать	ڈھانا	уничтожать	ڈھانا	V;IPFV;NFIN;ACT	V;SG;ACT
факел	حرارت	факел	حرارت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
факел	روشنی	факел	روشنی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
пыль	فساد	пыль	فساد	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пыль	انتشار	пыль	انتشار	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пыль	غبار	пыль	غبار	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пыль	زمین	пыль	زمین	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
разумным	متوازن	разумный	متوازن	ADJ;INS;NEUT;SG	ADJ
разумным	واضح	разумный	واضح	ADJ;INS;NEUT;SG	ADJ
разумным	متوازن	разумный	متوازن	ADJ;INS;NEUT;SG	ADJ
разумным	واضح	разумный	واضح	ADJ;INS;NEUT;SG	ADJ
разумным	معقول	разумный	معقول	ADJ;INS;NEUT;SG	ADJ
выживания	شے	выживание	شے	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
выживания	عمل	выживание	عمل	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
кустарник	شراب	кустарник	شراب	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
унификации	اتحاد	унификация	اتحاد	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
звонок	مصروفیت	звонок	مصروفیت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
звонок	پیشہ	звонок	پیشہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
звонок	مصروفیت	звонок	مصروفیت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
звонок	اپیل	звонок	اپیل	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
звонок	مطالبہ	звонок	مطالبہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
звонок	استدعا	звонок	استدعا	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
президентский	صدارتی	президентский	صدارتی	ADJ;NOM;MASC;SG	ADJ;NOM
коллективных	متفقہ	коллективный	متفقہ	ADJ;GEN;PL	ADJ
коллективных	مشترک	коллективный	مشترک	ADJ;GEN;PL	ADJ
коллективных	عمومی	коллективный	عمومی	ADJ;GEN;PL	ADJ
коллективных	اجتماعی	коллективный	اجتماعی	ADJ;GEN;PL	ADJ
коллективных	مجموعی	коллективный	مجموعی	ADJ;GEN;PL	ADJ
коллективных	متفقہ	коллективный	متفقہ	ADJ;GEN;PL	ADJ
коллективных	مشترک	коллективный	مشترک	ADJ;GEN;PL	ADJ
коллективных	عمومی	коллективный	عمومی	ADJ;GEN;PL	ADJ
коллективных	اجتماعی	коллективный	اجتماعی	ADJ;GEN;PL	ADJ
сдвиг	فریب	сдвиг	فریب	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
сдвиг	قینچی	сдвиг	قینچی	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
бронирование	نشست	бронирование	نشست	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
сортировка	انداز	сортировка	انداز	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
сортировка	نوع	сортировка	نوع	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
сортировка	گروہ	сортировка	گروہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
сортировка	قسم	сортировка	قسم	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
сортировка	طریقہ.	сортировка	طریقہ.	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
сближение	ارتکاز	сближение	ارتکاز	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
сближение	مصالحت	сближение	مصالحت	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
наносить	لگانا.	наносить	لگان	V;IPFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
опровергнуть	اُلٹنا	опровергнуть	اُلٹ	V;PFV;NFIN;ACT	V;NFIN;ACT
опровергнуть	لوٹانا	опровергнуть	لوٹانا	V;PFV;NFIN;ACT	V;NFIN;ACT
опровергнуть	روکنا	опровергнуть	روک	V;PFV;NFIN;ACT	V;NFIN
опровергнуть	جھٹلانا	опровергнуть	جھٹلا	V;PFV;NFIN;ACT	V;SG;NFIN;ACT
взрослый	بالغ	взрослый	بالغ	ADJ;NOM;MASC;SG	ADJ
вычислительная	تخمینی	вычислительный	تخمینی	ADJ;NOM;FEM;SG	ADJ
вычислительная	حسابی	вычислительный	حسابی	ADJ;NOM;FEM;SG	ADJ
вычислительная	شماریاتی	вычислительный	شماریاتی	ADJ;NOM;FEM;SG	ADJ;NOM
умный	ہنرمند	умный	ہنرمند	ADJ;NOM;MASC;SG	ADJ
умный	تیز	умный	تیز	ADJ;NOM;MASC;SG	ADJ
умный	چالاک	умный	چالاک	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
умный	ہنرمند	умный	ہنرمند	ADJ;NOM;MASC;SG	ADJ
умный	ذہین	умный	ذہین	ADJ;NOM;MASC;SG	ADJ
умный	ممتاز.	умный	ممتاز.	ADJ;NOM;MASC;SG	ADJ
умный	درست	умный	درست	ADJ;NOM;MASC;SG	ADJ
умный	پھرتی	умный	پھرتی	ADJ;NOM;MASC;SG	ADJ;FEM
умный	تیز	умный	تیز	ADJ;NOM;MASC;SG	ADJ
штука	شے	штука	شے	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
штука	اثاثہ.	штука	اثاثہ.	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
штука	بات	штука	بات	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
штука	قول	штука	قول	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
штука	طریقہ.	штука	طریقہ.	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
сосуд	برتن	сосуд	برتن	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
сосуд	جگہ	сосуд	جگہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
сосуд	برتن	сосуд	برتن	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
сосуд	جگہ	сосуд	جگہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
очевидное	آشکار	очевидный	آشکار	ADJ;NOM;NEUT;SG	ADJ
очевидное	واضح	очевидный	واضح	ADJ;NOM;NEUT;SG	ADJ
очевидное	آشکار	очевидный	آشکار	ADJ;NOM;NEUT;SG	ADJ
очевидное	عیاں	очевидный	عیاں	ADJ;NOM;NEUT;SG	ADJ
очевидное	واضح	очевидный	واضح	ADJ;NOM;NEUT;SG	ADJ
обязательных	لازمی	обязательный	لازمی	ADJ;GEN;PL	ADJ
обязательных	ناگزیر	обязательный	ناگزیر	ADJ;GEN;PL	ADJ
удовлетворять	سیر	удовлетворять	سیر	V;IPFV;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
задержка	رکاوٹ.	задержка	رکاوٹ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
задержка	دیر	задержка	دیر	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
задержка	رکاوٹ.	задержка	رکاوٹ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
задержка	تاخیر	задержка	تاخیر	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
темноте	منحوس	темнота	منحوس	N;INAN;DAT;FEM;SG	N;SG
меньшинство	مذہب	меньшинство	مذہب	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
просмотреть	دیکھنا	просмотреть	دیکھ	V;PFV;NFIN;ACT	V;NFIN
просмотреть	دیکھنا	просмотреть	دیکھ	V;PFV;NFIN;ACT	V;NFIN
возобновление	بازیافت	возобновление	بازیافت	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
обследование	معائنہ	обследование	معائنہ	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
обследование	تحقیق	обследование	تحقیق	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
полдень	دوپہر	полдень	دوپہر	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
полдень	دوپہر	полдень	دوپہر	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
чаша	پیمانہ	чаша	پیمانہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
чаша	گیند	чаша	گیند	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
чаша	پیالی	чаша	پیالی	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
