nie	ne	nie	ne	PART	PART
jaar	leto	jaar	leto	N;SG	N;NOM;NEUT;SG
jaar	letnica	jaar	letnica	N;SG	N;NOM;FEM;SG
eerste	prva	eerste	prvi	ADJ;NOM	ADJ;NOM;FEM;SG
eerste	prvi	eerste	prvi	ADJ;NOM	ADJ;NOM;MASC;PL
maar	toda	maar	toda	CONJ	CONJ
maar	ampak	maar	ampak	CONJ	CONJ
maar	vendar	maar	vendar	CONJ	CONJ
hierdie	to	hierdie	ta	DET	DET;NOM;NEUT;SG
hierdie	ta	hierdie	ta	DET	DET;NOM;MASC;SG
hierdie	tega	hierdie	ta	DET	DET;GEN;NEUT;SG
soos	kot	soos	kot	CONJ	CONJ
een	ena	een	en	NUM	NUM;NOM;FEM;SG
een	en	een	en	NUM	NUM;NOM;MASC;SG
een	eden	een	eden	NUM	NUM;NOM;MASC;SG
een	eno	een	en	NUM	NUM;NOM;NEUT;SG
meer	več	baie	več	DET	DET
twee	dve	twee	dva	NUM	NUM;NOM;FEM;DU
twee	dva	twee	dva	NUM	NUM;NOM;MASC;DU
tussen	med	tussen	med	ADP	ADP;INS
gemeente	kongregacija	gemeent	kongregacija	N;SG	N;NOM;FEM;SG
gemeente	skupščina	gemeent	skupščina	N;SG	N;NOM;FEM;SG
gemeente	sklop	gemeent	sklop	N;SG	N;NOM;MASC;SG
gemeente	sestavljanje	gemeent	sestavljanje	N;SG	N;NOM;NEUT;SG
gemeente	sestav	gemeent	sestav	N;SG	N;NOM;MASC;SG
baie	mnogi	baie	mnog	DET	DET;NOM;MASC;PL
baie	veliko	baie	veliko	DET	DET
begin	začni	begin	začeti	V;PRS	V;PFV;IMP;SG;2;FIN
dié	to	dié	ta	DET	DET;NOM;NEUT;SG
dié	ta	dié	ta	DET	DET;NOM;MASC;SG
dié	tega	dié	ta	DET	DET;GEN;NEUT;SG
haar	njo	haar	on	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
sien	glej	sien	gledati	V;PRS	V;IPFV;IMP;SG;2;FIN
sien	glejte	sien	gledati	V;PRS	V;IPFV;IMP;PL;2;FIN
nuwe	novo	nuut	nov	ADJ;NOM	ADJ;NOM;NEUT;SG
nuwe	nov	nuut	nov	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
nuwe	novi	nuut	nov	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
nuwe	nove	nuut	nov	ADJ;NOM	ADJ;NOM;FEM;PL
nuwe	nova	nuut	nov	ADJ;NOM	ADJ;NOM;FEM;SG
voor	pred	voor	pred	ADP	ADP;INS
stad	mesto	stad	mesto	N;SG	N;NOM;NEUT;SG
stad	mestu	stad	mesto	N;SG	N;DAT;NEUT;SG
land	dežela	land	dežela	N;SG	N;NOM;FEM;SG
land	država	land	država	N;SG	N;NOM;FEM;SG
land	državo	land	država	N;SG	N;ACC;FEM;SG
skakels	povezave	skakel	povezava	N;PL	N;NOM;FEM;PL
later	pozneje	laat	pozno	ADV;CMPR	ADV;CMPR
later	kasneje	laat	kasno	ADV;CMPR	ADV;CMPR
tydens	med	tydens	med	ADP	ADP;INS
naam	ime	naam	ime	N;SG	N;NOM;NEUT;SG
deel	delimo	deel	deliti	V;PRS	V;IPFV;IND;PL;1;PRS;FIN
deel	delim	deel	del	V;PRS	V;IPFV;IND;SG;1;PRS;FIN
drie	tri	drie	trije	NUM	NUM;NOM;FEM;PL
drie	trije	drie	trije	NUM	NUM;NOM;MASC;PL
drie	tremi	drie	trije	NUM	NUM;NOM;FEM;PL
mense	ljudje	mens	človek	N;PL	N;NOM;MASC;PL
mense	osebe	mens	oseba	N;PL	N;NOM;FEM;PL
mense	ljudi	mens	človek	N;PL	N;ACC;MASC;PL
