per	pentru	per	pentru	ADP	ADP;ACC
con	cu	con	cu	ADP	ADP;ACC
come	cum	come	cum	ADV	ADV
come	ca	come	ca	ADV	ADV
sono	sunt	essere	fi	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
più	mai	più	mai	ADV	ADV
anche	chiar	anche	chiar	ADV	ADV
team	echipă	team	echipă	N;MASC	N;INDF;FEM;SG
team	echipa	team	echipă	N;MASC	N;DEF;FEM;SG
team	team	team	team	N;MASC	N;INDF;MASC;SG
due	doi	due	doi	NUM	NUM;MASC;PL
due	două	due	doi	NUM	NUM;FEM;PL
tra	printre	tra	printre	ADP	ADP;ACC
tra	între	tra	între	ADP	ADP;ACC
prima	înainte	prima	înainte	ADV	ADV
parte	parte	parte	parte	N;FEM;SG	N;INDF;FEM;SG
parte	partea	parte	parte	N;FEM;SG	N;DEF;FEM;SG
altri	altele	altro	altul	PRO;MASC;PL	PRO;FEM;PL;3
altri	altele	altro	altul	PRO;MASC;PL	PRO;FEM;PL;3
altri	alții	altro	altul	PRO;MASC;PL	PRO;MASC;PL;3
bar	barul	bar	bar	N;MASC	N;DEF;MASC;SG
bar	bar	bar	bar	N;MASC	N;INDF;MASC;SG
anni	ani	anno	an	N;MASC;PL	N;INDF;MASC;PL
anni	anii	anno	an	N;MASC;PL	N;DEF;MASC;PL
italiano	italian	italiano	italian	ADJ;MASC;SG	ADJ;INDF;MASC;SG
essere	fiind	essere	fi	V;NFIN	V;V.MSDR
esterni	externe	esterno	extern	ADJ;MASC;PL	ADJ;INDF;FEM;PL
esterni	externi	esterno	extern	ADJ;MASC;PL	ADJ;INDF;MASC;PL
esterni	exterioare	esterno	exterior	ADJ;MASC;PL	ADJ;INDF;FEM;PL
collegamenti	legături	collegamento	legătură	N;MASC;PL	N;INDF;FEM;PL
collegamenti	conexiuni	collegamento	conexiune	N;MASC;PL	N;INDF;FEM;PL
collegamenti	linkuri	collegamento	link	N;MASC;PL	N;INDF;FEM;PL
collegamenti	legaturi	collegamento	legatură	N;MASC;PL	N;INDF;FEM;PL
collegamenti	linkurile	collegamento	link	N;MASC;PL	N;DEF;FEM;PL
collegamenti	legături	collegamento	legătură	N;MASC;PL	N;INDF;FEM;PL
serie	serie	serie	serie	N;FEM	N;INDF;FEM;SG
serie	serii	serie	serie	N;FEM	N;INDF;FEM;PL
serie	seria	serie	serie	N;FEM	N;DEF;FEM;SG
viene	vine	venire	veni	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
film	pelicule	film	pelicul	N;MASC	N;INDF;FEM;PL
film	filme	film	film	N;MASC	N;INDF;FEM;PL
film	filme	film	film	N;MASC	N;INDF;FEM;PL
film	filmele	film	filme	N;MASC	N;DEF;FEM;PL
film	peliculă	film	pelicul	N;MASC	N;INDF;FEM;SG
film	film	film	film	N;MASC	N;INDF;MASC;SG
film	film	film	film	N;MASC	N;INDF;MASC;SG
regia	regie	regia	regie	N;FEM;SG	N;INDF;FEM;SG
città	oraș	città	oraș	N;FEM	N;INDF;MASC;SG
città	oras	città	oras	N;FEM	N;INDF;MASC;SG
città	oraşul	città	orac	N;FEM	N;DEF;MASC;SG
città	oraş	città	oraş	N;FEM	N;INDF;MASC;SG
città	city	città	city	N;FEM	N;INDF;MASC;SG
città	oras	città	oras	N;FEM	N;INDF;MASC;SG
città	oraș	città	oraș	N;FEM	N;INDF;MASC;SG
città	oraş	città	oraş	N;FEM	N;INDF;MASC;SG
