que	که	que	که	CONJ	CONJ
con	با	con	با	ADP	ADP
categoría	مقوله	categoría	مقوله	N;FEM;SG	N;SG
categoría	دسته	categoría	دسته	N;FEM;SG	N;SG
para	برای	para	برای	ADP	ADP
más	دیگر	más	دیگر	ADV	ADV
entre	میان	entre	میان	ADP	ADP
entre	بین	entre	بین	ADP	ADP
pero	ولی	pero	ولی	CONJ	CONJ
pero	اما	pero	اما	CONJ	CONJ
años	سالهای	año	سال	N;MASC;PL	N;PL
años	سالها	año	سال	N;MASC;PL	N;PL
dos	دو	dos	دو	NUM;PL	NUM
sobre	درباره	sobre	درباره	ADP	ADP
sobre	دربارۀ	sobre	دربارۀ	ADP	ADP
año	سال	año	سال	N;MASC;SG	N;SG
desde	از	desde	از	ADP	ADP
enlaces	پیوندها	enlace	پیوند	N;MASC;PL	N;PL
enlaces	پیوندهای	enlace	پیوند	N;MASC;PL	N;PL
hasta	تا	hasta	تا	ADP	ADP
externos	خارجی	externo	خارجی	ADJ;MASC;PL	ADJ
ciudad	قریه	ciudad	قریه	N;FEM;SG	N;SG
ciudad	شهر	ciudad	شهر	N;FEM;SG	N;SG
ciudad	شهرک	ciudad	شهرک	N;FEM;SG	N;SG
ciudad	شهری	ciudad	شهر	N;FEM;SG	N;SG
ciudad	شهر	ciudad	شهر	N;FEM;SG	N;SG
ciudad	سیتی	ciudad	سیتی	N;FEM;SG	N;SG
ciudad	سیوداد	ciudad	None	N;FEM;SG	N;SG
parte	مهمانی	parte	مهمان	N;FEM;SG	N;SG
parte	پارتی	parte	پارت	N;FEM;SG	N;SG
parte	مهمونی	parte	مهمونی	N;FEM;SG	N;SG
parte	حزب	parte	حزب	N;FEM;SG	N;SG
parte	جشن	parte	جشن	N;FEM;SG	N;SG
parte	جزء	parte	جزء	N;FEM;SG	N;SG
parte	قسمت	parte	قسمت	N;FEM;SG	N;SG
parte	پارت	parte	پارت	N;FEM;SG	N;SG
sin	بدون	sin	بدون	ADP	ADP
san	san	san	san	N;MASC;SG	N;SG
san	سن	san	سن	N;MASC;SG	N;SG
san	قدیس	san	قدیس	N;MASC;SG	N;SG
san	سن	san	سن	N;MASC;SG	N;SG
nacional	ملی	nacional	ملی	ADJ;SG	ADJ
primera	اول	primero	اول	ADJ;FEM;SG	ADJ
primera	نخستین	primero	نخستین	ADJ;FEM;SG	ADJ;RL
team	تیم	team	تیم	N	N;SG
team	تیمی	team	تیم	N	N;SG
cuando	وقتی	cuando	وقتی	CONJ	CONJ
cuando	چون	cuando	چون	CONJ	CONJ
nombre	نام	nombre	نام	N;MASC;SG	N;SG
utc	utc	utc	utc	N	N;SG
siglo	قرن	siglo	قرن	N;MASC;SG	N;SG
siglo	قرنه	siglo	قرنه	N;MASC;SG	N;SG
siglo	سده	siglo	سده	N;MASC;SG	N;SG
después	بعدها	después	بعد	ADV	ADV
después	بعداً	después	بعداً	ADV	ADV
españa	اسپانیای	españa	اسپانیا	N;FEM;SG	N;SG
españa	اسپانیا	españa	اسپانیا	N;FEM;SG	N;SG
tiene	دارد	tener	داشت#دار	V;IND;SG;3;PRS;FIN	V;SG;3;PRS
otros	دیگران	otro	دیگری	PRO;MASC;PL	PRO
gran	بزرگ	gran	بزرگ	ADJ;SG	ADJ
gran	عالی	gran	عالی	ADJ;SG	ADJ
estado	وضعیت	estado	وضعیت	N;MASC;SG	N;SG
estado	حالت	estado	حالت	N;MASC;SG	N;SG
estado	استیت	estado	استیت	N;MASC;SG	N;SG
estado	دولت	estado	دولت	N;MASC;SG	N;SG
estado	وضعیت	estado	وضعیت	N;MASC;SG	N;SG
estado	ایالت	estado	ایالت	N;MASC;SG	N;SG
estado	شرط	estado	شرط	N;MASC;SG	N;SG
lugar	محل	lugar	محل	N;MASC;SG	N;SG
lugar	مکانی	lugar	مکان	N;MASC;SG	N;SG
lugar	مکان	lugar	مکان	N;MASC;SG	N;SG
lugar	جای	lugar	جا	N;MASC;SG	N;SG
lugar	جایی	lugar	جا	N;MASC;SG	N;SG
lugar	محل	lugar	محل	N;MASC;SG	N;SG
lugar	مکان	lugar	مکان	N;MASC;SG	N;SG
primer	اول	primero	اول	ADJ;MASC;SG	ADJ
primer	نخستین	primero	نخستین	ADJ;MASC;SG	ADJ;RL
población	جمعیت	población	جمعیت	N;FEM;SG	N;SG
población	جمعیتی	población	جمعیتی	N;FEM;SG	N;SG
muy	خیلی	mucho	خیلی	ADV	ADV
muy	بسیار	mucho	بسیار	ADV	ADV
nueva	نو	nuevo	نو	ADJ;FEM;SG	ADJ
nueva	جدید	nuevo	جدید	ADJ;FEM;SG	ADJ
historia	داستان	historia	داستان	N;FEM;SG	N;SG
