ansässig	مقيمة	ansässig	مُقَيَّمَة	ADJ	ADJ;NOM;INDF;FEM;SG
erkrankungen	الامراض	erkrankung	مَرَض	N;NOM;FEM;PL	N;NOM;DEF;PL
erkrankungen	امراض	erkrankung	مَرَض	N;NOM;FEM;PL	N;NOM;INDF;PL
blüte	الزهرة	blüt	زُهرَة	N;NOM;FEM;SG	N;NOM;DEF;SG
blüte	وردة	blüt	وَردَة	N;NOM;FEM;SG	N;NOM;INDF;SG
blüte	زهرة	blüt	زُهرَة	N;NOM;FEM;SG	N;NOM;INDF;SG
einladung	دعوة	einladung	دَعوَة	N;FEM;SG	N;NOM;INDF;SG
einladung	الدعوة	einladung	دَعوَة	N;FEM;SG	N;NOM;DEF;SG
einladung	دعوة	einladung	دَعوَة	N;FEM;SG	N;NOM;INDF;SG
einladung	الدعوة	einladung	دَعوَة	N;FEM;SG	N;NOM;DEF;SG
disziplinen	التخصصات	disziplin	تَخَصُّص	N;NOM;PL	N;NOM;DEF;PL
disziplinen	الضوابط	disziplin	ضَابِط	N;NOM;PL	N;NOM;DEF;PL
finnischer	الفنلندي	finnisch	فِنلَندِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
finnischer	الفنلندية	finnisch	فِنلَندِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
ausländischen	اجنبي	ausländisch	أَجنَبِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
ausländischen	الاجنبي	ausländisch	أَجنَبِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
ausländischen	اجنبية	ausländisch	أَجنَبِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
gesungen	يغني	singen	غَنَّى	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
gesungen	تغني	singen	غَنِيّ	V;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
türken	الاتراك	türken	تُرك	N;PL	N;NOM;DEF;PL
zeitweilig	مؤقتا	zeitweilig	مُؤَقَّت	ADJ	ADJ;ACC;INDF;MASC;SG
