magyar	унгарски	magyar	унгарски	ADJ;NOM;SG	ADJ;INDF;MASC;SG
első	първи	első	първи	ADJ;NOM;SG	ADJ;INDF;MASC;SG
csak	само	csak	само	ADV	ADV
csak	единствено	csak	единствено	ADV	ADV
csak	просто	csak	просто	ADV	ADV
csak	само	csak	само	ADV	ADV
még	още	még	още	ADV	ADV
település	село	település	село	N;NOM;SG	N;INDF;NEUT;SG
település	сетълмент	település	сетълмент	N;NOM;SG	N;INDF;MASC;SG
település	уреждане	település	уреждане	N;NOM;SG	N;INDF;NEUT;SG
település	селище	település	селище	N;NOM;SG	N;INDF;NEUT;SG
település	община	település	община	N;NOM;SG	N;INDF;FEM;SG
település	местност	település	местност	N;NOM;SG	N;INDF;FEM;SG
már	вече	már	вече	ADV	ADV
között	сред	között	сред	ADP	ADP
között	между	között	между	ADP	ADP
mint	като	mint	като	CONJ	CONJ
után	след	után	след	ADP	ADP
nagy	голям	nagy	голям	ADJ;NOM;SG	ADJ;INDF;MASC;SG
nagy	голяма	nagy	голям	ADJ;NOM;SG	ADJ;INDF;FEM;SG
nagy	голям	nagy	голям	ADJ;NOM;SG	ADJ;INDF;MASC;SG
nagy	голяма	nagy	голям	ADJ;NOM;SG	ADJ;INDF;FEM;SG
személyek	лица	személy	лице	N;NOM;PL	N;INDF;NEUT;PL
ország	държава	ország	държава	N;NOM;SG	N;INDF;FEM;SG
ország	страна	ország	страна	N;NOM;SG	N;INDF;FEM;SG
évek	години	év	година	N;NOM;PL	N;INDF;FEM;PL
évek	годините	év	година	N;NOM;PL	N;DEF;FEM;PL
klub	клуб	klub	клуб	N;NOM;SG	N;INDF;MASC;SG
klub	клубът	klub	клуб	N;NOM;SG	N;DEF;MASC;SG
vita	дискусия	vita	дискусия	N;NOM;SG	N;INDF;FEM;SG
vita	обсъждане	vita	обсъждане	N;NOM;SG	N;INDF;NEUT;SG
vita	вита	vita	вит	N;NOM;SG	N;INDF;FEM;SG
vita	разискване	vita	разискване	N;NOM;SG	N;INDF;NEUT;SG
vita	дебат	vita	дебат	N;NOM;SG	N;INDF;MASC;SG
vita	спор	vita	спор	N;NOM;SG	N;INDF;MASC;SG
vita	спорът	vita	спор	N;NOM;SG	N;DEF;MASC;SG
itt	тук	itt	там	ADV	ADV
akkor	тогава	akkor	тогава	ADV	ADV
fájl	файл	fájl	файл	N;NOM;SG	N;INDF;MASC;SG
fájl	файлът	fájl	файл	N;NOM;SG	N;DEF;MASC;SG
fájl	досие	fájl	досие	N;NOM;SG	N;INDF;NEUT;SG
amerikai	американска	amerikai	американски	ADJ;NOM;SG	ADJ;INDF;FEM;SG
amerikai	американски	amerikai	американски	ADJ;NOM;SG	ADJ;INDF;MASC;SG
német	германски	német	германски	ADJ;NOM;SG	ADJ;INDF;MASC;SG
német	немски	német	немски	ADJ;NOM;SG	ADJ;INDF;MASC;SG
német	немска	német	немски	ADJ;NOM;SG	ADJ;INDF;FEM;SG
német	германска	német	германски	ADJ;NOM;SG	ADJ;INDF;FEM;SG
január	януари	január	януари	N;NOM;SG	N;INDF;MASC;SG
csapat	отбор	csapat	отбор	N;NOM;SG	N;INDF;MASC;SG
csapat	отбора	csapat	отбор	N;NOM;SG	N;DEF;MASC;SG
csapat	екип	csapat	екип	N;NOM;SG	N;INDF;MASC;SG
amely	което	amely	който	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
amely	която	amely	който	PRO;NOM;SG;3	PRO;NOM;FEM;SG
március	март	március	март	N;NOM;SG	N;INDF;MASC;SG
augusztus	август	augusztus	август	N;NOM;SG	N;INDF;MASC;SG
minden	всичко	minden	всеки	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
minden	всичко	minden	всеки	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
minden	всеки	minden	всеки	PRO;NOM;SG;3	PRO;NOM;MASC;SG
minden	всяко	minden	всеки	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
ami	което	ami	който	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
ami	която	ami	който	PRO;NOM;SG;3	PRO;NOM;FEM;SG
július	юли	július	юли	N;NOM;SG	N;INDF;MASC;SG
szeptember	септември	szeptember	септември	N;NOM;SG	N;INDF;MASC;SG
június	джун	június	джун	N;NOM;SG	N;INDF;MASC;SG
június	юни	június	юни	N;NOM;SG	N;INDF;MASC;SG
alatt	под	alatt	под	ADP	ADP
október	октомври	október	октомври	N;NOM;SG	N;INDF;MASC;SG
labdarúgó	футболист	labdarúgó	футболист	N;NOM;SG	N;INDF;MASC;SG
február	февруари	február	февруари	N;NOM;SG	N;INDF;MASC;SG
december	декември	december	декември	N;NOM;SG	N;INDF;MASC;SG
november	ноември	november	ноември	N;NOM;SG	N;INDF;MASC;SG
cikkek	изделия	cikk	изделие	N;NOM;PL	N;INDF;NEUT;PL
cikkek	статии	cikk	статия	N;NOM;PL	N;INDF;FEM;PL
cikkek	артикули	cikk	артикул	N;NOM;PL	N;INDF;MASC;PL
április	април	április	април	N;NOM;SG	N;INDF;MASC;SG
város	град	város	град	N;NOM;SG	N;INDF;MASC;SG
város	градът	város	град	N;NOM;SG	N;DEF;MASC;SG
város	градче	város	градче	N;NOM;SG	N;INDF;NEUT;SG
város	град	város	град	N;NOM;SG	N;INDF;MASC;SG
város	градът	város	град	N;NOM;SG	N;DEF;MASC;SG
város	сити	város	сит	N;NOM;SG	N;INDF;MASC;SG
amikor	когато	amikor	когато	ADV	ADV
nemzetközi	международен	nemzetközi	международен	ADJ;NOM;SG	ADJ;INDF;MASC;SG
nemzetközi	международна	nemzetközi	международен	ADJ;NOM;SG	ADJ;INDF;FEM;SG
díj	хонорар	díj	хонорар	N;NOM;SG	N;INDF;MASC;SG
díj	такса	díj	такса	N;NOM;SG	N;INDF;FEM;SG
díj	награда	díj	награда	N;NOM;SG	N;INDF;FEM;SG
díj	възлагане	díj	възлагане	N;NOM;SG	N;INDF;NEUT;SG
díj	награда	díj	награда	N;NOM;SG	N;INDF;FEM;SG
kép	снимка	kép	снимка	N;NOM;SG	N;INDF;FEM;SG
kép	картинка	kép	картинка	N;NOM;SG	N;INDF;FEM;SG
