catégorie	категорія	catégorie	категорія	N;FEM;SG	N;INAN;NOM;FEM;SG
pour	для	pour	для	ADP	ADP;GEN
plus	більше	plus	більше	ADV	ADV;CMPR
elle	вона	elle	вона	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
avancement	прогресу	avancement	прогрес	N;MASC;SG	N;INAN;GEN;MASC;SG
avancement	прогрес	avancement	прогрес	N;MASC;SG	N;INAN;NOM;MASC;SG
avancement	поступ	avancement	поступ	N;MASC;SG	N;INAN;NOM;MASC;SG
mais	але	mais	але	CONJ	CONJ
cette	цей	ce	цей	DET;FEM;SG	DET;NOM;MASC;SG
cette	ця	ce	цей	DET;FEM;SG	DET;NOM;FEM;SG
deux	два	deux	два	NUM	NUM;NOM;MASC
deux	дві	deux	два	NUM	NUM;NOM;FEM
deux	двоє	deux	двоє	NUM	NUM;NOM
deux	двох	deux	два	NUM	NUM;ACC
ses	свої	son	свій	DET;MASC;PL	DET;NOM;PL;REFL
naissance	народження	naissance	народження	N;FEM;SG	N;INAN;NOM;NEUT;SG
naissance	народження	naissance	народження	N;FEM;SG	N;INAN;NOM;NEUT;SG
aussi	також	aussi	також	ADV	ADV
france	францію	france	франція	N;FEM;SG	N;INAN;ACC;FEM;SG
après	після	après	після	ADP	ADP;GEN
fait	зробила	faire	зробити	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
fait	зроблено	faire	зробити	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
fait	виконано	faire	виконати	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
notes	нотаток	note	нотатка	N;FEM;PL	N;INAN;GEN;FEM;PL
notes	нотатки	note	нотатка	N;FEM;PL	N;INAN;NOM;FEM;PL
notes	примітки	note	примітка	N;FEM;PL	N;INAN;NOM;FEM;PL
entre	між	entre	між	ADP	ADP;INS
sous	під	sous	під	ADP	ADP;ACC
nom	прізвище	nom	прізвище	N;MASC;SG	N;INAN;NOM;NEUT;SG
nom	назва	nom	назва	N;MASC;SG	N;INAN;NOM;FEM;SG
français	французька	français	французький	ADJ;MASC;SG	ADJ;NOM;FEM;SG
français	французькою	français	французький	ADJ;MASC;SG	ADJ;INS;FEM;SG
français	французький	français	французький	ADJ;MASC;SG	ADJ;NOM;MASC;SG
lui	нього	lui	він	PRO;SG;3	PRO;ACC;MASC;SG;3
lui	йому	lui	він	PRO;SG;3	PRO;DAT;MASC;SG;3
lui	ним	lui	він	PRO;SG;3	PRO;INS;MASC;SG;3
lui	його	lui	він	PRO;SG;3	PRO;ACC;MASC;SG;3
lieu	місце	lieu	місце	N;MASC;SG	N;INAN;NOM;NEUT;SG
lieu	розміщення	lieu	розміщення	N;MASC;SG	N;INAN;NOM;NEUT;SG
lieu	місцезнаходження	lieu	місцезнаходження	N;MASC;SG	N;INAN;NOM;NEUT;SG
lieu	локація	lieu	локація	N;MASC;SG	N;INAN;NOM;FEM;SG
lieu	місце	lieu	місце	N;MASC;SG	N;INAN;NOM;NEUT;SG
lieu	розташування	lieu	розташування	N;MASC;SG	N;INAN;NOM;NEUT;SG
décès	смерть	décès	смерть	N;MASC;SG	N;INAN;NOM;FEM;SG
références	посилання	référence	посилання	N;FEM;PL	N;INAN;NOM;NEUT;PL
liens	лінки	lien	лінка	N;MASC;PL	N;INAN;NOM;MASC;PL
liens	посилання	lien	посилання	N;MASC;PL	N;INAN;NOM;NEUT;PL
liens	посиланнями	lien	посилання	N;MASC;PL	N;INAN;INS;NEUT;PL
liens	посилань	lien	посилання	N;MASC;PL	N;INAN;GEN;NEUT;PL
ville	містечко	ville	містечко	N;FEM;SG	N;INAN;NOM;NEUT;SG
ville	місто	ville	місто	N;FEM;SG	N;INAN;NOM;NEUT;SG
ville	місто	ville	місто	N;FEM;SG	N;INAN;NOM;NEUT;SG
date	дату	date	дата	N;FEM;SG	N;INAN;ACC;FEM;SG
date	дата	date	дата	N;FEM;SG	N;INAN;NOM;FEM;SG
date	датою	date	дата	N;FEM;SG	N;INAN;INS;FEM;SG
cest	cest	cest	cest		
cest	оце	cest	оце		
depuis	від	depuis	від	ADP	ADP;GEN
première	перша	premier	перший	ADJ;FEM;SG	ADJ;NOM;FEM;SG
première	перший	premier	перший	ADJ;FEM;SG	ADJ;NOM;MASC;SG
ans	роки	an	рік	N;MASC;PL	N;INAN;NOM;MASC;PL
alors	потім	alors	потім	ADV	ADV
alors	тоді	alors	тоді	ADV	ADV
externes	зовнішні	externe	зовнішній	ADJ;MASC;PL	ADJ;NOM;PL
site	сайті	site	сайт	N;MASC;SG	N;INAN;DAT;MASC;SG
site	сайт	site	сайт	N;MASC;SG	N;INAN;NOM;MASC;SG
site	сайт	site	сайт	N;MASC;SG	N;INAN;NOM;MASC;SG
premier	вищому	premier	вищий	ADJ;MASC;SG	ADJ;DAT;RL;NEUT;SG
premier	перша	premier	перший	ADJ;MASC;SG	ADJ;NOM;FEM;SG
premier	перший	premier	перший	ADJ;MASC;SG	ADJ;NOM;MASC;SG
film	фільм	film	фільм	N;MASC;SG	N;INAN;NOM;MASC;SG
film	кіно	film	кіно	N;MASC;SG	N;INAN;NOM;NEUT;SG
film	фільм	film	фільм	N;MASC;SG	N;INAN;NOM;MASC;SG
film	плівка	film	плівка	N;MASC;SG	N;INAN;NOM;FEM;SG
voir	подивитися	voir	подивитися	V;NFIN	V;PFV;NFIN
voir	бачите	voir	бачити	V;NFIN	V;IPFV;IND;PL;2;PRS;FIN
voir	бачу	voir	бачити	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
voir	переглянути	voir	переглянути	V;NFIN	V;PFV;NFIN
voir	переглянути	voir	переглянути	V;NFIN	V;PFV;NFIN
pays	країна	pays	країна	N;MASC;SG	N;INAN;NOM;FEM;SG
source	джерело	source	джерело	N;FEM;SG	N;INAN;NOM;NEUT;SG
ils	вони	il	вони	PRO;MASC;PL;3	PRO;NOM;PL;3
grand	велике	grand	великий	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
grand	велика	grand	великий	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grand	великий	grand	великий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grand	великий	grand	великий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
tout	все	tout	все	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
tout	усе	tout	усе	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
tout	все	tout	все	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
groupe	гурт	groupe	гурт	N;MASC;SG	N;INAN;NOM;MASC;SG
groupe	група	groupe	група	N;MASC;SG	N;INAN;NOM;FEM;SG
groupe	групу	groupe	група	N;MASC;SG	N;INAN;ACC;FEM;SG
groupe	спільнота	groupe	спільнота	N;MASC;SG	N;INAN;NOM;FEM;SG
également	також	également	також	ADV	ADV
titre	назва	titre	назва	N;MASC;SG	N;INAN;NOM;FEM;SG
titre	заголовок	titre	заголовок	N;MASC;SG	N;INAN;NOM;MASC;SG
titre	титул	titre	титул	N;MASC;SG	N;ANIM;NOM;MASC;SG
monde	світ	monde	світ	N;MASC;SG	N;INAN;NOM;MASC;SG
monde	світе	monde	світи	N;MASC;SG	N;INAN;NOM;MASC;SG
