експлуатація	exploatering	експлуатація	exploatering	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
турніри	turneringar	турнір	turnering	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
традиційний	traditionellt	традиційний	traditionell	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
традиційний	traditionell	традиційний	traditionell	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
традиційний	traditionsenligt	традиційний	traditionsenlig	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
спостерігати	iaktta	спостерігати	iaktta	V;IPFV;NFIN	V;IMP;FIN;ACT
спостерігати	observera	спостерігати	observera	V;IPFV;NFIN	V;IMP;FIN;ACT
спостерігати	titta	спостерігати	titta	V;IPFV;NFIN	V;IMP;FIN;ACT
спостерігати	övervaka	спостерігати	övervaka	V;IPFV;NFIN	V;IMP;FIN;ACT
принципово	väsentligen	принципово	väsentligen	ADV	ADV
тримає	innehar	тримати	inneha	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
тримає	håller	тримати	hålla	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
заперечення	nekande	заперечення	nekande	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
заперечення	förnekelse	заперечення	förnekelse	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
розвивати	utvecklas	розвивати	utveckla	V;IPFV;NFIN	V;IND;FIN;PASS
розвивати	utvecklar	розвивати	utveckla	V;IPFV;NFIN	V;IND;PRS;FIN;ACT
розвивати	utveckla	розвивати	utveckla	V;IPFV;NFIN	V;IMP;FIN;ACT
блоки	tegelstenar	блок	tegelstena	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
блоки	ramar	блок	ram	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
блоки	lådor	блок	låda	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
блоки	askar	блок	ask	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
блоки	boxar	блок	box	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
блоки	rutor	блок	ruta	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
блоки	kvarter	блок	kvarter	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;PL
блоки	blockeringar	блок	blockering	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
майстерність	färdighet	майстерність	färdighet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
майстерність	skicklighet	майстерність	skicklighet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
мед	älskling	мед.	älskling	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
мед	honung	мед.	honung	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
переконання	tron	переконання	tron	N;INAN;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
переконання	övertygelse	переконання	övertygelse	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
середнє	genomsnittligt	середній	genomsnittlig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
середнє	genomsnittlig	середній	genomsnittlig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
середнє	elakt	середній	elakt	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
середнє	elak	середній	elak	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
синагога	synagogan	синагога	synagogan	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
співпрацює	samarbetar	співпрацювати	samarbeta	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
містити	innehålla	містити	innehålla	V;IPFV;NFIN	V;IMP;FIN;ACT
містити	innehåller	містити	innehålla	V;IPFV;NFIN	V;IND;PRS;FIN;ACT
годинник	klocka	годинник	klocka	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
