geheimen	hemmelige	geheimen	hemmelig	ADJ	ADJ;PL
teilung	partisjon	teilung	partisjon	N;NOM;FEM;SG	N;INDF;MASC;SG
teilung	splitt	teilung	splitt	N;NOM;FEM;SG	N;INDF;NEUT;SG
verschwinden	forsvinner	verschwinden	forsvinner	V;NFIN	V;IND;PRS;FIN
verschwinden	forsvinner	verschwinden	forsvinner	V;NFIN	V;IND;PRS;FIN
verschwinden	forsvinner	verschwinden	forsvinner	V;NFIN	V;IND;PRS;FIN
magdalena	magdalena	magdalena	magdalen	N;NOM;FEM;SG	N;DEF;FEM;SG
magdalena	magdalena	magdalena	magdalen	N;NOM;FEM;SG	N;DEF;FEM;SG
spenden	donerer	spenden	donere	V;NFIN	V;IND;PRS;FIN
spenden	donere	spenden	donere	V;NFIN	V;NFIN
spenden	gi	spenden	gi	V;NFIN	V;IMP;FIN
republikanischen	republikanske	republikanisch	republikansk	ADJ;NOM;MASC;PL	ADJ;PL
bestätigen	erkjenne	bestätigen	erkjenne	V;NFIN	V;FIN
bestätigen	anerkjenne	bestätigen	anerkjenne	V;NFIN	V;FIN
scharf	skarpt	scharf	skarp	ADJ	ADJ;INDF;NEUT;SG
scharf	skarp	scharf	skarp	ADJ	ADJ;INDF;SG
scharf	skarpe	scharf	skarp	ADJ	ADJ;PL
frisch	ferske	frisch	fersk	ADJ	ADJ;PL
frisch	friskt	frisch	frisk	ADJ	ADJ;INDF;NEUT;SG
frisch	ferskt	frisch	fersk	ADJ	ADJ;INDF;NEUT;SG
dokument	dokumentet	dokument	dokument	N;NOM;NEUT;SG	N;DEF;NEUT;SG
dokument	dokument	dokument	dokument	N;NOM;NEUT;SG	N;INDF;NEUT;SG
kette	halskjede	kett	halskjed	N;NOM;FEM;SG	N;INDF;MASC;SG
kette	smykke	kett	smykke	N;NOM;FEM;SG	N;INDF;NEUT;SG
kette	halsbånd	kett	halsbånd	N;NOM;FEM;SG	N;INDF;MASC;SG
kette	kjetting	kett	kjetting	N;NOM;FEM;SG	N;INDF;FEM;SG
kette	kjede	kett	kjede	N;NOM;FEM;SG	N;INDF;MASC;SG
kette	kjetting	kett	kjetting	N;NOM;FEM;SG	N;INDF;FEM;SG
moderner	moderne	modern	moderne	ADJ	ADJ;INDF;SG
offizieller	offisielt	offiziell	offisiell	ADJ	ADJ;INDF;NEUT;SG
offizieller	offisiell	offiziell	offisiell	ADJ	ADJ;INDF;SG
offizieller	offisielle	offiziell	offisiell	ADJ	ADJ;PL
etablierte	etablerte	etablieren	etablere	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
lateinische	latinske	lateinisch	latinsk	ADJ;NOM;FEM;PL	ADJ;PL
abbau	fornedrelse	Abbau	fornedrelse	N	N;INDF;MASC;SG
strategie	strategi	strategie	strategi	N;SG	N;INDF;MASC;SG
einheimischen	innfødte	einheimisch	innføde	ADJ	ADJ;PL;V.PTCP
einheimischen	lokale	einheimisch	lokal	ADJ	ADJ;PL
planungen	planlegger	planung	planleggje	V;NFIN	V;IND;PRS;FIN
planungen	planlegger	planung	planleggje	V;NFIN	V;IND;PRS;FIN
publikation	publikasjoner	publikation	publikasjon	N;NOM;FEM;SG	N;INDF;MASC;SG
publikation	publisering	publikation	publisering	N;NOM;FEM;SG	N;INDF;FEM;SG
publikation	utgivelse	publikation	utgivels	N;NOM;FEM;SG	N;INDF;MASC;SG
ernsthaft	alvorlig	ernsthaft	alvorlig	ADJ	ADJ;INDF;NEUT;SG
ernsthaft	alvorlige	ernsthaft	alvorlig	ADJ	ADJ;PL
ernsthaft	seriøs	ernsthaft	seriøs	ADJ	ADJ;INDF;SG
ernsthaft	alvorlig	ernsthaft	alvorlig	ADJ	ADJ;INDF;NEUT;SG
ernsthaft	seriøst	ernsthaft	seriøs	ADJ	ADJ;INDF;NEUT;SG
rief	ropte	rufen	rope	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
rief	ringte	rufen	ringje	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
grob	røff	grob	røff	ADJ	ADJ;INDF;SG
grob	tøffe	grob	tøff	ADJ	ADJ;PL
grob	grovt	grob	grov	ADJ	ADJ;INDF;NEUT;SG
grob	tøff	grob	tøff	ADJ	ADJ;INDF;SG
grob	grov	grob	grov	ADJ	ADJ;INDF;SG
technischer	teknisk	technisch	teknisk	ADJ	ADJ;INDF;NEUT;SG
technischer	tekniske	technisch	teknisk	ADJ	ADJ;PL
merkmal	karakteristisk	merkmal	karakteristisk	ADJ	ADJ;INDF;NEUT;SG
orthodoxen	ortodoks	orthodox	ortodoks	ADJ	ADJ;INDF;SG
wertung	scoring	wertung	scoring	N;FEM;SG	N;INDF;FEM;SG
wertung	vurdering	wertung	vurdering	N;FEM;SG	N;INDF;FEM;SG
wertung	rating	wertung	rating	N;FEM;SG	N;INDF;MASC;SG
eintragen	registrere	eintragen	registrere	V;NFIN	V;NFIN
eintragen	oppgi	eintragen	oppgi	V;NFIN	V;IMP;FIN
eintragen	angi	eintragen	angi	V;NFIN	V;IMP;FIN
beitragen	bidrar	beitragen	bidrar	V;NFIN	V;IND;PRS;FIN
beitragen	bidra	beitragen	bidra	V;NFIN	V;NFIN
beitragen	bidrar	beitragen	bidrar	V;NFIN	V;IND;PRS;FIN
beitragen	bidra	beitragen	bidra	V;NFIN	V;NFIN
dünn	tynn	dünn	tynn	ADJ	ADJ;INDF;SG
dünn	tynn	dünn	tynn	ADJ	ADJ;INDF;SG
dünn	tynt	dünn	tyne	ADJ	ADJ;INDF;NEUT;SG
dünn	tynne	dünn	tynn	ADJ	ADJ;PL
verlieren	taper	verlieren	tape	V;NFIN	V;IND;PRS;FIN
verlieren	mister	verlieren	miste	V;NFIN	V;IND;PRS;FIN
verlieren	taper	verlieren	tape	V;NFIN	V;IND;PRS;FIN
verlieren	taper	verlieren	tape	V;NFIN	V;IND;PRS;FIN
gültigen	gyldige	gültig	gyldig	ADJ	ADJ;PL
gültigen	gyldig	gültig	gyldig	ADJ	ADJ;INDF;NEUT;SG
funktionieren	fungerer	funktionieren	fungere	V;NFIN	V;IND;PRS;FIN
marianne	marianne	marianne	marianne	N;NOM;FEM;SG	N;INDF;MASC;SG
anfangen	begynne	anfangen	begynne	V;NFIN	V;NFIN
anfangen	starte	anfangen	starte	V;NFIN	V;NFIN
anfangen	begynne	anfangen	begynne	V;NFIN	V;NFIN
arabische	arabiske	arabisch	arabisk	ADJ;NOM;FEM;PL	ADJ;PL
ankunft	ankomsten	ankunft	ankomst	N;FEM;SG	N;DEF;MASC;SG
ankunft	ankomst	ankunft	ankomst	N;FEM;SG	N;INDF;MASC;SG
ankunft	ankommer	ankunft	ankommer	N;FEM;SG	N;INDF;SG
ankunft	ankommer	ankunft	ankommer	N;FEM;SG	N;INDF;SG
ankunft	ankomme	ankunft	ankom	N;FEM;SG	N;INDF;MASC;SG
ankunft	ankomst	ankunft	ankomst	N;FEM;SG	N;INDF;MASC;SG
verändern	endrer	verändern	endre	V;NFIN	V;IND;PRS;FIN
verändern	modifisere	verändern	modifisere	V;NFIN	V;NFIN
nordischen	nordiske	nordisch	nordisk	ADJ	ADJ;PL
nordischen	nordisk	nordisch	nordisk	ADJ	ADJ;INDF;SG
gebeten	spurte	bitten	spørje	V;V.PTCP	V;IND;PST;FIN
wörtlich	ordrett	wörtlich	ordrett	ADJ	ADJ;INDF;NEUT;SG
verschwunden	gått	verschwinden	gå	V;V.PTCP	V;V.PTCP
startet	begynner	starten	begynne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
startet	starter	starten	starte	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
älterer	eldre	alt	gammal	ADJ	ADJ;CMPR
erwachsenen	voksen	erwachsen	voks	ADJ	ADJ;INDF;SG
trennen	koble	trennen	koble	V;NFIN	V;IMP;FIN
zwingend	obligatorisk	zwingend	obligatorisk	ADJ	ADJ;INDF;NEUT;SG
singen	syng	singen	syngje	V;NFIN	V;IND;PRS;FIN
woher	korleis	woher	korleis	ADV	ADV
überprüfung	review	überprüfung	review	N;NOM;FEM;SG	N
überprüfung	omtale	überprüfung	omtale	N;NOM;FEM;SG	N;INDF;FEM;SG
überprüfung	anmeldelse	überprüfung	anmeldelse	N;NOM;FEM;SG	N;INDF;MASC;SG
überprüfung	gjennomgang	überprüfung	gjennomgang	N;NOM;FEM;SG	N;INDF;MASC;SG
überprüfung	gjennomgå	überprüfung	gjennomgå	N;NOM;FEM;SG	N;INDF;NEUT;SG
überprüfung	verifisering	überprüfung	verifisering	N;NOM;FEM;SG	N;INDF;FEM;SG
überprüfung	bekreftelse	überprüfung	bekreftelse	N;NOM;FEM;SG	N;INDF;MASC;SG
ständigen	stående	ständig	stå	ADJ	ADJ;INDF;SG;V.PTCP
