από	من	από	مِن	ADP	ADP
με	مع	με	مَعَ	ADP	ADP;ACC
κατηγορία	الفئة	κατηγορία	فِئَة	N;NOM;FEM;SG	N;NOM;DEF;SG
κατηγορία	فئة	κατηγορία	فِئَة	N;NOM;FEM;SG	N;NOM;INDF;SG
θα	سوف	θα	سَوفَ	PART	PART
μετά	اذن	μετά	إِذَن	ADV	ADV
επίσης	ايضا	επίσης	أَيضًا	ADV	ADV
δύο	اثنين	δύο	اِثنَان	NUM;NOM;MASC;PL	NUM;NOM;INDF;MASC
δύο	اثنتان	δύο	اِثنَان	NUM;NOM;MASC;PL	NUM;NOM;INDF;FEM
μπορεί	يستطيع	μπορώ	اِستَطَاع	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
μπορεί	يمكن	μπορώ	أَمكَن	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
μεταξύ	بين	μεταξύ	بَينَ	ADP	ADP;ACC
χρόνια	السنين	χρόνος	سَنَة	N;NOM;NEUT;PL	N;NOM;DEF;PL
χρόνια	اعوام	χρόνος	عَام	N;NOM;NEUT;PL	N;NOM;INDF;PL
χρόνια	سنين	χρόνος	سَنَة	N;NOM;NEUT;PL	N;NOM;INDF;PL
χρόνια	السنوات	χρόνος	سَنَة	N;NOM;NEUT;PL	N;NOM;DEF;PL
χρόνια	سنوات	χρόνος	سَنَة	N;NOM;NEUT;PL	N;NOM;INDF;PL
πόλη	بلدة	πόλη	بَلدَة	N;NOM;FEM;SG	N;NOM;INDF;SG
πόλη	المدينة	πόλη	مَدِينَة	N;NOM;FEM;SG	N;NOM;DEF;SG
πόλη	البلدة	πόλη	بَلدَة	N;NOM;FEM;SG	N;NOM;DEF;SG
πόλη	مدينة	πόλη	مَدِينَة	N;NOM;FEM;SG	N;NOM;INDF;SG
πόλη	المدينة	πόλη	مَدِينَة	N;NOM;FEM;SG	N;NOM;DEF;SG
μόνο	فقط	μόνο	فَقَط	ADV	ADV
περιοχή	منطقة	περιοχή	مِنطَقَة	N;NOM;FEM;SG	N;NOM;INDF;SG
περιοχή	المنطقة	περιοχή	مِنطَقَة	N;NOM;FEM;SG	N;NOM;DEF;SG
περιοχή	مساحة	περιοχή	مِسَاحَة	N;NOM;FEM;SG	N;NOM;INDF;SG
περιοχή	المساحة	περιοχή	مِسَاحَة	N;NOM;FEM;SG	N;NOM;DEF;SG
περιοχή	منطقة	περιοχή	مِنطَقَة	N;NOM;FEM;SG	N;NOM;INDF;SG
περιοχή	المنطقة	περιοχή	مِنطَقَة	N;NOM;FEM;SG	N;NOM;DEF;SG
τότε	اذن	τότε	إِذَن	ADV	ADV
όνομα	اسم	όνομα	اِسم	N;NOM;NEUT;SG	N;NOM;INDF;SG
όνομα	الاسم	όνομα	اِسم	N;NOM;NEUT;SG	N;NOM;DEF;SG
μέρος	جزء	μέρος	جُزء	N;NOM;NEUT;SG	N;NOM;INDF;SG
μέρος	الجزء	μέρος	جُزء	N;NOM;NEUT;SG	N;NOM;DEF;SG
μέρος	مكان	μέρος	مَكَان	N;NOM;NEUT;SG	N;NOM;INDF;SG
μέρος	المكان	μέρος	مَكَان	N;NOM;NEUT;SG	N;NOM;DEF;SG
ιστορία	قصة	ιστορία	قِصَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
ιστορία	حكاية	ιστορία	حِكَايَة	N;NOM;FEM;SG	N;NOM;INDF;SG
ιστορία	القصة	ιστορία	قِصَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
ιστορία	التاريخ	ιστορία	تَارِيخ	N;NOM;FEM;SG	N;NOM;DEF;SG
ιστορία	تاريخ	ιστορία	تَارِيخ	N;NOM;FEM;SG	N;NOM;INDF;SG
πρωτάθλημα	الدوري	πρωτάθλημα	دَورِيّ	N;NOM;NEUT;SG	N;NOM;DEF;SG
πρωτάθλημα	البطولة	πρωτάθλημα	بُطُولَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
πρωτάθλημα	بطولة	πρωτάθλημα	بُطُولَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
εθνική	وطنية	εθνικός	وَطَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
εθνική	وطني	εθνικός	وَطَنِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
αρχείο	الارشيف	αρχείο	اَلأَرشِيف	N;NOM;NEUT;SG	N;NOM;DEF;SG
αρχείο	ملف	αρχείο	مِلَفّ	N;NOM;NEUT;SG	N;NOM;INDF;SG
αρχείο	الملف	αρχείο	مِلَفّ	N;NOM;NEUT;SG	N;NOM;DEF;SG
πρέπει	يجب	πρέπει	وَجَب	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
έλληνες	اليونانيون	έλληνας	يُونَانِيّ	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;MASC;PL
ομάδες	الجماعات	ομάδα	جَمَاعَة	N;NOM;FEM;PL	N;NOM;DEF;PL
ομάδες	المجموعات	ομάδα	مَجمُوعَة	N;NOM;FEM;PL	N;NOM;DEF;PL
ομάδες	مجموعات	ομάδα	مَجمُوعَة	N;NOM;FEM;PL	N;NOM;INDF;PL
