त्रिज्या	radius	त्रिज्या	radius	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
सस्ता	billigt	सस्ता	billigt	ADJ;NOM;MASC;SG	ADJ;INDF;NEUT;SG
सस्ता	nærig	सस्ता	nærig	ADJ;NOM;MASC;SG	ADJ;INDF;MASC+FEM;SG
सस्ता	billig	सस्ता	billig	ADJ;NOM;MASC;SG	ADJ;INDF;MASC+FEM;SG
सस्ता	billigere	सस्ता	billig	ADJ;NOM;MASC;SG	ADJ;CMPR
चेन	lænke	चेन	lænke	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
चेन	kæde	चेन	kæde	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
चेन	kæden	चेन	kæde	N;NOM;FEM;SG;3	N;DEF;MASC+FEM;SG
आर्द्रता	fugtighed	आर्द्रता	fugtighed	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
आर्द्रता	luftfugtighed	आर्द्रता	luftfugtighed	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
आर्द्रता	fugt	आर्द्रता	fugt	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
ऑक्सीकरण	oxidation	ऑक्सीकरण	oxidation	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
संचिका	file	संचिका	file	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
संचिका	filen	संचिका	fil	N;NOM;FEM;SG;3	N;DEF;MASC+FEM;SG
संचिका	fil	संचिका	fil	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;SG
स्पष्टीकरण	forklaring	स्पष्टीकरण	forklaring	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
स्पष्टीकरण	forklaring	स्पष्टीकरण	forklaring	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
स्पष्टीकरण	præcisering	स्पष्टीकरण	præcisering	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
स्पष्टीकरण	afklaring	स्पष्टीकरण	afklaring	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
यूट्यूब	youtube	यूट्यूब	youtube	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
शक्तियाँ	kræfter	शक्ति	kraft	N;NOM;FEM;PL;3	N;INDF;MASC+FEM;PL
शक्तियाँ	beføjelser	शक्ति	beføjelse	N;NOM;FEM;PL;3	N;INDF;MASC+FEM;PL
