not	ne	not	ne	PART	PART
talk	mluv	talk	mluv	V;IMP;FIN	V;IMP;SG;2;POS;FIN
also	rovněž	also	rovněž	ADV	ADV
also	také	also	také	ADV	ADV
also	též	also	též	ADV	ADV
also	taky	also	také	ADV	ADV
but	ale	but	ale	CONJ	CONJ
have	mít	have	mít	V;IMP;FIN	V;POS;NFIN
one	jedno	one	jeden	NUM	NUM;NOM;NEUT;SG
one	jednu	one	jeden	NUM	NUM;ACC;FEM;SG
one	jeden	one	jeden	NUM	NUM;NOM;MASC;SG
one	jedna	one	jeden	NUM	NUM;NOM;FEM;SG
new	nový	new	nový	ADJ	ADJ;INAN;NOM;MASC;SG;POS
new	nové	new	nový	ADJ	ADJ;NOM;MASC;PL;POS
new	nová	new	nový	ADJ	ADJ;NOM;FEM;SG;POS
first	nejdřív	first	brzy	ADV	ADV;RL;POS
first	nejprve	first	nejprve	ADV	ADV
first	nejdříve	first	brzy	ADV	ADV;RL;POS
page	strana	page	strana	N;SG	N;NOM;FEM;SG;POS
page	stránka	page	stránka	N;SG	N;NOM;FEM;SG;POS
page	stránku	page	stránka	N;SG	N;ACC;FEM;SG;POS
had	měl	have	mít	V;IND;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
had	měla	have	mít	V;IND;PST;FIN	V;POS;PST;V.PTCP;ACT
article	článek	article	článek	N;SG	N;INAN;NOM;MASC;SG;POS
article	článku	article	článek	N;SG	N;INAN;GEN;MASC;SG;POS
all	všichni	all	všechen	DET	DET;ANIM;NOM;MASC;PL
all	všechno	all	všechen	DET	DET;NOM;NEUT;SG
all	všechny	all	všechen	DET	DET;NOM;MASC;PL
all	vše	all	všechen	DET	DET;NOM;NEUT;SG
there	tam	there	tam	ADV	ADV
made	vyrobil	make	vyrobit	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
made	udělal	make	udělat	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
