tudi	بھی	tudi	بھی	PART	PART
kot	یعنی	kot	یعنی	CONJ	CONJ
kot	یعنی	kot	یعنی	CONJ	CONJ
pri	پر	pri	پر	ADP;ESS	ADP
seznam	فہرست	seznam	فہرست	N;NOM;MASC;SG	N;NOM;FEM;SG;3
seznam	جدول	seznam	جدول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
glej	پانا	gledati	پانا	V;IPFV;IMP;SG;2;FIN	V;SG;NFIN;ACT
glej	سوچنا	gledati	سوچ	V;IPFV;IMP;SG;2;FIN	V;MASC;SG;NFIN;ACT
glej	ملنا	gledati	مل	V;IPFV;IMP;SG;2;FIN	V;MASC;SG;NFIN;ACT
nova	جدید	nov	جدید	ADJ;NOM;FEM;SG	ADJ
nova	جدید	nov	جدید	ADJ;NOM;FEM;SG	ADJ
zunanje	خارجی	zunanji	خارجی	ADJ;NOM;FEM;PL	ADJ
zunanje	خارجی	zunanji	خارجی	ADJ;NOM;FEM;PL	ADJ
zunanje	بیرونی	zunanji	بیرونی	ADJ;NOM;FEM;PL	ADJ
del	جزو	del	جزو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mesto	بلدیہ	mesto	بلدیہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ime	شہرت	ime	شہرت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
ime	افکار	ime	فکر	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ime	جگہ	ime	جگہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prvi	بنیادی	prvi	بنیادی	ADJ;NOM;MASC;PL	ADJ
prvi	سابق	prvi	سابق	ADJ;NOM;MASC;PL	ADJ
proti	خلاف	proti	خلاف	ADP;DAT	ADP
vendar	لیکن	vendar	لیکن	CONJ	CONJ
marec	رفتار	marec	رفتار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
veliko	کئی	veliko	کئی	DET	DET
avgust	گرامی	avgust	گرامی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
delo	دھوکا	delo	دھوکا	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
delo	فریب	delo	فریب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
delo	کیفیت	delo	کیفیت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
