एक	ühe	एक	üks	NUM	NUM;GEN;SG
श्रेणी	kategooria	श्रेणी	kategooria	N;NOM;FEM;SG;3	N;NOM;SG
श्रेणी	seeria	श्रेणी	seeria	N;NOM;FEM;SG;3	N;NOM;SG
किया	tegi	कर	tegema	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
रूप	vorm	रूप	vorm	N;NOM;MASC;SG;3	N;NOM;SG
रूप	välimus	रूप	välimus	N;NOM;MASC;SG;3	N;NOM;SG
गया	läks	जा	minema	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
साथ	koos	साथ	koos	ADV;NOM;MASC;SG;3	ADV
साथ	koos	साथ	koos	ADV;NOM;MASC;SG;3	ADV
साथ	üheskoos	साथ	ühes_koos	ADV;NOM;MASC;SG;3	ADV
होता	oleks	हो	olema	V;IPFV;MASC;SG;V.PTCP;ACT	V;COND;PRS;FIN;ACT
बाद	hiljem	बाद	hiljem	ADV;NOM;MASC;SG;3	ADV
बाद	pärast	बाद	pärast	ADV;NOM;MASC;SG;3	ADV
अपने	oma	अपना	oma	PRO;NOM;MASC	PRO;NOM;SG
अपने	teie	अपना	sina	PRO;NOM;MASC	PRO;NOM;PL;2
राज्य	riik	राज्य	riik	N;NOM;MASC;SG;3	N;NOM;SG
राज्य	olek	राज्य	olek	N;NOM;MASC;SG;3	N;NOM;SG
राज्य	osariik	राज्य	osa_riik	N;NOM;MASC;SG;3	N;NOM;SG
बाहरी	välimine	बाहरी	välimine	ADJ;NOM	ADJ;NOM;SG
बाहरी	välised	बाहरी	väline	ADJ;NOM	ADJ;NOM;PL
बाहरी	väline	बाहरी	väline	ADJ;NOM	ADJ;NOM;SG
ईसा	jeesus	ईसा	jeesus	N;NOM;MASC;SG;3	N;NOM;SG
सरकार	valitsus	सरकार	valitsus	N;NOM;FEM;SG;3	N;NOM;SG
कड़ियाँ	ahelad	कड़ी	ahel	N;NOM;FEM;PL;3	N;NOM;PL
कड़ियाँ	ketid	कड़ी	kett	N;NOM;FEM;PL;3	N;NOM;PL
कड़ियाँ	lingid	कड़ी	ling	N;NOM;FEM;PL;3	N;NOM;PL
प्रदेश	regioon	प्रदेश	regioon	N;NOM;MASC;SG;3	N;NOM;SG
प्रदेश	piirkond	प्रदेश	piirkond	N;NOM;MASC;SG;3	N;NOM;SG
दिया	andis	दे	andma	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
वर्ष	aasta	वर्ष	aasta	N;NOM;MASC;SG;3	N;NOM;SG
समय	ajastus	समय	ajastus	N;NOM;MASC;SG;3	N;NOM;SG
समय	kellaaeg	समय	kella_aeg	N;NOM;MASC;SG;3	N;NOM;SG
समय	aeg	समय	aeg	N;NOM;MASC;SG;3	N;NOM;SG
नाम	nimi	नाम	nimi	N;NOM;MASC;SG;3	N;NOM;SG
नाम	nimetus	नाम	nimetus	N;NOM;MASC;SG;3	N;NOM;SG
नाम	name	नाम	name	N;NOM;MASC;SG;3	N;NOM;SG
प्रकार	tüüp	प्रकार	tüüp	N;NOM;MASC;SG;3	N;NOM;SG
क्षेत्र	pindala	क्षेत्र	pind_ala	N;NOM;MASC;SG;3	N;NOM;SG
क्षेत्र	valdkond	क्षेत्र	valdkond	N;NOM;MASC;SG;3	N;NOM;SG
क्षेत्र	piirkond	क्षेत्र	piirkond	N;NOM;MASC;SG;3	N;NOM;SG
क्षेत्र	ala	क्षेत्र	ala	N;NOM;MASC;SG;3	N;NOM;SG
क्षेत्र	regioon	क्षेत्र	regioon	N;NOM;MASC;SG;3	N;NOM;SG
क्षेत्र	piirkond	क्षेत्र	piirkond	N;NOM;MASC;SG;3	N;NOM;SG
आधिकारिक	ametlik	आधिकारिक	ametlik	ADJ	ADJ;NOM;SG
कारण	põhjus	कारण	põhjus	N;NOM;MASC;SG;3	N;NOM;SG
कारण	põhjus	कारण	põhjus	N;NOM;MASC;SG;3	N;NOM;SG
जैसे	nagu	जैसे	nagu	CONJ	CONJ
करता	kiusab	कर	kiusama	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
करता	teeb	कर	tegema	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
सबसे	enim	सबसे	enim	ADJ;NOM	ADJ;NOM;CMPR;SG
पहले	enne	पहले	enne	ADV;NOM;MASC;SG;3	ADV
पहले	varem	पहले	varem	ADV;NOM;MASC;SG;3	ADV
पहले	kõigepealt	पहले	kõige_pealt	ADV;NOM;MASC;SG;3	ADV
पहले	esmalt	पहले	esmalt	ADV;NOM;MASC;SG;3	ADV
अपनी	oma	अपना	oma	PRO;NOM;FEM	PRO;NOM;SG
दो	kaks	दो	kaks	NUM	NUM;NOM;SG
जिला	ringkond	जिला	ringkond	N;NOM;MASC;SG;3	N;NOM;SG
जिला	rajoon	जिला	rajoon	N;NOM;MASC;SG;3	N;NOM;SG
जन्म	sünd	जन्म	sünd	N;NOM;MASC;SG;3	N;NOM;SG
जन्म	sünni	जन्म	sünd	N;NOM;MASC;SG;3	N;NOM;SG
लेकिन	aga	लेकिन	aga	CONJ	CONJ
लेकिन	kuid	लेकिन	kuid	CONJ	CONJ
कहा	ütles	कह	ütlema	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
लोग	inimesed	लोग	inimene	N;NOM;MASC;PL;3	N;NOM;PL
प्राचीन	primitiivne	प्राचीन	primitiivne	ADJ;NOM	ADJ;NOM;SG
प्राचीन	algeline	प्राचीन	algeline	ADJ;NOM	ADJ;NOM;SG
प्राचीन	iidne	प्राचीन	iidne	ADJ;NOM	ADJ;NOM;SG
प्राचीन	iidsed	प्राचीन	iidne	ADJ;NOM	ADJ;NOM;PL
भाषा	keel	भाषा	keel	N;NOM;FEM;SG;3	N;NOM;SG
प्राप्त	saadud	प्राप्त	saadud	ADJ	ADJ;PST;V.PTCP;PASS
प्राप्त	saadud	प्राप्त	saadud	ADJ	ADJ;PST;V.PTCP;PASS
प्रयोग	kasutamine	प्रयोग	kasutamine	N;NOM;MASC;SG;3	N;NOM;SG
प्रयोग	kasutus	प्रयोग	kasutus	N;NOM;MASC;SG;3	N;NOM;SG
