den	la	den	él	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;FEM;SG;3
for	para	for	para	ADP	ADP
der	allí	der	allí	ADV	ADV
der	ahí	der	ahí	ADV	ADV
blev	permanecieron	blive	permanecer	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
har	tengo	have	tener	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
har	tiene	have	tener	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	tener	have	tener	V;IND;PRS;FIN;ACT	V;NFIN
har	tienen	have	tener	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
ved	saber	vide	saber	V;IND;PRS;FIN;ACT	V;NFIN
ved	sé	vide	saber	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
ikke	no	ikke	no	ADV	ADV;NEG
men	sino	men	sino	CONJ	CONJ
men	pero	men	pero	CONJ	CONJ
også	igualmente	også	igualmente	ADV	ADV
også	además	også	además	ADV	ADV
også	también	også	también	ADV	ADV
også	también	også	también	ADV	ADV
også	demasiado	også	demasiado	ADV	ADV
efter	después	efter	después	ADV	ADV
kan	pueden	kunne	poder	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	puedo	kunne	poder	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
kan	puede	kunne	poder	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
score	anotar	score	anotar	V;NFIN;ACT	V;NFIN
havde	tuvo	have	tener	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
under	debajo	under	debajo	ADV	ADV
under	abajo	under	abajo	ADV	ADV
under	debajo	under	debajo	ADV	ADV
hans	sus	hans	su	DET;3	DET;PL;3
hans	su	hans	su	DET;3	DET;SG;3
over	arriba	over	arriba	ADV	ADV
første	primera	første	primero	ADJ	ADJ;FEM;SG
første	primeras	første	primero	ADJ	ADJ;FEM;PL
første	primer	første	primero	ADJ	ADJ;MASC;SG
første	primeros	første	primero	ADJ	ADJ;MASC;PL
henvisninger	referencias	henvisning	referencia	N;INDF;MASC+FEM;PL	N;FEM;PL
henvisninger	remisiones	henvisning	remisión	N;INDF;MASC+FEM;PL	N;FEM;PL
henvisninger	referencias	henvisning	referencia	N;INDF;MASC+FEM;PL	N;FEM;PL
dansk	danesa	dansk	danés	ADJ;INDF;SG	ADJ;FEM;SG
mod	coraje	mod	coraje	N;INDF;NEUT;SG	N;MASC;SG
mod	valentía	mod	valentía	N;INDF;NEUT;SG	N;FEM;SG
mod	valor	mod	valor	N;INDF;NEUT;SG	N;MASC;SG
mod	against	mod	against	N;INDF;NEUT;SG	N
mod	mod	mod	mod	N;INDF;NEUT;SG	N
hun	ella	hun	él	PRO;NOM;MASC+FEM;SG;3	PRO;FEM;SG;3
andre	otras	anden	otro	PRO;PL	PRO;FEM;PL
andre	otros	anden	otro	PRO;PL	PRO;MASC;PL
andre	otras	anden	otro	PRO;PL	PRO;FEM;PL
andre	otros	anden	otro	PRO;PL	PRO;MASC;PL
denne	este	denne	este	PRO;MASC+FEM;SG	PRO;MASC;SG
denne	esto	denne	este	PRO;MASC+FEM;SG	PRO;SG
denne	esta	denne	este	PRO;MASC+FEM;SG	PRO;FEM;SG
fik	consiguió	få	conseguir	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
del	part	del	part	N;INDF;MASC+FEM;SG	N
del	parte	del	parte	N;INDF;MASC+FEM;SG	N;FEM;SG
del	share	del	share	N;INDF;MASC+FEM;SG	N
mellem	entre	mellem	entre	ADP	ADP
flere	múltiples	mange	múltiple	ADJ;CMPR;PL	ADJ;PL
flere	multiples	mange	multiple	ADJ;CMPR;PL	ADJ;PL
dette	este	denne	este	PRO;NEUT;SG	PRO;MASC;SG
dette	esto	denne	este	PRO;NEUT;SG	PRO;SG
dette	esta	denne	este	PRO;NEUT;SG	PRO;FEM;SG
deres	sus	deres	su	DET;3	DET;PL;3
deres	su	deres	su	DET;3	DET;SG;3
team	equipo	team	equipo	N;INDF;NEUT;SG	N;MASC;SG
team	team	team	team	N;INDF;NEUT;SG	N
senere	posteriormente	senere	posteriormente	ADV;CMPR	ADV
senere	después	senere	después	ADV;CMPR	ADV
kun	únicamente	kun	únicamente	ADV	ADV
kun	solo	kun	solo	ADV	ADV
kun	sólo	kun	sólo	ADV	ADV
kun	solamente	kun	solamente	ADV	ADV
tidligere	anteriormente	tidligere	anteriormente	ADV;CMPR	ADV
tidligere	previamente	tidligere	previamente	ADV;CMPR	ADV
tidligere	antes	tidligere	antes	ADV;CMPR	ADV
tidligere	anteriormente	tidligere	anteriormente	ADV;CMPR	ADV
skal	deberia	skulle	deberia	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	deben	skulle	deber	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
skal	debe	skulle	deber	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
have	tener	have	tener	V;NFIN;ACT	V;NFIN
have	tengan	have	tener	V;NFIN;ACT	V;IMP;PL;3;PRS;FIN
have	tienen	have	tener	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
mere	más	mere	más	ADV;CMPR	ADV
mere	mas	mere	mas	ADV;CMPR	ADV
store	grandes	stor	grande	ADJ;PL	ADJ;PL
store	grandes	stor	grande	ADJ;PL	ADJ;PL
samme	mismo	samme	mismo	ADJ	ADJ;MASC;SG
vil	quieres	ville	querer	V;IND;PRS;FIN;ACT	V;IND;SG;2;PRS;FIN
vil	quiero	ville	querer	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
vil	querer	ville	querer	V;IND;PRS;FIN;ACT	V;NFIN
vil	quieren	ville	querer	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
ham	él	han	él	PRO;ACC;MASC+FEM;SG;3	PRO;MASC;SG;3
omkring	acerca	omkring	acerca	ADV	ADV
omkring	alrededor	omkring	alrededor	ADV	ADV
blevet	sido	blive	ser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
kom	vinieron	komme	venir	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
tre	tres	tre	tres	NUM	NUM;PL
blandt	entre	blandt	entre	ADP	ADP
byen	pueblo	by	pueblo	N;DEF;MASC+FEM;SG	N;MASC;SG
byen	ciudad	by	ciudad	N;DEF;MASC+FEM;SG	N;FEM;SG
byen	ciudad	by	ciudad	N;DEF;MASC+FEM;SG	N;FEM;SG
disse	éstas	denne	este	PRO;PL	PRO;FEM;PL
disse	estos	denne	este	PRO;PL	PRO;MASC;PL
disse	estas	denne	este	PRO;PL	PRO;FEM;PL
disse	éstos	denne	este	PRO;PL	PRO;MASC;PL
nogle	algunas	nogen	alguno	PRO;PL	PRO;FEM;PL
nogle	algunos	nogen	alguno	PRO;PL	PRO;MASC;PL
maj	mayo	maj	mayo	N;INDF;MASC+FEM;SG	N
mens	mientras	mens	mientras	CONJ	CONJ
andet	otro	anden	otro	PRO;NEUT;SG	PRO;MASC;SG
dag	día	dag	día	N;INDF;MASC+FEM;SG	N;MASC;SG
dag	dia	dag	diar	N;INDF;MASC+FEM;SG	N;MASC;SG
her	aquí	her	aquí	ADV	ADV
