tradución	تقریر	tradución	تقریر	N	N;NOM;FEM;SG;3
básicos	اساسی	básico	اساسی	ADJ	ADJ
alimentación	خوراک	alimentación	خوراک	N	N;NOM;FEM;SG;3
alimentación	غذا	alimentación	غذا	N	N;NOM;FEM;SG;3
alimentación	ملبوسات	alimentación	ملبوسات	N	N;NOM;MASC;PL;3
loitas	قتال	loita	قتال	N	N;NOM;MASC;SG;3
loitas	آگ	loita	آگ	N	N;NOM;FEM;SG;3
loitas	کوشش	loita	کوشش	N	N;NOM;FEM;SG;3
básico	اساسی	básico	اساسی	ADJ	ADJ
axencias	توسط	axencia	توسط	N	N;NOM;MASC;SG;3
axencias	وساطت	axencia	وساطت	N	N;NOM;MASC;SG;3
axencias	واسطہ	axencia	واسطہ	N	N;NOM;MASC;SG;3
axencias	ذریعہ	axencia	ذریعہ	N	N;NOM;MASC;SG;3
axencias	توسط	axencia	توسط	N	N;NOM;MASC;SG;3
axencias	وساطت	axencia	وساطت	N	N;NOM;MASC;SG;3
axencias	واسطہ	axencia	واسطہ	N	N;NOM;MASC;SG;3
pausa	تعطل	pausa	تعطل	N	N;NOM;MASC;SG;3
pausa	وقفہ	pausa	وقفہ	N	N;NOM;MASC;SG;3
pausa	تعطل	pausa	تعطل	N	N;NOM;MASC;SG;3
alfombra	قالین	alfombra	قالین	N	N;NOM;MASC;SG;3
agardade	انتظار-	agardade	انتظار-	N	N;NOM;MASC;SG;3
oposición	مخاصمت	oposición	مخاصمت	N	N;NOM;MASC;SG;3
oposición	تناقض.	oposición	تناقض.	N	N;NOM;MASC;SG;3
oposición	مدافعت	oposición	مدافعت	N	N;NOM;MASC;SG;3
oposición	عداوت	oposición	عداوت	N	N;NOM;MASC;SG;3
oposición	مخالفت	oposición	مخالفت	N	N;NOM;MASC;SG;3
oposición	مخاصمت	oposición	مخاصمت	N	N;NOM;MASC;SG;3
oposición	تناقض.	oposición	تناقض.	N	N;NOM;MASC;SG;3
oposición	مدافعت	oposición	مدافعت	N	N;NOM;MASC;SG;3
oposición	تضاد	oposición	تضاد	N	N;NOM;MASC;SG;3
oposición	عداوت	oposición	عداوت	N	N;NOM;MASC;SG;3
oposición	مخالفت	oposición	مخالفت	N	N;NOM;MASC;SG;3
buraco	پیالی	buraco	پیالی	N	N;NOM;FEM;SG;3
buraco	سوراخ	buraco	سوراخ	N	N;NOM;MASC;SG;3
buraco	نالی	buraco	نالی	N	N;NOM;FEM;SG;3
buraco	پیالی	buraco	پیالی	N	N;NOM;FEM;SG;3
buraco	سوراخ	buraco	سوراخ	N	N;NOM;MASC;SG;3
buraco	نالی	buraco	نالی	N	N;NOM;FEM;SG;3
elevado	اونچا	elevado	اونچا	ADJ	ADJ;MASC;SG
elevado	شدید	elevado	شدید	ADJ	ADJ
elevado	خراب	elevado	خراب	ADJ	ADJ
elevado	اعلیٰ	elevado	اعلیٰ	ADJ	ADJ
elevado	اونچا	elevado	اونچا	ADJ	ADJ;MASC;SG
elevado	شدید	elevado	شدید	ADJ	ADJ
elevado	خراب	elevado	خراب	ADJ	ADJ
elevado	اعلیٰ	elevado	اعلیٰ	ADJ	ADJ
direccións	ہدایت	dirección	ہدایت	N	N;NOM;FEM;SG;3
afectan	بننا	afectar	بن	V	V;MASC;SG;NFIN;ACT
facerte	پکانا	facerte	پکانا	V	V;MASC;SG;V.PTCP;ACT
facerte	سمجھنا	facerte	سمجھ	V	V;MASC;SG;NFIN;ACT
facerte	پکانا	facerte	پکانا	V	V;MASC;SG;V.PTCP;ACT
facerte	سمجھنا	facerte	سمجھ	V	V;MASC;SG;NFIN;ACT
facerte	بنانا	facerte	بنا	V	V;MASC;SG;NFIN;ACT
continúan	ڈھاپتے	continuar	ڈھاپ	V	V;IPFV;MASC;PL;V.PTCP;ACT
continúan	ڈھاپتے	continuar	ڈھاپ	V	V;IPFV;MASC;PL;V.PTCP;ACT
mundiais	متوسط	mundial	متوسط	ADJ	ADJ
tentarei	آزمانا.	tentar	آزمانا.	V	V;PL;FIN;ACT
tentarei	سیکھنا	tentar	سیکھ	V	V;SG;NFIN;ACT
tentarei	سمجھنا	tentar	سمجھ	V	V;MASC;SG;NFIN;ACT
tentarei	کمانا	tentar	کمانا	V	V;MASC;SG;NFIN;ACT
tentarei	پانا	tentar	پانا	V	V;SG;NFIN;ACT
tentarei	سیکھنا	tentar	سیکھ	V	V;SG;NFIN;ACT
tentarei	سمجھنا	tentar	سمجھ	V	V;MASC;SG;NFIN;ACT
tentarei	کمانا	tentar	کمانا	V	V;MASC;SG;NFIN;ACT
prioridade	فوقیت	prioridade	فوقیت	N	N;NOM;MASC;SG;3
prioridade	سبقت	prioridade	سبقت	N	N;NOM;MASC;SG;3
revistas	کیمرے	revista	کیمرا	N	N;NOM;MASC;SG;3
mentras	مدّت	mentras	مدّت	N	N;NOM;MASC;SG;3
lograr	سیکھنا	lograr	سیکھ	V	V;SG;NFIN;ACT
lograr	سمجھنا	lograr	سمجھ	V	V;MASC;SG;NFIN;ACT
lograr	کمانا	lograr	کمانا	V	V;MASC;SG;NFIN;ACT
lograr	پانا	lograr	پانا	V	V;SG;NFIN;ACT
lograr	سیکھنا	lograr	سیکھ	V	V;SG;NFIN;ACT
lograr	سمجھنا	lograr	سمجھ	V	V;MASC;SG;NFIN;ACT
lograr	کمانا	lograr	کمانا	V	V;MASC;SG;NFIN;ACT
lograr	پکانا	lograr	پکانا	V	V;MASC;SG;V.PTCP;ACT
lograr	سمجھنا	lograr	سمجھ	V	V;MASC;SG;NFIN;ACT
lograr	پکانا	lograr	پکانا	V	V;MASC;SG;V.PTCP;ACT
lograr	سمجھنا	lograr	سمجھ	V	V;MASC;SG;NFIN;ACT
lograr	بنانا	lograr	بنا	V	V;MASC;SG;NFIN;ACT
distinguir	کہنا	distinguir	کہہ	V	V;MASC;NFIN
recentes	حالیہ	recente	حالیہ	ADJ	ADJ
recentes	جدید	recente	جدید	ADJ	ADJ
funcione	کوٹنا	funcionar	کوٹنا	V	V;SG;NFIN;ACT
funcione	پھڑکنا	funcionar	پھڑک	V	V;SG;NFIN;ACT
funcione	سنبھالنا	funcionar	سنبھال	V	V;MASC;SG;NFIN;ACT
funcione	چلانا	funcionar	چلا	V	V;MASC;SG;NFIN;ACT
funcione	کوٹنا	funcionar	کوٹنا	V	V;SG;NFIN;ACT
funcione	پھڑکنا	funcionar	پھڑک	V	V;SG;NFIN;ACT
funcione	سنبھالنا	funcionar	سنبھال	V	V;MASC;SG;NFIN;ACT
funcione	چلانا	funcionar	چلا	V	V;MASC;SG;NFIN;ACT
certificado	موت	certificado	موت	N	N;NOM;FEM;SG;3
certificado	صحت	certificado	صحت	N	N;NOM;FEM;SG;3
certificado	قابلیت	certificado	قابلیت	N	N;NOM;MASC;SG;3
certificado	استعداد	certificado	استعداد	N	N;NOM;MASC;SG;3
certificado	شادی	certificado	شادی	N	N;NOM;FEM;SG;3
pipa	دھات	pipa	دھات	N	N;NOM;MASC;SG;3
cadrado	روایتی	cadrado	روایتی	ADJ	ADJ
cadrado	موافق	cadrado	موافق	ADJ	ADJ
cadrado	آراستہ	cadrado	آراستہ	ADJ	ADJ
cadrado	پرانا	cadrado	پرانا	ADJ	ADJ;NOM;MASC;SG
cadrado	منصفانہ	cadrado	منصفانہ	ADJ	ADJ
cadrado	مرتب	cadrado	مرتب	ADJ	ADJ
cadrado	روایتی	cadrado	روایتی	ADJ	ADJ
cadrado	موافق	cadrado	موافق	ADJ	ADJ
cadrado	آراستہ	cadrado	آراستہ	ADJ	ADJ
cadrado	پرانا	cadrado	پرانا	ADJ	ADJ;NOM;MASC;SG
cadrado	منصفانہ	cadrado	منصفانہ	ADJ	ADJ
cadrado	مرتب	cadrado	مرتب	ADJ	ADJ
palma	ہتھیلی	palma	ہتھیلی	N	N;NOM;FEM;SG;3
palma	شفقت	palma	شفقت	N	N;NOM;FEM;SG;3
palma	محبت	palma	محبت	N	N;NOM;FEM;SG;3
modernos	رائج	moderno	رائج	ADJ	ADJ
modernos	رواں	moderno	رواں	ADJ	ADJ
colonial	مستعمراتی	colonial	مستعمراتی	ADJ	ADJ
exceso	ابتدا	exceso	ابتدا	N	N;NOM;MASC;SG;3
exceso	سبب	exceso	سبب	N	N;ACC;MASC;SG;3
exceso	وجہ	exceso	وجہ	N	N;NOM;MASC;SG;3
exceso	جگہ	exceso	جگہ	N	N;NOM;MASC;SG;3
exceso	مقصد	exceso	مقصد	N	N;NOM;MASC;SG;3
exceso	ابتدا	exceso	ابتدا	N	N;NOM;MASC;SG;3
exceso	سبب	exceso	سبب	N	N;ACC;MASC;SG;3
exceso	وجہ	exceso	وجہ	N	N;NOM;MASC;SG;3
exceso	جگہ	exceso	جگہ	N	N;NOM;MASC;SG;3
exceso	مقصد	exceso	مقصد	N	N;NOM;MASC;SG;3
exceso	زیادتی	exceso	زیادتی	N	N;NOM;MASC;SG;3
ocupados	مشغول	ocupado	مشغول	ADJ	ADJ
darvos	لگانا	darvo	لگا	V	V;MASC;SG;NFIN;ACT
darvos	پڑھنا	darvo	پڑھ	V	V;MASC;SG;NFIN;ACT
darvos	بتانا	darvo	بتا	V	V;MASC;SG;NFIN;ACT
darvos	بولنا	darvo	بول	V	V;MASC;SG;NFIN;ACT
darvos	سنانا	darvo	سنا	V	V;MASC;SG;NFIN;ACT
darvos	کہنا	darvo	کہہ	V	V;MASC;NFIN
darvos	جوڑ	darvo	جوڑ	V	V;ACT
darvos	بدل	darvo	بدل	V	V;ACT
darvos	جوڑ	darvo	جوڑ	V	V;ACT
darvos	بدل	darvo	بدل	V	V;ACT
interésame	چالو	interésame	چالو	V	V;ACT
interésame	چالو	interésame	چالو	V	V;ACT
afirmación	تصدیق	afirmación	تصدیق	N	N;NOM;MASC;SG;3
chamaría	جگانا	chamar	جگا	V	V;MASC;SG;NFIN;ACT
chamaría	رکھنا	chamar	رکھ	V	V;MASC;SG;NFIN;ACT
chamaría	چیخ	chamar	چیخ	V	V;ACT
chamaría	سمجھنا	chamar	سمجھ	V	V;MASC;SG;NFIN;ACT
chamaría	پکار	chamar	پکار	V	V;SG;ACT
agricultura	زراعت	agricultura	زراعت	N	N;NOM;FEM;SG;3
agricultura	کاشتکاری	agricultura	کاشتکاری	N	N;NOM;MASC;SG;3
unidas	لگاتار	unir	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
unidas	لگاتار	unir	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
dispoñible	موجود	dispoñible	موجود	ADJ	ADJ
soubera	سیکھا	soubera	سیکھ	V	V;PFV;MASC;SG;V.PTCP;ACT
soubera	سیکھا	soubera	سیکھ	V	V;PFV;MASC;SG;V.PTCP;ACT
soubera	جاننا	soubera	جان	V	V;MASC;SG;NFIN;ACT
namorada	چالو	namorar	چالو	V	V;ACT
namorada	چالو	namorar	چالو	V	V;ACT
namorada	چاہنا	namorar	چاہ	V	V;MASC;SG;NFIN;ACT
demasiadas	مناسب	demasiadas	مناسب	ADJ	ADJ
demasiadas	معقول	demasiadas	معقول	ADJ	ADJ
demasiadas	مزید	demasiadas	مزید	ADJ	ADJ
demasiadas	جائز	demasiadas	جائز	ADJ	ADJ
demasiadas	متعدد	demasiadas	متعدد	ADJ	ADJ
demasiadas	متعدد	demasiadas	متعدد	ADJ	ADJ
impórtalle	مناسب	impórtalle	مناسب	ADJ	ADJ
impórtalle	مشغول	impórtalle	مشغول	ADJ	ADJ
impórtalle	مناسب	impórtalle	مناسب	ADJ	ADJ
impórtalle	مشغول	impórtalle	مشغول	ADJ	ADJ
evidencias	گواہی	evidencia	گواہی	N	N;NOM;FEM;SG;3
preocupados	لگاتار	preocupar	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
preocupados	لگاتار	preocupar	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
