oldalakon	頁	oldal	頁	N;ON+ESS;PL	N
invázió	侵略	invázió	侵略	N;NOM;SG	N
tojást	蛋	tojás	蛋	N;ACC;SG	N
tojást	雞蛋	tojás	雞蛋	N;ACC;SG	N
tojást	卵	tojás	卵	N;ACC;SG	N
tojást	蛋	tojás	蛋	N;ACC;SG	N
tojást	雞蛋	tojás	雞蛋	N;ACC;SG	N
nyaka	脖子	nyaka	脖子	N;NOM;SG	N
nyaka	頸	nyaka	頸	N;NOM;SG	N
nyaka	頸部	nyaka	頸部	N;NOM;SG	N
cselekvés	動作	cselekvés	動作	N;NOM;SG	N
cselekvés	行動	cselekvés	行動	N;NOM;SG	N
mechanizmus	機制	mechanizmus	機制	N;NOM;SG	N
mechanizmus	機制	mechanizmus	機制	N;NOM;SG	N
eszik	吃	esz	吃	V;INDF;IND;SG;3;PRS;FIN;ACT	V
eszik	飲食	esz	飲食	V;INDF;IND;SG;3;PRS;FIN;ACT	V
eszik	進食	esz	進食	V;INDF;IND;SG;3;PRS;FIN;ACT	V
súly	重量	súly	重量	N;NOM;SG	N
súly	體重	súly	體重	N;NOM;SG	N
súly	份量	súly	份量	N;NOM;SG	N
szálak	纖維	szál	纖維	N;NOM;PL	N
bejegyzés	郵政	bejegyzés	郵政	N;NOM;SG	N
mítosz	神話	mítosz	神話	N;NOM;SG	N
strand	沙灘	strand	沙灘	N;NOM;SG	N
strand	海灘	strand	海灘	N;NOM;SG	N
méh	子宮	méh	子宮	N;NOM;SG	N
méh	子宮	méh	子宮	N;NOM;SG	N
méh	蜂	méh	蜂	N;NOM;SG	N
méh	蜜蜂	méh	蜜蜂	N;NOM;SG	N
golyó	球	golyó	球	N;NOM;SG	N
golyó	子	golyó	子	N;NOM;SG	N
golyó	彈頭	golyó	彈頭	N;NOM;SG	N
gyűjteni	收集	gyűjt	收集	V;NFIN;ACT	V
gyűjteni	收集	gyűjt	收集	V;NFIN;ACT	V
típusai	類型	típus	類型	N;NOM;PL	N
fogyasztás	消費	fogyasztás	消費	N;NOM;SG	N
vállalkozások	公司	vállalkozás	公司	N;NOM;PL	N
vállalkozások	企業	vállalkozás	企業	N;NOM;PL	N
vállalkozások	企業	vállalkozás	企業	N;NOM;PL	N
hidraulikus	水利	hidraulikus	水利	N;NOM;SG	N
hidraulikus	水力	hidraulikus	水力	N;NOM;SG	N
hidraulikus	液壓	hidraulikus	液壓	N;NOM;SG	N
szülés	生育	szülés	生育	N;NOM;SG	N
cirkáló	巡洋	cirkáló	巡洋	N;NOM;SG	N
lépések	腳步	lépés	腳步	N;NOM;PL	N
lépések	腳步	lépés	腳步	N;NOM;PL	N
lépések	步驟	lépés	步驟	N;NOM;PL	N
gőz	蒸氣	gőz	蒸氣	N;NOM;SG	N
gőz	蒸汽	gőz	蒸汽	N;NOM;SG	N
gőz	蒸氣	gőz	蒸氣	N;NOM;SG	N
gőz	蒸汽	gőz	蒸汽	N;NOM;SG	N
fenntartani	維持	fenn+tart	維持	V;NFIN;ACT	V
bőséges	豐富	bőséges	豐富	ADJ;NOM;SG	ADJ
szándék	意圖	szándék	意圖	N;NOM;SG	N
szándék	意向	szándék	意向	N;NOM;SG	N
szándék	意圖	szándék	意圖	N;NOM;SG	N
szándék	意向	szándék	意向	N;NOM;SG	N
szándék	意圖	szándék	意圖	N;NOM;SG	N
szándék	意向	szándék	意向	N;NOM;SG	N
papság	神職	papság	神職	N;NOM;SG	N
papság	神職	papság	神職	N;NOM;SG	N
klán	氏族	klán	氏族	N;NOM;SG	N
klán	部族	klán	部族	N;NOM;SG	N
klán	氏	klán	氏	N;NOM;SG	N
pestis	瘟疫	pestis	瘟疫	N;NOM;SG	N
pestis	鼠疫	pestis	鼠疫	N;NOM;SG	N
pestis	瘟疫	pestis	瘟疫	N;NOM;SG	N
dawn	拂曉	dawn	拂曉		
arcát	臉	arca	臉	N;ACC;SG	N
arcát	臉部	arca	臉部	N;ACC;SG	N
bibliográfia	書目	bibliográfia	書目	N;NOM;SG	N
vizsga	考試	vizsga	考試	N;NOM;SG	N
vizsga	考試	vizsga	考試	N;NOM;SG	N
rajzok	素	rajz	素	N;NOM;PL	N
rajzok	圖畫	rajz	圖畫	N;NOM;PL	N
rajzok	圖紙	rajz	圖紙	N;NOM;PL	N
rajzok	繪圖	rajz	繪圖	N;NOM;PL	N
öröksége	遺產	örökség	遺產	N;NOM;SG	N
létesítmények	設施	létesítmény	設施	N;NOM;PL	N
létesítmények	設施	létesítmény	設施	N;NOM;PL	N
létesítmények	裝置	létesítmény	裝置	N;NOM;PL	N
megvédeni	保護	megvéd	保護	V;NFIN;ACT	V
megvédeni	捍衛	megvéd	捍衛	V;NFIN;ACT	V
megvédeni	保衛	megvéd	保衛	V;NFIN;ACT	V
szociológia	社會	szociológia	社會	N;NOM;SG	N
igények	債權	igény	債權	N;NOM;PL	N
állapotok	條件	állapot	條件	N;NOM;PL	N
bors	辣椒	bors	辣椒	N;NOM;SG	N
gravitáció	地心	gravitáció	地心	N;NOM;SG	N
gravitáció	引力	gravitáció	引力	N;NOM;SG	N
gravitáció	重力	gravitáció	重力	N;NOM;SG	N
megfogalmazás	措辭	megfogalmazás	措辭	N;NOM;SG	N
megfogalmazás	措詞	megfogalmazás	措詞	N;NOM;SG	N
szerkezetek	結構	szerkezet	結構	N;NOM;PL	N
ima	禱告	ima	禱告	N;NOM;SG	N
ima	禱告	ima	禱告	N;NOM;SG	N
törvényszék	法庭	törvényszék	法庭	N;NOM;SG	N
patakok	流	patak	流	N;NOM;PL	N
patakok	溪流	patak	溪流	N;NOM;PL	N
szava	詞	szó	詞	N;NOM;SG	N
szava	單詞	szó	單詞	N;NOM;SG	N
szava	字	szó	字	N;NOM;SG	N
szava	單字	szó	單字	N;NOM;SG	N
szakács	廚師	szakács	廚師	N;NOM;SG	N
szakács	廚師	szakács	廚師	N;NOM;SG	N
monográfia	專論	monográfia	專論	N;NOM;SG	N
gyík	蜥蜴	gyík	蜥蜴	N;NOM;SG	N
gyík	蜥	gyík	蜥	N;NOM;SG	N
ólom	鉛	ólom	鉛	N;NOM;SG	N
mérés	計量	mérés	計量	N;NOM;SG	N
mérés	量度	mérés	量度	N;NOM;SG	N
mérés	計量	mérés	計量	N;NOM;SG	N
mérés	計量	mérés	計量	N;NOM;SG	N
mérés	度量	mérés	度量	N;NOM;SG	N
bankok	銀行	bank	銀行	N;NOM;PL	N
társ	伴侶	társ	伴侶	N;NOM;SG	N
társ	夥伴	társ	夥伴	N;NOM;SG	N
társ	搭檔	társ	搭檔	N;NOM;SG	N
társ	伴侶	társ	伴侶	N;NOM;SG	N
szimbólum	符號	szimbólum	符號	N;IN+ABL;SG	N
szimbólum	符號	szimbólum	符號	N;IN+ABL;SG	N
misszió	任務	misszió	任務	N;NOM;SG	N
nővérek	姐妹	nő	姐妹	N;NOM;PL	N
nővérek	姊妹	nő	姊妹	N;NOM;PL	N
ikon	圖示	ikon	圖示	N;NOM;SG	N
frakció	分數	frakció	分數	N;NOM;SG	N
állítások	債權	állítás	債權	N;NOM;PL	N
vásár	公平	vásár	公平	N;NOM;SG	N
cápa	鯊	cápa	鯊	N;NOM;SG	N
cápa	鯊魚	cápa	鯊魚	N;NOM;SG	N
gyógyszertár	藥房	gyógyszertár	藥房	N;NOM;SG	N
gyógyszertár	藥店	gyógyszertár	藥店	N;NOM;SG	N
gyógyszertár	藥店	gyógyszertár	藥店	N;NOM;SG	N
gyógyszertár	藥房	gyógyszertár	藥房	N;NOM;SG	N
gyógyszertár	藥劑	gyógyszertár	藥劑	N;NOM;SG	N
gyógyszertár	藥店	gyógyszertár	藥店	N;NOM;SG	N
ösvény	路徑	ösvény	路徑	N;NOM;SG	N
ösvény	軌跡	ösvény	軌跡	N;NOM;SG	N
ösvény	小徑	ösvény	小徑	N;NOM;SG	N
bagoly	貓頭鷹	bagoly	貓頭鷹	N;NOM;SG	N
bagoly	鴞	bagoly	鴞	N;NOM;SG	N
oldott	溶解	old	溶解	V;INDF;IND;SG;3;PST;FIN;ACT	V
asztal	書	asz	書	N;NOM;SG	N
asztal	桌面	asz	桌面	N;NOM;SG	N
apáca	尼姑	apác	尼姑	N;NOM;SG	N
károk	損壞	kár	損壞	N;NOM;PL	N
károk	損害	kár	損害	N;NOM;PL	N
alapértelmezett	違約	alapértelmezett	違約	N;ACC;SG	N
iparág	工業	iparág	工業	N;NOM;SG	N
iparág	產業	iparág	產業	N;NOM;SG	N
iparág	行業	iparág	行業	N;NOM;SG	N
iparág	業界	iparág	業界	N;NOM;SG	N
magatartás	行為	magatartás	行為	N;NOM;SG	N
magatartás	態度	magatartás	態度	N;NOM;SG	N
magatartás	行為	magatartás	行為	N;NOM;SG	N
magatartás	行為	magatartás	行為	N;NOM;SG	N
kincs	寶物	kincs	寶物	N;NOM;SG	N
kincs	財寶	kincs	財寶	N;NOM;SG	N
kincs	寶藏	kincs	寶藏	N;NOM;SG	N
kincs	珍寶	kincs	珍寶	N;NOM;SG	N
kincs	寶藏	kincs	寶藏	N;NOM;SG	N
felhő	雲	felhő	雲	N;NOM;SG	N
felhő	雲端	felhő	雲端	N;NOM;SG	N
harcolni	打	harcol	打	V;NFIN;ACT	V
élmény	體驗	élmény	體驗	N;NOM;SG	N
élmény	經驗	élmény	經驗	N;NOM;SG	N
országút	公路	országú	公路	N;NOM;SG	N
munkaügyi	勞工	munkaügyi	勞工	N;NOM;SG	N
feltételezés	假設	feltételezés	假設	N;NOM;SG	N
feltételezés	假設	feltételezés	假設	N;NOM;SG	N
feltételezés	假設	feltételezés	假設	N;NOM;SG	N
feltételezés	假說	feltételezés	假說	N;NOM;SG	N
kábítószer	藥品	kábítószer	藥品	N;NOM;SG	N
kábítószer	藥物	kábítószer	藥物	N;NOM;SG	N
kábítószer	毒品	kábítószer	毒品	N;NOM;SG	N
kábítószer	藥物	kábítószer	藥物	N;NOM;SG	N
rich	富	rich	富		
mérések	計量	mérés	計量	N;NOM;PL	N
lábak	英尺	láb	英尺	N;NOM;PL	N
lábak	腳	láb	腳	N;NOM;PL	N
lábak	腿	láb	腿	N;NOM;PL	N
romok	廢墟	rom	廢墟	N;NOM;PL	N
romok	遺址	rom	遺址	N;NOM;PL	N
romok	遺跡	rom	遺跡	N;NOM;PL	N
falakat	牆壁	fal	牆壁	N;ACC;PL	N
falakat	城牆	fal	城牆	N;ACC;PL	N
falakat	牆	fal	牆	N;ACC;PL	N
szökés	越獄	szökés	越獄	N;NOM;SG	N
szökés	越獄	szökés	越獄	N;NOM;SG	N
nézi	觀看	nézi	觀看	V;DEF;IND;SG;3;PRS;FIN;ACT	V
sav	酸	sav	酸	N;NOM;SG	N
sav	酸性	sav	酸性	N;NOM;SG	N
pénteken	星期	pént	星期	N;ON+ESS;SG	N
pénteken	週	pént	週	N;ON+ESS;SG	N
rejtély	謎團	rejtély	謎團	N;NOM;SG	N
rejtély	謎	rejtély	謎	N;NOM;SG	N
méretei	尺寸	méretei	尺寸	N;NOM;PL	N
megfigyelés	觀測	megfigyelés	觀測	N;NOM;SG	N
megfigyelés	觀測	megfigyelés	觀測	N;NOM;SG	N
megfigyelés	監督	megfigyelés	監督	N;NOM;SG	N
felfedezni	探索	felfedez	探索	V;NFIN;ACT	V
felfedezni	發現	felfedez	發現	V;NFIN;ACT	V
felfedezni	探索	felfedez	探索	V;NFIN;ACT	V
lebegő	浮	lebegő	浮		
lebegő	飄	lebegő	飄		
nyilatkozata	宣言	nyilatkozat	宣言	N;NOM;SG	N
bél	腸	bél	腸	N;NOM;SG	N
bél	內臟	bél	內臟	N;NOM;SG	N
lelkek	靈魂	lelk	靈魂	N;NOM;PL	N
lelkek	魂靈	lelk	魂靈	N;NOM;PL	N
webes	網	webes	網	N;NOM;SG	N
webes	網路	webes	網路	N;NOM;SG	N
forog	滾動	forog	滾動	V;INDF;IND;SG;3;PRS;FIN;ACT	V
lépéseket	腳步	lépés	腳步	N;ACC;PL	N
lépéseket	腳步	lépés	腳步	N;ACC;PL	N
lépéseket	步驟	lépés	步驟	N;ACC;PL	N
tételek	項目	tétel	項目	N;NOM;PL	N
vírusok	病毒	vírus	病毒	N;NOM;PL	N
időpontok	日期	időpont	日期	N;NOM;PL	N
időpontok	時代	időpont	時代	N;NOM;PL	N
időpontok	時報	időpont	時報	N;NOM;PL	N
bolt	購物	bolt	購物	N;NOM;SG	N
bolt	店鋪	bolt	店鋪	N;NOM;SG	N
bolt	店	bolt	店	N;NOM;SG	N
bolt	商店	bolt	商店	N;NOM;SG	N
bolt	店	bolt	店	N;NOM;SG	N
bolt	商店	bolt	商店	N;NOM;SG	N
atomok	原子	atom	原子	N;NOM;PL	N
olvasás	閱讀	olvasás	閱讀	N;NOM;SG	N
olvasás	讀書	olvasás	讀書	N;NOM;SG	N
vacsora	晚飯	vacsora	晚飯	N;NOM;SG	N
vacsora	晚餐	vacsora	晚餐	N;NOM;SG	N
vacsora	晚餐	vacsora	晚餐	N;NOM;SG	N
ütközés	衝突	ütközés	衝突	N;NOM;SG	N
közgazdászok	經濟	közgazdász	經濟	N;NOM;PL	N
kalap	帽子	kalap	帽子	N;NOM;SG	N
kalap	帽	kalap	帽	N;NOM;SG	N
kalap	帽子	kalap	帽子	N;NOM;SG	N
hasa	肚子	hasa	肚子	N;NOM;SG	N
hasa	肚皮	hasa	肚皮	N;NOM;SG	N
szerződések	合約	szerződés	合約	N;NOM;PL	N
szerződések	合同	szerződés	合同	N;NOM;PL	N
szerződések	條約	szerződés	條約	N;NOM;PL	N
kaput	門	kap	門	N;ACC;SG	N
kaput	大門	kap	大門	N;ACC;SG	N
csontok	骨	csont	骨	N;NOM;PL	N
csontok	骨骼	csont	骨骼	N;NOM;PL	N
csontok	骨頭	csont	骨頭	N;NOM;PL	N
történeteket	故事	történet	故事	N;ACC;PL	N
történeteket	動態	történet	動態	N;ACC;PL	N
gyógyfürdő	溫泉	gyógyfürdő	溫泉	N;NOM;SG	N
gyógyfürdő	水療	gyógyfürdő	水療	N;NOM;SG	N
világegyetem	宇宙	világegyet	宇宙	N;NOM;SG	N
leírások	規格	leírás	規格	N;NOM;PL	N
csiga	蝸牛	csiga	蝸牛	N;NOM;SG	N
csiga	蝸牛	csiga	蝸牛	N;NOM;SG	N
csapás	罷工	csapás	罷工	N;NOM;SG	N
javult	改進	javul	改進	V;INDF;IND;SG;3;PST;FIN;ACT	V
javult	改善	javul	改善	V;INDF;IND;SG;3;PST;FIN;ACT	V
javult	改良	javul	改良	V;INDF;IND;SG;3;PST;FIN;ACT	V
gén	基因	gén	基因	N;NOM;SG	N
fémek	金屬	fém	金屬	N;NOM;PL	N
fémek	金屬	fém	金屬	N;NOM;PL	N
hangulat	氣氛	hangulat	氣氛	N;NOM;SG	N
hangulat	大氣	hangulat	大氣	N;NOM;SG	N
hangulat	大氣	hangulat	大氣	N;NOM;SG	N
hangulat	氛圍	hangulat	氛圍	N;NOM;SG	N
hangulat	心境	hangulat	心境	N;NOM;SG	N
hangulat	心情	hangulat	心情	N;NOM;SG	N
hangulat	情緒	hangulat	情緒	N;NOM;SG	N
tanácsok	板	tanács	板	N;NOM;PL	N
alkalmazottak	僱員	alkalmazott	僱員	N;NOM;PL	N
alkalmazottak	員工	alkalmazott	員工	N;NOM;PL	N
alkalmazottak	職工	alkalmazott	職工	N;NOM;PL	N
alkalmazottak	僱員	alkalmazott	僱員	N;NOM;PL	N
