egy	een	egy	een	DET;INDF	DET;INDF
nem	niet	nem	niet	ADV	ADV
volt	had	van	hebben	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
volt	gehad	van	hebben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
magyar	hongaarse	magyar	hongaars	ADJ;NOM;SG	ADJ
magyar	hongaars	magyar	hongaars	ADJ;NOM;SG	ADJ
első	eerste	első	één	ADJ;NOM;SG	ADJ
csak	alleen	csak	alleen	ADV	ADV
csak	slechts	csak	slechts	ADV	ADV
még	zelfs	még	zelfs	ADV	ADV
még	nog	még	nog	ADV	ADV
település	dorpje	település	dorp	N;NOM;SG	N;NEUT;SG
település	dorp	település	dorp	N;NOM;SG	N;NEUT;SG
település	vereffening	település	vereffening	N;NOM;SG	N;MASC+FEM;SG
település	nederzetting	település	nederzetting	N;NOM;SG	N;MASC+FEM;SG
település	schikking	település	schikking	N;NOM;SG	N;MASC+FEM;SG
település	afwikkeling	település	afwikkeling	N;NOM;SG	N;MASC+FEM;SG
már	al	már	al	ADV	ADV
már	reeds	már	reeds	ADV	ADV
között	tussen	között	tussen	ADP	ADP
mint	zoals	mint	zoals	CONJ	CONJ
után	na	után	na	ADP	ADP
nagy	groot	nagy	groot	ADJ;NOM;SG	ADJ
nagy	grote	nagy	groot	ADJ;NOM;SG	ADJ
nagy	groot	nagy	groot	ADJ;NOM;SG	ADJ
nagy	grote	nagy	groot	ADJ;NOM;SG	ADJ
személyek	personen	személy	persoon	N;NOM;PL	N;PL
ország	land	ország	land	N;NOM;SG	N;NEUT;SG
évek	jaren	év	jaar	N;NOM;PL	N;PL
klub	club	klub	club	N;NOM;SG	N;MASC+FEM;SG
információk	gegevens	információ	gegeven	N;NOM;PL	N;PL
született	geboren	születik	geboren	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
vita	discussie	vita	discussie	N;NOM;SG	N;MASC+FEM;SG
vita	vita	vita	vita	N;NOM;SG	N;MASC+FEM;SG
vita	discussie	vita	discussie	N;NOM;SG	N;MASC+FEM;SG
vita	debat	vita	debat	N;NOM;SG	N;NEUT;SG
vita	geschil	vita	geschil	N;NOM;SG	N;NEUT;SG
ezt	dit	ez	dit	PRO;ACC;SG;3	PRO;3
ezt	deze	ez	deze	PRO;ACC;SG;3	PRO
itt	hier	itt	hier	ADV	ADV
akkor	dan	akkor	dan	ADV	ADV
akkor	daarna	akkor	daarna	ADV	ADV
fájl	dossier	fájl	dossier	N;NOM;SG	N;NEUT;SG
fájl	bestand	fájl	bestand	N;NOM;SG	N;NEUT;SG
amerikai	amerikaans	amerikai	amerikaans	ADJ;NOM;SG	ADJ
amerikai	amerikaanse	amerikai	amerikaans	ADJ;NOM;SG	ADJ
német	duits	német	duits	ADJ;NOM;SG	ADJ
német	duitse	német	duits	ADJ;NOM;SG	ADJ
ahol	waar	ahol	waar	ADV	ADV
csapat	team	csapat	team	N;NOM;SG	N;NEUT;SG
augusztus	august	augusztus	august	N;NOM;SG	N;MASC+FEM;SG
lehet	kan	lesz	kunnen	V;INDF;POT;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
június	june	június	june	N;NOM;SG	N;MASC+FEM;SG
alatt	onder	alatt	onder	ADP	ADP
alatt	onder	alatt	onder	ADP	ADP
labdarúgó	voetballer	labdarúgó	voetballer	N;NOM;SG	N;MASC+FEM;SG
labdarúgó	profvoetballer	labdarúgó	profvoetballer	N;NOM;SG	N;MASC+FEM;SG
mert	omdat	mert	omdat	CONJ	CONJ
később	straks	későn	straks	ADV	ADV
cikkek	artikelen	cikk	artikel	N;NOM;PL	N;PL
cikkek	artikels	cikk	artikel	N;NOM;PL	N;PL
város	stad	város	stad	N;NOM;SG	N;MASC+FEM;SG
város	stad	város	stad	N;NOM;SG	N;MASC+FEM;SG
amikor	wanneer	amikor	wanneer	ADV	ADV
három	drie	három	drie	NUM;NOM;SG	NUM
nemzetközi	internationaal	nemzetközi	internationaal	ADJ;NOM;SG	ADJ
díj	vergoeding	díj	vergoeding	N;NOM;SG	N;MASC+FEM;SG
díj	honorarium	díj	honorarium	N;NOM;SG	N;NEUT;SG
díj	onderscheiding	díj	onderscheiding	N;NOM;SG	N;MASC+FEM;SG
díj	gunning	díj	gunning	N;NOM;SG	N;MASC+FEM;SG
mellett	naast	mellett	naast	ADP	ADP
kép	foto	kép	foto	N;NOM;SG	N;MASC+FEM;SG
kép	imago	kép	imago	N;NOM;SG	N;NEUT;SG
kép	beeld	kép	beeld	N;NOM;SG	N;NEUT;SG
kép	afbeelding	kép	afbeelding	N;NOM;SG	N;MASC+FEM;SG
kép	foto	kép	foto	N;NOM;SG	N;MASC+FEM;SG
jános	john	jános	john	N;NOM;SG	N;MASC+FEM;SG
jános	jános	jános	jános	N;NOM;SG	N;MASC+FEM;SG
ezek	deze	ez	deze	PRO;NOM;PL;3	PRO
előtt	vóór	előtt	voor	ADP	ADP
nemzeti	nationaal	nemzeti	nationaal	ADJ;NOM;SG	ADJ
nemzeti	nationale	nemzeti	nationaal	ADJ;NOM;SG	ADJ
század	gezelschap	század	gezelschap	N;NOM;SG	N;NEUT;SG
század	bedrijf	század	bedrijf	N;NOM;SG	N;NEUT;SG
század	onderneming	század	onderneming	N;NOM;SG	N;MASC+FEM;SG
század	eskader	század	eskader	N;NOM;SG	N;NEUT;SG
század	squadron	század	squadron	N;NOM;SG	N;NEUT;SG
század	eeuw	század	eeuw	N;NOM;SG	N;MASC+FEM;SG
hivatalos	officiële	hivatalos	officeel	ADJ;NOM;SG	ADJ
hivatalos	officieel	hivatalos	officieel	ADJ;NOM;SG	ADJ
ellen	tegen	ellen	tegen	ADP	ADP
svg	svg	svg	svg	N;NOM;SG	N;MASC+FEM;SG
