com	con	com	con	ADP	ADP
para	para	para	para	ADP	ADP
por	para	por	para	ADP	ADP
não	not	não	not	INTJ	INTJ
mais	más	mais	más	ADV	ADV
mais	mas	mais	mas	ADV	ADV
sua	su	seu	su	DET;FEM;SG	DET;SG;3
sua	tuya	seu	tuyo	DET;FEM;SG	DET;FEM;SG;1
sua	suya	seu	suyo	DET;FEM;SG	DET;FEM;SG;3
sua	suyo	seu	suyo	DET;FEM;SG	DET;MASC;SG;3
sua	tu	seu	tu	DET;FEM;SG	DET;SG;2
sua	su	seu	su	DET;FEM;SG	DET;SG;3
sua	su	seu	su	DET;FEM;SG	DET;SG;3
utc	utc	utc	utc	N;MASC;SG	N
são	son	ser	ser	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
seu	su	seu	su	DET;MASC;SG	DET;SG;3
seu	su	seu	su	DET;MASC;SG	DET;SG;3
seu	tu	seu	tu	DET;MASC;SG	DET;SG;2
seu	su	seu	su	DET;MASC;SG	DET;SG;3
seu	tuya	seu	tuyo	DET;MASC;SG	DET;FEM;SG;1
seu	suya	seu	suyo	DET;MASC;SG	DET;FEM;SG;3
seu	suyo	seu	suyo	DET;MASC;SG	DET;MASC;SG;3
min	minutos	min	minuto	N;MASC;PL	N;MASC;PL
também	igualmente	também	igualmente	ADV	ADV
também	además	também	además	ADV	ADV
também	también	também	también	ADV	ADV
também	también	também	también	ADV	ADV
também	demasiado	também	demasiado	ADV	ADV
ser	siendo	ser	ser	V;NFIN	V;V.MSDR
ser	ser	ser	ser	V;NFIN	V;NFIN
ser	ser	ser	ser	V;NFIN	V;NFIN
ele	él	ele	él	PRO;NOM;MASC;SG;3	PRO;MASC;SG;3
mas	sino	mas	sino	CONJ	CONJ
mas	pero	mas	pero	CONJ	CONJ
discussão	debate	discussão	debate	N;FEM;SG	N;MASC;SG
discussão	discusión	discussão	discusión	N;FEM;SG	N;FEM;SG
entre	entre	entre	entre	ADP	ADP
anos	años	ano	año	N;MASC;PL	N;MASC;PL
anos	anos	ano	ano	N;MASC;PL	N;MASC;PL
era	estaba	ser	estar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
sobre	sobre	sobre	sobre	ADP	ADP
tem	tiene	ter	tener	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
cidade	pueblo	cidade	pueblo	N;FEM;SG	N;MASC;SG
cidade	ciudad	cidade	ciudad	N;FEM;SG	N;FEM;SG
cidade	ciudad	cidade	ciudad	N;FEM;SG	N;FEM;SG
foram	fueron	ser	ser	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN
janeiro	enero	janeiro	enero	N;MASC;SG	N
mesmo	igual	mesmo	igual	ADV	ADV
grande	grande	grande	grande	ADJ;MASC;SG	ADJ;SG
grande	grande	grande	grande	ADJ;MASC;SG	ADJ;SG
grande	gran	grande	gran	ADJ;MASC;SG	ADJ;SG
grande	grandioso	grande	grandioso	ADJ;MASC;SG	ADJ;MASC;SG
grande	genial	grande	genial	ADJ;MASC;SG	ADJ;SG
grande	estupendo	grande	estupendo	ADJ;MASC;SG	ADJ;MASC;SG
grande	gran	grande	gran	ADJ;MASC;SG	ADJ;SG
grande	grande	grande	grande	ADJ;MASC;SG	ADJ;SG
brasil	brazil	brasil	brazil	N;MASC;SG	N
brasil	brasil	brasil	brasil	N;MASC;SG	N;SG
rio	rio	rio	rio	N;MASC;SG	N;MASC;SG
rio	río	rio	río	N;MASC;SG	N;MASC;SG
rio	rio	rio	rio	N;MASC;SG	N;MASC;SG
rio	río	rio	río	N;MASC;SG	N;MASC;SG
depois	luego	depois	luego	ADV	ADV
depois	entonces	depois	entonces	ADV	ADV
depois	posteriormente	depois	posteriormente	ADV	ADV
depois	después	depois	después	ADV	ADV
depois	después	depois	después	ADV	ADV
estado	status	estado	status	N;MASC;SG	N
estado	estatus	estado	estatus	N;MASC;SG	N;MASC
estado	estado	estado	estado	N;MASC;SG	N;MASC;SG
estado	situación	estado	situación	N;MASC;SG	N;FEM;SG
estado	state	estado	state	N;MASC;SG	N
estado	estado	estado	estado	N;MASC;SG	N;MASC;SG
estado	condicion	estado	condicionr	N;MASC;SG	N;FEM;SG
estado	estado	estado	estado	N;MASC;SG	N;MASC;SG
estado	condición	estado	condición	N;MASC;SG	N;FEM;SG
ano	año	ano	año	N;MASC;SG	N;MASC;SG
após	tras	após	tras	ADP	ADP
primeiro	primero	primeiro	primero	ADV	ADV
pode	puede	poder	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
durante	durante	durante	durante	ADP	ADP
ligações	conexiones	ligação	conexión	N;FEM;PL	N;FEM;PL
ligações	acoplamientos	ligação	acoplamiento	N;FEM;PL	N;MASC;PL
ligações	vínculos	ligação	vínculo	N;FEM;PL	N;MASC;PL
ligações	enlaces	ligação	enlace	N;FEM;PL	N;MASC;PL
ligações	links	ligação	link	N;FEM;PL	N;MASC;PL
parte	part	parte	part	N;FEM;SG	N
parte	parte	parte	parte	N;FEM;SG	N;FEM;SG
primeira	primera	primeiro	primero	ADJ;FEM;SG	ADJ;FEM;SG
primeira	primer	primeiro	primero	ADJ;FEM;SG	ADJ;MASC;SG
nome	nombre	nome	nombre	N;MASC;SG	N;MASC;SG
nome	name	nome	name	N;MASC;SG	N
nome	denominación	nome	denominación	N;MASC;SG	N;FEM;SG
sendo	siendo	ser	ser	V;V.MSDR	V;V.MSDR
sendo	ser	ser	ser	V;V.MSDR	V;NFIN
ainda	todavía	ainda	todavía	ADV	ADV
ainda	aún	ainda	aún	ADV	ADV
outros	otras	outro	otro	PRO;MASC;PL	PRO;FEM;PL
outros	otros	outro	otro	PRO;MASC;PL	PRO;MASC;PL
outros	otras	outro	otro	PRO;MASC;PL	PRO;FEM;PL
outros	otros	outro	otro	PRO;MASC;PL	PRO;MASC;PL
esta	este	este	este	PRO;FEM;SG	PRO;MASC;SG
esta	esto	este	este	PRO;FEM;SG	PRO;SG
esta	esta	este	este	PRO;FEM;SG	PRO;FEM;SG
sem	sin	sem	sin	ADP	ADP
ela	ella	ela	él	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
ela	ella	ela	él	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
dia	día	dia	día	N;MASC;SG	N;MASC;SG
dia	dia	dia	diar	N;MASC;SG	N;MASC;SG
dia	dia	dia	diar	N;MASC;SG	N;MASC;SG
dois	dos	dois	dos	NUM	NUM;PL
muito	muy	muito	mucho	ADV	ADV
muito	mucho	muito	mucho	ADV	ADV
região	region	região	region	N;FEM;SG	N;FEM;SG
região	comarca	região	comarca	N;FEM;SG	N;FEM;SG
região	región	região	región	N;FEM;SG	N;FEM;SG
suas	sus	seu	su	DET;FEM;PL	DET;PL;3
artigo	articulo	artigo	articulo	N;MASC;SG	N;MASC;SG
artigo	artículo	artigo	artículo	N;MASC;SG	N;MASC;SG
apenas	únicamente	apenas	únicamente	ADV	ADV
apenas	solo	apenas	solo	ADV	ADV
apenas	sólo	apenas	sólo	ADV	ADV
apenas	solamente	apenas	solamente	ADV	ADV
apenas	solo	apenas	solo	ADV	ADV
apenas	simplemente	apenas	simplemente	ADV	ADV
apenas	sólo	apenas	sólo	ADV	ADV
ter	teniendo	ter	tener	V;NFIN	V;V.MSDR
ter	tener	ter	tener	V;NFIN	V;NFIN
ter	tener	ter	tener	V;NFIN	V;NFIN
ter	tengan	ter	tener	V;NFIN	V;IMP;PL;3;PRS;FIN
ter	tienen	ter	tener	V;NFIN	V;IND;PL;3;PRS;FIN
msg	msg	msg	msg	N;FEM;SG	N;MASC
julho	julio	julho	julio	N;MASC;SG	N
área	superficie	área	superficie	N;FEM;SG	N;FEM;SG
área	zona	área	zona	N;FEM;SG	N;FEM;SG
área	area	área	area	N;FEM;SG	N;FEM;SG
área	área	área	área	N;FEM;SG	N;FEM;SG
agosto	agosto	agosto	agosto	N;MASC;SG	N
agosto	agosto	agosto	agosto	N;MASC;SG	N
lista	lista	lista	lista	N;FEM;SG	N;FEM;SG
maio	mayo	maio	mayo	N;MASC;SG	N
março	marcha	março	marcha	N;MASC;SG	N;FEM;SG
março	marzo	março	marzo	N;MASC;SG	N
norte	norte	norte	norte	N;MASC;SG	N;MASC;SG
norte	norte	norte	norte	N;MASC;SG	N;MASC;SG
norte	norte	norte	norte	N;MASC;SG	N;MASC;SG
norte	northern	norte	northern	N;MASC;SG	N
família	famila	família	famila	N;FEM;SG	N;FEM;SG
família	familia	família	familia	N;FEM;SG	N;FEM;SG
abril	abril	abril	abril	N;MASC;SG	N
sul	sul	sul	sul	N;MASC;SG	N;FEM;SG
sul	southern	sul	southern	N;MASC;SG	N
sul	sur	sul	sur	N;MASC;SG	N;MASC;SG
sul	sur	sul	sur	N;MASC;SG	N;MASC;SG
grupo	grupo	grupo	grupo	N;MASC;SG	N;MASC;SG
grupo	group	grupo	group	N;MASC;SG	N
setembro	setiembre	setembro	setiembre	N;MASC;SG	N
setembro	septiembre	setembro	septiembre	N;MASC;SG	N
