המשלוח	expediere	המשלוח	expediere	N;MASC;SG	N;INDF;FEM;SG
פורמלי	formala	פורמאלי	formală	ADJ;MASC;SG	ADJ;DEF;FEM;SG
סיפון	punte	סיפון	punte	N;MASC;SG	N;INDF;FEM;SG
סיפון	puntea	סיפון	puntea	N;MASC;SG	N;DEF;FEM;SG
הש	hesh	הש	hesh		
כותבת	scriind	כתב	scrie	V;FEM;SG;V.PTCP;ACT	V;V.MSDR
חיתוך	taiere	חיתוך	taieră	N;MASC;SG	N;INDF;FEM;SG
פסוקים	versuri	פסוק	vers	N;MASC;PL	N;INDF;FEM;PL
הנאה	placerea	הנאה	placere	N;FEM;SG	N;DEF;FEM;SG
הנאה	placere	הנאה	placere	N;FEM;SG	N;INDF;FEM;SG
הנאה	placerea	הנאה	placere	N;FEM;SG	N;DEF;FEM;SG
הנאה	placere	הנאה	placere	N;FEM;SG	N;INDF;FEM;SG
קודמת	precedenta	קודם	precedent	ADJ;FEM;SG	ADJ;DEF;FEM;SG
חסד	mercy	חסד	mercy		
חסד	bunatate	חסד	bunata		
אתגר	provocare	אתגר	provocare	N;MASC;SG	N;INDF;FEM;SG
אתגר	provocarea	אתגר	provocare	N;MASC;SG	N;DEF;FEM;SG
נערים	adolescenti	נער	adolescenti	N;MASC;PL	N;INDF;MASC;PL
ליישם	implementeaza	נישם	implementeaz	V;NFIN;ACT	V;IND;SG;3;IPFV;FIN
ליישם	implementeze	נישם	implementa	V;NFIN;ACT	V;SBJV;3;PRS;FIN
צריכת	aportul	צריך	aport	N;FEM;SG	N;DEF;MASC;SG
צריכת	admisie	צריך	admisie	N;FEM;SG	N;INDF;FEM;SG
צריכת	consumul	צריך	consum	N;FEM;SG	N;DEF;MASC;SG
צריכת	consum	צריך	consum	N;FEM;SG	N;INDF;MASC;SG
צריכת	consumului	צריך	consum	N;FEM;SG	N;DEF;MASC;SG
פרוטוקול	protocol	פרוטוקול	protocol	N;MASC;SG	N;INDF;MASC;SG
פרוטוקול	protocolul	פרוטוקול	protocol	N;MASC;SG	N;DEF;MASC;SG
פרסומת	reclama	פרסומת	reclama	N;FEM;SG	N;DEF;FEM;SG
בהרחבה	extensiv	בהרחבה	extensiv	ADV	ADV
חלשה	slabit	חלש	slabi	N;FEM;SG	N;INDF;MASC;SG
סערה	furtuna	סערה	furtună	N;FEM;SG	N;DEF;FEM;SG
סערה	furtuna	סערה	furtună	N;FEM;SG	N;DEF;FEM;SG
סערה	storm	סערה	storm	N;FEM;SG	N;INDF;MASC;SG
