蛍光	fluoresenssi	蛍光	fluoresyn	N	N;NOM;SG
可愛い	söpö	可愛い	söpö	ADJ	ADJ;NOM;SG
可愛い	nätti	可愛い	nätti	ADJ	ADJ;NOM;SG
スピリット	hengen	スピリット	henki	N	N;GEN;SG
スピリット	henki	スピリット	henki	N	N;NOM;SG
民兵	miliisi	民兵	miliisi	N	N;NOM;SG
側室	jalkavaimo	側室	jalka#vaimo	N	N;NOM;SG
ロフト	loft	ロフト	loft	N	N;NOM;SG
コンボ	combo	コンボ	combo	N	N;NOM;SG
感度	herkkyys	感度	herkkyys	N	N;NOM;SG
正午	keskipäivällä	正午	keski#päivä	N	N;AT+ESS
;SG
正午	keskipäivän	正午	keski#päivä	N	N;GEN;SG
正午	keskipäivällä	正午	keski#päivä	N	N;AT+ESS
;SG
口座	tiliä	口座	tili	N	N;PRT;SG
口座	tilin	口座	tili	N	N;GEN;SG
口座	tili	口座	tili	N	N;NOM;SG
口座	huomioon	口座	huomio	N	N;IN+ALL;SG
説教	saarnaa	説教	saarna	V	V;IMP;SG;2;FIN;ACT
説教	saarnata	説教	saarnatta	V	V;SG;NFIN;ACT
説教	saarnaa	説教	saarna	V	V;IMP;SG;2;FIN;ACT
フルーツ	hedelmä	フルーツ	hedelmä	N	N;NOM;SG
フルーツ	hedelmät	フルーツ	hedelmä	N	N;NOM;PL
フルーツ	hedelmiä	フルーツ	hedelmä	N	N;PRT;PL
フルーツ	hedelmistä	フルーツ	hedelmä	N	N;IN+ABL;PL
フルーツ	hedelmät	フルーツ	hedelmä	N	N;NOM;PL
フルーツ	hedelmiä	フルーツ	hedelmä	N	N;PRT;PL
著しい	huomattavaa	著しい	huomattava	ADJ	ADJ;PRT;SG
著しい	merkittävä	著しい	merkittävä	ADJ	ADJ;NOM;SG
著しい	merkittävää	著しい	merkittävä	ADJ	ADJ;PRT;SG
著しい	huomattava	著しい	huomattava	ADJ	ADJ;NOM;SG
チャネル	kanavia	チャネル	kanava	N	N;PRT;PL
チャネル	kanavien	チャネル	kanava	N	N;GEN;PL
チャネル	kanavat	チャネル	kanava	N	N;NOM;PL
チャネル	kanava	チャネル	kanava	N	N;NOM;SG
チャネル	kanavaa	チャネル	kanava	N	N;PRT;SG
