was	бе	be	съм	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
with	със	with	със	ADP	ADP
this	това	this	този	PRO;SG	PRO;NOM;NEUT;SG
his	му	he	мой	PRO;MASC;SG;3	PRO;DAT;MASC;SG;3
are	са	be	съм	V;IND;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
also	също	also	също	ADV	ADV
were	бяха	be	съм	V;IND;PST;FIN	V;IPFV;IND;PL;3;PST;FIN;ACT
but	но	but	но	CONJ	CONJ
one	една	one	един	NUM	NUM;INDF;FEM;SG
one	един	one	един	NUM	NUM;INDF;MASC;SG
one	едно	one	един	NUM	NUM;INDF;NEUT;SG
new	нов	new	нов	ADJ	ADJ;INDF;MASC;SG
new	нови	new	нов	ADJ	ADJ;INDF;PL
new	нова	new	нов	ADJ	ADJ;INDF;FEM;SG
first	първо	first	първо	ADV	ADV
page	страница	page	страница	N;SG	N;INDF;FEM;SG
page	страницата	page	страница	N;SG	N;DEF;FEM;SG
you	ви	you	аз	PRO;ACC;2	PRO;ACC;SG;2
they	те	they	аз	PRO;NOM;PL;3	PRO;NOM;PL;3
article	статия	article	статия	N;SG	N;INDF;FEM;SG
article	член	article	член	N;SG	N;INDF;MASC;SG
who	кой	who	кой	PRO	PRO;NOM;MASC;SG
there	там	there	там	ADV	ADV
made	направена	make	направя-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
made	направено	make	направя-(се)	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
made	направен	make	направя-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
made	направени	make	направя-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
other	друг	other	друг	ADJ	ADJ;INDF;MASC;SG
other	други	other	друг	ADJ	ADJ;INDF;PL
two	двама	two	двама	NUM	NUM;INDF;PL
two	две	two	два	NUM	NUM;INDF;FEM;PL
score	резултат	score	резултат	N;SG	N;INDF;MASC;SG
her	нея	she	аз	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
she	тя	she	аз	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
when	кога	when	кога	ADV	ADV
time	времето	time	време	N;SG	N;DEF;NEUT;SG
time	време	time	време	N;SG	N;INDF;NEUT;SG
team	отбор	team	отбор	N;SG	N;INDF;MASC;SG
team	отбора	team	отбор	N;SG	N;DEF;MASC;SG
team	екип	team	екип	N;SG	N;INDF;MASC;SG
american	американска	american	американски	ADJ	ADJ;INDF;FEM;SG
american	американски	american	американски	ADJ	ADJ;INDF;MASC;SG
discussion	дискусия	discussion	дискусия	N;SG	N;INDF;FEM;SG
discussion	обсъждане	discussion	обсъждане	N;SG	N;INDF;NEUT;SG
links	връзки	link	връзка	N;PL	N;INDF;FEM;PL
only	само	only	само	ADV	ADV
only	единствено	only	единствено	ADV	ADV
see	вижте	see	видя-(се)	V;IMP;FIN	V;PFV;IMP;PL;2;FIN
see	виж	see	видя-(се)	V;IMP;FIN	V;PFV;IMP;SG;2;FIN
years	години	year	година	N;PL	N;INDF;FEM;PL
years	годините	year	година	N;PL	N;DEF;FEM;PL
school	училището	school	училище	N;SG	N;DEF;NEUT;SG
school	школа	school	школа	N;SG	N;INDF;FEM;SG
school	училище	school	училище	N;SG	N;INDF;NEUT;SG
world	свят	world	свят	N;SG	N;INDF;MASC;SG
world	света	world	свят	N;SG	N;DEF;MASC;SG
university	университет	university	университет	N;SG	N;INDF;MASC;SG
university	университета	university	университет	N;SG	N;DEF;MASC;SG
out	вън	out	вън	ADV	ADV
out	навън	out	навън	ADV	ADV
state	щат	state	щат	N;SG	N;INDF;MASC;SG
state	държава	state	държава	N;SG	N;INDF;FEM;SG
states	държави	state	държава	N;PL	N;INDF;FEM;PL
states	щати	state	щат	N;PL	N;INDF;MASC;PL
national	национална	national	национален	ADJ	ADJ;INDF;FEM;SG
national	национални	national	национален	ADJ	ADJ;INDF;PL
national	национален	national	национален	ADJ	ADJ;INDF;MASC;SG
wikipedia	уикипедия	wikipedia	уикипедия	N;SG	N;INDF;FEM;SG
year	година	year	година	N;SG	N;INDF;FEM;SG
year	годината	year	година	N;SG	N;DEF;FEM;SG
city	град	city	град	N;SG	N;INDF;MASC;SG
city	градът	city	град	N;SG	N;DEF;MASC;SG
city	сити	city	сит	N;SG	N;INDF;MASC;SG
used	използвано	use	използвам	V;PST;V.PTCP	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
used	използван	use	използвам	V;PST;V.PTCP	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
used	използвани	use	използвам	V;PST;V.PTCP	V;IPFV;INDF;PL;V.PTCP;PASS
used	използвана	use	използвам	V;PST;V.PTCP	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
then	тогава	then	тогава	ADV	ADV
county	окръг	county	окръг	N;SG	N;INDF;MASC;SG
county	графство	county	графство	N;SG	N;INDF;NEUT;SG
external	външна	external	външен	ADJ	ADJ;INDF;FEM;SG
external	външни	external	външен	ADJ	ADJ;INDF;PL
external	външен	external	външен	ADJ	ADJ;INDF;MASC;SG
where	къде	where	къде	ADV	ADV
delete	изтриете	delete	изтрия	V;IMP;FIN	V;PFV;IMP;PL;2;FIN
delete	изтрий	delete	изтрий	V;IMP;FIN	V;PFV;IMP;SG;2;FIN
film	филм	film	филм	N;SG	N;INDF;MASC;SG
film	лента	film	лента	N;SG	N;INDF;FEM;SG
him	него	he	аз	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
three	три	three	три	NUM	NUM;INDF;PL
three	трима	three	трима	NUM	NUM;INDF;PL
well	еее	well	ее	INTJ	INTJ
use	използвайте	use	използвам	V;IMP;FIN	V;IPFV;IMP;PL;2;FIN
war	войната	war	война	N;SG	N;DEF;FEM;SG
war	война	war	война	N;SG	N;INDF;FEM;SG
them	ги	they	аз	PRO;ACC;PL;3	PRO;ACC;PL;3
them	тях	they	аз	PRO;ACC;PL;3	PRO;ACC;PL;3
born	родени	bear	родя-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
born	роден	bear	родя-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
born	родена	bear	родя-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
link	връзка	link	връзка	N;SG	N;INDF;FEM;SG
link	линк	link	линк	N;SG	N;INDF;MASC;SG
while	докато	while	докато	CONJ	CONJ
part	част	part	част	N;SG	N;INDF;FEM;SG
players	играчи	player	играч	N;PL	N;INDF;MASC;PL
list	списък	list	списък	N;SG	N;INDF;MASC;SG
second	второ	second	втори	ADV	ADV
name	името	name	име	N;SG	N;DEF;NEUT;SG
name	наименование	name	наименование	N;SG	N;INDF;NEUT;SG
name	име	name	име	N;SG	N;INDF;NEUT;SG
group	група	group	група	N;SG	N;INDF;FEM;SG
group	групиране	group	групиране	N;SG	N;INDF;NEUT;SG
history	историята	history	история	N;SG	N;DEF;FEM;SG
history	история	history	история	N;SG	N;INDF;FEM;SG
series	серия	series	серия	N;SG	N;INDF;FEM;SG
series	поредица	series	поредица	N;SG	N;INDF;FEM;SG
series	сериал	series	сериал	N;SG	N;INDF;MASC;SG
just	просто	just	просто	ADV	ADV
just	само	just	само	ADV	ADV
work	работа	work	работа	N;SG	N;INDF;FEM;SG
work	труд	work	труд	N;SG	N;INDF;MASC;SG
season	сезон	season	сезон	N;SG	N;INDF;MASC;SG
season	сезона	season	сезон	N;SG	N;DEF;MASC;SG
high	висок	high	висок	ADJ	ADJ;INDF;MASC;SG
high	висока	high	висок	ADJ	ADJ;INDF;FEM;SG
