mdr	mdr	mdr	mdr		
bestätigen	zweryfikować	bestätigen	zweryfikować	V;NFIN	V;PFV;NFIN;ACT
bestätigen	uznać	bestätigen	uznać	V;NFIN	V;PFV;NFIN;ACT
bestätigen	potwierdzić	bestätigen	potwierdzić	V;NFIN	V;PFV;NFIN;ACT
bestätigen	potwierdzam	bestätigen	potwierdzać	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
vermittelt	pośredniczył	vermitteln	pośredniczyć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
frisch	świeże	frisch	świeży	ADJ	ADJ;NOM;NEUT;SG
frisch	świeża	frisch	świeży	ADJ	ADJ;NOM;FEM;SG
audio	audio	audio	audio		
kette	naszyjnik	kett	naszyjnik	N;NOM;FEM;SG	N;NOM;MASC;SG
kette	łańcuch	kett	łańcuch	N;NOM;FEM;SG	N;NOM;MASC;SG
moderner	nowoczesne	modern	nowoczesny	ADJ	ADJ;NOM;NEUT;SG
moderner	nowoczesny	modern	nowoczesny	ADJ	ADJ;NOM;MASC;SG
moderner	nowoczesna	modern	nowoczesny	ADJ	ADJ;NOM;FEM;SG
offizieller	oficjalne	offiziell	oficjalny	ADJ	ADJ;NOM;NEUT;SG
offizieller	oficjalna	offiziell	oficjalny	ADJ	ADJ;NOM;FEM;SG
offizieller	urzędowym	offiziell	urzędowy	ADJ	ADJ;INS;MASC;SG
offizieller	oficjalny	offiziell	oficjalny	ADJ	ADJ;NOM;MASC;SG
mittelmeer	atlantic	mittelmeer	atlantic		
mittelmeer	atlantyk	mittelmeer	atlantyk		
sank	zatonął	sinken	zatonąć	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
sank	zatonął	sinken	zatonąć	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
abbau	degradacji	Abbau	degradacja	N	N;DAT;FEM;SG
abbau	demontażu	Abbau	demontaż	N	N;GEN;MASC;SG
strategie	strategii	strategie	strategia	N;SG	N;GEN;FEM;SG
strategie	strategia	strategie	strategia	N;SG	N;NOM;FEM;SG
strategie	strategii	strategie	strategia	N;SG	N;GEN;FEM;SG
einheimischen	miejscowi	einheimisch	miejscowy	ADJ	ADJ;NOM;MASC;PL
einheimischen	miejscowych	einheimisch	miejscowy	ADJ	ADJ;GEN;MASC;PL
siegel	foki	siegel	foki		
siegel	fok	siegel	fok		
