mac	maca	mac	maca	N;NOM;MASC;SG	N;NOM;FEM;SG
istraživači	prieskumníci	istraživač	prieskumník	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
istraživači	výskumníci	istraživač	výskumník	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
draconarius	draconarius	draconarius	draconarius	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
hvar	hvar	hvar	hvar	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
vježbe	cviky	vježba	cvika	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
vježbe	cvičení	vježba	cvičený	N;NOM;FEM;PL	N;NOM;NEUT;PL
vježbe	cvičenia	vježba	cvičenie	N;NOM;FEM;PL	N;NOM;NEUT;PL
podiže	vyvoláva	podizati	vyvolávať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
organizirati	usporiadať	organizirati	usporiadať	V;NFIN	V;PFV;POS;NFIN
organizirati	organizovať	organizirati	organizovať	V;NFIN	V;IPFV;POS;NFIN
organizirati	zorganizovať	organizirati	zorganizovať	V;NFIN	V;PFV;POS;NFIN
organizirati	usporiadať	organizirati	usporiadať	V;NFIN	V;PFV;POS;NFIN
organizirati	organizovať	organizirati	organizovať	V;NFIN	V;IPFV;POS;NFIN
organizirati	zorganizovať	organizirati	zorganizovať	V;NFIN	V;PFV;POS;NFIN
sjaja	jasu	sjaj	jas	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
mrtav	mŕtva	mrtav	mŕtvy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
mrtav	mŕtvy	mrtav	mŕtvy	ADJ;NOM;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
prevodi	prekladať	prevoditi	prekladať	V;IND;SG;3;PRS;FIN	V;IPFV;POS;NFIN
prevodi	preložiť	prevoditi	preložiť	V;IND;SG;3;PRS;FIN	V;PFV;POS;NFIN
prevodi	prekladá	prevoditi	prekladať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
napravljeno	vyrobený	napraviti	vyrobený	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
napravljeno	vyrobené	napraviti	vyrobený	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
napravljeno	vyrobená	napraviti	vyrobený	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
autoritet	autorita	autoritet	autorita	N;NOM;MASC;SG	N;NOM;FEM;SG
autoritet	právomoc	autoritet	právomoc	N;NOM;MASC;SG	N;NOM;FEM;SG
autoritet	orgán	autoritet	orgán	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
autoritet	úrad	autoritet	úrad	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
richards	richards	richards	richards	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
jelo	miska	jelo	misko	N;NOM;NEUT;SG	N;NOM;FEM;SG
jelo	múka	jelo	múka	N;NOM;NEUT;SG	N;NOM;FEM;SG
jelo	jedlo	jelo	jedlo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
jelo	múčka	jelo	múčka	N;NOM;NEUT;SG	N;NOM;FEM;SG
suđenja	skúšky	suđenje	skúška	N;NOM;NEUT;PL	N;NOM;FEM;PL
suđenja	pokusy	suđenje	pokus	N;NOM;NEUT;PL	N;INAN;NOM;MASC;PL
zima	zima	zima	zima	N;NOM;FEM;SG	N;NOM;FEM;SG
teolog	teológ	teolog	teológ	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
dizajniran	projektované	dizajnirati	projektovaný	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dizajniran	navrhnuté	dizajnirati	navrhnutý	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dizajniran	konštruované	dizajnirati	konštruovaný	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dizajniran	navrhnutá	dizajnirati	navrhnutý	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
dizajniran	navrhnutý	dizajnirati	navrhnutý	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
pallas	pallas	pallas	pallas	N;NOM;MASC;SG	N;NOM;FEM;SG
mlad	mladé	mlad	mladý	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
mlad	mladá	mlad	mladý	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
ponavlja	opakuje	ponavljati	opakovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
kritički	kriticky	kritički	kriticky	ADV	ADV
eventualno	eventuálne	eventualno	eventuálny	ADV	ADV
eventualno	prípadne	eventualno	prípadne	ADV	ADV
vožnje	jazdy	vožnja	jazda	N;NOM;FEM;PL	N;NOM;FEM;PL
rog	rog	rog	rog	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
rog	roh	rog	roh	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
rog	trúba	rog	trúba	N;NOM;MASC;SG	N;NOM;FEM;SG
antonija	antonius	antonija	antonius	N;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
posude	koše	posuda	kôš	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
posude	hrnce	posuda	hrniec	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
frankfurt	frankfurte	frankfurt	frankfurt	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
frankfurt	frankfurt	frankfurt	frankfurt	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
zabrana	zákaz	zabrana	zákaz	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
oblak	oblak	oblak	oblak	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
oblak	mrak	oblak	mrak	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
oblak	cloud	oblak	cloud	N;NOM;MASC;SG	N;NOM;MASC;SG
projektil	projektil	projektil	projektiť	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
projektil	strela	projektil	strieť	N;NOM;MASC;SG	N;NOM;FEM;SG
projektil	raketa	projektil	raket	N;NOM;MASC;SG	N;NOM;FEM;SG
uspostaviti	nadviazať	uspostaviti	nadviazať	V;NFIN	V;PFV;POS;NFIN
uspostaviti	zriadiť	uspostaviti	zriadiť	V;NFIN	V;PFV;POS;NFIN
slatina	slatina	slatina	slatina	N;NOM;FEM;SG	N;NOM;FEM;SG
bibliografija	bibliografia	bibliografija	bibliografia	N;NOM;FEM;SG	N;NOM;FEM;SG
odgovornosti	zodpovednosti	odgovornost	zodpovednosť	N;NOM;FEM;PL	N;NOM;FEM;PL
odgovornosti	povinnosti	odgovornost	povinnosť	N;NOM;FEM;PL	N;NOM;FEM;PL
