prototype	prototype	prototype	prototype	N;NEUT;SG	N;MASC;SG
autoriteit	autorité	autoriteit	autorité	N;MASC+FEM;SG	N;FEM;SG
basiliek	basilique	basiliek	basilique	N;MASC+FEM;SG	N;FEM;SG
mozart	mozart	mozart	mozart	N;MASC+FEM;SG	N;MASC;SG
melk	lait	melk	lait	N;MASC+FEM;SG	N;MASC;SG
agrarisch	agraire	agrarisch	agraire	ADJ	ADJ;MASC;SG
drank	boisson	drank	boisson	N;MASC+FEM;SG	N;FEM;SG
drank	breuvage	drank	breuvage	N;MASC+FEM;SG	N;MASC;SG
harp	harpe	harp	harpe	N;MASC+FEM;SG	N;FEM;SG
publiceren	publier	publiceren	publier	V;NFIN	V;NFIN
publiceren	publier	publiceren	publier	V;NFIN	V;NFIN
publiceren	publie	publiceren	publier	V;NFIN	V;SG;PRS;V.PTCP
publiceren	publiez	publiceren	publier	V;NFIN	V;IMP;PL;2;PRS;FIN
arabië	saoudite	arabië	saoudite	N;NEUT;SG	N;MASC;SG
onthuld	révélés	onthullen	révéler	V;V.PTCP	V;MASC;PL;PST;V.PTCP
onthuld	révélé	onthullen	révéler	V;V.PTCP	V;MASC;SG;PST;V.PTCP
onthuld	dévoilé	onthullen	dévoiler	V;V.PTCP	V;MASC;SG;PST;V.PTCP
onthuld	révélées	onthullen	révéler	V;V.PTCP	V;FEM;PL;PST;V.PTCP
onthuld	révélée	onthullen	révéler	V;V.PTCP	V;FEM;SG;PST;V.PTCP
onthuld	dévoilée	onthullen	dévoiler	V;V.PTCP	V;FEM;SG;PST;V.PTCP
onthuld	dévoilé	onthullen	dévoiler	V;V.PTCP	V;MASC;SG;PST;V.PTCP
straling	rayonnement	straling	rayonnement	N;MASC+FEM;SG	N;MASC;SG
herindeling	reclassement	herindeling	reclassement	N;MASC+FEM;SG	N;MASC;SG
herindeling	requalification	herindeling	requalification	N;MASC+FEM;SG	N;FEM;SG
organisme	organisme	organisme	organisme	N;NEUT;SG	N;MASC;SG
kernen	noyaux	kern	noyau	N;PL	N;MASC;PL
kernen	noyaux	kern	noyau	N;PL	N;MASC;PL
scoren	marquer	scoren	marquer	V;NFIN	V;NFIN
scoren	marquer	scoren	marquer	V;NFIN	V;NFIN
kringen	cercles	kring	cercle	N;PL	N;MASC;PL
gedraaid	tourné	draaien	tourner	V;V.PTCP	V;MASC;SG;PST;V.PTCP
gedraaid	tournés	draaien	tourner	V;V.PTCP	V;MASC;PL;PST;V.PTCP
gedraaid	tordue	draaien	tordue	V;V.PTCP	V;FEM;SG;PST;V.PTCP
waardering	notation	waardering	notation	N;MASC+FEM;SG	N;FEM;SG
waardering	cotation	waardering	cotation	N;MASC+FEM;SG	N;FEM;SG
waardering	cote	waardering	cote	N;MASC+FEM;SG	N;FEM;SG
waardering	appréciation	waardering	appréciation	N;MASC+FEM;SG	N;FEM;SG
waardering	évaluation	waardering	évaluation	N;MASC+FEM;SG	N;FEM;SG
waardering	valorisation	waardering	valorisation	N;MASC+FEM;SG	N;FEM;SG
martina	martine	martina	martine	N;MASC+FEM;SG	N;FEM;SG
plegen	commettre	plegen	commettre	V;NFIN	V;NFIN
experimenten	expériences	experiment	expérience	N;PL	N;FEM;PL
experimenten	expérimentations	experiment	expérimentation	N;PL	N;FEM;PL
experimenten	expérimentations	experiment	expérimentation	N;PL	N;FEM;PL
motivatie	motivation	motivatie	motivation	N;MASC+FEM;SG	N;FEM;SG
miles	milles	mil	mille	N;PL	N;MASC;PL
miles	kilomètres	mil	kilomètre	N;PL	N;MASC;PL
miles	miles	mil	mile	N;PL	N;MASC;PL
chemie	chimie	chemie	chimie	N;MASC+FEM;SG	N;FEM;SG
stemde	votée	stemmen	voter	V;SG;PST;FIN	V;FEM;SG;PST;V.PTCP
stemde	voté	stemmen	voter	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
draaide	tourné	draaien	tourner	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
bestrijden	combattre	bestrijden	combattre	V;NFIN	V;NFIN
vet	graisse	vet	graisse	N;NEUT;SG	N;FEM;SG
vet	graisse	vet	graisse	N;NEUT;SG	N;FEM;SG
buitengewoon	extraordinaire	buitengewoon	extraordinaire	ADJ	ADJ;MASC;SG
buitengewoon	extraordinaires	buitengewoon	extraordinaire	ADJ	ADJ;MASC;PL
buitengewoon	exceptionnel	buitengewoon	exceptionnel	ADJ	ADJ;MASC;SG
buitengewoon	exceptionnels	buitengewoon	exceptionnel	ADJ	ADJ;MASC;PL
buitengewoon	exceptionnelle	buitengewoon	exceptionnel	ADJ	ADJ;FEM;SG
buitengewoon	exceptionnelles	buitengewoon	exceptionnel	ADJ	ADJ;FEM;PL
voorkant	front	voorkant	front	N;MASC+FEM;SG	N;MASC;SG
kampioenen	champions	kampioen	champion	N;PL	N;MASC;PL
codex	codex	codex	codex	N;MASC+FEM;SG	N;MASC;SG
aanpak	approche	aanpak	approche	N;MASC+FEM;SG	N;FEM;SG
aanpak	démarche	aanpak	démarche	N;MASC+FEM;SG	N;FEM;SG
ongewenste	indésirable	ongewenste	indésirable	ADJ	ADJ;MASC;SG
ongewenste	indésirables	ongewenste	indésirable	ADJ	ADJ;MASC;PL
ongewenste	indésirable	ongewenste	indésirable	ADJ	ADJ;MASC;SG
ongewenste	indésirables	ongewenste	indésirable	ADJ	ADJ;MASC;PL
tibetaans	tibétains	tibetaan	tibétain	ADJ	ADJ;MASC;PL
tibetaans	tibétaine	tibetaan	tibétain	ADJ	ADJ;FEM;SG
tibetaans	tibétain	tibetaan	tibétain	ADJ	ADJ;MASC;SG
mijl	mile	mijl	mile	N;MASC+FEM;SG	N;MASC;SG
auteursrecht	copyright	auteursrecht	copyright	N;NEUT;SG	N;MASC;SG
medvedev	medvedev	medvedev	medvedev	N;MASC+FEM;SG	N;MASC;SG
vertegenwoordigen	représenter	vertegenwoordigen	représenter	V;NFIN	V;NFIN
vertegenwoordigen	représentent	vertegenwoordigen	représenter	V;NFIN	V;IND;PL;3;PRS;FIN
vertegenwoordigen	représenter	vertegenwoordigen	représenter	V;NFIN	V;NFIN
pauselijke	pontifical	pauselijk	pontifical	ADJ	ADJ;MASC;SG
pauselijke	papale	pauselijk	papale	ADJ	ADJ;FEM;SG
pauselijke	pontifical	pauselijk	pontifical	ADJ	ADJ;MASC;SG
pauselijke	pontificale	pauselijk	pontifical	ADJ	ADJ;FEM;SG
carol	carole	carol	carole	N;MASC+FEM;SG	N;FEM;SG
nakomelingen	descendants	nakomeling	descendant	N;PL	N;MASC;PL
geaccepteerd	acceptées	accepteren	accepter	V;V.PTCP	V;FEM;PL;PST;V.PTCP
geaccepteerd	acceptés	accepteren	accepter	V;V.PTCP	V;MASC;PL;PST;V.PTCP
geaccepteerd	acceptée	accepteren	accepter	V;V.PTCP	V;FEM;SG;PST;V.PTCP
geaccepteerd	accepté	accepteren	accepter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
installatie	montage	installatie	montage	N;MASC+FEM;SG	N;MASC;SG
installatie	installation	installatie	installation	N;MASC+FEM;SG	N;FEM;SG
brunner	brunner	brun	brunner	N;MASC+FEM;SG	N;MASC;SG
verlopen	expirer	verlopen	expirer	V;V.PTCP	V;NFIN
verlopen	expirent	verlopen	expirer	V;V.PTCP	V;IND;PL;3;PRS;FIN
verlopen	périmés	verlopen	périmer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verlopen	périmé	verlopen	périmer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verlopen	expiré	verlopen	expirer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
born	naissance	born	naissance	N;MASC+FEM;SG	N;FEM;SG
larven	larves	larven	larve	N;PL	N;FEM;PL
dinosauriërs	dinosaures	dinosauriër	dinosaure	N;PL	N;MASC;PL
help	aide	help	aide	N;MASC+FEM;SG	N;FEM;SG
medicijnen	médicaments	medicijn	médicament	N;PL	N;MASC;PL
medicijnen	médicaments	medicijn	médicament	N;PL	N;MASC;PL
antwoorden	réponses	antwoord	réponse	N;PL	N;FEM;PL
antwoorden	réponses	antwoord	réponse	N;PL	N;FEM;PL
rue	rue	rue	rue	N;MASC+FEM;SG	N;FEM;SG
erkennen	reconnaissez	erkennen	reconnaître	V;NFIN	V;IMP;PL;2;PRS;FIN
erkennen	reconnaître	erkennen	reconnaître	V;NFIN	V;NFIN
erkennen	reconnaissent	erkennen	reconnaître	V;NFIN	V;IND;PL;3;PRS;FIN
erkennen	reconnaissez	erkennen	reconnaître	V;NFIN	V;IMP;PL;2;PRS;FIN
erkennen	reconnais	erkennen	reconnaître	V;NFIN	V;IND;SG;1;PRS;FIN
erkennen	reconnaître	erkennen	reconnaître	V;NFIN	V;NFIN
erkennen	reconnaissent	erkennen	reconnaître	V;NFIN	V;IND;PL;3;PRS;FIN
erkennen	reconnaître	erkennen	reconnaître	V;NFIN	V;NFIN
